start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.038,170.323,8.259,-29.588,56.467,-50.256,15.537,4.505,-27.185,1.171,-10.886,-6.997
0.4054,30.34,-147.617,67.578,-57.815,103.725,83.703,34.26,5.974,9.409,68.613,28.213,-26.876
0.74236,32.664,-206.354,31.261,24.084,51.818,-42.669,16.38,25.568,26.853,-14.762,-24.75,-23.205
1.39873,23.429,-176.449,-54.313,55.215,47.13,-51.774,2.224,74.542,-6.036,-9.269,-36.802,-18.323
6.40517,25.942,-144.113,-6.905,46.357,22.54,-37.987,-3.816,17.615,-15.869,-10.669,-0.835,-17.35
7.08163,22.651,-168.726,-32.653,-39.101,27.854,-50.872,24.041,8.305,-34.204,-6.594,-5.294,-7.159
7.23937,30.77,-120.554,9.97,49.065,15.785,20.979,16.79,1.702,-7.982,-10.154,13.932,-1.333
7.89469,27.207,-155.143,-9.63,-31.852,-1.345,-36.324,-2.737,9.184,1.414,-4.761,-0.49,-5.012
8.02073,34.804,-114.635,15.714,26.91,15.267,-23.515,3.68,7.898,0.149,-1.671,-3.939,7.543
8.44585,28.241,-157.452,-11.626,-31.665,-9.33,-33.556,-3.636,11.826,-14.913,-7.492,-4.116,1.559
8.87107,31.553,-136.232,29.743,35.018,35.741,55.945,14.895,50.249,-10.69,-3.455,-12.93,0.715
9.76399,25.289,-154.103,17.836,-3.401,33.617,-37.133,2.365,6.562,-27.266,-12.241,-5.045,3.278
10.22789,22.267,-160.955,-24.81,-8.143,52.538,-42.493,1.174,30.953,-27.758,-1.326,-11.07,-2.705
11.09909,19.881,-143.365,-43.12,-38.513,55.506,-43.22,6.322,18.498,-26.038,-7.23,-7.141,2.557
12.53451,33.061,-157.075,50.151,27.756,80.428,23.797,52.784,7.204,4.278,38.354,8.045,-10.837
12.84689,31.553,-195.333,39.569,51.366,49.002,-42.631,32.446,29.251,12.352,-6.405,-21.039,-6.129
13.78095,25.127,-184.131,-0.338,-8.676,42.44,-48.124,36.221,33.951,-9.526,-4.374,-7.897,-15.113
14.28222,21.825,-131.311,-28.909,-13.949,11.771,-29.992,-4.919,16.547,-36.113,-13.383,-9.981,-14.103
15.48177,27.252,-161.308,42.694,-51.966,111.941,65.975,12.978,-28.781,5.043,34.687,-12.191,-12.143
15.73714,27.676,-214.071,69.725,-9.484,117.193,-15.747,3.302,12.638,-4.289,6.538,-7.626,-32.523
15.8702,27.738,-200.914,38.897,61.506,104.192,-44.474,-16.226,41.868,5.204,-7.419,-15.76,-26.865
15.99909,25.933,-204.805,50.629,-6.18,112.636,-20.834,9.004,18.126,-7.277,12.027,0.334,-36.769
16.10367,26.353,-200.171,32.251,50.282,110.337,-36.477,-12.445,43.187,2.515,-2.922,-20.541,-25.947
16.23587,24.803,-193.665,35.35,20.215,111.468,-40.114,3.658,29.603,-3.015,2.183,-3.962,-35.094
16.34023,25.029,-202.942,33.191,12.185,114.371,-37.106,2.653,26.522,-8.127,2.281,-16.402,-29.285
16.47415,23.894,-195.537,17.689,15.893,112.386,-40.812,1.388,36.055,-8.379,0.221,-14.942,-32.876
16.59642,22.452,-190.156,2.368,-13.707,110.948,-38.127,13.865,25.753,-13.229,6.411,-11.994,-32.542
16.71279,21.542,-184.963,-11.788,-0.825,112.769,-52.633,11.243,30.459,-10.837,-1.018,-7.779,-32.93
17.06132,18.78,-161.231,-45.204,-20.241,104.944,-67.998,9.738,27.294,-11.77,-8.371,-3.11,-22.143
17.279,18.092,-156.697,-51.38,-33.256,109.202,-59.528,12.7,21.698,-11.511,-2.385,-2.552,-17.241
17.52118,16.696,-141.556,-65.676,-48.577,106.705,-55.869,7.331,19.193,-10.782,0.634,-5.603,-8.526
17.63388,16.414,-134.07,-63.001,-35.359,107.141,-59.88,3.642,23.611,-7.711,-0.732,-3.751,-10.387
18.10444,13.976,-104.45,-93.113,-63.246,91.953,-55.314,-6.609,11.805,-8.676,4.335,-6.077,7.828
18.33678,13.759,-101.61,-91.289,-76.573,89.573,-50.84,-5.608,0.024,-15.043,5.284,-0.663,5.546
18.46005,17.357,-91.209,-48.884,20.583,46.443,-37.226,-12.082,38.314,-25.158,-6.108,-9.142,4.834
19.74921,12.552,-66.522,-75.769,-40.433,72.43,-56.464,5.728,21.874,-30.317,-5.715,-5.475,18.138
20.021,11.97,-65.126,-87.081,-49.623,79.346,-63.675,5.838,18.603,-11.462,-4.089,-2.318,16.902
20.2712,11.723,-63.572,-89.793,-71.252,78.115,-54.881,7.138,5.777,-9.675,3.241,-8.28,11.549
20.62921,12.268,-59.243,-79.388,-32.354,64.529,-66.79,15.25,26.907,-23.663,-13.107,-3.508,18.133
