start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.282,164.49,4.643,-36.458,55.231,-50.468,14.298,-3.157,-28.522,1.14,-10.012,-5.001
0.95528,3.643,93.864,-48.123,-57.366,46.739,-50.442,8.391,-0.12,-20.754,4.688,-7.739,-7.186
1.24807,6.416,54.179,-32.62,-69.124,50.32,-52.163,21.514,-12.454,-28.947,3.946,-1.0,-4.806
1.90317,10.043,8.279,-34.913,-49.063,40.698,-57.879,17.885,8.915,-23.164,-7.593,-1.991,-0.264
2.31079,12.513,6.77,-8.9,-63.909,23.346,-40.871,21.044,-9.164,-12.923,5.196,3.14,-3.434
4.42789,15.169,-5.804,-16.146,-31.978,29.996,-44.429,5.127,-3.173,2.837,2.342,-0.031,0.252
4.82385,15.701,9.658,-16.333,-27.983,21.657,-43.203,4.128,-18.98,3.529,11.147,-6.265,9.454
6.44912,16.268,-23.507,6.21,-41.305,24.811,-39.646,17.383,2.34,-11.09,7.563,-2.582,7.598
9.69098,17.683,-66.621,-40.381,-46.837,20.841,-45.013,6.101,13.22,-6.547,5.154,-4.765,11.36
10.01288,26.799,-64.513,113.745,-174.905,67.214,32.951,53.747,-29.662,-1.888,20.716,-37.273,4.188
10.22776,33.532,-95.04,106.701,51.63,65.235,-49.05,17.228,19.387,-1.574,-14.861,1.645,6.555
10.58735,29.492,-77.36,87.581,54.162,40.491,-24.53,55.888,24.074,-7.196,-2.067,-20.291,20.425
10.79152,25.292,-57.312,69.614,37.901,10.727,-40.966,40.726,18.732,-7.644,-17.633,-4.841,8.014
10.92408,25.815,-49.476,82.011,44.428,27.733,6.49,71.374,16.631,-9.78,1.077,-32.859,15.149
11.2668,23.073,-59.774,80.734,27.519,19.478,-27.662,62.547,25.894,-18.285,4.263,-10.176,11.294
11.41864,29.91,65.472,15.796,109.064,61.123,-18.871,68.567,-47.303,-21.088,5.439,2.942,26.923
11.65098,22.786,-25.358,52.327,36.043,16.476,-46.592,44.251,21.002,-14.624,-17.999,-7.615,8.785
11.78984,22.252,-51.131,82.977,-6.162,28.67,-43.944,60.613,28.221,-19.102,-8.277,-2.36,28.478
11.93601,22.417,-53.742,64.934,40.401,10.854,-31.155,55.343,25.817,-18.967,-4.244,-14.157,17.592
12.09166,19.699,-42.319,48.43,-6.039,10.403,-24.9,37.228,21.075,-24.735,-3.7,-12.804,-4.481
12.27723,21.751,-29.59,60.339,47.471,27.154,-10.832,62.794,26.093,-11.05,-2.978,-4.171,22.907
12.60884,19.079,-33.347,45.805,6.287,14.317,-38.661,43.266,17.314,-27.407,0.845,-9.779,12.825
12.74834,20.097,-22.469,50.692,19.602,17.897,-13.137,53.77,13.574,-14.98,9.682,-26.315,21.715
12.94544,18.258,-29.309,29.001,-3.832,11.467,-42.596,39.684,26.846,-18.07,-0.117,-6.329,13.493
13.10213,18.568,-32.872,47.06,-13.454,14.453,-43.973,51.074,14.439,-27.776,1.274,4.412,11.601
13.26971,19.785,-27.286,16.984,28.595,5.375,-44.559,34.082,19.695,-21.389,-5.435,-4.625,5.922
13.46277,18.821,-2.821,27.823,-37.266,21.813,-36.169,32.18,27.56,-11.947,-3.207,-5.667,8.39
13.63633,19.332,-20.677,25.846,13.661,16.023,-49.772,44.998,11.656,-8.102,2.746,-0.659,23.239
13.92644,17.683,-31.652,12.392,-25.431,19.017,-30.237,26.671,1.726,-19.761,8.636,-12.843,-12.36
14.07778,24.798,76.977,-59.913,99.242,42.797,15.8,23.033,-53.029,-2.251,-21.142,35.77,-1.995
14.61061,18.004,-27.246,9.802,-13.043,13.196,-39.036,17.07,1.506,-24.119,7.138,-10.905,-1.327
14.9649,17.668,-32.3,7.837,-0.584,20.551,-47.701,17.855,12.196,-12.289,5.715,-2.827,6.795
15.27946,16.827,-35.545,-0.943,-33.953,17.925,-40.914,14.695,6.48,-12.96,6.932,-11.44,-9.725
15.4019,33.757,-121.856,72.974,40.884,86.641,-14.147,-17.0,33.184,16.755,21.289,11.161,-14.253
15.7781,26.476,-84.157,69.615,57.734,54.351,-31.108,22.521,17.363,17.709,-12.588,-19.398,-9.989
16.19129,21.719,-90.676,22.135,-33.193,27.49,-36.701,26.547,14.974,-1.607,1.884,-6.368,-9.348
16.72535,26.093,44.962,1.528,44.348,39.59,37.46,43.322,-11.781,14.924,-65.243,-17.272,0.236
17.03197,21.246,-32.155,25.271,-0.536,14.933,-52.15,41.544,-2.665,-7.18,5.502,-4.298,-3.502
17.18794,21.457,-33.089,36.857,21.873,-1.018,-44.754,35.621,10.985,-10.623,3.109,-14.214,14.839
18.03565,18.768,-22.947,28.162,-9.099,10.311,-23.71,27.951,7.221,-13.114,4.763,-7.295,9.442
18.69696,18.074,-27.292,25.391,3.354,16.585,-39.778,25.603,13.855,-8.547,-1.012,-8.189,15.32
18.84698,17.426,-43.812,17.498,-19.661,18.695,-34.695,26.452,14.767,-27.88,2.285,-5.255,-2.449
18.96435,18.34,-45.33,23.469,-22.383,16.002,-32.731,37.186,12.651,-25.629,-5.209,-14.488,19.464
19.16934,17.945,-50.945,-11.203,-39.423,13.776,-37.845,18.477,1.569,-15.3,0.299,-1.612,16.634
19.41202,24.832,64.669,-58.32,114.189,35.944,-8.235,19.43,-63.083,-11.142,-18.697,29.662,9.226
20.71288,31.736,-81.195,109.919,-10.14,73.959,134.283,72.544,12.78,-14.17,35.01,-26.074,2.351
21.08299,30.618,-112.944,92.005,24.721,23.973,-23.373,60.574,26.081,-13.951,-8.581,8.084,17.676
21.28141,27.933,-81.619,56.994,56.121,39.243,-43.278,38.01,6.46,4.334,-1.518,-3.337,13.726
21.4493,24.32,-68.846,67.684,39.621,18.679,-22.039,45.551,28.265,-5.244,-17.128,-12.436,-7.336
21.58277,26.271,-60.02,118.425,-11.478,33.868,21.793,77.585,36.8,-16.142,-4.291,-40.367,20.777
21.75714,23.836,-77.522,76.648,25.077,29.378,-36.274,59.81,29.171,-17.066,2.699,-16.041,21.853
