start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,50.329,203.551,77.086,49.42,112.108,-53.557,-39.689,31.698,-5.644,-22.998,14.509,-10.674
0.34245,49.182,226.786,113.552,104.254,120.051,-74.556,-31.428,28.393,11.928,-15.168,0.7,3.227
0.64426,43.707,258.354,132.089,19.774,118.792,-27.462,-7.414,16.084,-10.257,2.376,-7.679,0.891
0.85914,45.951,206.479,107.379,50.046,104.366,-63.679,-30.656,16.36,-6.667,-8.85,-0.956,-0.138
0.99247,46.03,228.76,142.857,46.162,133.64,18.057,5.088,21.546,-10.26,12.154,-20.133,20.062
1.35274,45.441,219.695,124.212,54.393,123.539,-5.724,2.608,27.925,-17.834,6.328,8.95,7.948
1.71252,48.375,229.378,122.343,119.702,140.389,-28.585,-15.851,44.489,3.074,-4.124,23.469,5.819
1.95619,41.632,260.624,152.55,29.203,133.944,-30.398,9.754,13.635,-23.513,-27.805,8.798,24.023
2.07215,45.395,225.576,132.645,16.147,128.443,-44.433,20.187,4.514,-20.564,20.24,-10.308,2.549
2.23474,45.97,199.955,124.729,45.167,104.838,-75.871,-15.867,25.634,-23.86,-0.287,18.253,11.145
2.41492,49.352,216.441,137.582,103.523,114.273,-69.371,-16.154,24.303,7.796,-21.901,6.991,15.272
2.7458,47.274,176.053,114.608,39.446,88.06,-17.237,-24.616,16.156,-27.036,52.824,22.048,4.149
3.07673,48.637,196.211,126.64,71.413,125.696,27.259,-11.325,46.794,13.461,-18.253,-3.605,7.557
3.24494,44.493,213.173,126.095,20.006,91.926,-11.13,-13.766,-4.926,-12.131,12.795,-15.109,19.446
3.62222,47.021,156.953,104.035,31.846,89.408,-66.407,-32.594,0.236,-8.909,-4.054,2.014,2.221
3.74431,47.28,198.717,145.032,54.133,109.191,6.741,-10.06,46.594,-4.249,-5.905,-44.648,29.193
3.96481,43.361,227.993,142.278,64.024,76.006,-39.142,28.968,-8.386,-34.274,5.464,-12.231,32.946
4.12739,47.119,153.196,125.257,53.329,95.967,-16.252,4.004,14.934,-19.917,18.402,20.894,5.743
4.48122,48.95,205.741,140.864,120.911,118.219,-68.412,-17.435,2.438,0.744,-26.619,2.968,8.764
4.8298,43.941,198.609,169.441,64.614,119.114,-56.306,-1.346,-5.936,-41.449,2.558,0.547,15.917
4.9342,44.218,171.176,181.288,29.473,115.115,-20.6,5.504,4.933,-41.311,0.021,-17.108,28.082
5.16621,48.254,203.452,126.387,131.405,120.868,-48.836,-9.401,26.773,4.312,-21.782,18.095,14.723
5.51465,48.751,126.362,87.324,68.586,89.18,-61.531,-29.705,11.027,-24.638,-0.671,-1.207,-1.619
5.6424,45.037,155.781,125.599,19.664,104.497,-20.164,-1.73,15.295,-16.474,-16.438,-7.76,4.081
5.85705,48.585,201.809,118.23,125.375,117.23,-58.792,-18.922,3.757,7.311,-18.213,0.692,2.542
6.20544,43.306,221.139,158.929,47.809,91.279,-43.65,-3.876,-18.651,-23.702,5.615,-8.935,2.271
6.37964,44.259,177.95,120.844,53.048,107.215,-77.735,-31.731,11.825,-21.607,-13.154,-2.678,-1.71
6.53655,47.673,207.022,118.404,116.564,129.555,8.746,-10.484,41.917,4.279,-1.711,31.975,0.924
6.77433,42.915,187.669,190.83,49.541,107.641,-21.129,21.999,3.661,-34.284,8.522,-16.494,20.364
6.88494,44.759,175.544,109.244,61.322,101.322,-35.185,-7.611,16.261,-16.307,5.553,17.201,3.874
7.01224,42.424,192.332,158.399,34.505,117.954,-23.057,8.345,3.838,-25.166,-7.858,-6.413,21.424
7.23288,47.658,207.401,135.083,137.065,131.308,-42.037,-7.774,17.909,-0.365,-18.345,20.009,14.235
7.57533,43.844,179.912,145.074,52.541,123.376,-17.589,40.829,-24.229,-33.694,20.541,7.283,10.732
7.74399,44.934,170.159,132.762,61.58,107.201,-39.61,6.949,6.412,-29.353,-14.657,25.572,-2.23
7.92975,48.833,200.265,135.783,126.024,118.982,-60.316,-6.183,17.091,0.635,-26.979,0.629,16.573
8.27791,47.399,147.799,107.634,55.228,88.832,-63.615,-28.448,7.462,-18.018,3.575,-5.769,0.601
8.60259,48.278,199.116,111.157,108.087,132.917,13.891,-12.245,30.427,11.658,-11.78,12.431,3.618
8.79451,44.737,180.473,110.577,42.142,93.184,-41.81,-12.226,5.807,-29.957,19.457,-4.365,15.496
9.13719,46.287,142.431,102.489,53.057,105.877,-66.476,-11.727,-0.888,-32.262,-5.05,-6.828,8.404
9.31129,48.645,204.222,121.102,120.743,111.261,-68.478,-8.666,19.05,-0.374,-26.379,-6.056,16.252
9.6132,45.212,164.519,150.505,10.981,97.246,12.607,27.673,17.915,-34.676,9.679,-18.374,20.329
9.99016,48.607,198.662,132.38,121.006,119.544,-37.306,-5.071,12.586,-0.951,-15.259,24.028,8.325
10.33288,43.98,196.59,158.67,66.326,116.478,-30.401,3.373,-10.113,-35.468,-12.662,14.05,5.71
10.46018,44.032,164.4,178.877,38.57,122.58,-11.895,9.169,25.563,-44.035,-8.496,-14.979,22.231
10.68671,49.17,192.815,120.881,124.043,122.077,-59.088,-2.18,16.111,0.816,-29.474,1.675,19.952
10.86122,42.303,236.844,165.832,69.464,94.051,-47.098,7.764,-17.69,-39.485,-3.892,-10.904,21.482
11.02948,48.459,115.629,97.921,64.796,85.983,-57.025,-26.1,30.529,-28.545,10.539,8.221,3.729
11.15156,44.836,146.193,125.792,25.157,101.379,-26.102,-9.145,8.012,-25.724,-9.175,-15.447,3.147
11.37764,49.063,204.561,115.325,116.438,123.116,-63.091,-26.048,10.32,6.519,-21.648,-12.329,5.761
11.54608,42.96,210.154,128.181,48.567,93.102,-43.744,-6.25,-19.941,-20.891,8.14,-2.784,-5.327
11.72603,42.376,207.385,140.063,67.078,110.029,-53.539,3.018,-10.129,-33.297,10.815,-16.467,5.375
11.89424,45.252,181.812,131.045,52.876,94.83,-66.06,-14.68,-3.124,-28.467,-9.249,9.228,-8.736
12.06853,48.597,213.74,125.325,121.706,117.544,-65.877,-21.766,22.041,11.339,-33.236,-3.114,2.814
12.22531,43.228,212.639,159.584,71.353,117.526,-26.259,26.874,-9.172,-26.214,-10.599,3.399,11.448
12.41678,45.71,174.413,127.948,52.6,92.67,-60.711,-20.665,11.787,-12.877,-6.402,-12.767,12.216
12.5678,42.807,204.908,144.778,60.218,121.576,-35.11,22.114,-7.343,-23.183,-10.923,2.894,20.993
12.7595,48.089,212.687,131.048,133.159,119.323,-82.934,-12.526,8.68,4.797,-31.951,1.29,9.768
13.09025,43.929,181.566,146.701,48.15,121.423,-29.44,41.788,-24.492,-28.747,7.854,10.889,10.166
13.27605,45.009,163.164,131.919,70.655,116.126,-65.486,6.389,19.334,-43.369,-12.661,-16.465,20.493
13.45057,48.579,205.229,131.878,125.917,115.885,-65.87,-13.716,13.358,-0.733,-26.687,-7.255,13.634
13.79224,47.363,138.889,110.025,51.28,87.833,-63.411,-23.774,15.83,-25.697,4.434,0.305,1.662
14.12367,48.406,198.965,113.191,110.931,128.546,-1.759,-15.858,26.123,9.938,-13.928,19.739,-0.404
14.30939,44.68,155.803,102.402,41.934,110.95,-41.981,-5.446,-18.34,-37.254,22.798,-6.643,13.168
14.48354,43.151,202.652,122.116,55.832,83.743,-54.235,-0.84,-7.868,-34.682,4.805,-0.231,22.008
14.64562,45.854,146.915,97.314,45.404,104.03,-47.657,-14.241,-0.501,-27.108,8.825,22.552,-5.451
14.82014,48.056,202.34,105.622,129.207,123.014,-32.168,-13.029,31.814,8.208,-24.186,-0.97,15.51
14.99438,42.654,224.598,133.676,37.965,88.719,-39.296,35.423,-16.937,-36.732,6.812,1.391,27.048
15.13388,45.276,159.181,148.837,16.957,98.046,1.987,24.212,16.404,-30.526,1.376,-13.499,16.141
15.51669,48.819,201.707,138.665,119.948,121.312,-69.107,-17.86,-0.659,-0.87,-24.736,0.785,11.423
15.85955,44.02,195.344,170.333,73.447,121.188,-53.962,9.22,-13.248,-43.777,-6.348,4.345,19.999
15.98658,44.341,164.831,169.325,37.081,125.333,-8.722,8.508,17.792,-36.667,-15.785,-14.276,17.766
16.20168,48.377,200.93,132.627,134.775,123.557,-52.059,-5.394,22.789,-0.871,-23.354,14.592,17.758
16.53859,47.226,153.82,123.482,77.771,112.025,3.775,1.762,21.604,-23.846,29.903,40.783,13.342
16.88086,48.271,203.002,126.347,109.843,132.416,-0.943,-4.097,20.701,12.909,-10.945,24.684,0.841
17.07247,42.916,212.739,152.552,48.191,89.188,-64.83,11.179,-24.458,-28.297,11.539,-8.666,16.965
17.24091,42.974,215.605,148.866,51.372,97.195,-60.584,6.486,-7.645,-26.296,1.971,2.557,13.223
17.41501,45.075,167.52,120.854,69.23,97.644,-77.341,-14.876,11.001,-32.39,-15.583,-0.578,3.139
17.58327,48.981,197.787,130.131,118.111,110.612,-60.412,-2.118,11.096,1.373,-27.27,5.472,6.289
17.93175,47.675,146.668,157.042,47.757,113.618,-57.831,10.209,-23.11,-27.883,-1.945,-6.989,6.811
18.10567,47.581,179.199,187.679,79.991,86.468,-34.407,-9.742,-3.876,-53.897,-2.739,-3.068,-8.839
18.23365,47.823,189.701,181.327,50.598,129.425,18.025,-6.89,41.731,-10.759,-23.923,-25.765,10.255
18.43646,44.073,193.318,164.016,86.534,117.98,-33.95,22.305,-1.977,-41.051,-8.184,-1.725,17.871
18.6224,43.695,197.007,175.265,52.74,109.463,-57.225,31.967,-25.277,-46.757,3.168,1.271,22.241
18.79066,45.494,170.169,142.262,59.092,114.1,-64.606,-0.341,4.825,-41.112,-7.998,3.272,13.519
18.95905,49.06,193.369,128.92,124.262,124.019,-44.033,4.428,20.133,-0.409,-28.762,13.443,22.332
19.13891,43.372,214.356,154.933,53.708,101.288,-49.152,1.404,-33.26,-34.426,7.476,-15.823,23.726
19.31333,47.962,142.231,163.562,40.53,118.534,-69.117,10.354,5.578,-21.738,-0.909,4.471,-0.576
19.65569,48.882,196.069,131.941,119.751,124.204,-75.229,-6.582,-3.727,9.946,-22.819,-5.824,3.843
19.99791,42.675,208.082,183.241,69.535,131.491,-59.827,34.239,-18.72,-32.013,2.372,-8.434,13.874
20.17261,46.107,156.824,166.771,63.153,126.95,-65.625,10.775,6.213,-27.293,-6.547,-11.344,1.892
20.34644,48.38,210.94,136.472,123.462,124.842,-72.683,-12.227,9.813,8.057,-34.756,1.725,5.809
20.52082,41.931,221.678,174.724,76.249,136.542,-58.256,1.231,-13.277,-30.43,8.515,-23.099,20.401
20.68299,48.511,206.718,163.515,64.873,44.873,-9.86,-37.927,0.475,-7.369,8.289,13.342,-13.542
20.86331,46.646,206.441,217.432,117.876,64.636,-24.119,25.046,17.145,-95.821,-4.108,1.39,18.384
21.03184,48.548,215.767,163.99,137.243,122.446,-64.34,-0.319,16.255,-22.263,-35.579,7.714,16.326
21.33937,42.258,215.831,206.219,69.211,109.908,-10.675,43.959,22.97,-61.153,-34.574,-6.64,24.321
21.53628,44.997,169.279,143.013,87.611,118.268,-19.288,19.723,23.672,-55.088,4.433,24.525,12.239
21.7224,48.181,212.453,144.228,132.28,125.375,-67.845,-9.433,24.187,-0.734,-30.302,11.762,16.448
22.07048,48.737,136.947,107.467,58.477,89.765,-77.225,-27.682,30.496,-14.555,-5.193,3.2,6.899
22.40712,48.824,211.805,110.546,112.25,124.474,-53.145,-22.741,23.548,5.668,-11.01,8.835,0.231
22.71506,42.882,235.589,125.794,18.523,121.203,-29.356,-2.687,10.305,-17.811,-2.663,-6.317,-7.308
22.92966,44.835,196.01,106.596,50.678,106.517,-74.199,-33.331,24.159,-15.756,-10.646,-2.76,-1.075
23.08644,48.043,213.415,133.589,107.507,130.526,-2.226,-0.36,30.857,4.46,4.539,35.562,8.679
23.42902,46.221,207.562,118.181,63.671,120.015,-17.992,-2.183,29.245,-24.029,10.295,22.057,10.394
23.77723,47.526,230.451,127.746,119.272,150.237,-4.497,-13.035,42.478,-1.221,-0.116,27.879,8.022
24.05011,42.016,258.208,155.96,40.98,139.118,-35.833,16.261,-5.0,-34.55,1.268,1.943,23.768
24.14286,45.303,221.099,131.201,15.981,130.543,-46.892,21.807,-3.02,-23.522,25.054,-6.136,3.975
24.3054,45.552,190.328,122.036,48.288,107.067,-73.868,-17.6,12.822,-23.328,0.109,9.752,12.83
24.43315,46.324,238.392,164.353,45.487,114.175,2.647,2.769,15.72,-12.822,8.217,-29.802,35.597
24.8102,47.466,178.898,114.335,43.453,92.178,-10.837,-16.279,-0.984,-27.513,48.832,16.75,1.993
24.99628,46.493,198.965,109.811,36.734,90.327,-40.547,-22.659,-20.874,2.2,-4.267,-1.559,18.575
25.15864,49.241,204.019,115.003,103.47,123.304,-9.896,-20.64,31.794,16.655,-12.812,14.967,5.669
25.32712,44.99,210.387,117.251,32.321,86.427,-19.742,-17.401,-9.177,-11.548,17.791,0.309,17.639
