start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
0.63302,1.019,153.54,26.588,-38.589,74.83,-48.411,25.196,-9.269,-22.63,8.592,-9.372,-11.732
1.01002,2.626,153.791,56.946,-14.835,53.801,-40.858,38.912,7.25,-38.88,1.237,-8.64,-19.781
1.18431,6.24,139.289,124.301,-7.846,44.707,-30.364,71.113,5.648,-47.954,6.454,-4.442,-11.334
1.37007,8.603,130.028,137.922,34.79,40.086,-31.396,48.209,14.33,-40.554,-7.28,-8.12,-13.228
1.50966,10.103,127.726,154.072,13.945,44.183,-37.16,33.52,-10.239,-20.74,6.76,3.487,-23.581
1.75878,14.673,130.051,185.663,37.691,42.215,-19.296,11.611,-4.955,-22.727,-4.849,-7.433,-12.519
1.98499,14.76,128.109,193.093,78.433,34.247,-11.168,49.559,1.154,-49.79,-16.85,-15.885,9.438
2.101,14.354,111.586,203.357,45.304,44.911,-6.496,55.394,10.335,-40.44,-13.081,-13.391,1.727
2.22322,17.507,172.858,200.071,46.03,30.795,-16.506,21.681,-18.286,-23.07,-2.983,7.591,0.253
2.36848,18.485,145.617,188.357,76.669,27.155,-29.506,-3.119,-36.897,-67.154,1.035,-13.616,16.749
2.57197,18.418,143.426,207.123,62.124,28.201,-8.394,12.714,7.822,-46.693,-32.007,-15.764,14.635
2.78626,20.463,188.872,218.139,53.561,39.741,4.999,16.287,6.32,-23.038,-3.939,-9.781,-2.252
2.92553,20.478,153.802,227.144,50.057,51.834,-24.209,26.768,-6.657,-23.086,12.086,-4.084,3.422
3.11147,22.56,193.575,215.027,52.363,28.598,-0.777,-7.423,16.877,-43.672,-27.102,-4.052,17.488
3.2741,22.356,181.547,210.684,65.95,33.964,7.199,0.013,-15.549,-52.548,-8.587,-6.35,20.369
3.40145,23.062,184.364,211.067,53.904,32.889,-22.488,-18.443,-4.433,-49.672,-8.179,-1.982,18.868
3.55859,23.865,176.649,191.965,30.27,33.35,-10.747,-45.904,-20.556,-54.862,13.305,-11.255,16.167
3.75016,23.211,159.796,182.175,49.856,26.043,-6.121,-36.755,-15.061,-60.233,-11.93,-16.266,28.481
3.97052,24.614,115.969,197.67,6.785,56.539,4.392,-21.827,4.912,-33.125,1.358,10.144,26.15
4.10989,27.318,144.277,181.603,21.477,49.164,3.022,-44.776,-11.32,-29.942,2.637,-8.41,22.669
