start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,54.685,114.125,28.208,-11.794,7.343,-21.2,26.127,3.063,2.654,18.718,6.56,-22.265
0.15678,56.404,83.532,39.598,21.889,31.214,-43.319,24.94,10.386,11.149,-4.478,-31.276,-4.124
0.46417,54.402,60.04,68.711,8.608,17.525,-9.15,23.793,24.141,3.44,11.851,-20.221,-17.715
0.66748,54.079,56.254,44.728,-6.904,14.428,-41.966,34.083,18.606,-4.555,15.232,-1.347,-17.835
0.83619,54.957,57.305,71.035,24.111,31.619,-24.73,16.871,25.723,5.269,13.476,-3.415,-14.61
1.01587,53.988,57.013,35.15,-11.014,8.305,-38.42,24.331,-4.148,-0.455,17.233,-6.983,-13.454
1.19007,55.241,54.241,78.405,36.213,27.114,-38.551,24.324,21.94,20.267,13.377,-11.653,-24.185
1.36408,53.612,72.703,45.216,-14.728,17.161,-44.792,31.836,12.16,5.735,18.313,-1.284,-19.346
1.55016,55.43,59.133,74.224,40.979,35.291,-45.915,17.73,16.612,9.622,-0.945,-15.716,-27.194
1.72417,53.508,63.647,27.751,-12.339,-0.982,-49.631,19.773,4.721,1.799,20.071,5.88,-12.364
1.8927,55.188,66.839,66.677,40.119,26.135,-18.727,12.995,18.954,6.236,11.084,-0.846,-19.191
2.0663,53.843,71.56,43.896,-20.906,16.78,-29.105,33.026,2.527,12.201,25.287,-7.496,-12.332
2.22363,54.621,62.272,44.529,24.742,25.312,-21.166,15.383,7.119,12.28,13.977,-29.36,-9.255
2.58853,54.007,44.663,64.616,14.284,9.609,-0.408,24.341,19.947,9.401,13.236,-19.529,-21.848
2.79751,52.774,58.383,34.265,-27.388,-0.116,-51.535,30.246,16.942,1.603,6.911,-13.23,-8.075
2.91959,54.769,62.682,87.019,-7.963,49.872,-22.843,17.46,13.484,1.027,6.576,-18.821,-21.683
3.12286,54.082,71.913,19.735,-6.595,9.287,-46.516,22.522,10.534,-6.714,13.668,0.981,-0.668
3.2507,54.711,72.597,52.55,-10.067,27.632,-31.604,28.467,5.812,-4.598,8.328,-19.501,-1.297
3.60971,54.021,70.182,65.152,4.088,40.188,-31.746,20.018,-2.37,-0.797,4.586,-29.463,-14.323
3.97043,53.53,42.453,78.666,-2.746,30.868,3.601,30.53,22.681,13.236,4.204,-21.605,-11.514
4.1854,54.3,51.54,38.103,-1.207,12.58,-45.358,27.522,-5.776,5.811,-2.614,-5.515,-14.819
4.34744,55.017,51.021,98.225,39.126,42.815,-26.611,8.078,12.289,5.179,7.065,-2.601,-21.177
4.51578,53.978,49.011,52.661,-3.298,10.053,-27.684,19.392,2.932,7.053,3.272,3.498,-17.61
4.7078,55.487,48.275,92.38,36.349,40.372,-42.548,6.248,15.613,7.135,3.502,-12.961,-11.525
4.8761,53.861,56.915,47.963,-12.469,27.17,-42.772,25.349,10.245,11.703,12.317,5.657,-21.018
5.03814,54.815,48.884,90.524,32.435,47.111,-28.699,10.724,5.5,2.882,5.904,-10.135,-18.043
5.2298,53.487,60.369,50.869,-8.077,-9.342,-37.858,30.983,-0.572,-4.697,14.955,2.05,-13.655
5.40449,54.897,38.822,85.381,28.71,38.826,-38.604,10.082,16.816,2.646,-1.471,-16.23,-9.738
5.60082,54.615,88.623,27.415,-24.282,-3.297,-34.205,21.178,21.227,10.187,-11.962,-6.521,-25.956
5.77039,56.228,85.586,51.422,22.9,52.775,-37.141,7.948,21.106,2.519,5.155,-12.447,-10.67
6.10617,54.986,54.711,70.792,14.637,19.584,-20.666,9.915,13.365,6.718,16.161,-5.488,-22.74
6.47265,55.213,64.694,64.468,30.732,23.779,-34.0,15.333,19.919,0.292,10.374,0.142,-20.249
6.82658,55.028,58.678,92.245,38.789,32.557,-29.336,10.662,18.833,13.064,6.897,1.817,-16.634
7.00662,54.37,71.178,32.105,-21.297,8.087,-52.257,26.653,16.294,-1.409,16.561,-3.418,-21.065
7.18036,55.224,62.593,50.47,24.151,29.137,-37.942,16.095,12.961,6.805,17.9,-18.841,-18.674
7.49401,53.617,74.187,53.607,-15.174,22.744,-10.104,12.85,-3.982,-7.912,20.316,-33.197,-16.706
7.87161,54.644,63.821,56.806,13.782,21.377,-10.999,19.59,21.73,7.159,18.912,-10.517,-11.291
8.19669,54.0,55.647,56.897,-19.267,24.501,-17.829,38.806,1.884,12.982,22.688,-21.029,-6.282
8.60336,54.772,48.769,100.114,32.341,50.97,-66.075,18.813,8.004,18.677,2.753,-5.243,-10.194
8.76594,53.791,37.724,48.803,-2.302,-5.377,-51.264,36.6,6.457,0.299,6.219,-1.087,-4.536
8.94558,55.448,56.314,63.291,26.319,28.209,-55.579,8.881,19.711,6.391,4.879,-3.521,3.229
9.29365,54.31,44.781,93.595,40.347,53.0,-44.041,4.716,2.012,12.523,-6.283,-15.56,-14.351
