start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.075,169.709,6.551,-30.435,54.912,-50.447,17.328,4.271,-26.7,2.02,-11.712,-7.658
0.16399,28.343,53.851,-15.407,-42.341,78.831,206.576,18.375,-16.248,-5.225,46.77,13.876,-16.937
0.95265,32.893,8.883,-28.511,21.189,45.994,32.784,-41.694,-25.315,-6.426,16.528,-48.665,-0.232
1.68971,36.452,-6.613,-3.134,-28.078,35.59,43.261,2.464,-31.518,-0.747,30.711,-2.539,5.759
1.95007,34.226,14.175,-0.223,43.403,35.843,-17.804,-36.245,-24.03,8.513,-5.657,-20.206,0.217
2.1717,32.526,15.775,-29.219,19.593,33.662,-5.327,-25.747,-32.125,-8.679,4.071,-26.3,0.11
2.38644,29.26,-18.45,-30.475,24.722,26.232,39.154,-27.965,-8.681,5.707,-35.868,-48.326,5.836
3.11102,33.643,-6.456,26.522,-47.158,76.938,124.739,5.027,-38.224,0.317,28.86,-0.729,7.036
3.36073,34.554,-41.84,3.148,13.606,55.998,14.702,-50.053,0.161,11.351,-9.332,-14.912,-15.369
3.5942,34.961,-42.759,-10.725,21.517,27.826,4.456,-3.066,-22.369,1.605,15.86,-10.313,-3.873
3.85519,34.6,-32.792,-43.674,28.82,35.983,20.215,-12.694,-17.175,13.762,22.472,-37.093,8.462
4.34268,30.286,-32.916,28.055,-2.925,-0.166,-12.944,-32.64,-11.21,-5.95,-12.152,-13.406,-27.259
4.56825,27.601,-110.478,60.401,16.645,82.253,-29.716,-55.744,-2.669,6.069,11.345,1.875,-24.375
4.66798,30.423,-1.844,34.162,12.181,41.971,-16.894,-34.354,-18.382,-8.468,0.887,16.126,-5.838
4.77787,30.432,40.231,36.184,27.235,28.821,-40.147,-43.888,-13.91,-16.638,8.821,7.897,0.059
4.98689,28.477,-1.693,24.313,17.672,29.949,-21.584,-21.54,-33.329,-26.44,-2.773,-0.782,23.231
5.08522,28.399,35.048,62.294,42.409,8.079,-20.828,-41.541,-23.426,-12.196,-3.168,-3.831,-16.796
5.19546,30.066,20.386,39.734,29.946,51.843,-26.336,-30.047,-24.767,-28.365,15.943,1.3,10.403
5.29478,31.702,81.503,57.34,9.698,30.285,-5.977,-34.435,0.674,-34.246,2.123,-2.656,7.167
5.40435,32.601,82.964,66.074,4.831,56.154,-4.834,-77.549,-27.077,-9.173,18.342,-1.591,-2.408
5.51383,35.999,54.979,75.339,53.288,84.073,-18.851,-99.311,13.994,2.407,7.701,14.954,-18.629
5.72358,34.288,57.056,94.412,76.028,75.785,-17.492,-81.698,20.279,-1.74,-1.69,6.551,-25.214
5.93265,33.14,152.425,80.865,38.148,93.63,23.316,-54.395,-55.679,18.466,3.042,7.656,-36.42
6.15905,33.163,109.247,119.531,43.608,84.768,-7.964,-62.447,-4.339,5.242,-5.679,8.802,-30.051
6.37383,32.128,182.998,123.13,64.939,81.501,1.543,-34.383,-17.274,20.863,-12.529,-21.853,-22.105
6.48422,33.628,122.987,99.337,26.854,104.618,10.155,-67.784,-23.274,4.673,30.809,-9.071,-27.339
6.60018,35.055,154.131,143.799,46.04,66.746,-20.513,-59.628,-9.66,-17.897,14.621,-1.602,-32.722
6.69896,35.982,151.417,177.353,96.689,83.748,-20.63,-1.845,-4.852,20.115,6.196,-18.534,-14.464
6.8093,36.648,238.069,163.049,75.466,57.215,-3.467,8.926,1.875,3.125,8.393,-21.462,-40.654
6.91379,36.713,193.777,199.489,107.02,75.942,-20.612,46.349,4.301,34.32,23.637,-24.628,-29.27
7.02989,36.029,234.52,170.903,109.651,51.589,-19.712,29.104,-1.613,6.917,1.81,-23.919,-36.686
7.13438,36.741,232.552,176.926,107.335,63.641,2.231,27.593,-12.38,32.622,19.788,-24.849,-53.286
7.25052,38.668,113.553,62.352,133.361,62.929,43.396,-26.378,-16.382,-13.505,5.042,-28.633,11.012
7.94685,30.651,64.487,91.479,-108.016,65.704,47.05,-11.271,1.633,15.693,-2.899,-44.525,2.15
8.45184,27.316,3.696,33.825,22.241,48.843,-39.868,-4.662,-2.992,23.47,10.349,-14.243,13.71
8.69075,33.735,76.158,60.353,-73.169,62.648,80.984,-15.964,0.119,2.517,-4.438,-20.801,-0.267
8.97433,36.604,15.113,-5.599,24.415,25.981,5.373,-36.541,-19.998,-7.167,16.737,-21.312,-3.692
9.19991,36.398,42.411,13.459,51.335,44.292,14.701,-49.963,-17.252,2.223,-12.711,-13.957,-13.287
9.42712,32.199,30.926,11.214,32.129,53.639,52.558,-38.188,-6.942,16.085,-22.121,-61.988,-8.795
10.13673,30.744,-0.275,31.694,-91.796,26.932,82.054,4.182,-13.938,-6.406,6.777,-53.586,-1.237
10.41991,35.248,-3.059,-16.622,16.569,22.04,7.674,-29.954,-9.453,13.83,-2.516,-22.696,-1.636
10.64172,34.559,-24.951,-26.302,15.425,44.382,22.879,-35.658,-8.401,11.725,-2.142,-17.976,1.735
10.87927,29.65,-39.087,-32.247,18.486,17.462,23.439,-25.938,3.311,3.623,-18.751,-58.386,2.365
11.66771,27.613,75.403,39.524,-10.246,26.648,47.1,-18.362,-9.865,-6.967,-15.752,28.392,-6.289
11.90576,34.703,57.875,89.708,37.794,76.388,6.407,-79.662,21.033,3.53,10.538,22.983,-33.593
12.12644,36.967,200.805,115.544,43.941,98.471,-19.721,-24.412,-29.179,9.359,-3.393,10.762,-20.828
12.32961,37.167,267.623,126.617,55.434,83.934,13.209,-11.772,-15.642,-1.394,-11.126,-23.261,-30.792
12.4517,35.169,245.642,135.97,71.86,82.287,-24.893,18.832,-28.093,3.689,0.173,-0.974,-7.634
12.66658,34.132,269.348,115.337,80.968,66.604,-26.205,-1.529,-39.149,-3.564,0.421,-24.249,-23.945
12.77088,32.845,172.136,146.2,85.931,66.462,-26.49,-7.823,-3.804,15.315,17.854,-25.908,-66.251
12.87556,32.14,201.667,129.301,50.141,72.239,-35.73,-5.731,-12.731,1.983,33.229,-23.999,-25.032
12.98571,38.577,121.406,52.161,55.373,46.122,30.576,-50.185,-30.657,-16.659,4.034,-20.903,-4.42
13.32812,31.499,46.811,3.169,4.034,26.077,-19.467,-46.526,-40.089,-6.179,-6.058,-5.464,16.929
13.43878,34.243,116.288,26.889,2.852,73.103,-12.476,-70.031,-12.693,19.132,0.799,1.161,22.578
13.55483,38.744,50.944,69.778,26.707,80.969,-3.085,-80.222,-29.083,-10.086,21.007,-3.079,8.482
13.6654,37.359,37.205,84.311,-4.243,90.918,-5.787,-85.838,-32.031,3.854,-7.872,-0.118,-11.859
13.781,36.963,49.53,55.238,52.458,76.39,-21.972,-81.719,-23.894,13.95,13.208,-11.565,9.112
13.89701,35.497,74.195,100.976,33.957,95.051,-12.827,-77.322,-13.85,4.421,4.127,-2.114,-21.063
14.11188,36.793,76.094,78.425,21.695,88.929,13.648,-75.939,-11.779,9.758,9.407,7.912,3.361
14.33723,39.143,48.008,31.083,27.039,52.149,-8.009,-58.023,-8.834,2.209,20.019,-9.193,-15.778
14.77438,34.469,112.376,65.802,-0.775,85.685,-10.488,-53.064,7.556,-1.473,-10.826,-19.61,-5.062
14.89011,38.218,175.173,63.184,41.699,93.031,-8.965,-23.247,-16.898,8.98,-16.565,-11.45,-3.077
15.00594,37.299,121.483,130.257,73.073,90.103,-18.13,-34.285,-17.256,8.326,10.276,-14.524,-25.711
15.21442,34.858,159.46,93.327,42.163,95.488,-11.322,-38.019,-27.663,-2.112,-21.706,-9.905,-17.56
15.32517,34.913,131.453,149.887,65.863,85.728,-15.844,-23.944,-3.861,11.737,19.691,-18.77,-31.86
15.42961,35.866,209.533,102.925,62.361,111.902,-8.758,-17.024,-21.3,8.096,5.446,-26.682,-4.449
15.55152,33.75,108.903,98.298,39.987,91.233,-20.576,-48.837,-12.819,5.25,2.898,-3.053,-21.7
15.65016,36.761,86.354,48.873,5.023,52.595,19.347,-48.768,-28.408,-6.182,7.961,-19.349,3.068
15.99882,35.876,55.405,60.888,31.952,77.952,5.649,-68.671,-12.013,-0.644,20.078,6.669,5.282
16.21977,34.22,51.377,81.988,26.42,67.94,-6.169,-88.903,-11.071,9.215,-13.195,-0.211,-22.541
16.34181,39.938,78.37,67.514,-16.121,48.327,28.674,-63.718,4.884,-0.645,-13.896,-29.63,-19.897
16.57315,37.463,71.54,79.074,27.018,71.627,-4.488,-39.653,-26.843,2.094,16.352,-0.693,11.141
16.68304,37.117,129.68,40.924,42.564,78.634,-22.528,-101.016,-51.714,15.625,2.084,-5.584,-3.958
16.92127,36.798,85.22,85.589,12.373,84.005,-4.297,-75.078,-47.217,-16.092,40.603,-8.49,9.223
17.04916,40.063,29.12,28.254,11.381,63.818,-11.202,-36.887,-17.372,2.072,12.829,-4.855,10.869
17.17066,39.36,33.935,44.108,22.587,44.421,-38.388,-10.537,5.472,17.647,0.96,-1.653,32.03
17.28172,38.859,110.207,64.427,26.84,42.752,-23.202,-25.378,-5.718,-3.973,-4.905,-8.106,16.884
17.3858,38.822,159.628,53.819,49.194,33.302,-11.53,-14.792,-23.559,-14.286,-18.453,-16.619,2.975
17.50776,38.619,184.033,87.993,56.716,30.557,-3.41,-4.75,-20.558,-1.971,-5.115,-9.3,-19.45
17.7458,41.422,55.24,73.756,8.464,59.565,8.551,-13.215,-4.348,3.086,9.556,0.925,22.132
17.86639,41.466,75.146,40.216,35.02,34.879,-27.646,-11.71,-23.84,-8.621,1.318,-5.122,11.879
17.98385,40.312,178.523,53.969,31.999,36.901,-24.289,-12.584,-13.481,7.931,-13.245,-15.856,-15.955
18.09392,38.207,154.56,63.38,53.146,42.98,-24.658,-19.236,-29.264,16.22,24.525,-25.136,-19.382
18.20463,39.983,204.937,85.779,50.499,93.136,-8.952,-18.432,-10.352,12.962,3.033,-16.826,-3.594
