start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,40.978,-6.956,-36.522,82.143,-10.603,-97.579,-35.187,-28.292,-9.026,33.115,-41.704,22.662
0.17796,35.791,-67.504,-82.277,-3.379,-18.222,-56.088,-45.094,-27.866,25.475,4.268,-18.413,2.462
0.34163,41.167,54.908,-70.867,-51.077,16.326,-35.048,-31.021,0.795,-1.809,-1.671,3.041,-3.68
0.51846,42.457,47.623,-67.332,-17.004,3.759,-78.828,-42.373,13.519,-18.941,-4.689,-13.631,5.828
0.69184,38.741,-16.784,-71.277,10.463,-7.092,-36.467,-48.043,-33.29,2.964,2.8,-36.468,2.607
0.84599,41.143,-13.326,-81.925,76.622,3.643,-37.537,-33.914,-11.4,-18.661,27.325,25.55,14.0
1.02766,42.265,1.536,-46.803,45.921,-0.14,-96.049,-37.481,-0.513,-20.652,20.753,-27.387,17.356
1.18898,40.59,9.15,-100.944,27.81,18.118,-30.855,-44.969,-34.108,-4.33,21.163,20.407,7.919
1.36544,41.866,-7.705,-57.677,71.575,-4.977,-46.858,-36.069,-24.075,-8.281,23.314,-10.966,17.921
1.54245,36.529,-67.603,-61.29,-4.702,-12.734,-44.58,-31.217,-28.649,23.826,7.049,-14.728,2.625
1.72027,42.012,41.687,-71.722,-46.546,23.688,-44.506,-47.373,3.94,-3.655,-7.053,0.885,1.123
1.88753,42.68,45.314,-60.295,-18.497,12.784,-78.516,-34.223,5.477,-8.983,-2.384,-13.219,4.803
2.0663,39.504,-20.12,-67.951,-0.262,-4.532,-49.417,-57.113,-23.373,7.479,1.467,-24.89,2.587
2.22844,41.19,-25.73,-58.999,57.071,-1.438,-115.585,-47.382,-4.732,-17.846,36.481,-25.588,12.989
2.40417,42.466,1.78,-49.451,41.377,-4.808,-96.458,-48.756,1.571,-19.016,11.418,-32.307,27.662
2.57138,40.752,4.028,-84.56,16.556,17.311,-85.228,-55.403,-36.521,-8.362,38.032,-21.551,9.249
2.74703,41.845,-26.706,-35.932,58.079,-7.123,-98.952,-32.607,-32.695,-2.672,22.618,-39.521,18.053
2.91923,37.841,-72.564,-71.346,-1.649,-4.265,-45.242,-57.082,-25.558,19.882,2.193,-15.661,6.687
