start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,2.843,200.917,4.787,-25.767,69.184,20.951,13.22,15.309,-11.385,-32.872,-66.906,2.083
0.75469,17.816,351.24,0.172,193.89,87.26,-57.978,-23.923,-92.178,-3.576,6.664,-52.603,9.892
1.0971,6.494,191.544,69.082,12.793,49.02,-41.851,9.611,10.193,-10.722,9.543,-17.54,-19.746
1.2654,6.848,179.841,68.926,4.116,66.33,-37.861,14.857,10.182,-18.845,8.134,-13.265,-1.695
1.43959,17.515,343.237,2.587,185.83,88.175,0.499,-7.133,-83.989,-0.923,-1.384,-7.761,4.527
1.78213,6.393,189.224,79.797,19.003,41.902,-32.576,26.367,-1.145,-2.374,9.712,-16.596,0.773
1.96227,7.291,185.793,79.606,10.557,59.975,-35.225,26.098,2.874,-6.734,10.2,-10.168,16.49
2.12467,17.756,334.786,18.259,138.6,103.873,64.356,8.067,-67.761,15.243,-21.375,27.43,-14.134
2.47868,10.155,209.408,85.82,21.45,70.382,-36.1,17.812,4.873,-17.529,3.027,-17.504,-8.274
2.65288,10.445,190.623,87.652,23.22,85.207,-41.768,15.858,-0.065,-15.956,5.701,-11.916,-16.399
2.82122,19.965,368.541,24.69,119.548,107.8,51.448,-6.786,-51.1,21.885,-31.868,-2.819,-6.966
3.00689,11.679,228.68,111.605,23.903,40.693,-28.382,9.617,7.413,-3.451,9.382,-21.077,-11.687
3.16952,11.447,208.675,92.714,38.939,70.893,-37.378,10.78,-3.351,-5.616,9.202,-20.074,3.042
3.3498,11.263,184.398,95.005,22.368,86.931,-34.64,12.209,-10.294,2.441,13.101,-18.989,5.349
3.52376,21.818,380.922,36.371,117.158,106.439,-11.03,-27.877,-69.093,-0.022,-3.063,-45.572,0.751
3.68594,13.118,225.917,111.496,18.547,64.826,-30.536,10.219,-0.111,-17.025,11.925,-5.941,-30.79
3.8776,13.663,203.835,108.809,35.627,75.465,-38.269,8.852,10.429,-14.45,-1.365,-7.044,-5.886
4.04041,13.91,203.295,119.106,30.063,90.428,-34.779,26.767,11.819,-9.39,-0.019,-13.566,-18.969
4.20277,21.09,350.107,50.002,97.624,114.895,65.825,7.561,-41.029,16.774,-50.94,-9.59,-2.36
4.38848,14.572,225.324,126.121,43.582,56.7,-24.907,6.507,-3.49,-10.569,4.202,-20.378,-34.101
