start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
1.0234,14.83,-45.567,41.519,-14.34,72.782,-38.477,27.099,14.445,-53.415,-4.486,-3.508,0.364
1.18925,16.37,-76.037,23.356,-31.042,67.887,-43.661,25.927,4.98,-45.503,-11.09,-0.974,-14.29
1.2824,18.87,-75.378,56.65,-29.839,45.658,-39.16,4.903,4.867,-49.943,-21.249,2.937,-19.638
1.41048,20.301,-69.155,90.479,10.834,42.584,-32.82,34.321,13.802,-54.837,-13.89,-6.253,11.419
1.53143,22.731,-70.67,86.487,-53.292,31.967,-25.159,26.104,20.739,-27.814,-7.629,14.115,0.741
1.86916,27.917,-27.183,95.371,-34.459,27.063,-17.628,14.57,25.467,-20.403,-15.078,16.693,7.202
2.24698,31.432,-23.743,96.702,-23.226,30.754,-24.654,13.618,19.669,-33.364,-20.996,-0.157,7.242
2.44367,32.224,32.274,90.686,17.481,40.886,-29.735,26.316,-6.263,-38.98,-20.983,-7.521,-5.464
2.54268,34.659,34.156,95.155,-22.575,29.887,-7.739,-13.973,13.763,-15.997,-7.399,4.158,-1.006
2.86776,36.708,34.423,84.532,-28.742,32.181,-15.482,-6.506,2.552,-22.027,-4.751,4.948,2.398
3.14059,37.297,54.435,65.168,18.544,49.905,-25.914,-3.274,-32.6,-26.987,4.218,-7.978,3.449
3.23342,38.538,31.306,88.367,-22.825,23.12,-23.782,-32.962,12.016,-34.176,-15.914,15.641,-8.37
3.50662,39.885,56.93,83.517,11.476,55.192,-45.587,-11.464,-10.855,-15.049,4.286,-0.646,-3.739
3.58177,40.615,80.304,102.031,12.004,29.812,-24.307,-30.832,4.641,-19.26,-5.559,0.142,-7.704
3.90617,40.367,82.514,96.715,13.111,34.592,-20.143,-30.009,4.404,-18.618,-6.68,-1.362,12.438
4.16757,38.238,71.165,93.884,-7.535,38.512,-16.097,-16.21,10.66,-5.332,-5.65,-8.887,13.397
4.44626,35.144,49.433,66.627,17.057,52.001,-27.899,-11.458,-24.26,-18.454,-3.473,-15.509,-5.026
4.77193,38.729,13.104,5.473,9.799,-2.605,-31.644,11.776,-13.45,-24.687,12.141,9.824,-27.74
4.89941,38.764,7.824,8.858,11.312,-6.865,-56.646,4.649,-21.233,-33.58,-1.054,-14.782,-23.576
5.01029,42.473,41.399,30.584,-29.306,-2.191,-28.214,3.757,0.708,-37.167,-3.234,20.144,-19.462
6.36209,48.595,67.508,-3.053,-56.475,4.857,-5.605,12.748,36.364,-17.731,11.413,6.972,6.707
6.50163,51.865,109.884,11.185,-58.66,45.517,-24.654,-12.814,-17.889,-12.209,9.277,-5.165,16.254
