start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,2.092,142.01,48.919,-20.761,86.454,-52.404,68.078,3.845,-16.161,7.45,-6.474,21.206
0.19161,22.609,76.408,142.173,-315.902,48.146,84.913,110.631,-35.204,-35.634,59.85,-81.742,42.997
0.56517,41.627,66.832,-107.22,11.712,5.074,-28.787,-0.273,9.578,15.957,-29.476,-43.463,5.422
0.76372,39.643,97.796,-51.514,28.546,-44.122,-48.791,1.43,-5.411,12.291,17.536,-7.17,-2.03
0.87184,40.812,116.06,-145.926,48.087,31.323,-3.959,6.16,10.09,10.33,-31.565,-36.152,12.429
1.17692,42.923,121.325,-61.211,-4.167,-1.827,28.963,-3.819,2.996,9.75,37.454,-82.739,23.271
1.47973,38.442,134.994,-74.278,-28.844,12.429,1.233,39.407,-38.451,1.362,1.282,-11.665,20.142
1.6254,40.65,155.562,-58.599,-29.562,-2.312,-33.594,6.211,-9.616,2.396,24.024,-31.753,21.206
1.78213,37.502,77.515,-141.249,51.617,29.847,-46.119,2.543,15.1,-0.095,-34.971,-38.659,20.364
2.08204,44.677,114.654,-89.665,151.627,38.958,-14.875,-41.706,29.922,-1.362,-14.401,-11.551,11.916
2.38571,35.117,158.944,-36.545,62.976,18.552,-40.893,-1.272,-32.488,-22.706,4.023,-44.815,23.892
2.55311,40.255,67.34,-77.719,68.268,-17.053,-26.051,-31.143,14.777,3.349,-22.821,-7.9,-3.457
2.67692,42.389,25.483,-137.807,100.114,-17.743,75.681,-29.837,-16.594,14.547,-15.056,-16.103,-29.325
2.98249,42.394,65.287,-121.882,15.076,-3.29,-7.351,-10.983,20.798,3.783,-16.05,-15.519,-9.389
3.16726,34.92,73.37,-108.923,9.099,-43.867,-71.085,-39.751,0.933,-8.913,15.402,-23.271,-24.017
3.28925,41.913,137.719,-147.602,9.058,22.178,13.363,-15.891,30.88,17.998,-33.834,-31.715,1.872
3.44907,32.135,116.153,-141.042,-5.801,10.823,-23.799,4.932,-30.535,-19.023,-10.369,-14.889,-1.859
3.58032,39.293,69.457,-90.928,-6.872,0.959,110.165,-2.002,1.742,4.784,-7.917,-21.077,-26.635
3.89429,41.48,176.058,-59.387,-11.556,5.686,35.144,-1.328,12.806,14.365,0.058,7.769,-0.268
4.20812,35.781,76.118,-155.99,67.905,5.407,-50.436,-29.212,16.272,2.653,-41.276,-26.412,-5.301
4.49732,41.044,110.784,-85.662,118.975,50.054,112.299,-10.617,58.273,-13.144,21.047,45.003,-18.035
4.78907,40.591,95.485,-64.126,-76.216,47.346,68.087,-1.069,-9.184,18.007,-18.441,27.738,3.477
4.9517,43.026,72.168,-39.231,-0.185,4.55,24.416,-7.336,21.148,-0.274,0.321,-35.253,15.394
5.08512,47.057,74.466,-92.647,94.036,-6.322,42.902,-17.164,-38.802,19.463,-10.426,12.607,13.463
5.40698,43.841,74.529,-80.526,21.583,-10.768,-31.849,16.045,39.851,-27.88,-26.708,-8.211,13.121
5.55202,40.05,61.151,-31.195,27.487,-43.072,-24.42,39.24,-10.515,-50.085,7.936,-11.857,22.221
5.70381,46.468,116.916,-61.2,43.271,13.394,23.127,8.723,48.276,-8.242,-22.384,16.509,8.745
5.87442,39.18,91.073,-14.033,44.181,-28.364,-11.383,74.591,-13.337,-85.31,-32.22,-29.344,14.46
6.00472,40.951,61.309,-52.497,75.261,-25.403,4.218,38.866,-37.371,-36.421,-16.676,-5.014,22.19
6.20141,44.908,75.375,-64.139,100.104,-7.988,-81.394,-13.651,10.118,-11.422,-14.413,-17.859,24.933
6.31914,39.187,163.189,-102.842,-19.284,11.453,-16.729,17.905,21.912,-19.699,-49.401,-7.321,24.469
6.45955,39.883,157.801,-78.616,-20.375,-1.84,-5.078,6.367,4.472,-21.842,9.463,-14.077,23.354
6.62327,38.668,76.085,-114.587,19.963,-3.109,-25.045,3.673,24.442,-9.944,-37.363,-7.898,10.293
6.79093,32.214,110.546,-52.849,15.314,23.37,-15.036,44.669,1.485,-51.864,-34.071,-4.538,14.112
6.91392,35.467,145.893,-64.086,54.748,22.513,27.314,4.752,6.719,-18.049,-23.429,-12.373,20.72
7.08222,29.638,125.436,-37.219,-1.443,33.123,1.129,41.479,4.117,-34.328,-36.297,-38.596,4.533
7.22322,35.027,161.874,-54.432,22.19,33.327,38.38,4.059,-7.217,-24.659,-8.983,11.075,5.426
7.38721,38.749,75.312,-82.32,48.456,4.039,55.339,-17.85,47.604,-8.305,-2.91,0.524,-9.045
7.53492,41.648,9.482,-162.875,98.084,-4.045,-42.67,-22.031,-42.984,-8.26,-38.78,-30.42,-9.66
7.83116,38.65,46.143,-181.142,66.992,24.897,-36.488,-15.005,28.068,4.35,-21.21,-5.095,-6.49
8.14739,43.405,120.326,-122.462,129.212,11.973,-80.983,-34.316,25.791,5.402,-39.739,-43.232,15.306
8.4507,36.471,50.227,-142.58,36.707,-5.137,-59.334,-18.289,-63.016,-22.996,41.942,-46.64,10.278
8.59846,41.968,50.479,-87.742,6.937,21.618,135.384,19.169,51.912,13.176,-32.785,-0.556,1.855
8.75293,36.717,182.98,-157.919,-27.406,29.169,-18.679,-14.336,7.819,8.658,-14.978,-11.034,21.655
8.89424,38.391,169.163,-105.91,-12.458,-1.745,-34.192,-31.127,3.948,10.979,14.193,-26.172,13.048
9.05583,37.171,81.702,-146.771,38.1,7.352,-33.921,-20.677,14.709,8.288,-46.322,-35.485,5.713
9.2215,29.633,128.071,-104.61,5.231,29.417,-31.987,4.732,-15.36,-10.394,-1.824,9.45,0.572
9.35855,34.793,160.573,-90.858,68.341,20.179,-45.545,-33.151,-5.197,-11.782,10.034,-53.158,20.665
9.50744,28.08,135.576,-66.053,-3.477,35.229,0.406,28.717,0.63,-0.396,-24.972,-36.507,-3.005
9.65855,35.73,163.161,-68.172,41.863,32.654,-33.382,-30.748,-18.001,-28.753,9.602,-44.303,15.664
9.8278,39.837,74.315,-83.86,74.874,-8.864,-32.229,-32.046,23.166,-1.06,-26.58,-6.26,-3.669
9.96141,46.652,-25.009,-87.232,109.26,49.197,-5.244,41.326,-21.782,8.747,-11.854,-80.684,17.771
10.25578,41.279,36.692,-122.025,22.858,53.81,-28.667,29.594,18.34,17.53,-14.071,-39.176,13.208
10.44032,37.812,-20.528,-44.431,-3.434,65.845,-22.696,89.01,51.991,6.456,8.371,-14.199,1.034
10.56286,41.499,99.132,-134.417,50.259,51.949,10.709,21.737,19.03,23.603,-22.684,-40.836,9.534
10.87492,43.033,64.949,-55.844,-2.905,46.903,35.96,18.007,-0.867,9.558,73.538,-64.624,2.363
11.16916,37.942,107.289,-90.927,-40.119,48.11,20.364,32.675,-40.81,33.434,-12.087,-25.18,-8.471
11.319,41.247,131.341,-57.029,-38.17,36.847,-37.006,6.243,-30.928,30.666,36.088,-34.926,1.247
11.48118,37.204,71.795,-160.839,55.17,53.562,-52.692,-11.115,10.499,27.279,-21.624,-45.213,5.684
11.77832,44.148,105.254,-91.847,142.795,63.798,29.098,-28.816,29.12,-5.804,17.424,7.546,-0.179
12.0863,34.592,158.211,-45.574,68.927,23.651,-51.574,-17.496,-32.236,-13.515,8.682,-51.273,9.028
12.25379,40.362,58.777,-72.729,68.847,-7.712,-38.007,-26.708,0.166,4.547,-20.633,-10.15,-10.427
12.37646,43.177,-21.491,-132.925,121.546,40.134,44.492,20.485,-5.523,6.897,-1.23,-24.561,8.026
12.68027,41.311,27.669,-115.366,25.495,34.124,-6.163,27.393,7.881,22.14,-2.871,-1.607,0.414
12.97719,40.31,102.954,-134.114,16.058,50.048,32.743,19.863,50.176,21.061,-23.887,-9.9,9.258
13.26036,36.512,37.922,-69.656,-96.075,48.292,89.493,26.133,26.992,3.747,5.891,-95.995,10.406
13.59583,42.363,163.478,-54.04,-12.986,20.852,26.521,8.028,-3.244,16.116,12.667,6.488,5.024
13.90821,36.165,66.721,-148.878,74.076,19.291,-45.686,-16.392,13.814,1.594,-29.796,-34.294,13.392
14.21057,44.124,102.111,-72.329,155.556,38.339,-39.494,-43.377,39.815,-12.131,-4.781,-8.465,-0.217
14.48948,40.266,101.955,0.735,-54.406,73.147,59.434,14.842,-23.483,10.531,-3.957,25.792,-10.75
14.64603,43.34,49.383,-14.72,-7.698,17.788,15.864,-26.508,11.453,7.746,6.85,-37.678,-5.965
14.78526,48.023,49.556,-75.164,115.474,6.535,10.439,-41.002,-35.68,34.202,13.051,-18.946,-3.102
15.08608,42.532,56.163,-83.705,-15.313,11.864,22.344,16.907,36.748,7.345,-13.185,5.943,5.904
15.24948,38.915,35.205,-49.262,18.315,-11.634,-54.302,9.902,2.206,-2.968,20.694,-26.245,4.429
15.39125,42.81,82.032,-67.018,16.862,40.25,69.511,22.648,53.672,1.706,-31.962,-13.77,-8.919
15.69456,40.079,60.128,-79.179,53.676,2.437,10.699,1.956,-29.43,11.554,-8.942,-29.371,2.004
15.87143,42.479,47.282,-78.12,20.362,16.498,115.48,22.785,46.802,9.353,-38.082,-0.531,8.338
16.02621,36.973,139.708,-129.171,8.972,25.654,-9.816,10.302,-18.157,-4.106,-13.037,-23.538,22.837
16.15719,37.95,151.481,-100.086,-20.745,3.529,14.564,-12.729,6.092,19.942,-10.094,12.153,3.575
16.32862,37.921,91.22,-154.593,21.945,24.568,-54.739,-6.904,9.213,4.668,-42.476,-18.549,8.814
16.50848,31.176,114.074,-92.709,8.526,41.279,-85.915,-4.644,-6.559,-29.533,12.644,-19.889,2.997
16.60726,38.394,172.317,-57.09,-11.079,44.946,44.344,-17.803,18.356,3.469,-18.886,-31.289,-2.615
16.78141,30.808,114.723,-101.155,-4.58,46.1,-20.361,-9.915,-11.527,-18.168,-17.772,-29.484,16.765
16.92585,34.289,161.214,-52.009,65.611,22.237,-9.049,-8.463,-25.955,-10.754,3.085,-12.719,5.439
17.10141,39.53,69.815,-82.757,85.611,-16.599,-29.372,-30.104,20.729,1.669,-26.416,-10.416,0.522
17.2351,40.921,4.119,-185.563,107.613,11.125,-70.822,-30.071,-42.936,1.956,-25.52,-32.374,-0.537
17.52912,38.581,44.587,-188.415,69.405,26.621,-48.656,-25.001,29.356,19.039,-19.087,-16.402,-5.541
17.8356,42.667,111.353,-126.639,121.208,22.81,10.096,-16.292,47.065,7.958,-20.015,5.634,5.194
18.14866,36.002,51.035,-146.166,36.883,-2.216,-36.156,-15.546,-69.239,-20.896,43.472,-31.169,3.739
18.31093,43.661,71.167,-97.461,94.506,7.145,44.174,2.597,28.655,-0.445,3.244,31.051,10.261
18.45211,36.57,184.417,-155.954,-30.554,31.792,-26.028,-16.503,5.112,10.139,-7.366,-10.184,20.01
18.59188,38.771,169.967,-108.571,-15.562,-6.15,-39.835,-31.379,6.029,10.644,18.613,-30.119,14.715
18.75025,37.301,80.896,-142.96,31.54,5.16,-25.022,-21.237,20.417,10.003,-39.456,-35.987,6.419
18.9263,29.766,127.592,-103.924,3.83,28.103,-48.464,5.378,-18.206,-14.226,6.651,14.217,1.461
19.05497,34.713,152.786,-94.062,68.07,22.976,-55.406,-35.028,-8.214,-13.697,9.792,-52.378,22.985
19.21052,28.1,133.564,-67.045,3.649,35.98,-4.511,30.771,-2.759,0.132,-22.974,-31.895,-2.904
19.35397,35.571,165.731,-76.105,36.041,35.849,-12.61,-20.966,-18.01,-25.462,15.861,-23.248,11.951
19.5298,39.601,81.364,-91.438,80.756,-13.918,-37.674,-38.224,29.611,-6.687,-27.902,-16.574,-4.04
19.65506,44.727,8.915,-112.735,83.043,-10.05,-1.929,-26.996,-28.696,10.721,-29.938,-57.917,-7.514
19.96145,42.107,36.906,-152.267,-4.023,6.447,-43.058,-20.414,-15.66,2.764,-26.912,-44.429,-14.796
20.15392,37.493,37.799,-101.816,-22.293,-41.624,-23.422,-26.97,-0.405,-2.014,-2.589,-3.353,-30.278
20.26181,43.785,98.155,-136.984,111.481,14.369,1.545,-13.724,33.169,5.432,-22.134,-9.384,0.204
20.58132,46.525,105.952,-37.619,-67.519,-14.398,42.165,-17.738,-10.124,-8.553,38.334,-73.209,2.811
20.87587,41.348,127.069,-106.901,-71.394,-18.914,5.1,-24.83,-37.165,15.616,-7.991,-2.648,-20.075
21.02435,40.67,107.541,-138.09,-5.937,4.67,-33.039,-37.312,-26.335,4.872,21.083,-73.208,10.384
21.45338,42.077,80.811,-117.286,-11.15,44.418,149.732,-4.0,43.982,8.561,-16.789,-50.312,-10.282
21.78816,37.766,130.121,-116.903,44.756,-10.917,-50.355,-16.596,-38.159,-15.679,4.891,-62.331,11.505
21.94812,40.715,73.472,-65.363,57.03,-24.897,-13.381,-33.596,13.422,7.0,-25.314,-2.233,-12.916
22.08186,43.41,16.258,-146.185,110.331,-21.643,-1.018,-37.126,-43.965,6.767,-21.369,-49.105,-16.676
22.3766,42.182,43.172,-127.208,10.776,-10.823,3.576,-16.56,2.471,1.553,-11.961,-21.077,-23.664
22.69147,44.747,115.848,-119.37,116.499,3.573,-56.777,-29.81,29.239,4.231,-34.311,-33.587,4.129
22.99673,46.461,88.185,-66.931,41.802,-24.732,42.869,-6.863,-27.362,-3.266,28.183,-43.164,5.621
23.17361,45.504,53.809,-97.112,78.56,-15.434,-89.044,-24.328,-0.496,-3.641,-4.289,-23.873,24.708
23.3073,45.385,159.4,-87.755,-10.499,-11.247,-32.335,-12.73,-8.538,-1.747,9.397,-28.122,25.56
23.60599,38.646,21.233,-163.627,56.978,11.81,-44.812,-3.366,-2.873,-9.206,-17.326,-33.319,21.865
23.90889,46.937,81.341,-87.612,115.232,12.564,-38.427,-27.612,7.66,-15.657,-14.189,-44.941,6.391
24.09066,34.966,29.686,-130.757,-4.998,31.168,-93.129,17.014,-53.834,-11.986,42.206,-21.03,12.75
24.18358,45.752,35.827,-1.858,-39.155,75.78,50.595,105.229,14.366,36.708,-30.456,14.381,-7.477
24.34594,46.538,25.377,12.531,20.129,57.773,-0.064,43.236,11.63,34.829,18.692,-48.598,-1.915
24.48621,51.154,35.004,-65.241,51.013,41.008,-9.774,22.562,-4.206,31.942,19.513,-15.572,8.94
24.64113,41.939,-69.408,-69.936,-13.644,-16.833,-22.356,24.395,2.111,14.948,8.226,-37.135,-1.892
24.79937,45.574,12.642,-54.123,10.084,20.687,-26.087,50.676,-4.628,15.275,-11.339,-15.294,-5.527
25.08921,46.117,46.567,-55.891,17.196,39.351,54.046,48.081,23.782,19.107,-27.857,-18.431,-13.839
25.40041,43.305,24.378,-51.357,47.137,24.465,-25.948,35.987,-46.319,8.266,7.208,-36.536,-3.068
25.56091,44.709,8.71,-56.787,-41.231,6.731,82.871,11.781,46.092,18.528,-56.626,-43.28,8.84
25.70866,42.935,87.356,-102.745,-49.104,32.727,-0.702,17.722,35.257,11.898,-52.446,-14.68,-5.223
25.86449,42.928,114.991,-115.5,-28.213,5.872,-50.478,-26.126,-13.265,14.564,19.26,-26.563,5.843
26.01211,45.86,82.013,-101.542,88.236,23.973,-5.352,-13.277,0.303,-1.524,-5.685,-4.633,-14.713
26.20027,37.462,36.29,-124.614,-0.037,36.766,-46.327,19.765,-31.058,-20.502,2.91,-4.878,-16.254
26.31537,40.235,91.261,-120.131,31.622,11.554,-3.285,4.473,-22.992,8.186,-29.152,-22.778,-2.772
26.4766,34.654,45.001,-136.499,-46.047,24.373,2.986,8.191,-11.782,-4.669,-48.062,-46.461,-13.318
26.61293,38.016,109.944,-132.149,-27.539,12.568,48.917,4.438,1.379,4.889,-51.46,1.86,-15.398
26.80163,40.15,82.624,-93.817,65.457,-22.52,-41.198,-31.059,33.933,-4.239,-22.235,-13.915,-7.814
26.92327,41.082,-2.572,-171.875,87.068,11.119,9.765,-16.547,-28.557,-1.421,-9.123,-4.869,-11.458
27.22571,39.717,23.137,-175.176,41.687,32.524,-28.135,-11.172,4.407,13.766,-13.101,-17.695,-4.261
27.51896,41.802,86.979,-142.979,55.987,35.022,87.63,-4.008,43.064,8.714,-12.681,11.433,-11.338
27.83347,36.927,39.146,-144.054,9.735,10.007,25.022,-0.402,-69.112,-2.621,5.717,-3.721,-0.923
27.98726,41.599,10.897,-96.872,-48.015,27.014,126.757,14.45,49.326,24.694,-45.844,-44.809,3.924
28.16358,39.472,154.677,-190.852,-41.657,38.11,-57.305,-40.794,-15.508,18.835,4.815,-30.159,11.0
28.28884,41.422,122.209,-139.2,-40.463,5.273,-42.775,-43.191,-25.463,17.368,15.14,-14.395,5.694
28.45143,45.095,79.05,-123.238,112.554,18.853,-79.642,-35.585,-4.449,2.035,-21.588,-57.489,3.147
28.63628,34.188,55.546,-161.422,-35.7,23.272,-93.905,-27.328,-36.71,-16.653,45.712,-16.748,-0.173
28.75696,38.468,109.614,-157.409,35.189,6.322,-61.216,-35.283,-38.244,-0.717,9.024,-55.225,19.71
28.90145,33.231,48.155,-163.329,-45.604,26.773,8.527,-3.863,-18.785,8.373,-38.713,-38.915,-6.735
29.05478,39.073,145.102,-134.853,11.33,8.425,-28.621,-15.788,-19.077,-19.8,5.971,-42.952,6.437
29.22245,39.802,78.033,-80.889,74.057,-6.324,-22.413,-31.258,30.976,-0.665,-27.955,-7.93,-6.439
29.35615,46.258,11.631,-116.665,67.962,18.286,0.999,-32.203,-7.923,32.947,-17.142,-80.378,8.136
29.6366,39.292,17.486,-146.029,-50.934,29.546,72.565,5.452,27.232,28.628,-10.951,-3.419,-11.152
29.85206,39.331,11.305,-112.223,-59.519,-16.339,-18.728,-24.745,10.278,29.091,11.815,18.14,-26.562
29.93637,43.601,55.484,-92.486,39.076,36.514,43.961,-7.41,32.746,22.396,-43.283,-33.911,-15.311
30.27927,48.267,41.165,-18.034,-60.108,52.636,-9.417,3.983,-17.838,25.381,52.89,-61.944,-8.161
30.44685,46.196,31.832,-75.202,72.795,10.571,-86.378,-10.436,-25.151,6.99,1.922,-33.181,15.864
30.57501,41.802,63.205,-116.161,-31.527,51.751,-14.856,26.344,-48.057,37.104,-11.539,-9.741,-5.685
30.71338,43.595,90.865,-90.285,-37.926,40.938,-47.203,-5.158,-32.296,40.763,33.454,-25.305,-3.395
30.87941,41.031,26.345,-135.051,-0.842,47.871,-45.291,11.985,-25.377,20.211,-17.391,-30.874,-0.719
31.10658,35.542,-18.796,-116.932,-43.814,70.942,-94.425,15.0,28.276,-1.078,-2.421,-6.381,-23.412
31.18113,46.655,84.194,-112.855,117.082,40.378,-21.612,-21.267,5.93,6.565,-6.541,-30.579,3.059
31.47819,38.862,112.908,-121.718,38.798,0.646,-42.79,-10.035,-49.401,-3.634,10.959,-52.986,6.008
