start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,13.851,118.847,80.207,-282.66,42.778,44.16,42.151,-55.167,-39.757,53.727,-41.486,14.574
0.39478,38.954,89.797,-70.728,-9.655,10.486,112.152,11.262,31.025,-4.701,28.385,-4.648,1.232
0.82417,38.151,77.012,-13.921,-88.255,-18.294,23.734,7.969,-26.934,-29.32,8.304,-67.473,12.888
1.13247,42.781,90.75,-18.307,118.231,6.719,-74.438,-4.365,9.98,2.867,33.182,-5.478,2.339
1.31143,43.773,54.425,41.07,-67.98,26.932,66.974,29.293,-13.411,-20.17,33.093,-77.852,9.851
1.53646,38.753,39.937,-5.959,-21.53,-26.828,-30.4,42.754,40.615,-31.703,-14.316,-16.811,18.911
1.72127,43.309,65.861,-33.85,68.841,8.223,80.48,16.11,24.803,-7.991,-4.522,-26.698,9.835
2.05791,42.627,66.576,-28.779,51.367,10.381,29.587,20.404,-6.903,1.338,20.439,36.584,-2.836
2.31066,43.476,18.248,-17.714,53.346,22.55,36.411,7.446,27.775,-15.147,15.128,-28.116,5.671
2.5463,37.842,81.583,-83.99,0.536,-9.709,-53.049,-0.069,-4.762,-14.431,7.08,-4.645,12.234
2.71773,36.998,90.358,-9.306,-89.227,-2.558,5.654,21.954,-39.173,-20.334,10.687,-53.927,20.25
3.02585,40.995,100.474,-51.3,84.725,-10.933,-63.795,7.711,21.23,-6.466,34.77,11.47,17.812
3.27882,45.563,40.067,-32.274,120.383,22.736,-27.854,-7.17,9.132,-13.299,31.549,0.657,3.012
3.49465,38.552,75.03,-81.788,-8.891,8.509,-32.507,-10.108,13.264,-0.431,3.929,3.744,12.966
3.62844,38.991,80.081,-32.76,-21.654,12.656,44.752,9.806,24.388,-20.647,18.633,-60.676,12.742
3.98213,42.587,76.733,-16.232,75.963,-10.278,-84.035,11.318,13.523,-7.781,35.828,-14.904,13.152
4.23234,44.294,55.225,-37.407,106.687,7.135,-2.461,0.337,13.493,-13.474,29.945,10.364,3.744
4.45696,36.929,111.232,-81.207,-14.475,-19.357,-50.426,-7.656,-7.614,-11.901,12.214,-3.032,14.763
4.71025,44.787,80.441,-42.143,135.389,11.872,-21.835,-11.906,8.464,-9.142,19.107,8.774,15.368
4.93846,40.174,111.386,-38.416,86.113,-11.14,-51.3,17.933,27.334,-8.081,37.957,19.242,21.25
5.178,43.554,40.742,-23.352,63.892,32.198,43.773,19.675,38.859,-10.449,33.28,-11.977,8.785
5.42222,37.24,114.826,-64.341,-13.52,-2.099,-63.152,4.396,-4.595,1.217,12.069,-2.975,22.758
5.55796,42.328,98.326,-26.017,12.181,21.444,78.024,17.889,19.883,-19.687,-8.18,-41.944,20.293
5.89719,42.106,109.992,-45.364,56.022,-7.195,-79.947,14.11,6.51,-12.472,23.356,-14.701,32.903
6.00608,46.027,68.97,15.317,-57.6,23.77,59.419,23.965,-6.167,-13.574,1.874,-9.464,15.626
6.53029,47.782,22.421,90.608,-9.34,37.739,-31.786,15.845,7.03,-36.299,-11.701,2.057,19.699
6.66399,49.581,9.644,80.558,-15.062,13.903,-33.434,31.075,16.63,-31.505,-4.004,4.256,12.659
6.84916,50.54,44.696,53.984,42.503,19.902,-47.32,17.216,-16.541,-29.38,3.154,0.163,24.194
7.7907,44.145,59.044,-2.299,82.872,16.393,-7.968,7.034,51.069,-14.228,-44.31,-2.208,18.173
8.05764,45.411,75.807,-10.049,65.607,9.854,46.367,11.419,7.531,-30.532,36.37,2.967,7.799
8.29533,38.254,108.707,-64.46,-6.898,-30.815,-48.964,3.402,-2.177,-33.155,9.187,-1.87,11.624
8.54694,45.399,70.422,-38.347,121.159,10.151,-42.751,-14.147,17.149,-21.665,18.39,9.87,19.468
8.78286,39.985,121.382,-33.805,54.457,-19.495,-104.373,-14.127,25.607,-19.409,9.538,-2.575,21.96
9.0156,43.857,57.915,4.534,88.361,35.845,41.239,2.67,27.02,-20.751,38.826,17.203,3.616
9.25329,37.546,107.65,-50.274,-2.07,-7.9,-44.927,-11.63,-8.973,-21.474,4.932,8.928,14.822
9.3985,43.889,90.842,-23.357,117.159,37.077,34.487,-17.012,31.829,-18.151,-9.914,24.191,22.886
9.7351,43.022,81.615,-6.878,25.844,1.186,-64.364,-5.281,11.962,-20.433,31.091,-14.701,1.588
9.97306,42.603,59.604,-16.421,19.871,23.415,27.014,11.578,33.519,-30.937,49.667,-45.971,9.983
10.21687,37.557,124.844,-60.882,-17.61,-15.523,-59.089,-4.302,11.866,-28.841,30.189,-8.426,14.068
10.45474,44.515,86.142,-51.452,83.706,18.449,49.15,-2.469,19.176,-7.344,13.248,1.942,20.322
10.69297,40.966,108.684,-45.653,42.576,-18.145,-90.098,-13.219,13.629,-19.199,12.506,-8.041,14.18
10.93102,44.564,62.188,-15.176,98.025,20.107,33.861,15.94,22.561,-18.807,42.78,10.364,-1.011
11.1746,37.688,112.65,-63.126,-21.19,-19.274,-64.701,4.037,-5.237,-27.059,15.937,-18.833,16.31
11.3093,43.878,75.605,-47.909,87.493,14.072,35.963,14.518,48.572,-18.7,-1.985,8.539,5.885
11.6449,43.862,92.879,-17.39,61.904,0.513,-79.035,2.942,6.387,-21.246,33.787,-21.76,2.411
11.88866,47.014,97.546,12.283,56.622,30.728,79.168,16.086,-19.933,-32.636,27.817,-20.413,12.454
12.09651,38.375,125.643,-2.875,12.734,-12.077,-27.799,24.28,27.405,-31.535,-22.957,-8.424,9.002
12.35905,42.654,98.994,-13.716,15.374,21.851,75.869,19.766,-0.44,-39.139,34.575,-57.9,22.753
12.602,40.681,117.596,-33.31,60.661,-18.191,-91.716,-9.057,26.026,-22.17,6.692,-3.687,9.017
12.80726,40.086,97.81,-13.625,-65.591,13.99,22.822,29.946,-26.292,-22.504,27.168,-62.129,12.127
13.09605,39.03,129.927,-65.607,-18.304,-28.893,-65.511,2.308,-7.364,-29.159,5.34,-12.197,11.665
13.218,42.759,104.755,-51.135,10.201,7.572,59.615,13.729,18.05,-23.03,5.07,-43.407,18.351
13.55338,41.586,94.881,-42.78,-2.712,22.887,2.263,5.608,-1.248,-9.556,24.832,6.822,-6.463
13.70594,49.416,67.15,17.437,21.148,30.491,32.892,8.155,-17.744,-24.69,20.175,2.577,19.631
14.04875,48.367,23.757,55.397,-9.499,34.575,-37.739,27.518,-10.465,-46.65,-0.897,2.9,22.716
14.27982,49.171,14.235,82.824,-4.424,31.407,-30.048,24.764,-3.617,-51.143,5.035,2.888,13.994
14.5,49.222,40.065,38.624,43.26,30.747,-21.007,5.211,16.967,-23.431,-10.361,-17.257,19.059
15.47587,42.224,132.822,-31.892,67.597,-6.15,-89.622,-10.216,27.522,-17.27,11.291,-4.589,1.033
15.71351,38.999,112.395,-11.799,-50.45,56.638,-6.2,-22.991,-32.289,-13.001,28.684,-24.772,6.917
