start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,50.439,96.659,-29.411,-13.503,31.085,-14.405,-14.752,24.291,35.771,-15.223,-3.381,13.338
0.36599,50.779,144.261,-18.988,17.007,23.372,-26.442,-25.535,-21.373,15.981,21.394,-19.385,18.177
0.70091,50.691,130.145,-23.975,3.157,13.452,-13.594,-8.562,-4.143,13.378,1.258,-17.765,31.418
1.04404,49.565,113.736,-31.203,0.763,29.56,-7.549,-36.416,-9.28,21.479,19.26,-22.209,11.597
1.39873,50.044,123.639,-16.38,8.66,39.936,-20.234,-30.491,11.491,39.132,2.357,-16.699,-0.502
1.74694,48.194,96.356,-10.918,10.648,38.488,-44.549,-53.95,10.616,28.426,13.328,-23.687,-5.224
2.08971,49.545,168.902,6.777,40.405,31.482,-16.683,-18.828,21.614,33.76,7.694,-20.421,-9.364
2.43243,48.203,122.951,27.767,30.233,31.236,-25.453,-48.319,0.603,14.974,28.52,-24.06,-0.126
2.73973,47.442,104.353,6.927,-37.232,15.558,23.731,-20.13,4.101,13.106,9.02,-16.096,13.888
3.12313,49.384,107.128,-6.215,15.088,17.918,-18.26,-59.372,-24.098,15.978,16.442,-26.197,-5.969
3.46571,48.347,96.206,-14.984,13.905,36.051,-23.003,-26.812,-21.06,16.142,1.8,-8.825,32.043
3.80812,48.111,123.777,-4.578,8.669,2.839,7.221,-33.276,-19.807,21.47,3.911,-11.481,18.129
4.15714,48.925,122.258,15.309,28.138,24.155,-17.142,-15.347,24.305,20.532,13.605,-21.367,4.431
4.49868,47.7,146.633,12.61,30.963,13.758,-25.795,-31.349,-32.356,15.214,18.566,-39.601,2.45
4.82961,49.838,109.014,-2.293,-8.49,45.582,7.871,-28.42,19.662,32.608,-0.965,-16.128,14.542
5.18957,50.014,133.502,4.83,3.299,-0.465,-6.827,-61.318,-18.75,6.83,9.155,-22.371,1.863
5.52032,49.862,145.755,-10.329,-1.701,49.083,0.205,-19.036,-3.238,28.401,-14.405,2.281,16.319
5.88045,49.148,122.984,15.34,-0.028,20.321,-24.571,-30.832,-16.268,13.555,17.5,-20.37,21.873
6.22308,48.728,99.673,23.663,-5.376,-5.452,-28.055,-38.655,6.36,-5.95,2.261,-12.62,32.424
6.56549,49.611,109.316,-0.787,-19.71,38.431,-14.101,-58.684,4.15,22.267,11.651,-19.734,4.454
6.7976,45.497,100.698,-20.161,-44.723,23.697,-34.534,-26.648,3.138,12.288,-8.904,3.001,33.931
6.9137,50.269,115.99,34.049,22.908,4.775,-12.152,-32.542,4.51,13.616,8.214,-26.098,9.09
7.25669,48.728,111.03,26.736,31.955,34.55,-21.229,-44.126,3.259,12.569,19.023,-25.398,13.776
7.60499,48.597,199.819,17.613,19.782,30.865,-8.972,-25.955,0.008,5.898,9.93,-21.657,20.808
7.94717,47.586,167.96,37.649,33.992,7.837,-7.803,-42.524,-13.219,6.928,5.787,-27.011,4.595
8.278,50.204,116.181,-2.527,2.999,54.643,3.966,-22.331,8.845,30.764,-8.333,-4.404,16.561
8.63787,49.779,124.629,-1.845,11.871,23.8,-17.988,-37.35,-39.704,21.174,9.022,-20.308,26.562
8.98612,49.081,105.654,-1.64,-1.679,20.38,-27.272,-58.939,-3.042,15.48,12.201,-19.745,18.449
9.3219,49.453,128.723,-1.864,20.673,24.955,-26.724,-29.86,-13.349,-15.069,5.622,-14.809,23.595
9.65927,49.091,94.602,-16.117,-1.817,28.884,-3.658,-40.563,-3.946,15.224,4.501,-22.299,16.537
10.0195,49.09,87.993,-4.525,0.483,15.694,-29.685,-44.101,-0.212,11.979,26.574,-30.032,4.976
10.35773,50.414,150.408,-22.241,-13.925,34.757,-10.859,-28.48,5.594,16.609,-15.413,-8.312,25.809
10.71587,50.539,143.836,-17.613,12.8,37.675,-36.472,-27.264,-1.679,30.347,10.654,-20.937,18.982
11.03524,52.878,122.913,12.813,-35.206,29.781,-6.06,9.527,-1.725,14.319,-12.839,13.334,1.399
11.40113,52.424,88.881,32.698,-14.3,43.514,-37.302,-5.279,25.301,13.561,10.473,-12.987,-10.293
11.70272,53.652,122.952,49.062,-28.239,43.538,-26.22,12.149,9.067,-7.488,0.674,-13.508,-2.125
12.36444,54.331,123.817,59.137,-15.974,22.333,-38.726,11.499,12.485,-9.728,-0.461,-3.729,0.842
13.3283,53.204,112.949,50.592,-7.905,20.485,-34.418,39.23,12.35,-42.203,-10.397,-8.348,24.44
13.78698,52.845,77.348,55.057,-9.498,11.768,-19.831,4.144,4.985,-19.848,-10.047,-6.819,25.848
14.15841,52.754,102.483,39.358,20.2,8.346,-33.433,0.64,-26.012,-8.428,3.73,-6.883,27.653
14.49492,51.517,67.271,33.359,12.596,9.13,-26.834,-5.833,-19.01,-25.429,-14.269,-3.334,28.889
14.83778,51.21,75.247,36.891,10.917,12.644,-12.642,-12.681,-8.523,-4.894,-13.38,-1.103,25.482
15.19188,51.879,90.302,19.395,10.583,18.406,-19.454,-13.597,-14.989,-7.388,1.051,-11.683,31.255
15.54014,51.05,93.163,22.464,26.293,9.566,-25.778,-25.975,-34.133,-12.004,-1.795,-18.122,34.267
15.86454,51.942,98.928,16.805,-8.609,26.329,-7.763,-7.282,10.221,18.775,-19.685,-1.182,27.672
16.22422,51.447,107.612,3.589,-5.093,25.283,-24.546,-37.958,-20.838,-1.469,-0.865,-15.435,26.652
16.5561,52.484,134.899,-0.973,-3.274,40.782,-5.86,3.561,-7.523,19.285,-24.827,2.799,25.848
16.91619,51.035,119.517,14.858,1.59,26.85,-28.167,-44.365,-16.498,13.35,8.299,-7.578,9.053
17.26358,50.335,104.452,30.116,2.884,12.91,-20.124,-21.325,-5.834,0.752,7.431,-15.165,30.163
17.60005,51.202,123.95,1.666,-9.256,29.449,-18.281,-26.555,-0.305,16.137,6.339,-4.195,31.458
17.81687,47.081,61.389,4.785,-46.992,23.259,-33.453,-10.502,-1.172,5.073,-9.815,8.902,20.957
17.94952,51.237,108.236,28.703,7.871,-1.966,-12.187,-29.581,-13.576,7.655,-6.469,-21.223,19.817
18.29156,50.048,103.67,22.996,24.062,21.893,-28.53,-26.996,-4.816,4.104,2.478,-15.113,27.793
18.63991,50.538,148.209,16.135,14.976,46.354,-23.907,-11.034,0.203,30.809,6.841,-17.654,12.074
18.9878,49.961,99.589,34.628,14.338,33.896,-30.097,-42.658,-8.189,14.268,13.979,-13.315,13.568
19.31324,52.247,104.818,5.547,-4.574,34.733,-2.138,-13.7,-6.385,9.528,-33.349,2.058,22.628
19.67288,51.467,117.526,7.103,8.046,17.166,-19.139,-24.23,-16.237,2.481,6.278,-13.189,34.187
19.95868,49.074,92.045,17.829,-31.537,17.747,-21.53,-8.207,-5.069,-0.741,-5.917,-14.029,36.642
20.36381,50.626,124.915,13.149,18.043,22.967,-28.682,-23.273,-28.187,-15.415,1.464,-22.353,25.002
20.68327,49.38,60.405,11.709,-11.904,27.793,-6.575,-21.713,-23.615,10.249,-7.998,-2.235,20.116
21.0488,50.82,95.427,13.171,2.95,10.059,-23.203,-20.286,-5.178,10.556,5.743,-17.435,10.199
21.3566,53.246,85.701,-13.424,-16.148,17.087,-3.112,5.778,15.896,7.208,3.882,-16.136,12.068
21.71692,52.689,101.448,-15.489,-32.756,16.82,-29.087,-7.054,20.79,17.821,0.984,-5.987,12.667
22.01868,53.032,118.705,-16.359,-42.597,10.923,-14.07,7.84,-1.809,-1.526,11.462,-21.006,13.411
22.40517,51.759,83.533,11.698,-19.877,-5.366,-30.96,8.675,7.442,-1.678,4.874,-11.58,2.931
22.74385,56.198,106.311,6.951,-24.096,33.38,-9.477,-0.275,-0.136,-10.056,8.626,9.238,-13.037
23.08073,55.387,123.286,20.068,17.186,2.347,-23.105,-11.968,8.282,-3.589,11.413,-33.293,-14.058
23.33778,55.005,101.752,9.64,-1.686,33.176,-8.416,-2.667,38.518,14.085,-12.274,-11.827,-1.357
23.65519,54.333,110.986,11.982,-3.31,-5.897,-2.581,-6.665,15.959,-21.446,36.703,-21.996,-24.076
23.96086,54.551,100.541,15.26,-74.435,19.218,-20.222,26.754,-2.528,-5.883,28.773,-8.169,-11.161
24.11415,57.238,112.458,30.568,-17.226,14.365,-35.854,11.595,8.73,29.853,19.665,-2.543,-4.203
24.28227,55.486,109.858,-10.685,17.365,1.477,-31.019,-4.162,7.066,20.477,10.717,-24.718,0.222
24.64862,56.903,113.98,39.956,-6.461,26.469,-24.634,32.94,10.809,-21.948,1.202,0.151,2.06
24.82744,57.193,114.329,3.067,-23.69,14.912,-52.711,16.102,14.82,9.282,9.554,2.211,28.059
25.37918,57.461,157.288,39.741,-1.585,28.951,-41.011,30.191,4.022,2.994,11.852,-8.303,36.429
25.49501,57.709,148.56,8.165,-17.351,21.171,-37.065,-6.519,9.774,11.746,30.283,-5.355,23.099
25.73374,55.603,146.279,-0.558,20.375,20.67,-43.104,0.016,-0.026,7.417,1.349,-31.405,9.936
26.17451,51.706,109.376,19.854,-44.713,9.99,-25.016,17.86,-1.3,5.73,11.946,-18.081,3.851
26.42989,53.196,130.898,30.055,-15.062,-17.268,-41.099,3.195,4.498,-8.802,4.266,1.062,-1.913
26.54599,53.695,76.412,-28.704,-9.58,-5.89,-63.789,-7.756,10.182,7.768,22.743,-8.805,2.127
26.88939,56.193,115.802,7.763,-22.625,17.363,-29.538,16.086,27.194,-18.25,-1.074,-6.408,1.672
27.06862,55.355,108.018,-18.65,-17.944,-1.024,-64.207,8.924,14.421,-4.447,6.803,-1.377,-0.259
27.41565,54.931,115.327,21.214,-16.016,9.549,-24.38,16.941,5.441,-2.891,0.784,-11.721,-9.044
27.53905,54.993,112.391,17.487,-18.045,-7.43,-36.667,15.863,17.001,0.921,4.809,-17.364,0.826
27.92227,56.241,114.548,5.722,-12.51,-10.566,-11.441,-11.988,-6.956,-45.542,-2.478,-7.259,5.85
28.09016,56.259,114.198,28.291,-34.981,9.252,-22.018,3.04,16.818,-28.156,-10.948,-14.545,16.613
28.49098,55.893,109.317,38.492,15.483,-7.618,-32.883,0.958,25.685,-17.461,-6.733,-18.584,-13.365
28.83338,55.72,93.826,44.028,14.585,7.245,-23.359,16.374,15.829,8.919,-20.209,-22.158,6.06
29.002,53.002,105.555,36.355,-26.095,-16.222,-33.943,-0.47,0.007,8.949,11.572,-7.433,3.175
29.1927,55.454,122.295,16.103,10.537,-41.119,-9.84,-20.774,-24.409,-24.494,-9.213,-25.076,-18.38
29.45034,54.205,128.198,16.213,-41.305,-36.874,-24.793,5.213,-25.763,-19.036,15.193,-3.336,-42.359
29.65787,56.88,125.382,40.95,-9.574,-20.269,-37.39,0.05,19.514,-22.128,-8.495,-1.95,-30.945
29.83184,55.499,103.917,-2.341,11.324,-48.594,-37.396,3.997,11.25,-32.044,-14.201,-28.804,-12.771
30.02707,55.327,118.674,28.128,-15.842,-39.925,-7.624,-4.691,-4.214,-5.405,-17.656,4.916,-28.046
30.34844,57.387,116.826,-4.135,-26.757,5.844,-41.185,4.865,24.009,44.733,-10.237,-9.189,21.69
30.5751,56.268,133.714,-2.761,-17.188,28.236,-46.742,8.821,4.005,55.335,18.016,-12.689,21.092
30.72726,55.869,144.806,5.376,-30.968,38.699,-31.754,5.778,-4.029,60.566,14.837,-9.323,8.604
31.03356,55.964,96.642,0.6,-2.874,31.911,-43.686,-2.724,9.182,12.335,9.058,-19.854,-0.261
31.40476,53.432,111.021,0.846,-27.185,16.498,-25.325,2.304,4.861,11.906,7.399,-24.926,12.983
31.5498,54.38,136.366,-16.998,-9.342,20.966,-48.669,-12.891,18.926,-20.338,-5.21,-4.749,-1.274
31.71932,53.673,103.028,0.846,-28.336,48.815,-20.609,-1.863,4.632,-9.446,13.413,-25.275,3.64
32.06095,55.944,118.22,-34.696,-4.445,-3.722,-10.29,1.335,2.93,-14.335,-0.506,-16.708,-8.858
