start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
0.37184,43.106,108.12,-158.512,141.711,63.788,-125.755,-56.767,78.494,-2.66,-29.674,-22.704,7.856
0.63261,30.054,-154.644,-29.628,-32.374,115.85,-106.954,-40.685,42.681,-26.172,-24.647,40.647,-8.634
0.71215,44.795,47.509,-60.327,210.376,25.181,-59.115,-41.29,-6.588,-27.617,-13.947,-63.246,30.987
0.88667,37.449,130.822,-180.088,-6.801,140.915,-103.486,-65.273,48.666,14.347,-11.965,0.496,0.868
1.06277,31.121,-29.225,-158.623,106.678,156.674,-126.367,-66.749,-26.45,-26.923,3.432,-30.952,19.511
1.22558,32.855,194.779,-158.576,-83.846,135.353,-24.719,-64.883,-19.593,5.62,-10.256,39.999,-5.921
1.31751,39.092,65.971,-138.424,-45.558,184.907,-80.363,-45.497,25.357,0.151,-8.386,-1.777,13.98
1.40186,44.681,49.398,-72.562,209.343,32.852,-24.517,-25.982,2.007,-29.266,-0.686,-39.62,17.674
1.5785,37.782,121.991,-158.104,-15.597,165.514,-103.803,-79.41,31.188,7.651,-18.247,2.27,16.842
1.75424,38.303,118.935,-158.908,-7.542,157.229,-107.18,-67.577,43.357,8.487,-12.22,-7.147,6.258
1.92127,42.805,-24.405,-90.143,154.876,47.451,-90.779,-14.768,-54.474,-20.821,16.928,-41.346,21.62
2.0956,44.92,38.472,-62.254,202.039,28.359,-75.302,-42.878,-12.332,-28.691,-12.295,-67.612,28.276
2.26916,38.179,117.656,-171.107,-12.858,148.267,-110.764,-63.981,39.612,13.371,-15.111,-2.075,2.759
2.44413,31.759,-36.536,-147.411,93.89,153.257,-128.121,-64.634,-35.1,-26.866,7.503,-31.319,22.707
2.60077,33.681,165.827,-156.305,-91.431,141.193,-10.659,-51.519,-20.922,10.8,-26.48,57.145,-7.207
2.69937,39.915,74.938,-109.9,-76.206,160.375,-108.514,-27.792,8.073,2.879,-20.658,39.993,8.207
2.78875,44.848,39.68,-59.813,203.293,26.717,-81.504,-42.276,-9.572,-25.871,-13.843,-72.413,23.822
2.96113,38.352,112.416,-147.173,-28.105,169.286,-106.237,-72.764,18.591,4.937,-16.189,0.01,18.357
3.12889,44.218,92.098,-143.337,123.863,72.456,-118.194,-43.912,53.895,-5.168,-22.159,-15.431,11.416
3.39098,29.706,-165.219,-53.104,0.224,118.229,-95.323,-47.101,29.49,-18.409,-20.812,3.683,0.736
3.47061,45.398,36.714,-61.336,195.65,26.062,-48.795,-38.012,-17.979,-28.857,-6.519,-54.172,30.936
3.64499,38.742,104.737,-165.695,-20.23,157.798,-93.113,-55.339,31.363,10.404,-5.524,7.428,4.594
3.82508,32.021,-48.018,-138.061,76.291,148.04,-139.672,-57.153,-48.735,-29.522,9.588,-22.222,18.426
