start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
0.21188,1.481,140.402,-38.667,-53.93,26.175,-46.929,32.427,-2.708,-27.439,14.749,-14.136,-5.057
0.40508,13.751,-5.998,122.512,-150.932,129.887,-0.113,55.397,-62.855,-1.975,67.405,2.968,-52.185
1.32417,22.817,-79.176,119.967,2.066,91.427,-20.882,-17.969,11.662,4.618,-3.386,-10.844,-54.947
1.5034,25.448,-11.487,170.273,32.111,66.49,-10.165,-5.492,23.209,0.261,-7.701,14.394,-54.957
1.94485,23.827,29.36,165.329,100.143,60.017,-23.933,44.977,-22.735,-5.351,12.851,-49.971,-48.096
2.82721,19.552,-33.431,169.435,-24.803,105.627,-31.424,51.245,-1.155,1.331,32.887,-8.198,-59.038
3.34395,20.374,-52.27,116.227,13.454,75.182,-39.264,32.722,22.571,18.613,13.36,-12.22,-65.18
3.80834,21.682,11.065,133.659,-15.395,42.781,-29.297,21.874,13.645,14.171,8.097,-12.314,-49.446
4.33583,18.553,-84.162,30.947,-10.883,66.82,-41.896,-21.966,3.923,-19.746,-2.368,-7.674,-43.125
4.5688,16.982,-86.38,7.429,3.885,95.527,-43.132,-24.998,17.466,-7.914,-2.561,-23.469,-31.922
6.06594,15.169,-91.709,0.788,-34.217,114.253,-60.568,-17.494,-4.144,-31.076,-9.919,2.289,-26.224
6.4254,16.002,-81.799,15.977,-0.663,93.398,-37.636,-18.222,30.84,-52.102,-23.294,-11.138,-8.293
6.86753,14.233,-64.888,22.195,-19.395,101.641,-39.712,-1.976,5.882,-67.623,-13.105,-1.68,16.788
7.05837,14.84,-82.615,8.661,-18.1,110.311,-54.979,-12.515,5.282,-52.424,-12.793,4.468,1.557
7.65746,13.545,-69.258,-7.761,-15.861,115.296,-41.551,-28.529,27.369,-37.234,-8.097,-16.529,-9.865
8.39968,10.774,-36.094,-37.485,-53.433,95.981,-50.412,13.677,-5.634,-30.573,0.594,-5.468,30.276
8.6785,12.502,-85.744,-71.854,-85.626,111.292,-52.114,-29.73,-17.498,-16.599,0.005,4.833,15.87
9.06726,15.57,-105.981,-30.986,-76.327,92.87,-38.833,-4.03,-3.109,-40.697,-4.546,10.46,10.431
9.70014,17.675,-57.838,70.008,-41.493,59.116,-39.35,61.748,-3.929,-37.527,6.457,7.184,29.031
10.17651,18.359,-60.619,81.218,-26.502,60.012,-33.26,55.709,5.727,-45.327,8.97,-1.254,27.571
