start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
0.72934,31.478,111.912,168.569,-189.548,118.049,239.464,53.393,35.284,-0.86,40.787,-20.748,-2.817
1.1785,46.937,200.523,194.4,66.089,123.151,100.15,32.066,8.654,8.995,6.736,48.42,-39.62
1.38136,48.139,194.473,177.319,134.786,118.069,-21.516,-2.499,-1.402,5.028,-5.82,-56.81,-11.887
1.59066,45.208,164.808,205.232,-46.326,111.291,59.427,33.805,36.151,9.777,-7.423,-21.832,-10.709
2.17111,45.877,196.349,137.889,21.28,56.082,-10.547,11.153,2.984,-11.276,7.644,24.918,31.745
2.31066,45.696,165.418,125.412,132.165,82.319,-1.534,4.063,18.634,10.906,0.037,-75.656,7.555
2.80367,39.731,135.706,198.708,-104.424,104.888,77.489,28.898,50.45,5.768,-6.305,-54.68,0.779
3.22748,50.701,199.182,172.022,76.331,105.103,-13.759,8.277,17.848,3.322,5.461,-2.697,-2.809
3.41302,47.328,180.815,158.235,152.3,110.782,-18.415,6.853,-4.087,7.839,-2.078,-68.284,-5.588
3.62798,48.07,178.927,166.099,38.552,105.382,44.363,32.002,24.114,10.14,16.227,56.289,-16.633
4.17955,44.997,196.09,150.884,43.676,72.391,-30.524,2.565,-0.522,-13.339,2.457,5.314,27.244
4.28971,44.558,204.812,149.009,144.446,100.46,34.956,14.449,-6.919,-4.023,-11.888,-83.93,1.832
4.8298,41.333,130.621,165.949,-41.517,98.129,130.263,32.568,63.245,6.652,-22.949,-24.531,-8.746
5.2185,47.054,176.592,173.08,7.704,108.827,95.119,49.357,23.339,11.534,11.129,42.266,-26.268
5.41039,48.093,176.173,137.696,147.251,96.923,-32.403,13.366,-23.802,1.572,1.511,-73.14,-6.21
5.62454,49.793,198.216,180.219,73.671,95.465,-23.97,18.066,14.103,0.85,3.876,-5.917,-10.586
6.16508,44.133,213.588,157.766,66.166,87.035,-34.376,4.996,-12.155,-8.168,1.586,2.46,21.283
6.24603,42.757,195.563,146.004,100.164,86.228,22.888,16.647,5.377,-0.752,-5.346,-89.176,11.336
6.84385,39.636,141.096,175.709,-62.62,97.493,137.56,41.228,55.617,-0.443,-14.708,-60.15,-3.475
7.2502,48.168,179.136,162.696,54.815,106.855,37.288,27.362,11.8,6.275,11.248,47.133,-13.685
7.44789,45.16,169.692,135.094,157.766,88.796,-15.367,2.915,-4.818,0.969,-3.038,-75.14,2.503
7.68585,49.85,205.624,199.026,62.158,103.766,-32.289,18.219,4.437,0.188,10.04,5.584,-12.599
7.9473,51.529,120.527,72.62,52.494,39.432,-25.999,22.916,9.324,10.579,-3.481,-35.378,6.414
8.23719,49.126,158.042,78.208,10.489,23.586,-26.558,13.541,-0.463,-21.273,43.712,-18.054,39.357
8.39991,52.365,118.789,72.796,26.279,37.092,-21.659,21.358,30.218,5.867,20.026,11.712,3.338
8.56807,48.162,117.578,50.222,98.372,37.117,-32.656,14.972,-39.347,-8.417,15.823,-33.847,-4.074
8.97002,52.633,83.416,23.955,40.103,9.581,-8.823,43.389,10.477,5.918,-5.94,-25.027,0.436
9.29977,52.158,92.095,33.83,-6.94,10.934,17.55,13.639,24.072,-2.27,-7.492,-8.833,11.464
9.6883,52.273,87.032,45.144,-41.161,12.824,0.243,21.164,18.986,0.345,3.142,8.356,2.607
10.30966,50.754,117.736,48.416,0.141,19.013,-32.861,-5.713,8.157,1.656,-12.171,5.225,6.51
10.51274,49.306,74.374,4.092,55.053,6.92,-25.265,-4.119,-3.816,-6.212,2.258,-48.821,27.794
10.95234,48.093,50.758,20.859,-81.067,15.612,40.904,8.567,33.241,6.385,-11.637,-32.161,9.509
11.30776,54.044,123.744,24.758,-13.863,6.81,34.395,22.115,6.694,-6.606,-20.187,36.206,3.441
11.69125,53.891,109.467,54.757,-11.624,10.796,-36.83,16.911,7.654,-2.626,8.935,2.34,8.561
12.06299,53.236,107.048,59.325,0.099,33.32,-28.179,12.34,5.074,-0.523,2.815,-9.781,9.836
12.31261,51.796,92.025,29.324,-28.486,7.121,-10.262,13.703,3.401,7.288,-27.682,9.715,11.1
12.45179,51.981,94.093,24.87,33.47,16.718,-17.047,10.656,-23.466,-4.277,1.771,-60.111,19.185
