start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,2.569,117.362,-67.854,-61.926,11.782,-53.275,28.762,1.801,-25.764,4.423,-9.233,-2.013
0.24408,33.404,-27.539,-7.789,42.289,41.313,118.684,-18.518,-38.709,-7.809,49.78,10.051,-16.122
0.59234,36.373,-38.883,-8.012,30.609,23.879,74.064,-20.004,-16.886,-8.892,-9.308,-21.412,-4.228
0.92304,37.929,-58.336,-19.215,62.006,24.218,43.537,-32.322,-21.093,-10.043,20.385,-26.924,3.221
1.23002,36.558,-27.267,-0.999,17.473,16.082,107.676,-17.902,-19.337,-2.241,-15.006,-31.571,-6.633
1.53887,33.61,-47.544,10.533,2.278,23.188,63.153,-20.518,-27.051,-3.243,-21.024,-44.609,-0.841
1.86821,35.102,-34.881,8.229,-32.993,16.978,89.708,-8.98,-0.359,-7.157,-19.166,-28.783,10.251
2.22503,34.095,-45.341,-5.908,37.721,35.573,27.904,-4.271,-16.219,-3.059,-0.049,-14.035,12.91
2.36916,33.967,-19.652,23.389,17.406,20.81,44.575,5.956,-21.752,8.371,-8.923,4.369,-1.64
2.5659,38.804,-5.843,19.743,11.595,18.446,-10.638,-25.363,-1.742,-2.354,-2.652,-3.887,-5.975
2.89669,35.945,-31.825,30.783,62.773,45.09,-15.655,-10.272,-22.163,0.709,13.653,-12.147,-1.815
3.01247,34.547,-52.372,19.891,-15.557,15.673,36.012,6.969,-14.418,14.192,-20.33,-37.919,-4.872
3.21025,42.043,3.739,28.483,-7.53,38.193,37.821,-16.888,3.414,-2.184,3.46,-0.097,3.144
3.55247,39.57,0.796,11.662,81.758,32.413,-32.144,-37.404,-20.806,-2.321,-10.469,-12.207,14.866
3.66399,35.531,-37.962,52.47,-28.226,34.975,18.271,-18.19,-9.276,3.803,-16.215,-37.768,12.67
3.85465,37.854,-35.562,-13.152,20.345,9.852,39.031,-8.421,-25.471,4.005,-15.156,-22.363,11.513
4.04014,35.165,-41.1,-18.091,57.142,-3.81,-29.352,-8.289,-43.943,-7.974,7.039,-11.69,1.233
4.19166,36.189,-28.861,0.711,40.599,29.194,19.939,5.29,-34.354,2.337,-2.706,-25.527,15.846
4.31315,32.411,-57.315,0.73,-29.718,9.853,14.685,-3.592,-8.52,9.209,-24.271,-52.945,7.561
4.5151,34.095,-45.993,-16.954,39.591,9.656,8.365,7.659,-23.309,2.891,17.982,-23.82,4.833
4.65596,35.438,-22.956,-18.609,41.39,20.558,-3.153,17.643,-11.042,8.068,8.368,-14.615,27.918
4.82912,36.124,-57.059,3.202,34.418,25.419,60.988,-23.39,-8.26,-7.121,-11.422,-33.765,-0.899
5.15986,38.654,-45.521,-4.441,46.466,25.606,47.408,-29.952,-23.479,-6.155,3.382,-36.71,1.382
5.49197,38.779,-42.805,-8.328,71.133,26.822,36.047,-33.42,-19.252,-3.746,11.456,-24.281,-1.096
5.81093,38.06,-37.584,-19.498,73.514,25.093,22.87,-31.872,-32.497,3.825,17.789,-12.234,-12.104
6.11723,36.837,-49.297,-1.286,50.487,16.536,43.366,-24.939,-16.661,-3.511,1.677,-27.388,-0.99
6.39873,33.076,-48.82,34.855,-92.938,18.708,47.423,-14.063,7.364,-7.102,-9.759,-58.349,3.308
