start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.047,170.274,10.225,-29.534,58.054,-50.639,15.651,3.748,-26.929,0.67,-9.483,-6.674
1.17764,2.153,133.204,18.713,-27.57,76.707,-39.932,-3.619,4.641,-33.475,1.6,-7.234,-9.094
1.30113,4.661,93.436,28.474,-40.663,81.595,-36.933,31.6,-8.192,-36.717,8.004,-10.367,19.35
1.53333,6.763,61.34,22.756,-29.577,79.868,-51.374,30.301,5.46,-26.283,2.064,-0.146,-12.16
1.68313,9.558,53.057,72.049,-7.903,85.019,-18.245,-7.732,13.097,-34.593,4.24,-5.913,-23.381
1.97946,10.498,52.713,69.873,-20.918,77.002,-39.462,37.248,11.238,-15.6,-0.622,10.451,14.843
2.12376,11.819,49.319,53.815,5.912,43.307,-56.073,36.792,2.307,-10.739,1.78,-6.714,-12.828
2.26345,11.659,43.983,52.44,12.719,30.985,-39.931,39.678,13.432,-29.742,-1.579,-14.606,-9.625
2.41333,12.222,26.26,34.441,-24.461,38.93,-36.392,25.777,15.873,-17.994,-0.62,-7.19,-15.174
2.72889,13.215,38.251,49.167,-17.069,42.347,-34.685,32.573,-2.323,-4.82,-5.536,-6.723,-11.247
2.96685,13.534,22.034,64.639,12.624,66.531,-36.688,8.01,4.781,-12.36,-8.442,-3.399,-2.782
3.14621,14.797,26.839,44.333,0.402,37.117,-22.456,8.361,9.091,-13.812,13.36,-3.225,-7.092
3.46036,15.087,5.457,53.774,-19.895,43.645,-30.059,7.84,-3.114,-10.808,1.853,-12.1,-37.431
3.61138,15.571,-7.941,40.857,-3.252,40.131,-38.964,16.052,7.425,-8.078,3.102,-13.078,-32.226
4.00658,16.15,-12.776,31.449,-8.013,46.97,-27.037,14.936,12.533,1.488,23.123,-12.491,-31.487
4.24431,16.49,-17.75,61.775,-7.58,56.308,-38.847,11.353,-4.594,-16.015,5.6,-1.306,-15.026
4.33125,18.591,-13.865,64.118,-7.892,34.276,-30.269,0.251,14.391,-11.463,-0.521,-14.88,-10.696
4.66127,16.831,-5.091,42.714,-18.692,8.061,-36.362,29.119,14.711,-19.243,6.082,-1.358,-15.052
4.83392,16.737,-10.986,23.982,15.967,27.0,-36.921,14.822,28.11,-11.498,-9.901,-13.69,-0.482
5.14862,15.038,-16.789,4.311,-19.753,52.868,-47.624,35.965,4.976,2.8,15.305,-11.23,1.781
