start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.02,170.745,9.863,-28.907,57.926,-50.356,15.133,4.603,-26.761,0.992,-10.271,-7.86
0.33061,27.136,49.915,215.007,-235.217,103.608,17.37,9.995,28.362,9.752,45.455,86.652,-44.203
0.83043,45.245,145.943,187.283,17.339,107.987,-32.348,-33.434,0.302,17.606,20.533,1.086,-27.004
1.62544,47.131,150.968,160.369,30.459,100.308,-32.846,-37.935,-8.318,27.978,13.363,1.365,-13.279
1.70649,47.84,171.407,167.915,27.847,104.974,-22.437,-45.255,-10.886,35.154,8.546,-2.895,-20.421
2.33964,48.063,174.554,179.63,39.915,117.56,-38.573,-68.113,-4.921,34.873,22.368,-11.428,-25.237
2.50766,47.154,172.893,183.868,43.523,116.332,-23.129,-62.667,-0.22,32.545,15.41,-19.924,-29.119
2.92567,46.003,181.315,173.267,25.524,75.482,-34.722,-46.541,-13.194,15.506,13.634,-20.012,-34.894
3.41896,46.335,169.932,149.207,39.052,78.26,-19.708,-69.802,2.91,13.438,7.131,-1.967,-46.905
3.73841,45.693,181.692,159.101,17.758,69.075,-4.844,-60.695,-27.81,1.477,20.079,-10.42,-44.092
3.94757,46.271,160.384,161.313,16.061,71.776,-13.827,-62.166,-13.994,7.036,9.427,-7.409,-55.522
4.24921,45.317,170.569,148.372,36.092,60.164,-17.069,-59.453,-12.107,-8.843,3.421,-9.838,-48.455
4.61492,44.046,219.765,161.686,22.039,35.203,-19.373,-54.205,-12.222,-13.964,-7.59,-4.637,-40.846
4.71379,46.776,160.582,172.313,34.0,88.435,-13.555,-64.589,-27.433,2.396,25.503,-17.461,-55.862
4.84141,46.818,143.725,160.564,44.024,94.167,-18.788,-66.75,5.808,20.061,17.678,-10.525,-45.882
5.00975,45.034,176.923,137.452,25.689,67.523,-20.99,-61.319,-17.912,-0.487,4.633,-10.793,-41.991
5.19519,46.784,152.009,165.257,1.567,92.242,-12.012,-62.753,-9.172,21.808,16.996,-2.212,-47.438
5.53805,46.011,168.023,190.313,40.439,90.689,-20.824,-61.543,-2.239,6.549,22.496,-9.687,-44.083
5.85143,46.626,192.983,172.798,10.803,59.534,-15.942,-58.347,-10.898,2.94,20.364,-9.401,-39.164
6.11823,47.096,173.333,156.618,29.036,68.202,-8.338,-61.345,-20.738,17.085,9.517,-7.106,-40.769
6.31578,46.166,181.931,156.848,27.894,53.454,-7.48,-58.148,5.011,2.399,8.018,-11.691,-33.19
6.43737,47.234,192.115,167.302,38.023,61.966,-7.29,-69.479,-6.823,9.054,12.145,-5.014,-50.563
6.81506,47.209,191.529,165.997,15.139,88.573,-18.957,-72.807,-17.665,27.128,31.238,-9.963,-35.554
7.12272,41.466,161.173,98.41,179.912,78.923,9.266,-72.045,-30.764,23.335,9.451,-100.764,-24.567
8.44091,32.865,38.962,177.016,-205.462,75.359,65.608,-0.753,52.364,16.32,23.552,0.929,-28.765
8.87565,44.306,154.104,159.641,-37.31,96.986,17.206,-15.548,13.73,16.587,2.672,-13.13,-5.371
9.21837,46.73,169.582,148.612,29.163,114.3,-13.009,-31.144,-16.486,7.847,14.024,-34.947,-0.611
9.52018,41.165,154.057,78.602,44.777,83.003,-7.809,-48.829,-2.364,17.581,-15.098,-25.607,-10.358
9.84544,44.345,147.51,162.445,-33.946,93.609,33.668,-44.745,4.051,14.594,-5.921,-4.47,-39.455
10.50689,46.325,170.15,163.014,10.934,120.138,0.052,-28.711,7.291,17.213,10.036,0.152,-15.336
10.80281,46.497,181.451,141.905,60.776,95.696,-1.522,-18.454,-19.512,11.544,10.427,-50.099,-5.104
11.06376,40.79,161.492,69.835,39.931,61.175,-3.29,-47.904,-5.563,14.772,-23.652,-15.469,-10.712
11.34259,42.158,172.286,153.884,-66.129,71.556,4.915,-49.627,-3.78,12.782,-5.241,8.944,-31.087
11.52871,46.209,164.852,108.415,54.988,76.557,-5.391,-61.853,-43.081,7.024,10.462,-51.863,-25.017
11.72571,43.392,144.225,85.202,45.983,82.321,1.476,-19.264,-19.028,3.86,-8.363,-27.045,10.439
12.03964,44.47,146.06,169.843,-41.069,118.114,10.114,12.686,20.994,-7.628,4.595,3.182,15.007
12.39968,45.9,114.87,125.369,89.736,125.639,-29.616,-35.394,-13.716,8.399,21.852,-38.591,8.742
12.61968,43.163,114.981,160.122,-23.197,131.142,-3.739,-15.317,11.364,15.197,-2.599,-20.663,0.529
13.11932,42.072,178.402,76.693,-6.486,81.565,-30.624,-59.487,5.076,21.006,2.954,-6.29,-1.506
13.44426,42.744,166.712,99.839,19.423,56.039,-10.799,-55.634,-54.047,3.029,8.04,-30.114,-8.93
13.62458,46.031,156.62,171.117,-27.612,80.57,-1.047,-8.74,11.984,-10.83,6.873,14.331,-2.446
13.92032,47.997,205.82,190.874,47.855,126.735,-33.49,0.164,-2.638,-2.908,1.097,-5.488,-0.624
14.36159,47.403,179.731,178.783,49.22,134.666,-32.875,5.343,11.507,-1.311,12.434,-3.193,8.572
14.7098,46.13,193.334,184.582,33.047,92.488,-21.754,14.674,-2.749,-13.915,3.292,-9.64,16.04
15.10426,46.921,171.742,209.756,49.576,111.466,-16.891,1.48,10.798,-15.806,-5.74,-8.398,-10.682
15.51673,37.404,118.097,43.595,162.481,77.476,3.512,-42.757,-25.221,-7.687,-6.306,-86.846,17.584
16.69592,39.908,69.713,191.527,-131.087,91.718,94.662,3.924,44.93,28.253,-14.033,50.49,-36.071
17.4146,48.683,161.535,185.013,27.05,97.71,-25.025,-33.59,-6.83,33.535,-2.555,4.531,-24.286
