start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.045,170.056,9.639,-29.72,58.042,-50.389,14.391,3.538,-27.179,0.683,-9.874,-7.424
2.27002,2.322,120.957,0.471,-37.573,78.606,-42.109,-27.057,1.067,-39.15,-3.183,-1.721,-6.485
2.61823,4.04,94.563,0.543,-25.924,80.76,-35.396,-28.67,7.775,-49.364,0.249,-4.935,1.326
3.25066,3.374,98.813,-5.092,-39.551,88.578,-46.088,-3.159,-1.415,-15.65,9.29,-5.931,-6.968
3.44295,5.377,59.558,8.843,-32.755,120.807,-46.306,-18.027,-0.312,-16.138,6.136,1.874,4.737
3.52975,6.527,49.3,12.487,-36.873,113.044,-41.124,-21.723,-2.031,-10.908,3.93,-2.702,0.907
3.76222,7.156,48.54,17.633,-24.613,95.714,-38.198,1.491,11.345,-25.424,5.399,-15.759,-0.4
4.71805,6.608,55.24,-15.136,-51.87,62.35,-41.39,3.405,1.75,-37.757,1.569,-3.794,8.113
4.898,7.266,53.88,-0.278,-28.257,62.598,-37.827,-6.239,4.656,-43.023,-5.911,-13.255,-9.307
5.35914,6.622,55.179,10.211,-35.733,91.215,-39.722,-9.253,6.425,-25.178,3.767,-5.598,-5.681
5.49583,8.409,35.779,6.661,-36.768,78.173,-30.931,2.776,2.928,-24.063,11.697,-9.03,-0.669
5.97723,8.552,38.078,-5.812,-30.038,56.867,-46.275,-7.09,8.797,-23.721,-1.55,-0.065,-14.219
6.08971,9.391,26.872,9.992,-20.268,70.159,-42.862,-11.925,16.695,-29.378,-4.198,-2.253,-7.492
6.2293,8.37,34.775,0.302,-10.924,81.394,-45.388,-6.711,7.654,-16.898,0.537,-7.21,-8.202
6.78567,7.865,22.902,-27.62,-25.122,82.811,-49.497,-9.494,19.894,-31.297,-10.256,-2.794,11.751
7.25052,7.202,36.142,-11.638,-35.571,89.612,-44.107,7.164,13.569,-22.242,2.833,-8.315,-4.611
7.49973,7.814,27.1,-14.098,-35.967,85.157,-45.185,11.137,9.516,-24.912,5.584,-5.593,-0.204
7.72517,8.378,21.614,-21.692,-28.884,74.021,-49.114,-27.439,9.308,-36.744,-11.579,2.811,-3.455
8.09347,8.033,26.42,-14.387,-18.82,82.466,-46.5,-6.052,18.338,-33.162,-4.203,-12.485,0.745
8.50934,6.787,37.228,-75.884,-60.362,41.688,-50.305,14.584,3.175,-14.799,10.46,-9.294,-10.247
8.71383,8.612,23.66,-35.843,-54.512,47.371,-52.675,35.462,5.301,-16.65,4.594,-3.013,-7.018
9.22268,9.652,19.322,-31.022,-37.709,45.789,-43.531,11.857,9.474,-18.301,8.447,-5.228,6.288
9.66118,7.799,35.378,-37.286,-8.616,64.707,-47.601,-6.034,31.877,-15.813,5.179,-17.278,-7.26
12.2024,4.979,65.749,-27.818,-52.275,82.215,-47.169,-16.814,-5.208,-16.4,5.136,-8.518,-12.043
12.42322,6.556,42.034,-11.693,-37.746,99.001,-50.044,-21.186,4.088,-14.609,0.856,-4.147,-27.116
12.51569,7.54,28.301,-12.081,-35.124,99.22,-41.082,-5.663,0.533,-11.591,16.879,-17.425,-17.144
12.87687,7.911,21.223,-29.07,-39.316,85.928,-52.039,-18.75,11.604,-12.963,-4.35,4.524,-8.455
13.20717,8.237,21.315,-27.385,-38.809,72.461,-46.944,-1.098,7.02,-32.047,1.522,-0.177,15.702
13.79161,9.908,-3.49,-37.08,-65.15,61.578,-43.038,20.127,-0.664,-15.377,7.641,-6.939,-18.907
14.60558,10.425,-6.096,-9.967,-19.222,88.157,-60.39,-3.51,15.749,-3.2,-5.513,-3.701,-25.564
14.75098,9.895,0.392,-18.213,-15.147,81.019,-37.967,-13.824,24.94,-28.991,-0.28,-11.097,-7.19
15.4298,9.556,17.538,-1.261,-50.328,64.103,-34.79,-12.025,-4.731,-42.96,0.142,1.686,-0.399
15.69655,11.381,15.679,15.14,-18.367,58.12,-39.094,-10.421,8.926,-27.173,0.371,-0.352,5.001
15.81814,11.338,-2.701,7.703,-18.787,69.289,-44.576,0.302,5.699,-29.916,-1.664,-6.382,-5.858
16.11456,11.477,14.713,22.109,-15.922,58.269,-50.165,5.688,18.281,-14.472,-5.839,-2.182,-11.439
16.22522,12.045,1.09,22.209,-14.652,68.143,-43.663,-4.185,14.741,-18.937,8.562,-0.241,-13.056
16.35288,12.525,3.991,25.827,-19.203,68.19,-30.253,-16.135,-10.582,-17.906,4.881,-7.2,-8.448
17.12966,12.072,-1.049,9.628,-4.097,67.628,-38.541,-27.399,16.504,-23.039,2.599,-0.824,-12.859
17.26989,10.712,-2.323,-6.67,-41.594,69.284,-45.915,-2.056,0.212,-27.329,0.661,-3.338,-0.285
17.45478,11.625,1.718,-6.351,-31.48,53.375,-39.892,-23.519,6.079,-29.092,-13.471,8.048,23.016
17.54249,11.16,11.376,6.518,10.064,70.594,-44.457,-17.079,14.58,-21.226,-7.413,-1.596,8.215
18.73229,6.792,43.175,-1.492,-44.985,92.415,-41.451,-11.271,-5.302,-38.401,1.855,-0.638,7.933
19.24884,9.746,6.709,-13.377,-46.277,68.472,-47.421,5.828,-0.432,-32.101,0.514,3.649,7.575
19.71891,11.142,-9.924,-7.748,-28.992,75.092,-40.302,-9.421,14.161,-27.623,-1.224,-6.078,-0.47
19.94077,11.628,-24.503,-11.839,-36.979,75.915,-48.776,-11.941,-0.844,-38.214,-3.912,-3.177,-5.523
20.07832,12.62,-30.465,-21.775,-34.149,59.555,-40.299,11.306,6.365,-23.785,-0.0,-11.398,-5.672
20.24649,13.094,-35.067,-41.61,-44.464,42.263,-44.226,-2.645,10.073,-17.478,1.017,7.906,-17.079
20.60925,13.63,-33.653,-22.268,-32.084,41.328,-46.073,5.832,5.197,-28.304,2.078,1.39,3.235
20.69497,14.492,-48.779,-26.731,-37.729,39.394,-44.22,1.696,8.314,-39.518,-3.258,-0.643,15.419
20.91147,14.723,-46.481,-21.35,-33.171,39.711,-49.078,-4.286,18.246,-26.719,-9.055,4.25,1.333
21.37492,14.381,-19.3,42.503,-33.776,66.081,-39.03,-8.139,-6.619,-25.727,-0.335,5.775,-1.151
21.79202,16.39,-32.554,34.672,-30.629,45.869,-28.332,-5.823,-9.159,-31.392,9.15,-9.073,7.212
