start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.182,168.01,1.347,-31.469,50.794,-50.496,21.825,5.63,-25.301,4.109,-12.803,-9.972
0.27592,21.863,-111.781,-133.762,-47.423,-14.424,-46.034,-16.953,7.536,4.711,23.765,3.266,-7.839
0.38612,23.558,-119.138,-145.988,-75.424,4.812,-14.98,-7.771,4.798,14.539,20.922,-16.739,-2.313
0.58639,24.819,-91.981,-122.313,-33.193,-15.271,-76.434,-13.327,4.864,-9.039,12.021,-3.712,-9.991
0.67633,31.556,-6.508,-130.527,77.027,20.706,-39.238,-19.722,-22.344,0.527,-19.046,-18.242,1.445
0.84921,25.953,-84.216,-130.042,-44.671,-6.211,-65.368,-12.466,18.804,7.11,6.276,-7.482,-0.403
0.94871,25.724,-97.567,-143.826,-11.945,-3.358,-37.369,-14.134,5.472,1.011,23.472,-0.981,-7.886
1.12454,34.161,20.013,-103.427,35.169,14.667,-50.461,-28.317,-8.35,1.167,-24.373,-19.735,12.491
1.24268,28.67,-91.727,-149.584,20.55,-6.541,-59.11,-20.131,10.885,14.784,-11.344,-41.387,7.885
1.55909,34.449,25.921,-113.249,103.98,18.814,-49.944,-32.039,18.47,9.17,-39.66,-32.951,16.504
2.0366,26.692,189.353,-40.315,35.169,32.02,7.91,-1.155,30.768,10.518,-25.138,28.928,2.153
2.63542,24.554,69.777,-52.823,-106.259,26.219,26.752,9.733,-51.112,-24.275,74.489,-44.843,25.155
2.85243,29.481,-3.121,-131.398,-13.02,6.801,-37.034,-23.323,37.651,17.0,18.489,1.98,5.238
3.14685,30.989,-37.354,-121.589,-43.143,-10.058,-77.437,-20.191,33.423,11.748,-10.313,-11.067,7.227
3.25769,26.829,-57.566,-162.093,4.372,6.155,-32.66,-24.98,3.237,11.493,22.867,-30.363,3.519
3.55252,28.535,-65.267,-135.163,-26.154,-4.513,-25.185,-12.827,33.969,15.41,4.578,20.718,-4.597
3.75093,31.097,20.91,-142.363,138.251,16.242,-0.441,-32.939,42.193,12.254,-38.172,-20.876,6.283
4.52612,26.706,200.865,-20.284,22.913,43.731,48.104,15.642,26.13,17.141,-21.256,59.885,-4.193
5.0156,29.919,9.426,-131.313,-57.941,1.601,-44.511,-23.522,14.344,8.664,23.032,-6.166,7.867
5.27619,28.185,10.475,-126.728,-69.939,16.94,-26.76,-18.533,0.643,2.181,27.337,-16.083,0.103
5.41655,34.551,17.024,-105.427,61.506,26.031,-28.55,-20.017,0.287,4.187,-25.115,-10.057,14.342
5.58816,29.204,-57.752,-117.858,-38.618,-17.497,-83.611,-19.192,27.589,9.1,-6.203,-1.907,3.471
5.68608,27.388,-53.037,-123.552,-34.927,-4.902,-31.906,-11.919,9.583,1.562,18.254,-21.818,-1.238
