start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.001,171.106,9.411,-28.514,57.439,-50.077,14.89,5.343,-27.213,0.996,-10.663,-7.247
0.11361,21.848,5.104,0.468,-135.543,70.796,185.34,14.909,-31.958,-6.561,88.85,-28.186,2.421
0.25542,31.853,-34.745,-27.344,23.649,36.179,-82.419,-71.82,-30.803,17.47,28.906,-6.387,1.767
0.36014,27.05,-71.349,-61.525,32.761,35.499,-12.501,-67.249,19.271,27.315,2.049,-48.422,-0.937
0.73778,24.93,23.828,-86.623,75.584,-20.921,117.819,-44.338,-10.546,0.241,-36.966,-48.541,-35.094
1.08472,23.14,18.935,36.759,-205.029,26.253,95.417,-4.841,-54.343,-2.455,3.915,-63.527,-13.412
1.54354,31.577,-61.712,-39.18,66.677,-11.161,-58.471,-55.874,-81.778,-31.761,56.182,-38.999,-6.914
1.6834,26.7,27.749,-85.357,160.449,-25.231,-93.483,-90.631,-30.099,-19.925,10.04,-32.947,-21.425
2.04358,23.151,133.604,-38.801,131.843,-62.575,-4.324,-55.905,-78.994,-53.134,8.636,-22.33,-25.392
2.17891,30.312,-38.739,-37.673,11.948,25.581,-20.883,-53.526,-8.52,16.015,22.94,-11.764,6.466
2.32118,30.432,43.976,-98.17,169.85,1.205,-2.405,-82.431,-44.644,-4.708,-21.716,-17.943,-30.968
2.50753,22.635,-37.814,-13.244,-81.542,19.032,49.57,-29.513,-31.199,5.959,0.093,-62.722,-1.135
2.69474,28.283,-9.084,-75.614,32.483,-29.906,62.61,-56.643,-50.509,4.277,-23.083,19.981,-39.759
2.82177,29.162,-0.966,-98.346,123.027,-0.677,57.136,-58.084,-22.373,5.5,-14.147,6.27,-29.143
3.18726,29.871,28.32,-32.633,56.511,-1.929,111.834,-10.461,-133.749,-30.015,47.256,2.111,-15.387
3.58748,30.946,-16.596,-61.363,91.75,-12.693,21.698,-62.611,-90.57,-22.973,26.049,-13.777,-24.311
3.7127,25.932,10.885,-83.631,97.889,-16.366,69.222,-48.043,1.812,13.557,-73.3,-5.453,-41.998
3.95333,16.967,41.882,-22.366,18.179,-9.854,-16.706,-27.423,-6.848,-22.832,-14.79,-7.789,2.805
4.0673,23.283,141.234,-13.54,85.134,-45.772,115.641,-25.225,-41.105,-19.196,-41.92,-21.144,-28.763
4.2141,27.86,-50.892,-66.292,59.618,35.771,-14.697,-57.371,4.722,7.814,57.964,13.118,-0.361
4.36408,31.876,-12.25,-75.226,145.031,10.998,-25.517,-75.035,-58.02,-3.502,20.148,-22.066,-20.237
4.57959,27.117,-62.005,-82.493,57.704,10.537,0.531,-51.204,-34.222,3.276,24.804,8.789,-6.561
4.70893,26.606,23.51,-78.992,64.439,-43.818,42.959,-52.68,-49.346,-0.292,-31.457,10.556,-37.786
4.84676,30.233,-11.825,-90.283,131.914,-20.58,28.213,-62.073,-41.378,-7.659,6.77,14.737,-30.36
5.08531,21.499,39.706,-37.443,2.805,-7.852,-24.659,-51.045,-30.417,-3.196,3.725,-11.316,4.347
5.21342,35.307,-16.875,-33.781,74.662,10.934,-19.772,-53.596,-57.075,3.162,28.174,-11.153,-9.446
5.59497,31.437,-63.785,-53.542,99.028,-3.931,-63.84,-70.504,-61.773,-26.727,28.657,-38.6,0.838
5.71705,26.606,-1.376,-63.513,91.539,-14.158,47.64,-43.759,-3.041,15.712,-65.626,21.831,-38.294
5.96231,19.559,54.48,-2.096,-7.729,7.081,-6.637,-35.33,1.603,5.4,-7.098,6.967,-6.589
6.08948,25.148,114.71,11.693,114.321,-48.039,-54.421,-81.451,-76.587,-58.943,46.575,-46.09,-18.993
6.2054,31.339,-75.678,-50.365,21.901,30.776,-70.465,-51.12,-13.5,8.67,20.453,-15.796,17.751
6.32698,31.353,-21.345,-49.641,47.573,10.662,-31.414,-67.228,-24.349,9.603,-18.0,-72.019,4.417
6.57687,26.336,-71.545,-68.418,31.977,23.333,-18.334,-41.474,-26.434,-20.702,20.06,-6.374,3.239
6.70014,29.98,12.135,-65.196,85.798,-57.55,-43.995,-57.726,-57.463,-22.116,29.725,-34.066,-8.576
6.82544,31.218,-6.033,-68.763,60.179,-14.584,48.531,-51.139,-26.359,-1.441,-27.861,-13.228,-19.025
7.08245,23.368,58.137,-27.805,15.327,-18.286,-0.858,-71.609,-14.734,-2.881,-18.096,-23.118,-4.665
7.2034,35.163,-17.204,-31.654,99.97,7.663,-50.436,-56.143,-68.49,-30.407,78.035,-13.097,-3.312
7.56825,31.419,-43.346,-61.486,86.384,10.065,29.395,-44.519,-90.085,-20.797,15.15,-15.354,-7.39
