start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,22.839,-81.105,-10.528,-18.366,26.694,-34.495,-14.445,26.766,-17.241,-19.849,18.041,-1.264
0.34839,21.789,-36.245,16.222,-22.798,23.196,-33.14,-3.863,-9.726,-16.439,-7.046,-3.698,3.665
0.44603,23.506,-93.288,-30.361,-48.857,9.414,-26.086,-27.831,-8.487,-38.453,0.163,-3.708,8.397
0.55274,23.893,-73.539,-27.91,-43.163,35.572,-42.854,-22.872,12.73,-7.835,-10.885,16.613,0.288
1.07937,23.493,-69.481,6.903,-50.992,26.434,-21.615,-2.663,-0.09,-27.371,3.437,-2.272,14.022
1.29279,24.345,-81.772,1.681,-5.062,5.138,-46.582,-20.719,33.238,-35.328,-20.12,10.394,-2.017
1.79955,24.193,-55.582,-2.718,-39.316,15.825,-36.525,-6.071,-21.377,-27.46,1.446,-11.006,18.162
1.94902,24.338,-87.149,-24.739,-38.674,22.427,-37.723,-19.314,12.498,-11.277,-5.219,10.538,5.27
2.31605,22.694,-37.694,59.435,-16.732,34.756,-35.332,9.718,7.049,-18.53,-10.566,13.382,3.767
2.50798,23.552,-52.237,10.14,-24.957,9.472,-55.132,-8.624,-2.427,-28.355,-5.822,-3.689,8.171
2.5712,25.773,-81.373,-13.449,-44.039,-0.535,-20.659,-26.793,-9.881,-31.789,-2.321,2.659,7.907
2.82263,25.015,-37.596,2.337,13.07,5.102,-65.291,-31.335,8.406,-11.552,-13.077,16.007,5.28
3.21569,24.433,-62.931,2.031,-37.467,15.901,-38.781,-11.45,-0.125,-24.125,-6.497,-4.125,14.985
3.338,25.465,-115.627,-18.074,-47.733,20.348,-40.028,-13.293,0.991,-22.832,-7.007,5.14,12.691
3.49052,25.039,-72.61,1.818,-4.488,2.836,-41.906,-28.858,30.811,-35.567,-22.468,10.824,-1.418
3.75029,21.922,-14.181,59.376,-5.375,30.218,-39.34,2.328,11.102,-20.671,0.989,11.141,7.431
3.92658,23.496,-56.768,2.692,-36.526,7.231,-32.823,-13.187,-11.719,-44.801,-4.39,-1.516,8.435
4.06281,24.921,-88.983,-23.04,-18.018,8.791,-38.706,-33.083,26.407,-28.538,-11.681,9.841,-0.018
4.48154,21.086,-27.179,45.511,-27.314,34.267,-32.119,-12.641,5.963,-28.435,-1.676,-1.783,2.379
4.60884,23.064,-54.122,5.816,-15.225,18.07,-44.276,-19.682,-9.266,-12.993,14.669,4.47,9.962
4.72349,11.916,46.887,-72.452,139.363,22.343,-136.562,-58.477,106.489,-0.41,-60.921,33.789,-16.216
4.78404,23.819,-82.875,-33.56,-31.412,17.785,-32.391,-40.098,22.533,-9.515,-10.829,5.065,-2.799
5.32286,23.833,-59.814,-10.885,-40.286,24.701,-12.181,-14.249,-8.686,-12.111,6.248,-6.03,0.44
5.78113,20.904,-2.11,26.156,-26.892,22.926,-27.502,-36.091,-1.394,-23.564,-15.951,10.029,-6.037
5.8683,21.886,-7.688,34.089,-14.692,14.594,-31.251,-26.719,-11.453,-18.614,-9.736,-0.386,-6.706
6.03592,23.58,-60.42,-10.067,-44.454,13.175,-37.422,-26.984,-10.563,-17.523,2.244,-9.922,6.379
6.55401,21.805,7.059,39.11,5.155,28.658,-39.12,-42.235,-9.521,-18.089,-6.843,-8.889,-3.884
6.71057,22.136,-50.712,15.522,-40.579,24.825,-29.721,-10.331,-6.417,-15.345,14.975,2.402,2.431
6.82608,23.733,-66.286,-26.356,-26.34,16.619,-33.203,-35.029,16.659,-12.324,3.295,-2.263,11.312
7.35524,21.664,-15.696,21.46,-28.095,11.617,-41.06,-17.678,-11.933,-24.072,0.739,-7.513,22.294
