start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
0.19778,4.567,72.695,-65.383,-61.944,46.555,-40.407,-18.985,6.115,-32.877,9.898,-0.426,-7.39
0.34626,8.477,19.635,-52.063,-107.68,69.564,-48.05,18.586,-23.971,-24.637,27.491,8.227,10.735
0.50603,15.658,53.176,-77.931,-89.59,117.966,-40.459,-19.119,-12.963,3.586,-2.197,-1.324,10.415
0.70349,17.799,18.15,-82.59,-37.914,84.689,-41.147,-15.353,-15.434,-10.84,28.552,-39.267,17.894
0.85229,20.494,-37.071,-44.952,-106.008,88.287,14.196,20.992,10.914,-18.347,16.057,-22.653,24.847
1.18812,22.535,-5.635,-57.783,-136.155,100.396,-10.702,13.511,31.363,-12.435,-9.863,6.801,18.093
1.42281,30.429,30.859,-100.142,-121.946,90.104,-38.988,-18.341,-37.587,1.629,20.549,-3.762,14.83
1.73048,28.834,-35.279,-135.904,39.111,104.142,-36.001,-36.826,-0.813,0.174,-17.183,-51.459,15.852
2.62957,11.372,-25.29,-53.952,-33.896,63.574,-46.104,-4.886,36.739,-24.748,-7.34,-7.083,20.506
2.95923,9.391,21.158,-68.408,-58.064,58.35,-46.761,-12.204,3.155,-25.898,2.078,1.12,4.428
3.0546,27.978,28.604,4.828,-137.66,88.066,86.424,13.272,31.549,2.77,56.006,25.906,0.167
3.44399,37.295,17.595,-11.292,-80.431,60.365,39.414,-48.754,-35.069,29.967,12.305,-18.382,-3.147
3.59442,35.401,-39.979,-18.816,90.873,91.411,-31.183,-31.903,34.611,15.596,-5.778,-32.263,-10.462
4.18522,26.151,37.774,-35.421,-23.837,51.68,-46.792,-20.154,-67.269,-3.937,30.937,-19.511,-0.326
4.4127,36.908,-16.815,26.14,-14.498,73.497,-17.338,-5.638,21.096,31.565,-5.278,-10.695,4.277
4.71941,33.325,20.919,12.354,-4.377,35.224,-43.074,19.346,5.286,6.121,11.243,1.487,18.848
4.85324,26.028,26.477,-60.432,149.682,31.455,-50.766,-11.535,22.796,-3.692,-6.814,-43.767,26.119
6.201,10.831,23.266,-48.533,-54.642,43.202,-22.912,-0.78,28.956,-26.943,10.546,2.621,5.817
6.56844,16.019,-46.129,-92.269,-118.12,35.289,-36.229,-17.121,-5.761,-21.697,13.004,4.072,-9.418
6.76825,23.032,-101.572,-107.944,-103.245,73.292,-38.556,-13.665,-13.143,-34.419,14.951,-1.939,-4.299
6.86776,27.226,-143.358,-76.491,-97.684,48.574,-33.93,-11.662,-3.689,-33.879,-2.424,-4.709,-2.119
7.09891,34.086,-72.422,-47.096,-126.001,50.332,-28.771,-3.754,5.199,-29.379,-10.919,16.817,3.086
7.41828,38.673,-72.679,-52.398,-51.3,49.338,-35.739,-23.62,-0.776,-32.652,1.697,11.094,12.778
