start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,43.429,-34.882,-107.425,26.069,66.119,-87.958,-66.144,0.808,-13.756,21.857,-16.27,7.846
0.16889,40.806,12.56,-91.613,42.492,110.366,-73.237,-84.917,-0.649,-2.254,-14.23,16.952,2.482
0.34141,47.613,26.091,33.3,121.758,124.421,-74.716,-54.387,-6.927,6.896,3.198,-17.431,2.608
0.47565,42.316,94.984,40.805,-73.19,88.903,-17.926,-43.538,10.616,2.946,-6.148,-31.976,17.599
0.77252,43.971,16.431,-63.118,55.803,75.525,-38.941,-37.339,29.073,-12.688,6.507,-10.711,20.977
1.02744,46.761,92.767,-5.772,125.966,78.428,-34.044,-62.313,11.389,-21.767,-1.199,14.405,30.655
1.20694,42.426,22.375,-74.424,-66.646,85.795,-68.129,-69.033,20.686,14.83,7.133,13.821,15.641
1.3766,43.453,-27.322,-109.042,32.578,59.996,-87.148,-57.608,0.199,-11.023,10.532,-15.057,6.891
1.54317,37.69,81.361,-100.475,49.634,65.046,-50.356,-52.751,11.342,-11.583,-22.95,17.466,7.046
1.71723,45.736,71.289,32.024,130.326,100.275,-66.573,-48.934,11.733,5.256,7.761,24.646,6.075
1.90984,46.268,126.71,-11.458,-38.906,90.674,31.845,-4.359,-10.265,-14.606,9.259,-25.047,24.175
2.07837,42.03,67.285,-45.662,-36.227,60.091,-26.641,-23.461,-17.921,-20.981,41.658,-47.894,22.873
2.36277,40.297,112.848,34.384,-55.219,99.285,91.764,-14.973,-1.229,-16.742,7.874,-78.97,37.624
2.59469,40.356,69.439,-37.772,-77.015,85.624,-40.172,-39.893,0.313,3.589,40.728,-6.285,18.779
2.75732,43.815,-40.792,-98.698,25.856,71.036,-95.275,-58.117,-2.971,-7.005,19.642,-9.936,6.15
2.92472,40.992,11.822,-91.97,41.653,110.369,-63.548,-80.642,-2.067,-1.695,-15.332,17.31,-1.135
3.09986,47.478,37.111,25.049,118.12,107.367,-79.083,-52.506,5.585,10.015,10.167,3.063,0.232
3.29147,46.227,107.626,-28.83,-18.611,95.656,23.149,-9.854,-11.59,0.997,13.682,-30.382,6.947
3.52961,44.006,17.658,-55.756,54.257,81.891,-35.519,-36.076,24.946,-7.178,4.439,-14.043,15.424
3.7854,47.25,87.818,-10.453,116.889,77.061,-20.383,-53.927,5.344,-19.343,6.517,1.015,30.239
