start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
0.3707,23.504,-82.1,-45.637,155.093,38.92,-3.321,-29.368,93.681,-22.495,-11.74,0.101,21.341
0.72739,17.178,-94.596,-56.224,82.269,50.018,-57.642,-16.178,119.579,-31.891,-33.32,-11.566,11.379
0.9927,15.551,-9.372,19.948,-135.074,54.924,76.569,36.133,1.35,-39.689,36.343,-92.066,26.189
1.4059,18.233,-86.777,-44.872,106.298,49.072,-42.096,-20.214,113.708,-24.702,-15.194,8.295,8.828
1.75224,18.391,-104.457,-58.904,103.634,52.219,-52.917,-19.881,120.73,-23.686,-24.484,0.227,13.01
2.10712,15.82,-93.967,-79.426,68.245,60.18,-52.794,-24.961,119.754,-30.545,-24.245,-0.903,4.861
2.41002,21.721,-36.741,-7.401,-9.685,55.864,166.908,25.077,65.603,-25.988,28.0,-72.113,16.07
2.79397,20.195,-91.828,-42.477,120.045,37.499,-39.784,-31.358,110.699,-21.549,-20.868,-6.718,16.156
3.13556,17.701,-110.579,-62.453,86.624,67.198,-45.954,-20.084,123.591,-18.53,-16.464,0.888,-7.222
3.47846,14.52,-75.354,-72.009,56.105,79.34,5.702,-17.205,116.175,-32.008,37.581,9.298,-9.02
3.8141,27.539,-41.706,-27.848,98.208,80.503,163.112,31.004,64.92,-11.28,10.793,9.487,-2.108
4.19605,19.866,-108.165,-37.668,110.727,54.408,-47.812,-27.785,112.301,-17.231,-23.496,-15.916,-8.046
4.53215,18.5,-110.752,-58.622,76.904,49.022,-43.454,-26.635,108.991,-31.854,-22.691,-10.66,2.271
4.86385,20.848,-119.989,-37.704,112.911,58.745,-47.693,-25.547,104.23,-13.462,-16.586,-19.311,-2.316
5.18825,28.96,-41.873,-18.047,70.711,88.464,174.796,31.233,55.556,-1.974,9.354,-5.271,-8.643
5.55687,23.563,-110.302,-20.091,137.05,49.013,-43.506,-28.908,91.05,-10.666,-18.56,-17.113,-7.404
5.90231,17.141,-104.894,-73.482,59.076,52.412,-40.365,-22.2,107.733,-33.019,-25.436,-10.961,8.781
6.23379,17.565,-99.638,-62.175,69.042,48.586,-20.457,-15.783,113.723,-42.641,-12.978,-9.785,9.28
6.56667,29.101,-41.684,-2.434,57.058,31.079,146.67,14.131,51.143,-19.981,9.251,-19.6,14.535
6.94295,19.754,-103.284,-52.419,83.762,26.946,-29.851,-18.803,101.512,-39.922,-20.681,-5.152,15.239
7.26721,21.393,-115.271,-47.314,100.77,30.55,-23.073,-20.837,103.56,-34.26,-12.434,-12.339,14.136
7.61134,19.026,-111.707,-60.834,72.878,37.975,-32.779,-20.232,107.654,-37.284,-15.453,-19.358,11.4
7.92893,25.385,-49.758,-0.488,-7.187,45.375,176.374,26.587,53.846,-30.367,31.183,-49.289,20.228
8.32984,20.803,-116.681,-53.517,79.062,30.843,-27.464,-18.264,92.946,-29.568,-16.912,-10.512,8.666
8.66068,19.597,-109.722,-63.564,91.415,34.549,-37.805,-28.226,109.452,-30.303,-20.406,-15.76,7.894
9.02181,18.831,-113.967,-60.047,64.203,45.514,-16.786,-12.671,103.636,-42.565,-0.567,-5.826,5.505
9.3341,28.084,-59.076,-13.326,51.558,39.082,151.591,19.86,50.2,-19.669,8.469,-10.519,10.16
9.72218,19.802,-121.355,-62.494,70.527,37.124,-48.807,-27.642,99.706,-26.403,-24.64,-5.695,0.792
10.06018,19.352,-112.569,-59.622,87.865,38.273,-37.63,-23.934,112.415,-36.082,-17.404,-6.518,2.855
10.41873,18.648,-121.755,-69.016,61.141,46.476,-42.834,-24.784,105.462,-38.54,-17.331,-17.878,2.454
10.73374,26.753,-61.775,-18.555,64.279,39.099,133.616,18.78,59.165,-24.819,9.309,-6.877,11.701
11.12222,20.477,-111.837,-47.667,91.869,31.937,-42.955,-20.99,100.797,-32.724,-25.205,-19.832,11.582
11.45383,17.303,-77.65,-51.977,85.096,65.369,40.265,-9.113,109.992,-32.897,40.936,15.048,9.335
11.77746,27.229,-26.879,84.017,43.061,66.826,124.788,89.918,12.865,-22.603,48.87,51.71,15.446
12.09111,25.712,-135.629,81.099,45.612,80.839,-20.369,29.616,52.565,11.96,16.687,-18.819,-25.771
12.45179,19.987,-114.244,6.125,59.408,75.315,-59.889,11.288,71.342,-2.445,-10.183,5.622,-11.876
12.7824,18.046,-101.197,-44.857,86.252,64.783,-56.583,-11.462,101.513,-10.831,-20.194,1.834,2.768
13.12431,18.258,-96.124,-49.219,106.602,56.297,-44.988,-23.236,116.677,-22.488,-14.856,-0.145,11.024
13.43315,24.42,-38.121,-4.618,39.822,57.462,180.445,23.599,66.722,-21.599,32.022,-25.28,7.272
13.79868,19.477,-108.902,-44.701,91.67,47.238,-46.094,-21.956,105.886,-29.184,-20.325,-5.886,10.438
14.11751,17.634,-96.5,-46.739,81.631,60.477,-19.536,-5.285,113.121,-31.397,6.707,-1.094,-4.97
14.44431,22.92,-123.206,43.381,57.929,82.955,-28.597,9.24,30.54,-3.739,4.044,-2.796,-28.396
14.77224,35.987,2.799,55.729,91.458,43.08,27.844,19.054,16.041,13.213,-26.491,37.886,-40.024
14.98295,28.578,-100.279,80.974,68.556,88.361,-38.064,-29.337,24.242,22.157,13.779,-24.606,-24.865
15.13968,22.994,-81.044,60.37,73.563,50.693,-57.608,6.644,36.991,5.116,-23.022,-25.046,-24.002
15.30263,26.117,-138.993,112.161,36.529,107.901,-37.986,-6.314,8.772,6.623,8.458,-9.178,-35.468
15.4073,29.892,-141.6,60.433,-7.701,45.157,-68.093,-12.414,21.42,-7.978,0.945,23.159,-19.71
15.49946,36.817,61.13,71.36,138.693,37.73,-39.888,12.14,14.419,9.592,-15.023,-57.004,-36.686
15.74295,25.648,-40.33,61.086,72.306,38.387,-22.074,6.06,33.236,6.434,10.024,-12.957,-22.468
15.96943,26.02,-155.571,97.372,14.267,99.296,-39.145,-3.204,-2.443,-3.917,8.573,-8.195,-28.151
16.14304,36.049,41.429,87.236,104.738,33.21,-41.714,29.839,0.482,13.184,-19.104,-11.733,-47.906
16.34136,26.543,-87.27,65.897,110.709,78.45,-35.277,6.387,73.595,27.313,-2.026,-46.956,-15.074
16.58463,26.309,-122.109,105.639,18.479,92.216,-36.358,-18.749,-2.706,9.222,12.79,5.805,-42.626
16.67732,23.213,-141.899,-6.316,109.376,77.701,-50.759,-21.828,88.261,2.808,-1.33,-39.498,-20.143
16.91583,21.513,-129.469,71.182,-12.394,121.914,3.693,-11.539,-0.616,-22.952,29.693,24.1,-17.346
17.03111,21.882,-163.605,0.777,19.849,87.773,-57.216,-8.986,42.715,-21.602,-16.253,-6.281,-19.242
17.30508,27.075,-71.947,-2.458,68.854,50.489,111.542,9.232,51.407,-14.998,-15.171,-26.582,6.735
17.70522,20.531,-116.896,-44.997,80.941,35.112,-45.001,-13.347,86.322,-38.035,-24.319,-4.171,13.104
18.04766,17.542,-103.351,-62.788,65.792,49.186,-40.812,-15.769,104.103,-38.584,-19.333,-0.425,8.554
18.36136,15.688,-91.208,-67.054,19.183,68.02,20.065,0.427,88.239,-49.433,45.669,0.588,10.126
18.6741,24.284,-66.123,-24.635,67.742,46.587,125.342,18.464,69.139,-29.222,4.917,-34.19,12.088
19.06966,18.172,-96.592,-54.167,75.194,35.21,-48.33,-13.942,100.067,-39.843,-20.659,-6.995,14.403
19.39388,25.093,-110.985,49.201,43.662,45.337,-38.857,9.344,33.619,-5.46,-5.993,19.54,10.78
19.64943,18.756,-92.875,-2.522,83.866,78.472,-53.719,-46.396,85.325,-22.298,-12.518,-19.597,-11.03
20.03533,18.409,-60.511,-27.368,-16.619,47.771,112.382,16.948,50.875,-52.246,40.359,-67.84,14.342
20.42871,16.804,-103.796,-82.058,61.798,48.407,-60.127,-25.147,113.285,-32.755,-24.617,-2.666,0.716
20.76966,16.965,-96.106,-71.517,71.992,45.811,-37.599,-24.495,114.968,-41.887,-13.003,-1.496,5.932
21.11832,18.147,-107.048,-62.125,44.759,55.106,33.29,-8.551,93.012,-50.542,44.606,9.546,2.622
21.4507,25.432,-65.565,-22.972,34.789,45.187,154.139,27.774,51.067,-27.941,25.093,-16.529,17.74
21.80966,23.28,-145.591,-36.963,64.786,29.866,-18.398,-10.473,81.881,-38.043,-5.025,-15.772,8.638
22.0527,26.42,-128.265,118.249,-9.835,118.25,21.752,5.194,4.635,2.614,27.258,-3.944,-35.54
22.51102,23.817,-171.934,66.333,32.474,114.886,-59.534,21.087,37.884,-2.392,-7.501,-2.591,-40.456
22.81891,26.939,-96.25,17.809,77.948,81.774,81.772,14.788,40.842,8.357,-19.559,-24.121,-20.541
23.20249,17.014,-101.96,-46.377,74.332,78.451,-60.856,-13.207,104.161,-11.906,-17.553,-15.547,-4.38
23.53138,29.23,-89.904,62.042,20.605,128.915,123.046,32.888,1.707,17.055,43.337,40.77,-35.847
23.91098,24.234,-78.894,35.119,95.112,30.463,-65.665,-10.715,44.947,-3.226,-25.637,-23.073,-21.532
24.22449,32.68,-14.229,87.854,37.424,103.759,128.491,56.445,32.087,39.966,28.756,40.855,-46.42
24.57823,31.855,-90.661,145.144,88.14,74.94,-28.985,69.559,45.112,19.66,11.037,-17.637,-14.777
24.92658,23.462,-118.046,34.684,91.099,47.646,-62.342,22.38,85.188,-1.668,-15.468,-7.034,-10.054
25.27533,27.644,-81.163,87.849,87.724,66.971,-38.711,25.973,39.526,36.484,-1.594,-2.166,-23.882
25.60526,29.66,-71.539,-9.627,127.364,72.891,84.758,17.269,47.797,2.068,-2.82,6.292,-19.283
25.96014,29.348,-141.449,98.114,41.366,98.557,-12.075,-2.421,7.43,12.842,24.047,-8.392,-33.288
26.30753,24.524,-184.622,46.093,36.243,105.885,-59.736,15.231,43.797,-1.435,-11.34,0.824,-37.475
26.63968,28.652,-82.015,81.61,91.167,64.802,-36.927,20.233,41.831,36.55,-1.855,0.811,-25.244
26.98707,35.064,-94.642,40.19,118.192,80.977,-25.432,-28.05,1.528,8.829,6.282,-21.587,-26.265
