start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.336,164.554,1.079,-37.63,49.99,-51.265,19.54,-1.842,-27.48,2.808,-11.553,-6.286
1.06204,5.284,71.799,-67.258,-63.243,19.614,-49.383,31.086,5.14,-31.159,7.033,-12.42,-8.29
1.19664,7.702,56.231,-52.786,-74.353,-4.777,-37.577,24.539,-13.89,-36.66,4.793,-12.531,-8.688
1.54145,11.935,-8.688,-57.088,-50.585,-3.375,-51.738,38.437,9.47,-42.28,-2.117,-4.281,-1.61
1.73265,12.957,-7.767,-39.67,-40.421,-10.283,-39.471,40.913,16.56,-39.78,-8.035,-15.617,-6.509
1.88766,13.611,-5.5,-18.117,-48.63,-14.133,-35.168,49.937,8.282,-48.259,5.42,-9.972,-9.211
2.10163,15.738,-0.127,-4.772,-34.094,-27.767,-30.659,45.861,3.797,-26.671,1.635,-9.434,-6.941
2.52209,18.08,-35.405,-3.799,-49.782,-22.521,-43.255,50.439,9.136,-19.493,7.091,2.387,-6.324
2.76698,19.632,-40.048,-1.092,-18.786,-36.625,-61.307,42.386,14.659,-24.872,-3.796,-3.132,-3.358
2.83873,21.151,-35.981,14.613,-31.486,-44.801,-34.015,50.742,21.827,-29.513,-1.45,0.518,3.125
3.09388,22.31,-11.623,15.695,-21.115,-46.092,-33.338,38.334,11.33,-12.217,1.126,-8.188,6.017
4.0283,21.307,-39.092,-18.049,-21.771,-38.045,-37.923,27.957,9.652,-13.623,-5.266,-17.072,1.209
4.28145,21.052,-76.31,-42.267,-42.551,-31.659,-35.478,16.849,1.883,-4.276,2.156,-11.829,-20.091
4.58744,22.555,-81.558,-21.108,-37.489,-34.973,-40.386,25.101,21.089,-7.855,6.845,-10.553,-18.819
4.94621,21.931,-65.486,-57.894,-55.961,-49.372,-35.363,2.789,-2.428,-2.741,3.406,-8.483,-8.172
5.50644,21.637,-71.295,-52.942,-37.876,-41.578,-58.978,8.948,-2.587,-1.653,6.215,-11.884,-5.98
5.59438,21.987,-35.247,-37.654,-34.476,-41.49,-25.876,9.967,-4.808,16.554,-5.173,-6.672,-7.442
5.73578,23.025,-51.354,-31.471,-43.751,-37.881,-43.44,13.058,1.509,20.362,13.103,-9.411,-4.352
6.12739,23.038,-66.444,-48.148,-65.7,-36.907,-35.293,-1.559,8.449,24.05,5.125,-8.444,-15.173
6.42721,24.146,-77.177,-35.52,-66.13,-16.657,-40.464,13.938,11.524,45.218,3.591,-19.666,-14.706
6.5985,24.025,-94.948,-53.378,-54.037,-20.133,-35.126,12.163,4.196,36.005,6.717,-10.592,-7.446
6.90104,24.4,-90.199,-61.219,-31.817,-25.816,-62.85,4.284,-11.079,32.134,14.171,-9.68,-11.73
7.21515,23.593,-117.239,-56.526,-38.232,-15.488,-43.66,26.348,4.104,21.816,0.915,-8.86,-7.064
7.34395,24.152,-53.347,-51.788,-29.921,-32.865,-29.818,3.936,5.268,37.037,3.366,-14.711,-3.796
7.8151,19.823,-52.986,-59.628,-49.587,-20.474,-24.849,5.422,-9.839,31.993,10.973,-9.503,-17.353
7.95828,22.206,-32.872,-48.048,-17.017,-24.974,-35.79,0.914,-9.842,45.576,18.276,-18.902,-12.226
8.32009,21.478,-67.109,-72.973,-18.183,-16.294,-39.694,2.581,-12.603,41.3,11.369,-24.699,-10.541
8.62458,21.644,-64.551,-88.924,-41.619,-42.871,-45.968,-20.993,-12.791,30.966,6.428,-12.647,-11.958
8.91955,21.645,-70.018,-61.906,-34.644,-49.591,-31.488,0.209,-11.784,-20.098,8.798,-15.871,-10.12
9.11202,21.81,-77.498,-34.135,-73.925,-31.874,-28.751,20.427,13.314,-2.156,-14.397,0.601,-10.602
9.71524,24.299,-77.722,-17.272,-28.788,-40.508,-36.254,31.122,-1.384,-9.643,-5.575,-15.572,1.806
9.84789,24.732,-86.669,-13.513,-30.307,-41.612,-31.13,35.849,6.982,-19.801,-4.201,-2.336,-3.507
9.95011,25.704,-80.454,-31.194,-39.911,-53.853,-32.647,22.234,-12.314,-13.615,0.919,-12.112,-8.056
10.06834,27.066,-58.865,-5.482,-43.661,-41.662,-26.336,30.452,-2.53,-2.954,-7.377,-2.604,-5.1
10.46853,28.314,-88.918,0.323,-39.233,-20.794,-32.849,37.139,1.338,6.23,15.932,-9.609,0.326
10.57456,30.529,-85.089,-12.495,-35.098,-19.084,-40.162,32.344,3.317,14.749,-1.432,-8.531,-3.698
10.74848,30.442,-84.784,8.136,-12.648,-24.985,-70.884,34.105,6.71,6.664,6.065,-4.099,-7.987
10.81968,31.884,-77.144,17.78,-24.527,-34.863,-33.741,50.464,6.931,-11.832,-1.821,-1.087,-5.622
10.93197,33.047,-60.819,16.606,-13.497,-19.643,-45.241,38.064,-2.013,2.029,12.804,-12.841,-9.484
11.04871,32.719,-38.672,-9.116,-27.783,-37.09,-29.457,26.564,1.02,0.156,7.045,-16.172,4.447
12.31134,31.037,-80.946,-32.891,-27.14,-37.124,-52.029,16.02,-15.275,12.018,14.906,-8.025,-12.541
12.61193,31.737,-89.88,-25.284,-32.89,-44.402,-38.596,18.608,16.083,4.184,3.722,-2.1,-19.942
13.301,30.198,-93.661,-46.444,-48.245,-48.664,-32.539,11.51,-2.438,1.711,-1.769,-17.953,-2.401
13.44122,29.987,-84.063,-41.097,-47.037,-49.741,-27.379,8.927,11.411,9.869,-11.614,-14.745,-10.832
13.57646,30.724,-28.859,-32.552,-33.062,-46.08,-25.586,9.412,-7.0,18.577,-7.011,-5.941,-8.673
13.69324,31.283,-51.944,-28.316,-41.627,-34.349,-36.048,12.264,2.33,24.909,5.648,-7.164,-11.084
14.15995,31.576,-52.208,-51.936,-54.122,-45.758,-39.895,-10.941,-9.274,24.55,8.306,-19.232,-14.745
14.40209,31.314,-80.23,-35.738,-64.664,-23.399,-42.075,10.876,10.692,46.582,7.048,-19.367,-11.829
14.58063,31.243,-96.503,-52.979,-48.539,-22.03,-27.953,12.705,-2.903,38.39,3.089,-18.844,-4.16
14.75188,30.795,-90.034,-51.689,-60.356,-26.287,-45.146,3.779,3.016,46.743,10.728,-7.215,-11.774
14.88317,31.191,-95.292,-58.308,-27.025,-30.808,-67.099,4.493,-18.032,32.913,17.852,-11.432,-8.416
15.32603,30.888,-49.869,-50.358,-28.06,-34.262,-27.484,4.657,0.055,38.002,0.297,-14.76,-4.113
15.79723,26.806,-58.977,-51.312,-39.901,-26.179,-16.051,6.839,-16.947,40.656,6.348,-9.987,-15.787
15.92345,28.866,-39.605,-49.224,-23.414,-24.024,-9.199,7.141,-9.841,51.503,4.906,-11.64,-14.657
16.30222,28.038,-68.873,-67.417,-6.969,-20.677,-30.058,5.587,-27.625,46.61,6.204,-32.013,-8.089
16.53034,26.163,-83.803,-68.474,-59.266,-31.424,-22.922,-6.76,1.235,48.295,-7.06,-17.356,-12.191
16.91864,22.361,-170.171,-83.046,-57.59,-5.422,-45.279,22.995,12.69,-34.686,-6.714,-15.483,-20.498
17.09429,23.271,-156.757,-51.013,-78.686,-18.168,-35.748,31.503,8.34,-35.18,-8.262,-6.034,-14.689
