start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.215,166.781,1.723,-33.959,51.092,-50.35,20.016,2.223,-26.688,3.636,-13.248,-6.874
0.21583,15.908,-130.663,-69.003,-52.618,118.764,11.544,-17.396,12.512,-37.21,67.051,21.498,0.91
0.69075,22.652,-221.941,-57.363,-30.516,106.281,-43.398,-27.081,18.289,-28.236,-4.701,12.235,-4.237
1.12104,22.231,-218.586,-81.612,-54.047,79.682,-59.067,-7.853,16.734,-21.37,-15.208,-5.469,-7.876
1.52662,23.291,-169.02,-9.962,-15.216,41.482,-45.777,18.716,13.62,-41.076,-13.073,4.762,12.017
2.01043,23.724,-184.564,-28.844,-27.479,51.932,-42.108,-10.428,10.946,-25.234,-9.315,-1.359,1.577
2.44426,28.033,-232.258,-30.17,-17.319,65.217,-37.716,-42.268,6.396,-8.6,-6.692,2.571,1.16
2.83324,25.654,-205.317,-51.874,-36.921,35.059,-43.108,-20.692,16.564,-10.1,-7.569,-0.745,-3.039
3.23932,25.969,-183.33,-14.141,-13.163,15.298,-42.023,17.541,12.05,-42.039,-12.966,1.59,23.263
3.63968,24.978,-192.175,-27.62,-28.4,47.821,-40.073,-22.802,16.524,-18.582,-9.121,-5.375,2.565
4.0863,23.946,-221.02,-58.422,-22.575,76.659,-51.008,-26.792,31.531,-22.193,-16.753,0.061,-5.732
4.98794,21.947,-180.989,-57.768,-32.942,43.391,-48.964,8.184,9.614,-42.446,-13.7,1.495,5.52
5.45565,21.501,-202.565,-71.445,-51.759,75.035,-50.348,3.923,15.394,-34.706,-10.767,1.282,0.366
5.92635,21.848,-205.588,-83.737,-28.334,68.357,-64.295,-13.205,32.986,-30.262,-17.384,0.126,-2.88
6.86717,21.678,-180.243,-49.76,-37.08,48.6,-50.919,24.943,16.769,-46.319,-9.7,2.519,12.643
7.36567,23.204,-181.313,-36.124,-22.131,58.435,-41.485,-16.469,12.683,-22.647,-4.605,-3.64,-0.332
7.82009,25.325,-196.215,-23.9,-23.015,32.984,-32.158,-14.198,21.706,-47.743,-20.119,7.007,0.196
8.26522,23.763,-207.561,-63.507,-37.306,40.583,-55.249,19.903,16.086,-29.633,-6.106,-1.592,-2.673
8.70331,23.896,-190.697,-45.94,-24.905,25.432,-51.449,33.415,22.24,-35.647,-13.34,-4.816,10.44
9.1507,23.484,-202.151,-55.225,-41.598,45.639,-39.769,17.606,12.136,-33.965,-2.395,-3.963,-4.632
9.56594,26.607,-201.898,-44.265,-5.694,13.036,-46.851,7.245,10.09,-33.429,-7.098,-10.89,3.775
10.34617,25.523,-201.045,-47.846,-32.789,9.482,-42.559,40.151,13.103,-31.331,-8.497,-4.689,10.711
10.73841,29.904,-144.234,-41.262,-10.454,4.445,-26.114,-17.865,-18.533,10.314,4.9,-4.39,-0.933
11.14036,28.961,-193.445,-36.124,15.917,-5.739,-28.196,-1.899,17.151,-36.256,-13.273,-4.311,12.088
12.00884,25.919,-217.389,-56.327,-40.4,11.728,-54.13,35.177,13.518,-35.903,-13.585,-0.885,13.205
12.3917,30.061,-158.222,-41.152,-16.606,-6.213,-19.56,-26.388,1.095,13.088,-1.2,-0.663,-11.085
12.82975,26.708,-189.194,-42.994,-21.392,6.235,-46.023,-7.391,13.852,-18.598,-8.706,3.837,4.416
13.69986,24.46,-195.781,-28.083,-36.463,38.092,-48.239,16.836,14.456,-38.335,-12.638,12.282,15.774
14.1942,27.266,-198.673,-10.746,2.543,42.723,-31.019,-14.923,9.315,-20.917,-16.452,-4.473,8.799
14.63029,31.457,-182.902,-7.023,42.973,11.048,-23.521,-6.772,11.873,-33.844,-16.166,-10.483,22.885
15.8127,27.682,-207.066,-29.147,-20.336,22.087,-38.076,-4.482,1.739,-16.632,-19.575,-0.02,-1.631
16.22113,27.417,-204.935,-37.756,13.03,23.899,-44.374,-1.27,27.272,-29.808,-13.072,-5.145,9.934
17.38694,23.967,-209.699,-47.774,-29.629,67.494,-27.718,-5.803,19.911,-26.888,0.871,9.34,-3.361
17.8059,26.612,-192.332,-31.885,8.465,20.86,-7.253,4.252,28.338,-41.319,-13.153,5.587,11.423
19.0649,23.839,-203.644,-68.279,-26.129,45.651,-26.149,-9.959,23.372,-28.61,-3.47,3.121,-9.473
19.48313,24.512,-213.706,-68.314,-18.888,35.363,-47.33,-2.621,27.988,-41.212,-15.342,-1.085,-0.611
20.30059,24.831,-183.19,-32.938,-28.234,8.989,-45.672,38.287,10.415,-37.032,-7.628,1.34,12.421
20.7444,29.315,-143.324,-28.107,-17.321,13.103,-4.685,-24.698,-7.042,9.671,0.481,15.212,-11.312
21.15234,31.148,-204.846,-32.677,-1.335,27.666,-18.618,-40.119,-3.459,-3.647,0.775,10.092,-6.828
21.59497,27.888,-191.381,-46.496,-18.752,2.95,-44.459,-9.164,17.057,-4.798,-14.445,-1.865,5.306
22.33787,26.578,-176.624,-30.639,-27.049,23.77,-19.229,-19.66,1.53,-13.364,5.951,5.829,1.013
22.77329,26.343,-209.108,-46.3,-5.676,43.812,-49.484,-33.115,29.079,-8.2,-12.571,5.796,-6.414
24.0346,24.479,-178.233,-29.784,-55.764,47.637,0.578,-21.705,7.409,-9.851,6.758,-7.556,-14.998
24.4742,27.444,-223.475,-40.89,-1.717,45.479,-48.515,-30.864,20.729,-16.449,-11.972,5.751,-5.762
25.67075,30.071,-161.336,-3.848,-8.025,21.222,-29.338,-38.772,0.192,1.664,-6.759,2.54,-0.702
26.09501,33.026,-202.578,2.08,9.021,35.319,-32.358,-46.691,-2.679,-17.965,-8.481,5.981,3.287
26.54558,29.989,-204.556,-32.85,-31.264,24.012,-43.005,-36.49,9.8,4.755,-4.416,-4.026,-0.138
26.97465,27.442,-167.396,-16.359,-19.788,5.825,-41.641,-26.093,5.903,-15.517,-9.245,-1.209,1.773
27.35855,27.767,-146.133,0.134,-77.472,6.177,-18.794,-12.505,-0.824,-10.247,-7.598,-14.66,10.646
27.90354,31.652,-182.428,-11.631,21.074,39.181,-16.002,-44.746,9.723,-5.77,1.531,16.684,10.619
28.73469,26.377,-182.765,-2.971,-24.387,32.337,-39.927,-4.668,10.692,-20.811,-5.88,1.337,5.74
29.59392,26.671,-201.872,-24.625,-25.74,54.002,-37.65,-43.605,6.423,-9.503,-5.565,8.023,-1.85
29.97701,25.342,-197.368,-38.786,-35.255,42.14,-50.853,-21.23,2.439,-12.165,-7.486,-2.485,1.853
30.84748,32.41,-98.439,-3.547,-0.489,8.111,-14.009,-60.766,-0.811,2.564,0.445,-2.866,-15.312
31.28844,29.258,-158.108,-16.897,-18.333,26.021,-31.916,-67.365,1.121,12.345,-5.579,5.895,-6.288
31.68268,26.961,-149.107,-33.831,-25.568,-0.296,-34.697,-30.874,10.127,3.716,-0.882,-6.65,4.276
32.48567,30.575,-146.158,-5.506,-4.099,15.305,-25.686,-41.673,0.411,3.093,-8.07,-4.318,-4.753
32.90358,27.545,-207.227,-35.158,1.918,46.355,-44.415,-41.367,11.918,-11.395,-4.311,0.766,2.529
33.77143,22.224,-177.227,-45.584,-44.671,40.538,-48.759,12.424,13.941,-38.493,-12.5,7.278,9.779
34.17483,25.673,-175.086,-0.906,-62.293,43.817,15.101,-4.08,3.031,-24.516,4.878,-18.134,3.857
34.63134,28.814,-180.577,1.157,23.506,18.122,-27.785,-22.476,16.543,-40.378,-14.939,2.239,14.229
35.04322,24.815,-191.593,-43.995,-30.059,17.432,-50.669,19.143,8.401,-31.506,-4.6,4.922,-3.177
35.46862,25.484,-201.454,-38.565,-22.331,22.115,-51.172,19.556,11.536,-35.644,-11.539,-8.16,13.493
35.86866,30.368,-134.147,-44.688,37.763,9.582,-22.845,-36.65,-15.829,4.431,-5.647,-13.826,-12.416
37.6039,26.078,-196.148,-48.201,-9.307,25.782,-39.167,-0.381,13.515,-21.405,-6.312,-8.341,7.861
38.01746,25.213,-198.416,-58.639,-20.822,16.151,-12.385,8.201,19.354,-44.963,-7.661,-3.34,2.179
38.38735,22.624,-190.604,-48.841,-37.908,48.418,-44.601,9.674,16.307,-42.757,-17.499,-2.388,-3.253
39.28231,28.613,-114.791,-7.313,20.124,21.862,-11.153,-45.868,-11.285,-4.568,2.406,-13.898,-0.464
40.13565,23.025,-157.319,-60.497,-35.968,11.464,-41.71,-6.538,3.267,-10.757,4.907,-10.795,-1.54
41.08562,26.588,-196.28,-27.691,-18.904,36.008,-18.255,-22.017,11.628,-19.587,-20.808,0.065,-5.475
41.50073,27.831,-195.27,-16.564,9.001,18.814,-25.288,-9.139,22.329,-41.562,-12.638,2.802,12.073
42.29556,25.493,-186.533,-2.718,-41.372,25.998,-32.737,25.973,4.751,-43.074,-10.957,12.405,11.248
42.70295,27.526,-197.26,-4.888,-5.519,44.919,-30.962,-21.622,4.508,-24.935,-16.988,14.692,6.914
43.1185,27.176,-202.188,-16.882,6.456,31.191,-49.327,-18.704,16.447,-38.507,-21.574,0.094,13.291
44.29175,26.385,-205.9,-28.285,-18.473,42.458,-45.049,-17.095,6.902,-20.149,-20.093,2.303,1.031
44.71057,25.262,-190.475,-41.766,-5.123,21.193,-21.551,5.191,30.61,-41.899,-21.919,-9.85,12.774
45.98748,24.02,-206.824,-32.746,-26.022,60.257,-55.057,-1.536,16.619,-37.026,-20.286,2.026,0.536
46.4073,24.074,-200.07,-59.638,-26.557,25.825,-44.765,5.586,23.36,-47.417,-15.293,-2.039,3.931
47.24617,22.029,-194.677,-78.517,-43.572,41.704,-40.88,29.185,23.427,-40.679,-10.288,-1.421,9.6
47.7444,26.662,-168.548,-37.919,-35.502,29.234,13.071,-19.239,6.424,-0.335,0.675,7.491,-10.126
48.19324,30.716,-212.794,-26.218,2.303,35.845,-18.461,-37.984,-1.827,-10.591,-8.061,-2.551,-2.405
48.63302,26.657,-205.797,-53.352,-16.81,22.442,-48.718,-1.812,21.466,-11.314,-4.302,-10.362,4.734
49.04603,23.633,-169.033,-47.045,-50.244,14.488,-30.823,-3.796,12.409,-27.844,-13.408,1.076,-1.986
49.44127,24.799,-181.027,-36.249,-38.967,32.201,-36.579,-27.219,1.995,-26.223,5.016,-0.014,-3.852
49.84893,23.84,-187.303,-48.384,-21.066,43.319,-19.379,-21.805,27.171,-33.148,-5.48,-23.371,-7.452
51.10063,24.769,-193.507,-24.897,-10.026,54.618,-16.088,-22.72,20.867,-37.282,0.964,8.718,-9.366
51.57728,22.027,-204.309,-65.651,-32.928,76.99,-58.541,-17.439,28.255,-29.919,-17.175,6.779,-8.7
52.82721,22.165,-176.455,-41.225,-36.03,59.766,2.201,-15.826,18.968,-48.711,8.16,3.466,-5.674
53.31383,23.117,-204.79,-60.878,-5.311,78.943,-49.705,-34.818,29.713,-20.007,-8.977,5.992,-4.094
54.21937,19.202,-162.712,-58.637,-37.805,79.926,-40.661,-8.022,15.225,-44.438,-10.261,0.13,8.427
54.78077,24.341,-177.352,-43.287,-14.406,68.864,0.983,-26.685,2.481,-13.67,9.105,18.926,2.693
55.30884,26.136,-209.831,-41.284,-8.928,60.975,-13.749,-24.152,16.576,-16.515,6.509,17.285,0.521
56.52866,29.982,-131.468,-8.191,-10.536,10.109,-27.037,-51.753,-3.031,8.62,-2.443,0.155,-8.022
56.91782,26.918,-170.698,-16.825,-22.979,37.974,-26.92,-53.429,6.189,-0.918,6.533,-2.601,-2.38
57.36,25.306,-159.123,-20.947,-22.593,23.117,-38.519,-13.985,9.603,-1.054,-10.619,-7.252,6.753
58.14358,22.816,-175.443,-49.585,-34.549,39.876,-44.678,-29.396,9.903,-27.7,-10.135,1.627,-6.229
58.55061,23.911,-216.799,-59.676,-24.778,72.368,-38.578,-22.636,25.132,-25.19,-4.281,2.512,-5.372
59.82608,23.264,-175.646,-41.514,-27.885,37.614,-36.2,-16.589,14.673,-34.029,-6.832,0.132,-3.01
60.24508,23.21,-201.997,-70.287,0.528,65.929,-44.773,-26.545,42.319,-15.436,-18.733,-1.418,-1.36
62.45088,15.499,-120.399,-112.819,27.353,86.848,-72.145,-56.256,92.308,-1.6,-26.755,3.68,-6.726
72.64354,3.492,95.369,-63.626,-18.558,47.373,-61.766,-21.26,50.602,-13.934,-16.471,12.579,-12.452
