start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
0.3424,28.915,21.992,33.739,3.85,72.518,50.16,-22.032,-6.785,-55.009,50.518,13.553,7.893
0.63315,35.739,67.265,-42.375,-139.873,51.479,12.785,-19.232,16.027,16.948,-16.612,-4.784,8.906
1.0254,40.951,54.309,-87.198,-60.794,78.814,-50.045,7.269,8.959,4.633,14.095,-4.318,-5.498
1.20807,42.474,61.473,-38.594,-70.785,54.282,-41.585,4.612,3.957,0.162,17.981,-3.714,-8.582
1.69488,42.752,78.518,-19.774,-48.985,78.681,-45.593,1.625,-8.026,-3.103,6.178,-11.809,-14.034
2.14753,43.597,67.267,-0.284,-29.303,119.559,-55.454,-25.856,10.734,-16.052,-4.682,1.776,2.547
2.58313,43.412,92.205,-3.552,-38.612,90.127,-31.207,-39.68,-2.247,-37.042,-0.304,-1.903,-10.942
2.68766,44.333,63.559,10.721,-25.177,96.855,-34.639,-30.131,1.267,-23.511,1.685,-0.908,6.334
3.03596,42.44,55.173,27.333,-27.459,114.723,-38.627,-8.773,2.668,-24.057,8.854,0.767,32.419
3.4307,42.251,87.239,43.091,-34.019,125.944,-37.027,-46.474,-1.513,-2.054,7.906,-2.229,15.366
3.58744,43.72,68.115,18.763,-21.233,106.016,-37.131,-20.26,5.527,-3.57,3.64,-8.753,27.758
3.72653,43.635,65.287,13.611,-17.452,113.829,-45.433,-22.438,9.265,-10.247,-9.21,5.929,42.556
3.93034,43.693,71.455,12.383,-31.549,86.436,-27.166,-33.321,4.632,-6.222,3.971,6.46,36.409
4.46349,42.897,66.014,25.827,-13.186,109.441,-36.134,-22.766,-6.472,3.056,1.59,-0.868,36.689
5.23642,43.657,49.17,38.075,-25.563,83.211,-41.31,-22.254,0.773,12.393,4.341,4.363,33.602
5.53156,43.704,59.168,38.254,-2.356,72.491,-38.193,-47.044,6.103,9.668,-2.528,7.063,27.807
6.12485,44.2,62.013,69.597,-1.254,68.106,-11.228,-25.446,1.636,-11.124,-1.953,-6.818,50.2
6.62363,42.571,72.368,77.02,-35.762,59.059,-24.872,-11.205,-27.77,-11.762,5.626,-1.007,44.824
6.90766,44.214,60.437,66.733,5.578,62.913,-19.686,-49.106,-8.511,4.662,-9.424,-8.375,34.436
7.20961,43.468,9.593,77.829,16.676,56.035,-50.976,-31.022,-3.284,-13.637,-11.363,8.328,29.123
7.88308,41.915,-6.004,59.929,-8.362,56.336,-36.389,-40.833,4.55,-17.102,1.108,12.078,33.676
8.09215,42.342,41.79,86.773,-3.099,62.674,-29.935,-12.764,-7.751,-12.555,6.608,4.194,20.524
8.30059,42.982,16.549,70.017,9.883,59.617,-19.87,-44.426,-20.981,-8.452,-0.079,-6.664,23.338
8.54499,41.579,-28.208,63.292,-3.675,78.394,-28.996,-23.282,1.977,-1.207,-0.687,1.782,21.95
8.87088,41.019,-4.505,65.517,-1.164,70.235,-26.316,-22.183,-8.065,-14.99,-13.822,0.787,24.079
9.24662,40.199,-24.655,56.146,-14.884,75.053,-48.052,-26.878,5.583,-18.446,-8.61,23.675,28.904
9.43882,42.082,34.092,83.754,-0.225,88.558,-17.369,-26.749,-5.303,0.739,-4.316,1.342,21.817
9.58363,43.097,10.993,49.047,-22.71,60.095,-26.941,-48.121,-23.883,-5.616,5.475,9.739,27.308
9.64739,43.055,11.43,51.136,25.406,63.284,-14.288,-52.643,-10.144,15.756,-20.243,-23.039,21.019
9.91528,39.693,-28.502,51.788,-5.252,91.804,-21.549,-8.13,3.193,-12.571,-16.524,2.311,22.53
10.25737,39.12,-10.305,38.331,-1.188,85.316,-17.014,-10.296,-20.159,-17.573,-5.885,0.938,12.791
10.60063,37.46,-56.231,56.625,-19.088,100.472,-29.954,-3.938,-14.18,-19.23,-27.298,12.122,12.731
10.75687,40.642,22.632,93.357,-42.884,69.411,-17.253,-24.118,6.738,-4.173,-25.787,13.165,21.59
11.14023,42.711,-2.079,93.317,83.073,61.025,-39.035,-26.156,-38.727,-10.616,20.127,-17.167,15.829
11.24458,42.07,-31.875,105.475,-41.41,44.675,-1.836,-24.966,8.317,-13.53,-13.703,1.956,3.011
11.44159,44.694,-7.592,90.011,7.135,41.351,-19.116,-26.066,10.498,-23.383,-12.929,-6.416,32.941
11.65714,44.908,22.581,46.809,-0.323,40.478,-56.816,-16.194,15.041,-5.886,-2.602,15.141,28.984
11.83592,43.313,16.14,97.039,28.987,28.367,-72.812,1.268,2.901,-50.743,-7.809,12.362,38.937
11.9293,43.469,17.81,109.147,7.492,60.372,-35.869,20.593,8.403,-27.698,-11.912,-3.78,20.069
12.1615,45.386,9.988,99.112,-5.11,89.986,-26.802,15.602,-0.519,-11.015,-7.298,11.293,17.755
12.28971,46.623,17.861,113.076,12.489,66.158,-28.378,3.401,14.269,-12.254,-12.266,-9.868,19.398
12.40984,46.167,23.795,80.34,11.704,65.001,-15.167,-17.652,-16.989,0.694,-11.814,-5.809,22.459
12.82367,43.836,-27.258,66.23,5.428,66.898,-29.009,-8.331,-1.972,-20.608,-17.802,3.894,21.969
12.96263,43.662,-19.165,95.59,15.77,87.651,-44.271,5.465,7.066,-15.645,-14.942,-2.517,18.684
13.5312,45.223,11.285,83.427,-15.404,87.094,-15.258,-13.846,-13.725,-5.72,-9.019,0.216,3.738
13.68907,45.789,37.222,88.95,-12.58,62.987,-28.608,-31.293,0.613,1.709,-10.638,11.669,11.713
13.81574,45.545,26.568,60.047,32.727,48.022,-13.105,-45.305,-34.121,-2.619,0.019,-19.836,22.992
14.002,42.335,-35.994,82.878,-18.263,88.751,-24.66,-1.884,8.271,-23.385,-13.504,-0.868,14.053
14.34381,44.035,-10.187,64.794,-17.177,70.097,-15.831,-22.577,30.118,-6.505,-24.059,12.769,19.704
14.5361,42.58,1.417,53.313,36.011,77.758,-39.329,-18.029,-39.202,-11.502,3.275,0.303,33.876
14.73293,40.573,-7.692,59.706,1.148,92.832,-53.537,-15.381,-7.535,-17.564,-5.895,1.48,5.214
14.84213,42.565,8.11,90.95,-48.164,77.546,-24.964,-32.424,32.902,3.397,6.146,13.837,14.307
15.18,45.832,61.028,46.423,35.784,48.25,-4.755,-54.424,-41.451,1.502,3.975,-28.445,30.999
15.38281,41.44,-17.766,55.408,-19.167,82.335,-5.075,-13.362,-15.047,-5.523,-32.025,-13.031,10.777
15.73714,43.207,11.557,36.568,-8.361,63.558,-1.684,-20.761,-22.314,-6.464,-20.792,2.143,25.712
15.93465,41.283,-9.181,31.871,20.618,74.231,-25.621,-38.184,-35.924,-6.23,-8.411,-20.472,22.67
16.08649,41.112,-57.558,19.703,-27.697,97.582,-21.174,-17.425,-16.701,-21.532,-26.249,21.883,20.027
16.21324,43.149,1.461,50.246,-46.155,69.574,-17.174,-57.458,23.65,10.802,-11.94,-1.995,18.44
16.45125,44.774,57.242,57.798,23.871,51.773,-26.324,-49.552,-23.519,10.413,7.39,-8.072,18.755
