start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,20.698,-183.019,-119.205,-133.643,51.293,97.573,48.625,-10.785,-50.795,146.955,0.604,-3.27
0.34594,24.214,-206.708,-159.994,-68.303,21.282,-47.046,1.145,13.863,27.643,-7.807,-8.799,3.059
0.81746,17.826,-43.858,-122.441,-9.025,-31.27,-87.209,-38.092,10.885,7.944,-14.189,-19.276,-2.399
0.958,23.64,-224.166,-163.512,-36.623,29.324,-51.776,-3.764,61.205,-3.004,8.305,1.846,-7.295
1.14744,22.636,-218.352,-163.363,-53.52,30.38,-66.299,3.442,37.335,1.388,2.985,-16.431,-3.88
1.35383,27.784,-270.29,-139.405,-86.815,24.216,-63.749,15.825,11.685,-1.095,1.571,-1.498,-3.323
1.53406,27.543,-204.812,-136.585,-38.351,-14.442,-74.716,-16.143,-9.073,14.786,3.681,-16.635,-6.518
1.64893,37.021,-87.197,-32.258,-67.563,-18.193,58.97,55.901,21.353,4.418,-14.408,37.766,20.663
1.75279,39.443,-35.295,-44.267,6.672,0.19,32.765,27.829,27.407,17.538,-12.52,-99.735,30.985
2.26753,24.693,-153.921,-164.193,-17.366,5.147,-51.707,-18.505,5.107,20.829,-6.62,-22.729,-2.555
2.6176,24.969,-211.476,-166.682,-39.194,18.325,-46.149,-5.017,29.412,17.086,-0.681,-12.027,-0.946
3.00132,25.259,-222.64,-153.892,-57.782,34.552,19.75,6.447,47.367,-7.516,55.379,3.934,-4.072
3.94934,25.95,-243.24,-150.051,-60.846,32.271,-61.341,8.663,38.392,-2.013,2.487,4.313,-4.385
4.09048,36.339,-127.033,-81.56,162.495,38.129,30.319,11.013,22.097,12.54,-9.507,-55.902,-4.361
5.07565,26.57,-235.884,-159.467,-57.166,33.342,-17.153,7.619,24.456,7.018,21.21,9.969,-1.194
5.28531,23.212,-200.086,-159.228,-51.135,25.362,-44.237,-4.087,37.224,8.232,29.376,5.339,-3.605
5.66571,24.754,-208.359,-160.778,-46.78,16.933,-74.719,-5.78,31.538,15.806,3.017,-13.454,-0.679
6.05175,35.952,-108.773,-111.488,-87.615,-15.359,-46.815,-40.06,9.315,29.295,30.255,6.595,-8.141
6.2517,36.135,-57.884,-143.823,-20.685,-11.474,-21.495,-41.548,-34.888,37.968,-0.936,-47.349,4.501
6.4366,37.923,21.395,-156.196,8.452,-11.151,-72.192,-50.579,-40.485,21.748,31.867,-28.283,13.932
6.62177,39.133,68.116,-122.459,26.675,-46.894,-75.429,-58.045,-26.041,19.374,34.053,-33.802,17.701
6.81701,36.21,146.591,-56.678,29.838,-80.312,-91.603,-63.034,8.604,-27.861,-2.409,-12.95,-30.384
6.97746,36.847,-12.07,-137.409,-7.747,-26.216,-4.273,-64.839,7.445,38.001,25.335,-43.681,-3.941
7.16939,39.463,68.484,-145.921,34.463,-23.304,-64.227,-60.94,-23.113,-0.551,52.26,-38.847,4.113
7.36721,39.41,29.203,-129.59,10.477,-29.189,-47.97,-54.144,-60.488,17.465,81.353,-32.937,10.756
7.55274,39.363,17.356,-97.856,-54.052,-61.364,-69.243,-71.459,-17.677,13.482,32.377,-15.644,-27.226
7.68522,37.333,23.266,-119.334,-31.857,-45.676,-9.1,-64.264,-6.203,35.725,-3.054,-50.528,-13.239
7.91324,38.292,136.911,-126.637,66.744,-34.949,-62.149,-40.145,-25.788,1.07,13.53,-29.491,22.927
8.11664,42.072,53.512,-157.603,18.452,-15.038,-74.998,-67.709,-36.49,29.221,32.024,-36.366,13.145
8.30132,39.032,69.851,-96.877,-24.946,-56.22,-61.911,-64.891,-21.191,-0.348,57.912,-31.924,-4.763
8.43288,35.642,46.02,-110.969,-27.368,-30.806,-13.017,-42.353,-8.229,25.946,4.942,-53.212,18.334
8.6732,40.331,73.481,-134.751,32.106,-23.257,-73.37,-39.858,-28.778,-18.047,25.525,-36.175,7.099
8.86948,37.785,100.29,-127.507,61.263,-47.199,-82.975,-70.528,-7.277,23.733,40.689,-45.143,8.15
9.04181,40.76,21.687,-128.552,-7.34,-35.495,8.786,-60.779,-40.031,24.47,60.516,20.897,-15.218
9.41782,42.036,66.391,-143.242,24.638,-11.758,-60.736,-48.985,-29.375,0.686,17.907,-27.953,6.866
9.61293,41.539,103.906,-123.774,37.773,-37.917,-61.65,-63.814,-39.227,27.435,30.087,-26.085,12.001
9.79215,39.387,148.203,-49.461,26.777,-82.079,-85.079,-64.599,14.865,-15.887,5.605,-7.43,-6.284
9.96712,38.827,16.838,-136.432,-22.367,-25.91,-19.446,-66.396,13.754,45.266,-3.084,-40.795,-4.989
10.14621,42.371,70.63,-132.548,45.041,-24.804,-50.403,-48.138,-25.099,-20.914,43.726,-23.705,2.664
10.34399,43.406,80.538,-132.429,31.143,-0.731,-40.117,-27.261,-49.392,-5.945,56.377,-20.406,18.094
10.53161,42.074,71.545,-95.144,-21.807,-71.714,-76.801,-71.342,-18.024,9.853,20.979,-15.809,-17.323
10.69705,37.849,52.787,-124.926,-20.989,-36.569,-17.185,-51.328,-15.579,30.8,2.612,-50.573,5.841
10.89587,39.366,155.565,-109.998,44.889,-41.407,-80.737,-40.409,-15.169,-21.216,8.972,-40.98,8.041
11.06018,40.573,41.817,-142.819,-27.411,0.919,71.907,-36.569,37.041,43.129,-17.304,-27.852,3.202
11.28526,40.622,79.994,-102.784,-15.826,-53.228,-68.5,-70.686,-4.365,13.869,23.885,-32.21,-3.265
11.63102,40.853,82.801,-130.481,45.605,-24.494,9.095,-25.858,-29.333,-20.39,38.119,16.604,-4.401
11.85147,39.551,112.375,-114.016,56.365,-52.835,-73.704,-61.915,4.184,20.268,24.726,-41.28,20.398
12.03397,42.383,18.305,-133.122,2.598,-22.25,21.649,-44.19,-26.545,29.812,-0.189,2.486,-5.752
12.39605,43.855,76.054,-114.46,32.75,-37.38,19.762,-27.499,-25.278,-2.288,-9.274,16.681,-6.776
