start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
0.2137,45.078,19.924,-46.117,12.033,56.699,157.343,-1.814,-16.794,-8.993,54.889,112.094,-35.447
0.50576,47.863,-34.886,11.753,35.256,30.448,-47.75,1.338,-13.206,-9.273,25.927,-11.112,1.108
0.78957,43.384,-53.94,-7.066,30.297,14.099,-49.732,-29.006,-26.786,-8.271,13.037,-21.022,-2.537
1.09206,42.609,3.668,22.41,18.906,8.037,18.164,-16.665,-2.557,16.679,-34.569,-16.253,15.157
1.39887,38.799,-70.389,29.872,6.167,43.862,-51.66,-21.988,-29.025,1.337,33.014,-4.097,-28.323
1.50345,41.754,-28.393,54.708,-4.501,73.106,19.512,-11.015,-9.379,44.853,-18.157,-23.768,-32.369
1.76921,37.981,-93.387,-18.456,2.385,16.544,-67.317,-47.225,-26.719,5.719,13.016,-12.899,-14.331
1.86834,36.813,-35.285,-37.26,16.866,27.531,8.248,-36.578,-40.38,28.084,-45.357,-12.179,-14.426
2.29891,31.932,-173.766,2.324,13.971,50.325,-48.621,3.411,-14.445,-14.056,7.296,-10.212,9.965
2.51397,34.422,-119.105,-47.177,-6.078,8.846,8.806,-3.418,-36.324,-3.379,-11.827,27.053,-16.807
2.69497,34.625,-135.733,-10.655,-3.696,10.966,-53.039,-6.275,-5.047,4.943,6.708,-11.043,8.249
2.88612,33.839,-102.673,-42.224,-8.793,6.861,-15.957,-33.219,-6.415,7.601,-3.12,-12.296,-0.768
3.23701,30.626,-146.347,-47.353,-30.896,22.568,-45.84,-41.678,-21.324,-2.736,18.763,-0.405,-13.343
3.36762,30.414,-161.205,-52.535,-9.287,60.839,-50.29,-7.777,-28.226,-10.642,11.19,-10.797,3.417
3.51098,29.614,-96.125,-93.967,12.133,24.283,-28.986,-31.234,-37.37,9.453,-42.153,-17.151,-15.204
3.90562,26.758,-159.56,-76.39,-52.378,43.035,-12.157,6.534,-27.065,12.705,-7.547,-10.665,-10.774
4.12685,29.7,-209.469,-114.041,-38.716,28.277,-43.625,8.953,-27.348,-2.058,25.588,2.922,1.95
4.23374,31.529,-192.913,-57.949,-43.738,13.014,-10.695,6.774,-6.485,10.617,-2.287,-18.128,-14.434
4.50032,30.186,-175.146,-49.611,-40.94,26.249,-54.213,13.612,0.169,7.636,4.326,6.161,-19.97
4.63283,29.904,-176.84,-81.575,-4.274,31.361,-71.568,-1.611,-28.474,-5.901,18.98,-18.561,-9.147
4.92118,31.98,-128.713,-89.214,68.539,24.242,-26.003,-27.455,-28.412,-11.779,10.796,-28.012,-9.236
5.64934,37.819,-88.275,-22.473,-7.814,30.572,3.17,-26.564,-25.57,-6.591,33.576,32.757,-30.825
5.73011,50.265,103.943,-2.45,32.356,31.411,-7.597,-41.726,-22.592,10.47,0.856,26.747,-17.034
5.90358,47.804,73.593,31.938,22.973,36.725,-53.54,-14.993,-0.086,-3.319,2.661,-23.499,14.594
6.06027,52.022,73.802,37.133,28.961,91.063,-51.005,-29.532,-32.077,23.447,25.474,-17.399,-43.701
6.22853,52.041,92.216,48.738,19.828,77.229,-65.516,-22.293,-2.604,49.509,25.109,-14.627,-14.801
6.36213,50.81,77.421,38.242,36.238,76.831,-64.815,-25.391,-7.529,17.956,17.139,-23.173,-30.264
6.85615,50.628,120.864,35.356,22.706,37.571,-66.18,-37.379,-9.609,19.632,10.586,-3.331,-9.864
6.94875,49.977,52.738,44.44,29.164,74.983,-43.215,-14.382,-27.598,13.562,10.797,-23.372,9.936
7.19782,50.994,122.938,30.851,16.394,38.947,-70.229,-45.155,-2.704,12.829,6.664,-6.38,-14.015
7.29107,49.943,89.898,43.834,27.063,72.487,-39.472,-26.682,-7.485,10.201,21.875,-29.058,9.575
7.51751,43.386,-2.349,31.405,16.517,49.668,-24.505,-36.427,-8.65,-7.015,6.573,6.108,-13.674
7.6971,42.02,7.46,21.072,35.142,55.257,-47.413,-32.949,-23.93,-1.825,6.123,-26.771,-27.424
7.87723,40.536,-27.324,54.01,10.2,53.211,-61.593,-29.459,-14.681,9.071,29.087,-4.822,-34.865
7.99932,43.263,15.836,41.454,-61.581,63.098,-0.055,-26.859,16.103,13.421,-13.604,-38.985,-19.399
8.2322,41.399,16.966,11.792,48.043,54.032,-51.851,-39.984,-2.609,-5.256,1.554,-27.746,-21.863
8.50481,38.116,22.15,13.026,-22.522,52.944,16.026,-21.678,22.098,12.407,-13.472,-57.616,-23.359
8.87034,33.414,-43.481,-0.871,34.973,24.25,-71.149,-46.244,-36.547,-6.364,24.777,-3.585,-23.723
8.95152,33.336,-77.751,-5.721,20.06,49.073,-30.215,-43.15,6.71,15.6,6.249,1.429,-17.195
9.21184,32.586,-40.669,-6.591,-17.454,55.66,-58.498,-41.314,-9.308,-6.977,8.824,11.81,-38.244
9.3049,34.055,-31.053,-12.439,-0.876,41.702,-56.089,-59.329,-13.674,6.682,7.934,-36.011,-19.994
9.51483,33.027,-74.705,-18.018,-30.344,21.926,-57.76,-41.644,3.875,3.367,5.378,-7.787,-26.383
9.84454,32.261,-47.232,-75.735,-11.113,4.323,-33.997,-29.337,-54.838,-3.597,-15.593,-6.049,-27.066
9.96834,30.091,-67.658,-77.614,-26.325,7.77,-35.555,-22.301,-8.656,-12.603,-2.914,-25.76,-4.439
10.10757,28.427,-128.923,-64.614,-41.515,8.416,-57.301,-17.574,-30.669,7.501,25.952,-3.348,-2.865
10.2751,30.567,-131.203,-52.575,2.882,3.623,-28.697,-19.1,-9.448,5.846,23.718,-10.852,-16.94
10.56503,28.257,-138.294,-105.317,94.621,12.254,-46.266,-18.655,22.325,-35.823,12.426,-38.513,21.354
11.8722,14.368,-51.945,-107.073,-42.286,40.237,-53.342,-24.606,-6.732,-10.101,-8.363,-5.052,5.772
12.21837,23.582,-59.824,26.186,-122.5,42.705,50.254,8.245,-45.068,-3.971,32.265,-1.067,-10.564
12.59093,31.859,-117.719,75.13,8.932,89.077,-3.057,21.681,-17.881,-7.54,14.021,-1.545,-4.95
