start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.0,171.129,9.466,-28.481,57.489,-50.068,14.836,5.359,-27.227,0.974,-10.641,-7.229
0.14458,18.802,-54.14,-172.101,99.835,21.618,137.016,-8.98,121.491,-25.351,93.769,28.866,-14.017
0.64413,27.747,174.186,-138.321,247.046,18.288,-92.464,-54.868,16.521,-17.689,-24.834,-100.294,-6.614
1.0834,3.783,97.672,-81.89,-50.104,15.115,-38.286,9.399,24.759,-22.983,10.309,-7.834,-3.408
1.33578,23.827,-107.68,-152.71,32.694,21.073,150.443,12.169,50.146,-27.805,100.948,33.358,-9.769
1.57102,29.805,110.79,-111.636,28.11,43.759,158.787,20.555,97.071,21.863,-58.008,5.832,-34.19
1.82204,26.691,-147.336,-161.67,98.877,-10.262,-105.861,-39.355,57.441,-10.633,-16.279,-32.708,-2.937
2.05093,22.383,-94.959,-197.046,146.398,5.008,37.504,-31.554,118.089,-6.983,38.677,46.756,-18.72
2.5049,22.161,149.766,-138.917,125.787,56.215,233.491,21.673,80.428,7.036,-27.045,-25.906,-12.71
3.00095,4.288,119.859,-101.256,-51.134,22.043,-31.11,12.392,20.047,-14.908,-17.085,-11.73,-2.219
3.24499,26.251,-132.63,-158.338,87.945,-4.648,41.591,-14.8,53.672,-22.527,61.015,51.484,-13.494
3.45243,32.793,-31.32,-59.112,-18.149,-8.896,75.381,0.583,35.232,-7.598,-35.058,-15.138,4.949
3.97193,31.809,-178.838,-119.788,51.732,-24.207,-80.034,-26.419,14.054,-9.701,-19.491,-13.464,-13.932
4.44449,39.597,38.454,-103.885,107.713,-6.592,-53.299,-19.109,-68.859,-20.031,4.513,-36.926,14.603
4.92381,33.833,-59.857,-34.503,-34.16,-35.934,-45.293,-28.931,-6.944,-1.423,10.242,13.724,11.253
5.02186,34.001,-96.938,-47.411,-6.926,-54.951,-13.384,-15.738,-22.866,-32.19,-3.57,-48.002,7.584
5.31288,35.229,17.589,-22.417,-78.54,-33.586,33.33,7.963,32.587,-25.911,-49.675,-9.705,-10.486
5.61152,32.225,-116.859,-61.129,13.096,-47.14,-77.45,-11.789,34.7,-10.847,-22.834,-7.03,4.586
5.85111,30.411,-184.287,-118.565,49.459,-21.513,-83.836,-20.931,6.728,-13.064,-6.953,-7.048,-0.407
6.31342,39.923,48.496,-76.06,143.268,-14.813,-4.545,-12.864,-55.777,-25.965,13.227,-33.648,5.181
7.01959,33.644,-155.074,-73.032,11.677,-44.72,-63.248,-24.746,11.338,-14.199,-2.727,-0.369,-10.936
7.259,39.314,78.151,-98.627,71.548,16.29,-86.363,-23.771,-38.554,-35.315,7.459,-43.329,7.005
7.50272,29.009,-108.695,-39.261,-6.253,-35.706,-34.329,-13.415,-3.117,-20.237,6.012,-9.549,18.414
7.70889,41.642,-63.39,-41.639,70.733,-42.936,7.547,7.563,10.413,-33.769,-17.299,-29.37,28.897
8.1683,41.487,67.931,-67.383,62.454,17.359,-20.507,0.175,-46.708,-35.554,6.4,-16.734,4.239
8.41297,36.199,-85.024,-17.687,6.756,1.091,13.84,9.64,-18.389,20.55,1.466,-12.673,1.188
8.62902,32.237,-103.879,-41.845,52.525,8.851,-19.825,18.875,11.487,5.215,14.143,-1.862,2.812
8.85311,41.437,-84.721,14.522,-59.97,-28.457,1.237,23.278,44.731,-13.166,-25.16,-3.282,0.106
9.08395,40.992,47.612,-57.488,64.664,9.188,-0.28,15.142,-17.155,-7.873,-60.089,5.089,-3.492
9.32163,40.462,-86.291,3.659,-6.445,-25.773,5.393,34.227,30.34,-10.381,-31.981,-6.484,15.963
9.55483,43.436,-61.613,-44.819,15.224,-35.371,-19.437,21.877,40.617,-28.238,-13.132,-7.581,25.038
10.02776,44.495,39.222,-77.802,60.407,-22.846,-13.53,-0.984,-20.004,-5.296,-14.104,-12.237,8.129
10.26689,36.671,-19.384,-63.324,-27.367,-38.7,-48.87,-2.945,0.954,2.246,17.106,0.464,16.867
10.4542,34.847,-44.889,-63.977,-16.142,-38.38,-22.519,-2.616,32.078,4.183,6.945,-3.929,0.734
10.71415,38.796,-115.167,-71.244,-3.392,-38.361,-80.924,-6.956,11.926,12.112,7.931,-8.021,-0.731
10.95429,41.884,49.485,-118.383,53.52,-11.993,-87.211,-19.563,-43.834,-14.915,15.218,-41.778,-3.81
11.17769,35.454,-125.899,-55.378,-24.267,-46.16,-54.867,-0.864,21.144,-4.877,-9.168,5.723,-0.713
11.36857,36.248,-103.708,-62.221,-115.102,0.376,30.927,-0.769,6.273,-1.836,7.89,-36.988,0.394
11.54603,39.828,-112.695,-51.377,-2.034,59.278,-54.238,-19.325,1.758,-11.449,5.259,-6.695,12.15
11.6454,43.118,-108.922,-31.256,-6.758,21.488,25.27,21.602,10.956,-27.227,-19.784,2.479,1.708
11.86082,45.288,9.156,-84.385,34.601,33.379,-1.298,-14.245,-41.688,-11.074,-19.508,-15.523,-12.769
12.07338,39.408,-125.76,-59.637,-69.636,42.259,-23.004,-10.699,4.822,-16.147,6.921,-18.097,-21.33
12.22512,41.268,-88.965,-45.196,-26.523,24.483,-45.28,-27.857,-4.915,1.095,1.172,-13.944,-9.896
12.49814,39.26,-126.874,-58.998,-57.205,70.024,-41.107,10.882,-1.841,-42.978,0.8,-9.484,2.943
