start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.073,169.659,6.994,-30.449,55.405,-50.353,16.553,4.0,-27.003,1.693,-11.368,-7.205
0.08558,10.178,122.398,0.624,-24.713,-47.325,9.781,16.213,-9.399,-22.901,10.069,20.463,-17.071
0.18018,31.24,-115.747,23.283,-7.46,126.102,23.907,-6.37,33.102,-4.352,18.254,25.717,5.892
0.59184,32.896,-15.994,41.238,93.277,131.601,74.238,-70.906,19.369,26.252,41.739,-65.167,3.493
0.93379,17.002,-11.187,40.843,23.322,126.101,23.694,-48.11,19.595,31.574,-30.554,-38.846,-28.283
1.20091,29.14,-45.179,-2.548,-69.17,83.83,16.198,-56.824,-5.625,14.038,13.238,29.618,9.224
1.41084,36.496,-40.482,40.703,171.67,128.31,7.367,-89.827,29.021,26.878,7.878,-52.012,-2.4
1.65392,29.489,-105.526,46.344,-64.388,142.341,36.739,-8.081,1.251,-21.833,41.103,14.654,6.872
2.13156,34.28,-105.565,69.253,-16.109,120.501,-18.824,-8.459,18.064,-6.078,-15.874,8.617,10.392
2.24086,35.423,-7.767,9.003,198.437,126.994,24.167,-96.532,9.029,28.071,32.961,-68.87,8.658
2.57782,15.268,-39.397,61.148,-13.059,130.359,-56.262,-37.291,8.569,21.047,12.53,1.943,-24.482
2.66422,29.579,-46.548,44.472,-40.85,89.658,39.727,-39.76,-19.674,-11.052,66.769,6.193,2.343
3.06417,32.581,-52.895,14.216,121.183,139.25,84.675,-67.666,26.049,35.972,-18.01,-69.538,4.308
3.40118,16.183,-50.189,48.015,-10.602,120.131,-34.812,-43.118,5.586,21.021,12.029,-6.953,-18.428
3.51184,25.235,-50.502,26.995,-76.039,90.163,36.994,-34.458,-14.403,7.093,33.005,-16.136,2.84
3.86526,28.221,-59.625,3.793,-42.601,72.004,-34.748,-66.864,7.812,28.896,-3.514,18.112,11.094
3.95397,31.033,-18.61,-1.045,192.394,127.63,21.463,-91.749,28.529,35.796,16.814,-45.288,-1.248
4.32485,17.332,67.223,42.593,82.007,70.101,-32.328,-67.261,-38.527,-0.862,22.004,-40.574,-22.312
4.5737,26.498,-66.908,-1.406,-71.371,77.274,28.022,-59.184,3.552,12.192,-7.716,16.72,4.593
4.76,31.525,-37.269,10.733,140.43,127.557,38.489,-82.728,26.3,19.21,32.247,-40.667,-0.279
5.00971,30.745,-89.785,51.436,-27.302,123.992,24.852,-9.044,-12.227,-11.571,44.565,50.548,9.399
5.57188,33.751,-53.719,13.668,182.765,134.026,7.101,-95.911,49.711,40.239,-8.727,-73.05,9.268
5.85166,15.043,-56.33,57.213,-23.836,134.015,-46.896,-31.82,-4.955,-7.88,7.914,-5.855,-25.538
5.97905,29.387,-37.818,41.281,-41.991,71.632,1.596,-58.791,-37.486,-14.344,64.038,10.495,3.045
6.19937,31.809,-73.029,0.642,-32.869,80.757,-25.082,-73.537,-14.816,-2.328,-10.136,-5.244,-6.319
6.40259,31.805,-51.487,4.408,177.62,134.979,27.071,-83.163,25.582,24.825,11.887,-47.187,-1.056
6.80268,23.686,-32.855,47.3,-88.532,68.184,-5.053,-62.44,-18.477,7.338,29.335,-17.773,0.385
7.2341,32.405,-59.812,29.911,130.744,136.836,61.077,-71.313,46.465,16.793,20.234,-66.21,-1.112
7.56957,16.05,-10.233,51.863,-7.426,111.124,5.841,-45.563,29.815,19.948,-20.272,-53.377,-26.847
7.83016,21.979,-75.884,-5.462,-98.808,88.152,31.115,-41.175,5.383,-2.731,22.049,33.217,-1.979
8.04544,38.517,-44.47,70.318,95.534,131.299,19.894,-75.861,10.665,18.081,22.112,-34.698,-4.156
8.30603,30.382,-114.688,32.267,-19.048,135.408,0.9,0.167,2.604,-18.685,10.48,15.283,11.697
8.83556,32.566,-64.079,41.872,91.277,142.492,62.525,-64.407,29.056,13.017,21.498,-55.709,3.244
