start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.325,164.096,0.332,-37.317,50.731,-50.697,19.087,-1.893,-27.423,3.138,-12.502,-5.646
0.23524,6.753,23.193,-138.088,-92.964,11.834,-39.908,-3.265,-0.502,-21.931,24.308,-11.589,-12.21
0.5415,7.248,13.329,-141.886,-88.205,14.693,-49.429,-6.378,6.073,-13.01,12.232,-10.709,-17.825
1.62023,6.998,23.074,-101.3,-66.884,42.827,-56.596,12.19,9.006,2.317,11.722,-11.485,-17.327
2.15034,7.609,18.153,-63.213,-62.162,66.852,-56.508,38.74,-0.704,4.617,18.68,-5.159,-6.961
2.93696,9.692,-25.717,-64.539,-53.155,94.065,-65.542,11.981,8.972,13.518,7.428,-4.106,-17.325
3.72395,9.415,-12.034,-47.127,-48.126,89.557,-52.98,41.078,10.002,2.874,20.171,-9.352,-7.202
4.0512,9.465,-18.517,-66.269,-58.67,81.974,-56.498,18.707,10.121,2.028,8.213,-12.991,-3.507
4.27465,9.141,-13.773,-59.108,-61.059,88.458,-54.317,11.427,4.486,-3.446,10.651,-1.831,3.071
4.53986,11.001,-35.796,-40.379,-40.133,91.364,-58.087,38.396,15.979,-11.196,1.152,2.859,14.097
4.72041,11.015,-39.612,-39.963,-30.632,103.791,-57.908,23.799,19.355,-4.566,11.811,-12.354,-0.525
5.51964,9.995,-28.268,-64.854,-38.185,92.014,-60.087,9.942,26.224,1.816,6.296,-8.518,-0.594
5.81741,9.985,-29.228,-50.636,-54.878,103.208,-45.292,12.089,5.584,-1.835,19.281,-15.952,-0.743
5.9981,10.782,-27.971,-39.745,-27.896,86.853,-54.001,49.017,30.173,-5.348,9.545,-8.74,0.359
6.12444,11.189,-47.944,-62.221,-55.559,90.693,-54.906,15.161,8.259,-9.789,7.439,-1.342,8.812
6.41882,12.325,-64.01,-43.072,-51.054,102.628,-54.635,20.277,8.077,-15.919,-0.284,5.452,14.817
6.88358,13.06,-84.609,-79.012,-54.608,94.573,-57.191,22.192,14.625,1.402,18.279,-15.34,-7.798
7.13556,13.903,-81.313,-63.226,-40.69,73.436,-53.987,41.091,24.409,-14.923,11.008,-8.476,-16.774
7.27841,15.965,-87.756,-42.174,-16.775,43.57,-59.791,51.819,22.504,-38.267,-8.8,-2.43,-0.549
7.59556,15.813,-92.393,-20.437,-43.546,69.808,-48.832,45.033,7.332,-33.268,-0.435,-4.919,-11.763
7.95224,16.179,-96.809,-31.253,-25.892,64.958,-52.409,28.093,30.536,-33.828,-4.628,-1.682,-4.912
8.17438,15.423,-87.084,-20.375,-27.833,74.361,-51.897,39.704,16.96,-36.299,-3.131,-5.166,-8.27
8.50512,15.888,-83.997,5.671,-32.677,75.351,-55.035,62.906,14.019,-30.121,-1.801,-8.262,-11.316
8.70154,16.151,-88.3,16.067,-18.708,90.018,-51.438,51.357,20.606,-29.706,4.397,-12.847,-26.02
8.94485,16.738,-85.128,19.619,-25.888,71.169,-44.631,44.033,12.55,-39.445,1.745,-9.826,-17.16
9.28748,18.164,-103.685,16.789,-30.097,66.46,-41.815,24.948,11.948,-40.294,-7.878,-0.805,-20.249
9.46163,18.385,-91.522,36.47,2.259,68.265,-29.278,21.477,24.645,-44.184,-6.444,-25.064,-12.663
10.11211,15.623,-71.628,10.234,-23.775,67.206,-53.779,50.086,15.472,-34.625,-6.76,-1.229,-13.307
10.46005,15.623,-82.736,-7.103,-20.098,73.988,-57.043,31.455,19.111,-35.41,-11.176,-2.177,-4.856
10.68735,15.514,-77.537,6.927,-40.74,78.716,-46.444,15.007,11.81,-39.987,-9.663,4.283,-11.408
11.122,15.989,-63.329,1.401,-1.56,50.146,-42.764,11.102,17.863,-46.913,-14.487,0.441,2.186
11.4371,16.156,-75.909,11.673,-17.075,62.96,-29.187,44.206,18.194,-57.378,1.007,0.362,5.931
11.63279,16.145,-66.743,29.105,-4.135,67.013,-50.173,31.297,19.768,-40.564,-14.015,-3.174,-15.684
11.91728,17.351,-63.131,55.851,-26.49,51.904,-46.051,55.481,10.022,-39.134,-2.666,5.49,-19.12
12.71274,16.663,-53.856,48.603,-22.705,47.015,-32.207,32.991,1.594,-59.912,-2.478,-5.579,-1.571
13.37528,17.832,-63.641,59.692,-7.049,49.776,-41.749,44.234,7.882,-46.714,-12.46,1.861,2.813
13.61302,18.26,-54.771,69.922,15.303,42.465,-53.17,46.469,23.5,-42.014,-17.448,8.075,-5.131
13.85039,18.034,-56.934,71.337,-13.393,45.009,-38.935,44.602,10.115,-50.478,-6.202,2.172,-1.449
14.19338,18.827,-61.351,68.851,10.844,43.834,-38.967,43.675,18.906,-40.36,-6.919,-4.432,-7.579
14.35551,18.886,-54.202,78.315,0.628,40.585,-27.489,41.099,17.135,-39.685,-4.767,-2.776,-16.846
14.66313,18.542,-79.143,70.457,-10.6,68.215,-31.982,36.756,15.125,-51.114,-8.363,0.146,2.223
14.87265,19.188,-74.24,53.787,26.227,45.967,-37.806,22.697,29.229,-55.17,-14.638,-7.067,15.46
15.04045,18.765,-61.109,77.662,-35.799,48.153,-31.087,32.799,12.339,-48.302,-10.484,11.178,8.002
16.04522,19.266,-46.873,77.028,-18.436,28.498,-29.326,3.178,13.708,-52.194,-9.221,-1.147,-0.113
16.342,19.702,-33.788,97.667,-5.425,24.613,-31.926,27.39,1.717,-44.057,-5.273,1.588,-0.868
16.71256,18.959,-38.0,80.66,16.071,31.46,-35.02,22.199,6.738,-39.284,-9.891,-3.961,-7.509
17.10118,18.676,-64.245,67.064,-5.687,51.081,-35.563,15.227,13.872,-47.499,-11.948,3.115,-3.334
17.20653,19.464,-48.602,75.854,4.125,35.366,-20.475,0.323,10.449,-47.494,-16.969,-9.326,-3.458
17.35605,19.364,-67.832,70.551,-6.135,43.138,-28.176,19.202,16.775,-50.859,-9.374,0.819,-0.676
17.55465,19.569,-56.048,69.978,9.42,39.945,-28.231,7.572,8.218,-45.016,-15.468,1.166,-0.327
17.89061,17.481,-58.906,53.824,-2.424,50.474,-28.597,5.641,8.859,-67.033,-14.401,-6.369,3.492
18.09986,17.062,-63.418,55.952,2.108,67.317,-37.25,15.715,11.792,-51.763,-12.674,-6.06,-2.142
18.25215,16.909,-65.746,48.996,-7.567,68.536,-32.963,18.35,20.229,-46.078,-16.364,-1.948,-5.999
18.39546,16.828,-70.078,44.332,-23.5,73.307,-39.909,11.792,11.142,-41.624,-9.91,4.801,-8.364
18.67995,21.016,-17.624,101.863,-14.115,52.027,-8.115,-8.113,-6.129,-30.425,-7.725,7.209,6.326
18.7907,21.859,-6.472,86.33,23.834,51.141,-13.675,-37.147,7.298,-16.682,-22.513,-19.531,0.535
19.56884,19.615,-5.9,96.658,-21.879,49.17,-33.943,-10.605,6.012,-17.604,-0.807,6.984,-9.514
19.78322,22.85,-12.885,53.817,-13.864,4.902,-20.729,-9.892,-0.856,-20.917,2.467,-12.819,-24.901
19.95256,24.918,-29.96,36.187,-13.558,1.726,-30.391,4.076,8.681,17.756,13.247,-7.056,-32.767
20.12889,23.684,-44.788,20.933,21.057,17.723,-32.249,8.126,-7.238,14.548,14.514,-28.384,-28.864
20.74812,21.593,-40.269,6.774,-45.238,3.464,-18.34,15.336,34.538,-7.26,-12.737,3.837,1.068
20.85243,23.867,41.914,26.884,-50.762,-20.088,-29.074,24.522,8.83,-11.632,-3.684,3.799,23.635
21.01537,25.736,75.64,35.92,4.686,-3.135,-19.92,24.564,-7.436,-23.338,-7.205,-24.38,28.866
22.00844,21.053,-2.931,13.625,-25.702,30.005,-38.31,17.282,-16.293,-7.374,4.111,-6.975,9.535
22.19297,23.46,19.603,17.278,-11.905,10.867,-21.135,7.522,9.422,2.089,-4.57,-2.589,1.901
22.419,23.438,24.518,10.873,-19.023,25.058,-36.954,-1.585,6.255,11.242,10.864,-13.575,8.958
22.84912,21.737,7.345,1.79,-18.142,24.969,-38.929,3.043,22.202,16.194,8.285,-15.329,11.093
