start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,52.457,127.475,-54.977,23.937,25.116,-106.188,-40.7,31.454,2.929,-7.874,-1.904,-8.386
0.33079,52.246,134.974,-44.414,57.218,51.268,-13.384,-49.367,15.379,-11.894,-5.484,30.795,-0.64
0.69075,48.624,185.569,46.542,25.727,98.919,-66.422,-37.081,21.727,1.561,11.153,-18.888,-2.43
0.85914,53.152,97.222,-69.153,7.238,1.383,-101.58,-43.833,12.098,-2.943,24.695,-6.154,-21.708
1.02227,53.029,129.911,-45.718,44.604,43.166,-22.6,-45.586,10.895,-4.69,-10.437,21.45,-2.569
1.37578,52.517,98.298,-77.81,34.175,-5.296,-97.275,-35.821,16.459,-5.61,22.108,-13.041,-12.891
1.54413,47.267,166.722,7.807,8.268,74.739,-51.418,-38.266,-20.569,-6.115,4.85,2.615,-36.229
1.72408,53.263,127.509,-45.697,51.635,42.092,-64.343,-57.833,10.117,-2.551,-29.835,-3.918,-2.611
2.06671,45.628,201.352,66.937,33.815,106.182,-51.174,-44.488,-5.509,-10.277,21.828,-15.531,-11.689
2.24091,52.476,77.292,-67.35,17.862,-2.964,-101.371,-40.331,2.132,4.286,21.663,-22.057,-12.388
2.41488,52.653,132.48,-51.734,45.567,30.646,-67.078,-67.274,6.414,-9.024,-32.776,-4.74,-0.045
2.75714,51.579,90.196,-88.115,35.658,-14.501,-111.325,-45.093,13.116,-5.836,13.708,-14.934,-13.278
2.92512,47.442,145.86,9.507,21.069,81.913,-55.996,-24.59,-26.504,3.978,10.543,-12.219,-26.256
3.08259,51.175,129.89,-33.788,44.934,60.118,27.792,-50.496,16.778,-9.833,-3.639,40.823,-10.863
3.44812,45.305,188.851,41.968,16.057,92.69,-53.362,-64.434,-7.83,-17.953,18.18,-14.32,-5.843
3.61642,52.242,82.093,-73.331,31.726,-2.828,-94.701,-44.121,-6.095,-0.63,28.113,-7.817,-19.171
3.79265,53.143,129.141,-48.942,49.967,36.912,-59.432,-58.938,1.94,-5.696,-27.822,0.415,-0.202
4.1332,51.289,98.107,-96.195,50.58,-11.398,-98.634,-49.297,11.963,-9.571,25.217,-4.263,-10.194
4.30444,46.784,150.419,3.423,15.319,85.662,-62.436,-45.296,-35.33,5.724,12.108,-12.898,-29.004
4.4815,52.195,136.322,-51.52,73.9,40.207,-67.934,-66.774,18.841,-4.967,-29.373,0.125,-1.479
4.99823,52.349,70.491,-73.573,27.39,4.109,-101.834,-43.545,-5.557,7.916,25.76,-16.334,-15.935
5.17234,52.633,126.969,-60.053,51.356,32.315,-66.848,-70.916,4.874,-4.903,-30.362,-2.526,0.43
5.51474,51.177,91.605,-98.351,45.633,-9.831,-110.131,-50.297,14.856,-4.451,17.484,-12.917,-13.313
5.68993,47.612,124.47,-1.503,17.933,103.844,-66.055,-50.195,-26.114,15.696,13.874,-18.149,-25.662
5.83977,50.992,119.311,-39.337,38.149,70.173,34.008,-53.38,11.074,-1.215,-1.556,38.306,-8.662
