start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.044,169.97,9.457,-29.47,58.293,-49.676,13.404,4.075,-27.84,1.061,-10.548,-7.076
0.08086,4.311,109.207,60.628,-99.119,71.325,-41.438,49.65,-66.492,-50.333,10.359,15.203,3.988
0.37755,14.581,-4.455,94.561,0.617,68.558,-37.326,52.121,9.822,-39.092,-7.138,-6.98,7.699
0.49351,18.394,-23.744,137.35,9.143,52.74,-29.75,52.747,7.374,-54.08,-11.737,1.71,8.897
0.66236,20.544,-29.926,118.506,37.959,28.274,-59.239,59.445,17.819,-38.635,-12.691,10.891,23.654
0.73719,21.65,-42.868,120.488,-3.28,24.51,-46.318,60.136,12.801,-39.339,-4.208,6.37,15.279
1.03887,28.66,106.732,29.528,68.394,93.917,38.028,93.083,-57.994,5.289,-88.171,-4.947,23.3
1.18399,26.825,34.514,91.24,4.438,73.369,10.02,57.187,15.571,4.628,-85.1,-30.491,26.808
1.41678,29.157,50.28,62.289,51.437,78.184,-43.681,56.342,-51.019,-52.229,29.793,-10.517,22.532
1.53215,28.434,-6.06,105.087,-5.001,29.048,-16.849,59.556,20.511,-27.863,-43.944,-10.739,20.243
1.77075,30.075,4.777,66.807,67.016,60.313,-56.7,64.639,-36.302,-44.587,25.947,-21.573,17.16
1.86848,30.406,-31.952,119.321,-6.944,21.72,-27.519,67.759,24.183,-30.2,-27.153,-5.932,19.718
2.10181,29.824,-18.653,86.258,57.862,62.672,-29.973,71.463,-2.79,-25.77,-27.794,4.987,17.174
2.20594,30.33,-18.473,156.317,40.423,50.692,-27.328,45.897,24.391,-34.043,-19.248,1.907,18.155
2.42063,30.182,-26.627,134.41,6.971,61.141,-29.712,57.12,22.186,-23.854,2.038,3.992,19.605
2.77447,31.319,-44.919,133.0,31.663,21.939,-31.859,52.605,24.626,-29.884,-14.518,-2.674,15.676
3.10544,32.155,9.392,110.137,17.566,41.625,-48.451,68.21,34.685,-49.061,-24.88,-12.32,21.872
3.35002,32.906,28.039,61.477,53.802,68.899,-54.833,85.86,-19.643,-76.118,-10.982,-1.665,3.851
3.68023,30.168,-36.819,109.799,43.009,39.415,-19.613,72.88,13.613,-36.565,-36.235,-12.995,9.872
3.84834,32.343,47.714,104.626,-22.987,81.877,-1.302,63.463,49.083,-14.234,-66.059,-3.72,28.081
4.0629,33.309,105.306,36.475,56.883,88.523,-29.313,63.991,-39.349,-32.025,-13.162,-19.63,40.75
4.41252,29.204,29.138,47.112,-4.929,78.775,-34.014,43.574,-13.848,-10.276,-11.892,5.267,17.986
4.77152,30.575,4.487,33.55,9.923,72.659,-38.719,60.862,-30.767,1.918,4.666,-8.977,27.749
5.03311,30.274,-76.676,84.06,19.551,39.218,-38.018,61.084,23.425,9.342,12.567,-3.277,18.18
5.12571,30.127,-67.012,65.903,0.182,37.934,-30.436,47.627,12.587,4.392,3.777,-15.883,33.418
5.26417,32.665,-112.482,13.533,-18.786,57.983,-8.643,1.179,18.081,-12.255,31.792,5.47,33.078
5.96698,31.083,-113.954,21.189,-38.143,53.554,-14.826,-11.275,-26.942,-10.734,26.605,-18.769,23.739
6.20512,31.025,-116.219,49.415,17.48,47.599,-45.543,18.285,8.999,-22.67,-14.368,10.018,43.391
6.47202,29.206,-116.471,108.826,23.512,29.233,-38.453,72.03,14.973,-13.627,-6.237,8.113,27.814
6.56535,29.634,-93.585,112.344,54.974,34.062,-48.911,79.623,19.312,-4.288,-4.999,5.61,13.848
6.70522,36.452,-9.251,-18.247,98.086,106.286,-77.151,9.873,-120.059,-47.533,30.537,11.345,53.179
6.87819,35.466,11.429,5.595,74.305,108.836,-26.911,43.352,-112.526,-39.957,12.316,5.926,47.756
7.06481,31.196,9.393,25.706,30.285,85.452,-79.357,36.735,-76.257,-27.496,34.97,-12.769,36.071
7.23955,32.398,-3.605,42.556,61.76,87.936,-59.567,56.192,-48.61,-28.96,26.818,-17.19,26.975
7.35483,30.963,-45.437,78.959,-27.89,68.241,-15.635,47.651,8.66,-15.047,-36.99,-23.078,39.879
7.54063,32.248,-48.364,87.443,14.157,62.239,-21.293,31.613,16.181,-28.276,-59.016,-2.498,41.221
7.72662,31.786,-28.694,102.254,18.651,69.075,-36.512,56.945,12.658,-15.016,-26.118,2.655,28.672
8.08027,32.466,-52.548,102.685,32.611,72.929,-21.66,56.714,7.158,-17.027,-32.369,4.638,31.239
8.30127,30.989,-23.57,97.899,46.454,85.11,-46.552,44.859,-8.833,-30.478,19.931,7.952,36.1
8.40549,31.748,-35.353,124.938,31.753,51.37,-27.259,58.59,15.476,-15.049,0.562,-0.236,35.509
8.81746,34.597,30.683,54.478,36.638,94.802,-62.773,63.154,-13.125,-66.749,-10.017,9.003,17.499
8.99161,33.8,29.706,40.065,30.725,87.78,-40.762,58.366,-30.179,-53.944,-2.743,0.111,13.974
9.52063,36.514,95.327,0.587,-1.467,110.13,-16.561,62.891,-7.852,8.38,-31.391,19.529,42.656
9.71134,34.968,65.095,16.977,31.28,80.936,-52.093,63.271,-36.343,-9.564,3.049,-22.371,42.971
10.21728,32.283,15.04,42.524,1.452,66.346,-31.516,50.147,-3.494,13.644,-21.668,-4.757,16.499
10.90698,33.738,-84.613,7.733,-16.061,54.074,-14.598,-2.59,17.335,-14.611,22.396,-3.46,36.904
11.62122,34.309,-52.287,-8.692,-32.437,92.157,-5.798,1.449,-28.657,-45.652,-23.227,7.791,4.842
11.81896,32.447,-23.306,-25.492,35.828,83.625,-67.95,14.721,-27.903,-70.211,-25.518,-6.059,19.693
12.32422,33.09,-13.836,-10.394,-8.188,106.829,55.791,37.997,-39.352,-19.586,-90.218,-13.044,32.111
12.49297,32.61,-5.166,-10.177,9.726,90.654,12.883,22.304,-11.311,-14.553,-119.803,-10.525,35.583
12.6951,30.791,11.466,33.14,45.096,62.213,-18.6,55.541,-51.378,-43.392,-35.485,16.197,29.186
12.88694,30.659,21.649,46.533,47.518,55.66,-64.085,65.316,-60.294,-50.676,35.977,-12.111,24.621
13.00875,31.673,-37.157,88.379,2.597,28.724,-19.465,40.331,-6.852,-52.166,-33.764,-11.178,37.339
13.23569,33.191,-12.087,51.372,55.198,69.278,-45.351,46.114,-43.763,-59.092,7.638,-9.503,24.383
13.39764,30.73,-31.021,83.105,30.176,53.728,-28.364,68.363,-3.023,-27.513,-24.613,17.594,19.515
13.59537,30.641,-30.592,83.519,32.772,53.007,-42.224,63.102,-24.485,-38.117,27.269,-13.568,21.48
13.70558,31.607,-58.06,93.882,-4.567,37.835,-23.153,48.492,6.903,-19.882,0.893,2.643,25.905
13.94916,32.019,-18.811,71.52,18.254,23.869,-60.409,53.44,-5.734,-52.197,0.471,-1.112,38.589
14.04862,32.328,-44.214,109.979,13.841,6.473,-25.765,62.152,15.48,-32.298,-17.433,4.723,30.774
14.40245,32.275,-7.742,106.108,17.188,42.906,-36.968,56.395,38.751,-54.163,-30.09,-4.742,20.423
14.65179,31.48,28.958,67.147,49.292,90.996,-66.06,69.757,-35.705,-79.886,0.068,-17.567,6.363
14.98853,29.062,-32.014,106.43,36.488,53.23,-30.463,92.457,7.41,-31.296,-25.251,-6.119,-3.29
15.14512,32.904,47.095,98.352,-22.612,84.566,13.537,62.884,28.996,-19.286,-67.944,-1.321,29.036
15.36,33.212,106.26,42.347,50.651,86.898,-29.316,67.245,-45.1,-35.537,-3.834,-25.634,44.751
15.70825,28.896,32.733,52.05,18.005,81.205,-45.073,30.309,-13.949,-17.118,-15.351,-9.019,17.771
15.88857,29.494,22.125,43.444,-2.107,82.318,-49.985,51.998,-18.296,-12.896,6.716,-14.351,28.362
