start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,1.357,142.228,-27.221,-43.042,37.394,-50.492,8.485,7.014,-33.695,-3.283,-2.524,5.543
0.12726,42.676,50.925,47.013,-27.467,48.223,68.519,-22.813,6.964,-18.501,8.584,57.186,21.443
0.45324,44.33,75.408,44.492,62.182,35.746,-7.344,-44.048,9.209,-22.638,-39.478,17.49,18.178
0.65016,38.839,88.545,50.621,36.572,36.275,-16.288,-70.187,-36.215,-15.889,-13.199,-14.934,34.071
0.75497,38.98,80.945,85.944,18.933,40.886,-32.027,-16.535,6.001,-6.653,-24.231,16.106,26.228
0.94023,39.113,88.496,50.828,31.082,36.979,-3.785,-59.407,-35.991,-19.138,-18.456,-12.254,22.543
1.04032,43.666,43.31,32.552,68.682,26.175,-14.761,-33.72,23.539,-25.572,-10.434,20.109,20.197
1.23651,37.526,104.067,41.347,70.467,32.286,-20.88,-55.303,-36.423,-35.629,-11.713,-17.031,39.821
1.33492,42.252,48.842,57.676,-13.35,22.966,-10.229,-25.509,-4.652,-42.029,-24.31,27.732,25.333
1.53342,43.653,57.446,15.842,20.578,23.451,-18.828,-39.881,-38.77,-29.495,-16.604,-13.99,23.548
1.63252,44.617,52.145,33.781,38.897,23.1,19.596,-31.105,19.544,-5.127,-43.989,9.681,17.786
1.84,40.087,109.975,55.81,48.119,37.11,4.319,-44.667,-23.155,-27.938,-25.807,-15.881,34.938
1.95628,38.928,111.919,115.529,56.774,48.285,-15.362,14.312,-13.746,-15.507,-30.616,4.694,23.88
2.04363,39.841,112.441,57.349,31.136,44.066,-7.895,-56.355,-18.456,-28.502,-30.153,-1.814,33.844
2.15356,41.874,109.53,101.708,20.41,49.829,-21.767,-19.491,-31.548,-44.584,-4.557,18.477,49.2
2.22907,44.896,67.376,51.208,6.277,22.47,-2.133,-8.322,-0.167,-28.805,-1.276,-8.224,11.445
2.4205,43.971,66.717,-13.323,10.875,13.033,-18.767,-35.201,-39.108,-13.778,-18.48,-13.698,32.471
2.52435,42.474,49.368,-2.466,3.203,19.157,-9.7,-48.443,-18.936,6.491,-32.776,-7.001,15.129
2.65229,43.144,12.958,34.581,19.07,14.838,-31.983,-50.571,-21.238,-31.773,-22.048,12.082,-11.27
2.74567,42.57,15.898,19.774,14.353,23.247,-22.501,-48.423,-36.211,-20.904,-21.063,-16.428,3.439
2.85637,43.989,48.013,34.515,67.492,13.775,-10.043,-32.215,-13.931,-24.08,-10.861,2.794,22.716
3.04698,38.272,66.748,67.175,23.887,28.924,7.618,-81.946,-10.516,-21.429,-29.66,-12.795,4.661
3.15819,40.779,66.865,70.704,18.635,36.301,-17.045,-54.185,-18.473,-29.393,-26.486,39.657,14.886
3.4424,44.859,74.898,40.437,68.291,10.751,-31.369,-46.163,1.972,-37.55,1.809,7.249,24.951
3.65156,39.493,102.769,85.144,49.281,23.742,-7.617,-54.913,-24.447,-70.427,-42.136,-6.554,14.691
3.75034,42.215,64.165,39.851,1.034,-14.287,-13.795,-38.767,-37.006,-46.072,-19.432,1.085,5.054
3.8483,42.951,26.046,4.211,8.326,29.469,-47.695,-43.909,-16.428,-6.293,-19.365,-0.492,23.103
3.94762,42.623,35.483,-1.676,-3.343,18.265,-26.93,-59.588,-42.085,9.664,-3.128,-9.116,17.28
4.03429,42.672,48.107,33.509,68.72,17.095,-9.554,-44.341,24.176,-18.15,-29.639,16.758,9.621
4.24345,38.997,105.657,60.291,21.529,42.769,-7.113,-39.492,-26.839,-38.911,-22.19,-2.091,38.201
4.34218,39.473,87.896,75.918,10.129,7.188,-10.865,-46.403,-14.735,-37.266,-36.752,12.805,21.406
4.44136,40.357,111.346,76.249,7.533,37.711,-29.51,-42.182,-25.981,-30.754,-29.126,28.004,33.511
4.63224,45.516,43.396,63.566,17.943,17.514,-45.11,-32.296,-27.028,-36.999,2.592,1.166,1.108
4.74231,43.742,90.453,66.197,52.601,21.69,-40.494,-48.731,1.234,-35.396,-34.866,13.293,14.951
4.93478,42.132,68.649,60.984,-11.531,28.515,-8.406,-15.289,-22.31,-24.374,-26.997,0.44,41.661
5.05624,43.679,17.518,22.245,4.88,34.683,-31.721,-56.783,-34.807,-8.747,-4.855,-5.79,28.892
