start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.895,154.315,-26.661,-40.21,30.497,-51.124,34.839,9.011,-22.206,8.262,-14.191,-11.514
0.1619,1.383,143.472,-40.278,-44.941,24.615,-50.549,31.384,9.725,-24.379,7.964,-10.966,-7.795
0.8756,9.036,18.153,56.339,-146.652,104.199,-25.82,62.43,-106.393,-24.646,46.407,2.132,-16.283
1.81234,21.105,-147.923,35.686,-66.508,83.271,-24.275,4.856,-21.978,-50.24,4.948,-1.473,-12.707
2.78032,22.816,-137.349,85.033,-45.908,102.893,-45.506,13.849,8.779,-1.182,1.428,6.161,-43.638
4.08703,19.982,-129.46,5.308,-38.786,86.481,-45.65,-3.92,0.259,-20.439,-3.643,-1.865,-6.093
5.0502,20.819,-134.017,4.031,-21.122,72.486,-44.61,6.182,15.483,-20.335,-1.369,-10.612,-9.081
5.7229,17.971,-130.908,-23.158,-55.201,99.049,-49.656,5.305,-2.798,-10.742,0.096,-0.536,0.269
5.82789,20.713,-161.304,10.542,-53.175,98.909,-49.104,33.596,-5.284,-19.935,2.839,0.987,-9.879
6.06136,23.604,-185.961,23.521,-37.157,93.286,-49.377,21.617,-1.527,-16.514,-9.169,2.846,-6.923
6.35633,24.906,-197.149,30.141,-11.31,96.889,-49.231,1.161,15.957,-17.635,-13.728,3.206,-5.374
6.76857,24.942,-155.504,91.978,-9.101,91.322,-34.981,-3.777,4.261,-20.297,-14.781,7.272,-16.212
6.87819,25.695,-133.094,86.922,3.524,80.842,-26.903,-17.482,15.006,-6.903,-15.391,-12.009,-11.863
7.11175,23.515,-165.996,61.57,21.707,128.013,-31.851,-8.311,33.281,-3.208,-0.786,-33.543,-21.54
10.0658,20.822,-156.929,47.922,-55.874,118.293,-46.527,30.063,-14.738,-20.943,4.396,9.18,-23.136
10.35052,25.261,-175.749,72.837,-7.578,96.842,-45.123,23.277,16.575,-8.072,-3.379,-8.356,-18.214
12.01125,25.059,-136.158,72.842,11.089,71.048,-47.645,14.235,4.915,-19.472,-3.63,-3.224,-18.083
12.28898,24.74,-132.075,94.86,-8.416,62.441,-41.347,27.705,10.151,-21.12,-3.279,0.509,-28.302
12.48635,26.402,-101.141,94.166,-5.193,46.917,-26.879,-0.035,18.683,-20.365,-14.049,-4.971,1.258
12.91533,23.199,-145.757,67.132,-7.981,93.641,-40.296,34.215,5.633,-14.294,1.039,5.67,-4.98
13.01501,24.443,-153.181,70.699,4.232,81.086,-46.982,40.998,10.968,-13.506,-6.231,-0.324,-0.764
13.34531,25.198,-137.835,75.982,-0.283,78.647,-43.726,37.928,6.571,-8.465,-0.677,2.728,9.039
13.46712,26.153,-114.78,84.605,-6.721,36.661,-37.727,26.424,9.567,-9.351,-8.538,6.38,-5.751
