start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
0.17392,37.089,-120.903,-107.868,118.082,21.546,-22.45,-21.355,-47.317,9.715,-27.519,-8.797,-10.03
0.34853,27.889,-70.627,-86.055,5.373,63.596,-2.943,19.951,-17.978,32.337,-41.484,0.582,-26.325
0.48662,39.157,10.147,-19.787,-15.791,32.126,110.561,-0.368,88.712,-34.574,18.855,38.772,-20.588
0.67914,43.715,25.77,10.898,82.808,15.515,-31.599,-4.71,13.682,-12.608,19.167,-38.924,7.051
0.84086,43.475,16.478,-76.03,152.54,-6.079,-85.607,-68.948,11.759,-6.476,45.183,-49.7,-2.014
1.34063,38.101,-45.327,-70.823,68.275,39.54,-38.889,-29.473,38.455,22.439,-12.233,-5.547,-6.729
1.67692,39.444,19.733,10.348,110.105,8.036,34.285,-16.676,-1.95,-35.865,-47.118,-4.598,17.15
1.8224,38.487,-34.953,-21.53,113.221,6.297,38.828,-12.076,50.372,-27.993,-26.766,-34.527,-4.336
2.04934,27.969,172.689,3.101,18.608,3.203,-49.377,-4.397,-26.856,-7.466,5.325,-6.018,-44.857
2.17687,39.949,-77.779,-103.282,53.52,14.522,-94.953,-7.057,-16.778,-10.359,8.743,-27.54,26.61
2.34431,38.196,-115.241,-81.543,57.179,20.357,-72.561,-22.671,-12.949,10.431,-0.49,-15.181,5.695
2.49379,35.272,-113.544,-102.739,-5.47,9.899,14.261,-4.17,0.79,2.262,-47.431,-7.707,-6.354
2.63927,33.865,-111.189,-96.368,-34.969,12.819,35.361,-38.528,95.705,30.014,-43.925,-69.28,4.203
2.84014,35.566,-10.087,-75.441,121.835,47.761,24.204,-67.744,11.837,10.33,-6.18,0.315,-2.064
3.01297,34.271,-82.138,-86.523,91.413,30.404,-26.389,-62.419,27.025,-1.822,2.415,-11.757,4.471
3.15846,41.071,-107.978,-47.617,46.644,-11.554,62.386,14.093,14.018,-9.143,-22.76,20.657,-20.196
3.34658,47.444,0.81,-3.795,71.475,-8.119,-63.213,-29.318,-5.884,-13.688,0.545,-34.356,14.877
3.51302,42.223,-59.64,-76.761,7.155,11.045,-108.73,-22.571,-15.875,10.746,15.625,-0.113,2.946
3.60585,37.614,-21.447,-69.852,81.548,8.035,-16.849,-22.953,-2.924,29.031,-12.349,-64.769,10.07
3.838,26.078,89.034,-15.407,61.098,25.734,-38.761,5.65,-7.942,7.307,-23.323,-23.032,17.748
4.01098,38.338,-42.585,-70.188,80.191,34.855,-57.052,-21.25,41.112,24.333,-6.626,-24.404,-0.957
4.34209,37.383,-69.173,-68.48,26.996,23.566,-8.629,-3.115,-8.254,-3.749,14.669,-5.535,25.765
4.47592,37.844,-53.809,-15.313,11.817,-14.636,99.691,-6.78,53.427,-20.481,-16.197,-46.724,-7.751
4.67651,39.979,-54.448,-53.23,12.565,45.2,-44.662,-18.346,11.904,17.724,-13.565,-22.258,-5.979
4.84635,39.14,-111.981,-137.627,57.854,11.437,-93.937,-29.68,-6.198,16.585,-3.088,-39.961,16.781
5.02553,30.947,-85.939,-120.362,1.141,-6.709,-64.388,-12.59,3.082,-13.365,-9.036,5.468,-0.905
5.18086,38.973,-113.54,-74.112,67.524,26.254,-50.111,-9.086,-23.029,7.779,-7.016,-30.825,3.386
5.34395,30.963,-22.274,-93.793,17.954,30.751,21.804,-7.177,18.787,50.132,-75.809,-26.6,-20.036
5.50848,38.226,-122.001,-84.319,64.669,23.583,-24.576,9.844,-37.948,12.403,-23.995,9.34,2.533
5.68712,32.581,-118.983,-134.388,-21.458,35.826,-30.22,-3.684,-15.692,16.361,9.365,3.353,2.075
5.82535,40.567,-54.677,-43.882,70.859,-27.572,63.597,10.816,13.208,-20.612,-24.996,20.269,-17.503
6.01293,45.04,69.827,-17.593,91.92,-44.027,-40.948,-29.583,16.727,-20.069,-2.594,-28.27,25.257
6.17592,50.136,72.514,-0.947,23.734,-4.334,-78.835,-27.178,-59.586,-29.125,54.988,-16.664,3.425
6.38549,47.381,20.873,36.172,-2.507,11.295,-14.919,-16.366,-10.044,-4.731,-16.507,-12.346,8.304
6.68186,42.429,-43.084,-38.209,4.703,22.846,-50.341,-14.737,6.481,14.504,-16.409,-16.889,-14.257
6.85973,39.53,32.003,11.869,-3.958,15.58,-36.669,-23.403,-35.312,-12.404,20.778,-10.752,-0.065
7.01229,40.929,12.291,5.632,11.437,13.585,-43.081,-4.053,10.654,-4.544,-19.003,15.172,13.488
7.15687,39.602,15.861,-19.684,112.563,2.637,-4.905,-26.518,83.579,-14.548,-1.325,-6.639,-5.722
