start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
0.30209,2.419,117.73,-38.649,-48.84,44.113,-50.221,-1.478,3.135,-31.777,-2.285,-2.954,6.73
0.38789,17.655,-112.731,-67.119,-131.209,51.081,56.948,26.113,-45.097,-50.132,61.447,-51.322,2.058
0.70893,24.7,-169.575,-140.618,-38.516,19.8,-66.464,-7.359,-28.265,-15.047,19.1,-12.51,-4.661
0.92639,27.394,-209.167,-111.702,-28.969,25.653,-27.239,1.194,-21.773,-15.018,15.164,3.837,-8.539
1.13288,26.056,-241.668,-120.147,-64.745,55.757,-36.871,10.985,-9.71,-16.473,-7.921,-10.381,-2.869
1.35596,28.232,-158.243,-81.662,-24.154,12.539,-55.734,-20.69,-12.11,-7.566,7.028,-3.768,-11.613
1.55184,28.06,-207.869,-121.844,-34.655,37.301,-41.562,-14.457,-17.472,-12.161,20.84,-11.522,2.905
1.75152,26.851,-203.845,-127.185,-28.667,42.672,-75.35,-12.597,-12.69,-11.381,13.541,0.66,0.65
1.9132,28.458,-177.311,-78.544,29.245,47.183,-67.305,4.364,-17.834,-34.554,9.919,-24.685,16.947
2.29252,25.611,-168.943,-94.972,-19.733,51.369,-65.53,-22.996,-18.702,-1.507,8.001,-8.273,2.534
2.46689,24.289,-217.799,-120.488,-49.91,49.569,-51.399,-10.767,-1.647,-14.366,8.056,-7.716,1.313
2.66544,23.873,-205.403,-121.58,-41.047,42.828,-43.975,-6.45,24.225,-13.516,10.099,-3.442,-1.944
3.05043,24.603,-214.496,-105.788,-62.422,39.511,-9.087,14.875,-1.429,-35.458,15.812,5.116,-3.903
3.30399,23.369,-220.075,-118.59,-55.815,47.998,-70.828,-3.783,20.701,-5.427,-4.094,12.571,-2.573
3.50884,23.23,-158.646,-94.272,-30.207,37.144,-57.568,-19.36,-2.105,17.411,4.909,-8.182,-0.73
3.70862,22.625,-176.392,-110.315,-46.235,37.038,-43.981,-15.806,-5.648,-2.592,6.86,-3.956,12.805
3.93129,24.184,-155.123,-96.766,3.351,51.285,-70.378,-7.31,-9.953,-28.083,10.062,-15.218,5.63
4.15701,20.799,-201.751,-124.936,-57.14,66.746,-51.451,7.999,16.835,-22.975,6.694,1.586,-3.43
4.39882,19.92,-150.048,-116.136,-49.985,57.998,-33.466,-16.888,1.502,-3.049,-14.845,0.756,-10.934
