start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,4.252,90.004,-21.889,-116.158,35.639,-67.222,48.678,-81.523,-25.107,0.466,22.383,-9.607
0.20803,26.076,-215.938,-23.849,-84.088,54.474,-7.255,22.91,5.619,-14.633,20.001,-1.275,-11.697
0.32336,27.051,-219.187,-53.419,36.817,70.376,-45.971,-34.292,36.309,5.252,-17.428,-0.426,-7.776
1.45011,20.22,-169.54,-22.505,-15.569,101.798,-56.158,-16.361,22.002,-35.903,-17.926,6.885,0.627
2.0024,24.612,-242.371,-46.155,-83.188,82.226,-55.544,8.418,-17.228,-27.299,0.93,7.523,-9.836
2.13274,27.762,-225.503,-65.217,-8.424,38.687,-35.696,-24.325,31.414,8.659,-14.262,-3.938,-8.314
3.23814,21.847,-161.108,5.248,-10.548,93.34,-48.243,-41.222,14.424,-27.974,-16.82,4.621,5.767
3.89601,25.716,-234.131,-45.929,-73.884,60.612,-38.432,2.275,-3.373,-24.521,14.878,4.661,1.523
4.0917,25.737,-237.361,-93.736,3.511,50.45,-65.566,-21.668,49.43,-2.057,-16.987,0.744,-10.986
5.121,21.526,-162.961,-20.013,-24.726,62.911,-45.856,-21.612,8.115,-44.767,-14.152,6.731,-9.758
5.21256,21.06,-168.9,-38.738,-25.782,65.614,-38.767,-22.325,12.199,-48.124,-17.105,-6.803,-4.038
5.79488,23.069,-191.653,-59.88,-44.54,71.886,26.804,-15.651,23.082,-24.416,16.297,-28.0,2.481
6.97878,22.844,-183.894,-12.455,-32.374,84.659,-1.475,15.083,18.559,-24.321,9.392,-7.901,-0.445
7.10526,22.906,-188.853,-21.108,-6.234,77.799,-47.482,3.286,23.731,-24.486,-12.233,-11.745,-0.038
7.62721,26.989,-254.543,-53.207,-66.792,56.692,-45.715,10.947,-11.812,-24.967,6.36,-2.401,2.388
7.76662,28.744,-251.803,-91.058,12.307,36.662,-42.142,-13.873,45.425,5.124,-8.001,-11.858,-4.72
8.40721,20.535,-194.43,-89.971,-67.807,68.731,-47.044,-6.932,11.425,-34.978,-8.101,-6.126,-5.754
8.75891,19.964,-197.004,-87.057,-72.18,93.535,-55.426,-9.31,3.748,-23.179,-3.559,11.101,-0.307
8.8634,20.416,-167.712,-47.062,-24.004,67.995,-65.195,-5.872,23.25,-33.044,-27.667,9.583,4.105
8.95188,20.63,-191.567,-70.075,-58.139,82.824,-35.786,-6.711,7.424,-36.729,2.925,-7.13,3.787
9.44304,23.442,-223.263,-66.562,-88.676,78.599,-21.358,2.104,-3.811,-23.758,13.306,8.188,1.978
9.52621,28.513,-271.303,-69.387,-89.907,38.112,-45.356,10.706,-2.51,-9.597,0.134,-2.955,-9.807
9.7059,28.931,-219.665,-75.506,2.24,18.385,-36.71,-11.686,10.476,4.966,-3.2,-18.285,2.83
10.11805,23.845,-233.528,-65.579,-29.328,86.587,-59.284,-11.118,24.681,-21.859,-13.807,-5.759,-3.817
10.6629,21.558,-209.467,-83.73,-56.234,79.858,-44.099,-16.4,20.85,-30.327,-13.501,-1.043,-1.32
11.22653,18.932,-183.389,-70.053,-64.124,112.064,-54.261,-8.934,2.687,-24.619,-2.034,5.448,0.313
11.32621,28.384,-236.605,-65.786,-98.871,26.691,-1.22,1.378,10.265,-4.689,10.467,7.758,-1.443
11.45887,29.881,-219.574,-69.605,46.847,42.666,-51.409,-34.599,40.443,17.532,-16.615,-5.074,-5.227
12.53959,21.784,-174.643,-5.862,-21.991,88.161,-45.902,-9.359,2.771,-35.052,-10.491,-0.706,-3.424
13.1424,24.067,-231.408,-36.239,-98.228,90.414,-14.355,16.495,-19.469,-30.992,25.134,-6.775,-8.141
13.3215,25.201,-235.144,-80.897,13.604,66.8,-69.894,-23.623,54.065,-4.422,-24.277,-9.65,-10.691
14.42,19.823,-165.142,-44.34,-31.12,88.381,-39.662,-18.063,15.239,-33.906,-12.784,0.325,-9.053
14.87152,27.151,26.712,26.539,-152.12,76.884,11.376,-13.295,35.554,-19.809,-34.213,26.187,-4.322
15.00599,43.991,26.285,71.178,-101.497,59.169,20.555,38.498,-67.808,-70.597,23.256,-4.45,13.005
15.23229,42.197,-59.789,-24.331,141.335,54.191,-12.995,-23.855,10.443,-30.682,-34.754,-62.14,14.247
16.23655,25.589,-88.909,-3.154,-17.551,78.256,12.749,-14.715,1.615,6.254,-41.018,-10.189,15.615
16.3512,24.325,-120.656,0.14,-20.398,61.948,-15.867,-29.639,1.857,-13.851,-21.455,-3.067,12.359
16.49202,34.002,-36.262,36.512,-171.802,122.102,31.563,-9.045,5.01,-44.81,-3.414,-36.403,8.056
16.71887,33.907,-11.01,-17.243,8.587,116.394,10.351,-38.733,-53.358,-38.022,8.896,-40.317,0.579
16.9273,39.153,-42.968,-0.24,-90.551,34.569,61.474,58.398,39.708,-27.729,-58.746,-5.933,21.463
17.0254,52.432,-9.385,68.821,31.941,93.984,6.923,17.254,-9.178,11.489,-5.508,25.82,19.78
17.23995,46.663,-32.737,48.366,118.982,80.754,-25.789,15.159,15.131,-18.875,-20.97,-43.365,17.145
17.47329,40.18,2.915,1.405,75.856,112.965,4.208,-40.175,19.908,0.875,-10.973,-39.512,20.459
18.03061,29.986,28.686,-1.943,13.742,103.464,-74.687,-24.015,-48.957,-14.537,28.064,-13.274,27.981
18.12227,38.873,-37.96,-1.388,-66.835,132.245,50.606,-51.009,48.087,-9.942,21.191,1.605,11.018
18.37864,36.103,162.042,-22.591,-7.422,139.36,-27.798,-59.354,-64.913,37.49,-5.022,-9.514,52.054
18.49433,45.293,-50.446,23.168,20.045,104.861,-12.566,-15.965,-14.374,-25.283,-2.49,-13.281,10.537
18.87098,33.062,-172.491,-84.013,90.026,72.462,-57.71,-20.114,12.672,-19.231,-18.609,-39.331,7.291
19.97551,22.809,-175.326,-49.185,-52.092,46.199,-34.218,-5.358,14.888,-16.87,-14.119,4.031,-5.62
