start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,31.915,-64.717,6.928,-95.635,67.233,188.296,10.558,-3.558,-19.647,79.534,38.643,-13.764
0.30893,39.763,-11.343,13.811,7.096,13.357,1.269,-16.647,-2.06,-16.429,-11.372,-2.414,31.591
0.54476,38.894,-58.037,28.648,12.4,35.908,-10.727,-22.387,-9.701,-33.684,1.266,-10.746,14.963
0.81324,39.717,-56.631,20.662,17.681,38.3,-4.044,-19.195,-6.07,-2.154,-0.455,-3.749,15.293
1.09011,38.264,-16.811,26.512,29.801,10.856,-25.152,-16.873,-4.815,-19.995,-12.268,-24.476,16.181
1.34068,39.675,-47.232,44.002,12.429,70.727,8.19,-41.891,-1.372,-7.936,-4.332,11.933,-1.72
1.61501,37.594,-38.859,51.216,49.144,62.417,-21.095,-44.225,2.857,-0.162,-5.11,-16.594,0.937
1.88698,40.785,-79.11,-2.44,19.499,22.482,-6.727,-27.122,-14.542,-1.558,20.691,-14.921,-10.623
2.19265,36.755,-80.438,-0.907,4.985,24.429,-40.431,-28.501,3.991,11.246,-21.529,-11.603,-1.131
2.42744,36.94,-62.403,15.356,-0.003,36.768,41.67,6.391,-12.384,1.316,-19.875,-27.145,2.877
2.72857,36.661,-50.644,17.92,40.517,51.595,1.325,-28.539,3.889,-5.967,4.449,-13.178,-5.864
3.0058,35.527,-77.383,-17.594,63.87,-4.944,-2.382,-11.461,5.388,-28.255,12.313,-31.752,7.001
3.82426,26.59,-148.052,4.569,-129.17,17.105,-8.965,28.395,-3.124,-17.212,2.623,-15.198,6.635
4.13265,36.007,-66.885,-11.12,41.204,15.658,36.895,2.61,-16.572,-16.661,-12.284,1.324,-0.544
4.65478,29.938,-83.516,-20.825,-9.014,-6.45,24.099,13.349,-4.544,-16.724,-23.972,-26.848,4.285
4.97578,29.654,-81.694,12.39,-2.091,9.436,-26.455,-2.989,-14.938,-8.123,-4.632,-11.716,-0.386
