start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
0.19737,31.528,48.929,10.16,-235.506,70.408,136.548,47.188,-70.139,-33.981,100.161,6.02,18.877
0.66803,41.383,-69.224,-46.271,38.593,45.941,-0.18,-13.173,35.202,-10.056,-10.34,-53.053,9.904
1.01043,40.671,-54.134,82.91,-90.741,32.179,75.871,47.199,8.081,-39.065,22.284,-2.626,5.5
1.50254,44.337,-46.681,11.324,59.31,42.981,19.922,-5.257,20.814,-4.624,-7.035,-40.869,-5.368
1.87311,39.024,-81.447,17.265,-55.418,16.941,12.112,29.845,-7.294,-28.9,17.046,0.895,4.27
2.00848,41.232,-44.16,-31.953,-23.742,48.394,-44.1,18.107,20.629,-33.236,-27.553,-5.072,18.286
2.13438,45.212,-60.863,28.773,-31.567,23.785,6.08,-19.633,-1.801,-26.66,-7.927,0.649,3.583
2.46476,41.678,-22.726,-45.283,-39.522,50.233,-19.061,-0.246,8.392,-25.051,-20.251,-9.595,6.308
2.73397,44.055,-64.581,30.812,-49.862,38.004,7.933,8.54,21.375,-31.148,7.485,1.853,6.792
2.99619,42.603,-20.007,-39.344,54.049,40.931,-23.071,6.215,47.83,-20.573,-4.402,-42.28,1.973
3.33138,31.83,61.841,-127.613,-13.159,27.765,-36.608,-23.368,33.316,0.543,-19.956,-25.837,8.374
3.64762,36.997,-23.297,-12.666,-110.535,56.355,39.944,13.038,-15.973,-32.47,45.625,-23.319,11.916
4.20789,43.671,-37.433,12.718,-49.446,32.052,0.091,-6.681,6.18,-9.539,-9.106,-34.682,3.532
4.92245,43.493,-38.059,37.569,-93.465,50.681,-19.708,11.947,-16.974,-28.788,11.544,6.195,10.567
5.45605,48.436,-49.106,72.501,-17.947,48.841,5.23,-20.435,1.186,-17.756,-12.668,2.047,3.806
5.65488,49.614,-59.752,59.173,8.149,42.55,-12.514,-5.053,-3.029,-25.257,-12.511,-13.127,14.63
5.89841,45.416,-34.041,0.415,34.786,40.8,-36.024,-16.241,1.106,-31.747,-13.429,-2.934,4.931
6.32757,42.021,-30.89,-39.115,39.114,65.427,37.912,-22.617,88.876,-8.884,-5.508,-33.988,17.407
7.17456,34.787,6.932,53.375,-236.985,50.267,18.038,43.262,-68.315,-13.542,53.572,4.383,3.577
7.46526,48.629,-49.242,67.587,10.45,59.382,-9.402,-16.6,-10.672,-25.538,-4.596,-19.532,-0.91
7.7088,43.884,-62.741,39.193,-24.342,34.258,-22.773,-26.21,-8.132,-8.247,-3.957,8.565,-6.8
7.8244,44.689,-50.645,0.633,-26.52,54.56,-30.734,-4.921,-21.5,-7.46,-9.876,-23.907,-11.139
8.042,43.497,-100.13,52.614,-4.097,37.767,-12.242,-28.036,5.163,-27.578,-3.729,-8.351,-0.209
8.16073,46.163,-34.885,36.748,-31.033,43.358,9.121,-20.722,-5.433,13.863,-4.818,-2.706,13.282
8.33551,45.817,-46.589,33.121,17.253,20.941,-21.174,25.051,4.729,-28.125,3.605,-18.727,0.634
8.59646,44.338,-5.223,-36.166,26.82,33.442,-3.61,-5.033,0.932,-39.2,4.318,-18.665,2.484
9.04535,38.741,-36.878,-25.453,-41.609,37.596,-25.696,1.507,30.669,-24.274,24.467,0.868,4.084
9.23515,42.58,-20.436,-20.236,35.968,27.579,8.151,-15.273,23.617,-40.987,8.498,-41.489,8.292
