start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,1.514,140.808,-45.422,-50.124,19.414,-51.127,35.88,5.839,-24.024,7.961,-15.556,-6.1
0.23279,18.964,-81.166,-22.775,28.906,37.21,-19.058,-18.994,35.289,-44.985,-6.906,-11.323,1.378
1.32349,24.121,-65.319,75.958,0.459,82.922,82.12,-10.426,-22.665,-29.017,22.847,25.614,-17.776
1.83528,23.536,-70.994,25.623,85.728,58.437,9.115,-27.02,24.031,-19.59,-13.136,-20.523,2.833
3.64458,15.806,-79.284,-20.588,-34.04,45.76,-41.957,-13.312,9.76,-69.036,-21.671,-0.197,-9.24
4.04757,15.858,-122.161,-54.956,-49.006,99.357,-46.096,-33.204,4.615,-44.196,-4.954,4.255,1.201
4.48141,17.078,-106.874,-20.126,-35.736,74.668,-36.519,-19.469,11.863,-43.986,-6.399,1.705,0.052
5.01596,25.045,-52.144,7.6,58.006,53.964,44.931,-36.042,-31.207,-25.905,-2.084,0.548,-17.229
6.32726,21.725,-107.205,7.809,30.641,59.502,-9.774,-35.594,11.807,-28.797,1.358,-3.255,-3.796
7.46,18.59,-116.225,-20.479,-36.832,64.969,-15.551,-29.994,3.589,-41.292,1.52,0.677,-1.129
7.87728,17.605,-135.217,-54.408,-59.954,78.598,-35.206,-20.43,-3.241,-32.294,0.143,-9.718,-8.982
8.3839,21.298,-164.57,-38.536,-33.815,60.897,-34.793,-37.95,10.735,-37.03,-9.144,-2.345,-9.439
8.8171,21.764,-151.987,-27.283,-31.475,53.097,-22.367,-34.083,6.374,-33.683,-1.6,7.473,-10.735
9.25374,29.377,-35.589,35.774,8.797,18.493,-23.008,-41.599,-28.386,-11.942,1.396,-15.67,-5.928
9.74694,25.724,-144.833,-4.644,10.954,39.337,-26.396,-39.938,-4.028,-22.349,-2.895,-13.538,2.221
10.40413,29.981,-76.463,15.048,77.944,40.77,-10.466,-37.35,-25.163,-29.149,6.09,-34.859,13.737
11.54073,22.218,-158.973,-11.227,-22.657,59.045,-32.826,-22.973,3.408,-44.24,0.528,2.672,-2.424
11.94168,22.174,-163.238,-29.413,-25.602,48.717,-39.124,-39.397,17.75,-41.025,-10.889,-0.221,-7.292
12.45909,19.708,-128.13,-23.584,6.92,67.175,-44.72,-28.313,27.866,-15.071,-10.45,-15.615,-20.673
12.9624,15.791,-117.088,-59.101,-24.487,97.551,-54.467,-15.102,40.16,-15.825,-4.49,-2.442,-14.188
13.63633,20.768,-74.119,29.683,-26.931,32.585,-25.07,-24.894,-9.172,-8.476,1.975,5.648,-29.722
13.74023,20.043,-104.219,-9.369,22.816,54.244,-36.06,-5.462,30.392,-17.696,-5.949,-23.325,5.34
14.40159,13.216,-79.847,-59.496,-42.531,98.291,-52.78,-35.258,9.988,-20.158,-3.95,-3.979,-5.096
14.99361,18.516,-90.789,8.437,29.412,72.276,-26.979,-22.665,19.423,-35.653,5.051,-19.584,-12.227
16.16726,15.213,-104.188,-43.79,-27.574,98.011,-49.658,-17.619,25.236,-32.864,-6.411,-5.08,-10.5
16.55156,17.441,-129.765,-33.975,-19.679,98.385,-40.174,-10.499,28.59,-24.365,0.074,-5.108,-15.759
16.97823,19.845,-134.35,-11.457,-19.54,72.159,-37.494,-22.323,10.212,-25.48,-7.661,-12.661,-10.293
17.421,21.457,-130.186,-7.946,-13.979,54.039,-20.276,-29.532,23.87,-9.187,2.194,5.705,-23.267
17.83805,28.402,-56.074,33.168,23.777,25.786,23.039,-31.333,-22.835,-18.725,-1.489,4.425,-9.205
18.32063,24.151,-135.325,11.457,7.615,41.285,-25.577,-33.667,4.246,-27.379,-7.641,-10.356,-3.378
18.83592,25.843,-73.172,12.305,-2.873,59.111,72.826,-35.653,2.652,-5.437,-43.77,-38.785,-8.542
19.87066,19.004,-142.708,-38.587,-49.933,65.72,-42.257,-8.269,4.354,-45.966,-4.387,3.903,1.63
20.22925,20.574,-152.908,-18.642,-29.823,69.125,-34.361,-8.402,11.948,-44.848,-6.652,6.498,6.877
