start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
1.40785,49.093,125.687,-152.945,82.483,18.957,-123.726,-30.977,57.223,-24.487,-41.134,-27.78,-7.231
1.57338,40.843,200.118,-153.322,-5.48,50.641,-57.026,7.613,13.13,-51.576,4.685,-9.655,-8.247
1.75306,53.528,143.672,-39.445,108.149,73.383,-76.492,-41.997,26.371,-20.111,-30.156,-30.153,3.52
2.01442,47.528,185.009,-65.359,2.842,69.76,-91.003,-32.465,-7.87,-36.105,-5.232,-31.877,1.457
2.18308,47.904,102.103,-65.978,4.81,81.595,-87.947,-48.985,-50.41,-34.093,-2.219,3.119,6.03
2.26961,50.494,66.699,-145.594,20.117,67.15,-85.159,-27.21,-10.808,-18.437,-29.077,-24.205,-13.626
2.43796,46.105,81.158,-135.513,-29.354,140.938,-78.763,-43.231,-16.45,-35.909,12.74,-13.019,-17.234
2.60549,53.827,139.947,-36.168,88.731,63.427,-52.832,-35.44,11.655,-21.035,-32.326,-26.914,11.017
2.78077,49.395,89.709,-140.227,7.991,63.617,-91.966,-25.617,-13.563,-18.913,-22.835,-20.59,-11.619
2.94921,47.163,62.625,-126.477,-35.898,145.592,-66.676,-42.46,-27.968,-37.946,17.87,-7.916,-16.061
3.12413,53.971,122.05,-48.485,85.251,80.54,-57.963,-60.08,9.491,-29.913,-27.511,-27.543,7.977
3.38435,48.279,169.513,-74.618,7.926,76.228,-87.85,-55.718,5.536,-37.052,-11.094,-24.988,-2.69
3.55256,47.246,129.437,-69.466,24.276,68.62,-85.932,-35.218,-36.285,-28.669,-10.036,-0.859,5.462
3.63959,49.349,90.999,-149.802,28.693,50.101,-88.459,-22.943,2.087,-15.934,-33.139,-23.579,-19.385
3.80757,44.683,112.378,-133.759,-24.305,123.916,-77.084,-30.92,-15.799,-32.511,14.857,-15.217,-30.003
3.97633,53.298,157.109,-37.016,103.532,56.104,-44.645,-35.834,28.916,-20.649,-33.676,-24.254,3.119
4.15043,47.606,134.373,-158.355,50.665,24.46,-95.041,-28.143,38.991,-24.426,-35.053,-19.145,-19.479
4.32063,42.883,155.702,-142.909,-24.4,87.868,-61.828,-17.194,-15.062,-50.277,17.306,-11.189,-23.224
4.49311,52.438,167.07,-46.641,111.939,54.993,-65.537,-34.304,35.974,-27.899,-32.798,-24.779,11.281
4.75424,47.159,200.923,-71.252,25.467,61.079,-88.969,-31.685,18.956,-36.81,-8.718,-24.001,-4.228
4.92268,46.354,155.184,-72.732,40.414,52.622,-83.739,-15.573,-19.948,-23.988,-13.244,-2.624,8.915
5.00971,48.886,98.788,-161.458,41.576,40.939,-85.35,-25.161,15.001,-17.541,-37.375,-22.298,-16.936
5.18422,44.135,119.969,-147.58,-16.376,108.169,-79.835,-45.985,7.46,-46.506,17.371,-26.485,-23.137
5.35243,52.474,177.841,-41.217,127.587,38.021,-70.956,-23.941,48.47,-20.41,-46.751,-37.395,11.227
5.52608,48.666,110.455,-147.095,25.163,44.027,-109.668,-26.213,0.924,-20.216,-31.842,-17.918,-17.506
5.68857,47.253,61.521,-149.229,-23.149,142.083,-53.85,-49.489,-8.834,-36.485,20.864,-9.321,-11.014
5.86272,51.987,174.218,-48.04,114.198,47.926,-62.645,-24.883,45.761,-24.819,-35.517,-13.5,12.765
6.12376,48.732,160.484,-87.29,-0.156,76.977,-74.151,-50.782,-15.797,-42.729,-2.729,-20.607,4.828
6.29846,45.702,150.831,-76.434,31.323,45.822,-108.12,-34.319,-19.23,-25.201,-14.719,4.415,5.825
6.3868,47.67,155.916,-164.529,50.082,17.889,-92.986,-28.607,34.202,-28.314,-23.741,-27.155,-8.487
6.55565,50.113,163.328,-57.925,102.45,29.582,-91.24,-31.399,36.386,-19.152,-36.811,-34.081,-20.384
6.72218,51.204,196.915,-65.738,110.744,36.272,-57.52,-12.026,49.847,-36.829,-31.455,-36.346,29.883
6.89637,47.37,138.389,-159.215,50.613,21.519,-108.841,-30.461,42.162,-22.872,-37.733,-24.659,-16.32
7.05909,40.839,200.151,-153.394,-5.432,50.73,-57.194,7.61,13.2,-51.544,4.64,-9.708,-8.215
7.23878,53.531,143.667,-39.219,108.273,73.603,-76.104,-41.896,26.409,-20.222,-29.901,-30.277,3.332
7.50014,47.531,185.159,-65.411,2.873,69.894,-90.928,-32.432,-7.95,-36.13,-5.353,-31.906,1.426
7.6688,47.903,102.095,-65.986,4.811,81.57,-87.952,-48.948,-50.424,-34.103,-2.217,3.113,6.034
7.75533,50.492,66.686,-145.613,20.122,67.169,-85.187,-27.194,-10.808,-18.463,-29.079,-24.181,-13.624
7.92367,46.105,81.147,-135.506,-29.379,140.943,-78.785,-43.223,-16.458,-35.904,12.746,-13.0,-17.23
8.0912,53.826,139.944,-36.153,88.743,63.435,-52.811,-35.438,11.654,-21.028,-32.327,-26.895,11.014
8.26649,49.383,89.647,-140.301,7.759,63.742,-91.69,-25.52,-13.524,-18.904,-22.939,-20.439,-11.808
8.43492,47.162,62.572,-126.514,-35.88,145.63,-66.649,-42.435,-27.97,-37.995,17.855,-7.992,-16.044
8.60984,53.971,122.017,-48.455,85.266,80.532,-57.924,-60.03,9.506,-29.988,-27.497,-27.532,7.979
8.87007,48.278,169.5,-74.616,7.925,76.228,-87.854,-55.715,5.536,-37.051,-11.098,-24.971,-2.696
