start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,48.324,86.485,-6.987,29.441,-18.946,-55.585,-0.915,13.262,1.53,1.194,6.575,7.037
0.34821,46.973,111.752,11.828,30.198,16.602,-54.809,-24.807,-2.675,-18.29,-3.769,-2.127,10.585
0.67302,44.751,99.303,56.342,-3.92,35.806,-29.507,0.007,25.837,-9.384,-5.059,9.846,9.487
0.85338,45.463,68.283,-3.426,-2.859,-5.535,-39.746,12.425,42.158,-24.346,8.468,19.93,5.169
1.20748,44.348,74.972,0.069,5.231,6.812,-35.314,4.667,28.933,-14.889,-25.54,10.505,22.242
1.36413,44.771,66.122,-20.988,11.51,-1.367,-19.987,16.532,31.921,-7.699,9.251,22.105,14.828
1.7239,44.128,68.585,-15.071,-5.207,15.863,-49.76,4.286,44.146,-25.652,-16.92,18.02,13.667
1.89238,41.422,108.324,71.247,2.717,24.819,-26.964,21.431,3.656,-15.454,5.371,-3.37,11.124
2.07252,45.296,38.843,-27.665,-3.554,-30.815,-56.849,14.6,28.437,-4.434,-19.49,4.53,10.021
2.24599,42.819,42.562,-15.33,-9.797,1.894,-56.712,-8.314,32.528,-9.506,-28.071,8.184,16.246
2.42141,40.31,110.467,64.261,2.335,36.295,-39.415,24.482,-1.841,-15.684,0.599,-7.33,1.626
2.56603,43.957,33.807,-6.851,-20.836,-13.001,-19.738,28.452,23.843,-35.575,10.232,6.955,5.727
2.75261,43.371,44.403,-26.623,1.651,-11.564,-53.214,17.469,32.244,-17.683,-15.612,16.952,-0.05
3.10549,42.763,51.075,-26.938,-12.895,18.556,-57.816,-12.923,34.62,-15.242,-43.104,24.262,-7.197
3.45379,43.306,66.207,9.89,2.367,0.03,-43.73,-13.944,37.045,4.191,-35.58,13.678,10.796
3.62222,43.291,48.096,-25.397,-13.79,-14.993,-63.209,8.569,46.735,-12.502,-25.326,19.603,9.012
3.9585,43.331,48.999,-20.257,-4.983,10.319,-12.323,-13.369,50.467,-7.782,-20.698,24.816,5.083
4.13909,43.444,59.131,-58.432,-19.192,-17.552,-68.018,5.059,29.17,-5.09,-18.402,15.577,6.83
4.31297,41.392,69.974,-15.139,2.462,12.918,-56.699,-3.448,14.689,-15.357,-14.416,13.618,6.923
4.48118,43.156,49.664,-40.924,-7.28,13.977,-37.027,-19.862,58.325,-13.963,-30.689,18.124,-8.458
4.64943,39.775,119.164,62.925,-17.733,20.718,-29.592,13.135,-9.389,-18.721,2.91,3.705,3.975
4.92694,41.405,46.482,6.487,1.362,4.607,-59.614,-9.045,38.934,-23.922,-13.325,24.109,16.18
5.0961,40.536,6.458,-43.006,-26.645,-4.75,-50.885,-20.06,-15.364,-16.254,-6.154,1.756,19.493
