start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
1.15519,31.167,80.078,101.678,-287.78,117.23,214.831,60.326,-50.889,-61.755,91.405,-44.293,6.833
1.37624,48.903,108.463,-11.877,32.02,74.254,-27.935,-67.81,55.198,-5.984,4.464,8.601,9.381
1.58476,45.795,8.776,-33.059,-21.272,89.142,-16.595,-22.533,-8.146,-18.052,22.165,-22.715,12.418
1.81147,42.831,23.626,-32.385,-17.834,66.943,-56.179,-7.458,11.827,-45.409,-11.837,-5.576,11.809
2.30408,38.821,60.819,0.956,-17.541,104.936,-42.054,-4.191,7.277,-27.396,-7.337,-6.294,27.548
2.50209,37.962,76.736,14.761,-28.022,112.971,-37.552,-3.104,-5.679,-30.383,4.921,-6.584,31.787
2.79302,40.252,0.865,-72.429,-58.941,82.613,-53.935,-5.572,14.598,-32.712,1.076,5.431,26.188
3.26807,38.544,26.481,-43.55,-60.74,104.835,-48.255,-5.811,0.068,-23.034,6.31,-4.575,22.515
3.37084,40.833,6.193,-68.084,-54.136,87.351,-42.508,-5.134,3.969,-25.362,-2.42,-7.628,26.894
4.03537,40.288,-0.064,-19.047,-38.609,56.128,-61.854,51.66,16.353,-48.388,-5.737,2.262,40.851
4.1795,42.106,1.39,-24.86,-42.175,71.238,-35.723,39.012,9.777,-53.356,-2.807,-9.297,41.081
4.64408,43.139,-31.331,-20.407,-17.603,69.157,-31.1,45.118,18.524,-76.972,-6.317,-3.15,32.844
4.84213,40.805,2.749,-28.079,-11.681,60.793,-43.156,44.988,8.932,-38.109,-16.767,-9.308,38.565
5.12585,37.933,-31.823,-48.127,8.911,68.956,-40.465,26.481,31.66,-48.367,-19.891,-25.887,34.629
5.66068,25.838,-85.388,-39.484,26.833,37.137,-48.029,31.794,38.502,-59.173,-23.673,-13.201,33.377
6.14141,17.854,-77.966,-26.799,-28.935,39.338,-54.124,22.159,17.795,-39.798,-10.344,4.667,34.463
6.25202,17.535,-26.477,-34.619,-44.934,46.906,-51.415,19.68,28.727,-33.331,-11.899,10.654,30.136
6.64621,17.163,39.216,-18.619,-46.799,49.791,-34.572,18.77,10.333,-29.723,-5.048,-4.738,21.379
6.82712,18.151,39.011,5.826,-15.873,45.289,-41.81,9.384,7.77,-17.79,5.188,-8.355,5.989
6.94272,18.599,67.74,8.732,-0.748,45.711,-20.08,8.536,-6.624,-36.765,-9.319,-6.819,7.416
7.05918,19.87,79.827,29.854,-22.86,61.508,-22.565,17.072,-6.003,-19.527,-9.021,2.509,10.965
7.16898,21.642,65.671,54.944,-31.638,66.582,-31.005,19.229,-8.779,-12.994,-11.33,-3.488,-6.53
7.33732,25.186,86.183,15.276,-21.523,69.154,-31.291,11.811,5.518,-22.039,-1.003,-6.945,-3.78
7.50005,26.127,77.931,35.717,0.759,33.6,-37.997,19.384,-10.109,-42.783,-0.558,-5.07,17.635
7.59846,28.237,86.7,67.509,-10.643,84.165,-23.337,9.979,-17.563,-18.891,-3.626,-23.161,-12.975
7.74417,30.09,66.137,49.67,-11.506,73.077,-11.372,5.859,0.857,-20.925,-7.793,-9.422,0.067
7.8663,32.705,90.697,51.492,-12.373,77.213,-8.878,9.984,-7.938,-27.589,-3.669,-13.008,-5.035
7.98213,34.255,77.01,46.062,-24.973,64.249,-27.744,-0.925,22.045,-6.806,-11.402,7.367,7.085
8.06921,36.303,80.982,74.926,-11.362,75.687,-40.578,1.123,16.886,-29.728,-2.843,3.101,0.608
8.27243,46.11,47.337,48.373,-12.491,72.24,5.624,-14.26,-12.317,-24.192,-11.065,-2.694,22.742
8.44757,46.651,92.017,-1.661,16.745,76.242,-24.618,-40.632,61.85,-21.785,-14.762,12.431,29.027
8.65478,44.395,41.615,-26.666,-30.986,45.028,-18.765,-13.075,-7.898,-32.914,13.539,-15.247,41.901
8.87574,41.928,33.181,-51.684,-32.614,58.384,-49.042,-4.155,-0.022,-14.847,-8.272,-0.441,33.684
9.16567,40.667,49.625,-9.853,-15.607,54.383,-52.195,16.492,-6.261,-32.427,-2.88,-15.061,38.156
9.35116,39.754,30.472,-25.04,-25.176,60.915,-48.548,7.185,25.77,-17.533,7.729,1.693,37.407
9.61302,39.003,75.421,30.954,-1.512,76.895,-35.322,26.3,5.185,-30.489,13.906,-10.812,20.234
9.8746,39.259,19.1,-24.479,-44.911,67.471,-40.162,24.289,-5.545,-25.32,-3.566,4.073,43.004
10.45488,39.431,-1.184,-28.008,-57.427,45.429,-38.811,-0.248,-2.8,-2.464,4.77,1.379,43.736
10.94875,39.378,-51.544,-28.458,-32.239,43.171,-40.336,29.876,16.867,-31.096,-4.294,6.545,44.045
11.07927,40.592,-0.792,-13.495,-40.097,48.555,-37.663,28.773,11.03,-9.736,-12.949,6.724,44.215
11.31469,40.787,-27.54,-39.9,-28.845,48.135,-44.381,14.602,-5.822,-5.609,-10.213,-0.131,39.548
11.47079,41.523,29.385,-24.972,-64.58,7.624,-30.227,-11.712,13.685,7.572,-19.158,14.074,22.714
11.61043,43.519,56.16,-15.939,-37.587,6.598,-35.381,-0.975,3.735,-14.503,-0.401,3.4,22.517
11.70277,43.343,98.441,-21.884,-2.278,23.472,-16.353,-15.573,-15.524,7.932,-12.199,-40.952,12.202
11.98113,38.642,22.204,-5.969,-29.463,35.193,-33.279,17.494,11.087,-12.037,4.743,-9.224,34.001
12.1829,41.69,48.538,16.469,-14.687,39.819,-2.918,14.017,3.405,-20.019,1.604,-22.59,-20.331
