start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,20.601,73.02,87.685,-10.399,78.3,-25.227,-31.531,-18.577,-12.912,12.579,-7.123,-24.944
0.16866,22.203,46.218,63.434,12.295,13.86,-24.606,-29.19,-1.187,-43.516,-5.151,3.114,9.292
0.37787,21.852,41.195,53.849,-2.573,54.565,-19.114,-6.999,-3.201,-18.538,-11.381,2.986,-21.995
0.598,21.124,48.148,39.861,26.38,15.34,-35.356,-50.253,-8.397,-41.3,-17.406,-5.782,-2.337
0.69737,21.169,19.724,41.392,-0.881,11.971,-20.058,-9.955,-6.806,-32.326,-5.408,-3.249,4.93
0.81211,22.797,44.887,59.447,35.846,22.716,-35.218,-19.329,-0.051,-29.739,-5.522,-6.985,-25.656
0.91669,22.13,42.967,66.993,39.144,57.106,-37.76,-31.405,-5.911,-30.515,-2.979,-16.238,2.76
1.02181,23.05,58.837,46.909,37.293,28.257,-28.103,-33.063,-18.089,-47.811,-9.242,-6.279,-1.953
1.13206,26.124,27.331,64.018,41.584,-0.226,-18.867,-25.098,-9.962,-38.513,-6.351,-18.899,-3.537
1.24231,25.116,39.207,60.542,35.603,31.074,-32.215,-31.971,-8.473,-21.118,-0.705,-14.793,-8.068
1.34644,24.375,25.302,73.179,46.792,52.775,-37.865,-39.907,-7.631,-11.75,-2.614,-16.443,-7.334
1.45066,25.408,38.622,63.722,39.738,37.387,-27.848,-33.915,-31.262,-11.631,6.76,-19.976,19.635
1.56132,25.642,22.151,53.18,56.15,30.297,-29.518,-23.587,-15.664,-24.949,-9.874,-13.435,-5.586
1.66612,25.941,17.314,75.906,50.142,59.982,-23.733,-4.05,-7.435,-8.203,-6.492,-15.143,11.336
1.77683,24.964,37.535,67.744,47.644,36.907,-40.625,-19.273,-16.441,-3.619,6.692,-15.757,-9.566
1.8805,27.192,37.387,89.074,83.606,38.844,-34.51,-19.315,-23.684,-21.049,14.853,-17.152,0.691
1.99156,24.808,18.08,45.44,35.025,58.67,-38.438,-34.528,-23.734,-17.972,1.023,-13.14,-7.843
2.09519,26.213,34.326,56.156,34.836,52.872,-33.541,-14.482,-8.252,-16.446,-1.534,-6.8,5.749
2.20603,27.48,68.3,45.801,56.59,66.167,-53.43,-10.353,-17.812,-15.851,-1.471,-14.661,-4.375
2.31043,29.004,102.874,45.322,44.463,54.787,-27.672,-18.009,-31.63,-20.073,-1.793,-25.661,-4.107
2.41546,28.105,79.034,43.907,46.631,67.76,-39.664,4.564,-29.308,-23.462,-3.976,-15.196,-4.091
2.52531,27.133,41.355,35.504,58.372,76.801,-54.067,-31.265,-56.969,-20.318,9.145,-18.519,1.995
2.62921,28.967,66.991,54.581,39.923,62.552,-28.526,-21.853,-15.239,-18.605,-4.538,-14.078,1.695
2.74,28.476,73.796,49.354,52.925,42.396,-31.028,-11.218,-38.9,-17.462,-0.895,-22.194,11.266
2.85093,26.842,7.759,46.065,31.635,53.239,-44.416,-16.129,-15.699,-16.14,-12.744,-6.586,1.401
2.95442,26.199,18.211,59.379,43.294,31.685,-33.679,1.019,-27.502,-20.792,-11.486,-4.986,-14.969
3.05923,27.455,29.516,49.714,38.694,51.93,-36.097,-8.573,-21.211,-17.747,-12.308,-8.119,7.852
3.16376,28.482,87.968,40.333,24.723,59.649,-36.819,16.483,-41.461,-20.892,-5.275,-5.919,14.508
3.38395,27.663,12.725,42.685,28.618,17.616,-47.646,0.891,-20.04,-19.071,-4.45,0.277,12.295
3.48898,27.091,25.856,65.709,28.913,27.213,-39.67,-25.956,-21.445,-23.052,0.943,-3.318,9.128
3.59315,28.332,58.193,63.046,34.177,16.65,-27.371,-8.564,-17.428,-17.235,-9.814,-5.413,19.57
3.70385,28.18,10.508,57.599,14.82,3.063,-35.361,-1.155,6.421,-14.452,-8.34,3.085,20.881
3.81392,28.23,12.028,42.838,14.793,-9.991,-42.657,-5.065,-3.457,-17.703,-1.485,0.731,14.501
3.91252,29.371,41.165,68.138,21.095,16.974,-11.191,-37.958,4.077,-13.529,-19.32,-0.626,9.496
4.01714,29.673,58.187,94.358,33.412,26.466,-18.645,-40.73,0.102,-16.155,-3.384,14.359,0.469
4.23769,29.535,36.87,77.079,9.425,15.77,-19.747,-46.71,-2.991,-15.436,-6.973,2.941,-6.377
4.34776,30.637,42.589,76.786,17.589,12.211,-31.206,-45.489,9.822,-15.848,-12.574,1.188,-2.473
4.45224,30.644,61.827,87.105,14.649,17.908,-20.455,-47.276,15.149,-22.064,-7.392,5.626,-9.741
4.66785,30.563,73.031,71.526,10.131,31.628,-34.676,-65.212,10.529,-25.049,-8.402,0.54,-0.312
4.76576,30.848,72.05,46.407,-1.63,15.069,-19.005,-40.858,1.094,-24.033,6.42,4.592,0.528
4.87034,31.687,81.722,42.443,-11.116,18.224,-28.538,-35.857,16.144,-13.895,-3.105,16.6,-1.453
5.20122,31.617,119.508,57.784,4.403,27.74,-34.364,-29.148,12.308,-19.078,0.04,-2.965,-7.045
5.29991,32.036,112.785,49.739,-0.678,36.383,-25.84,-30.23,24.709,-19.201,10.918,1.311,-11.162
5.422,32.612,110.536,32.461,-18.664,18.275,-28.392,-33.396,16.264,-25.453,-2.419,6.231,4.445
5.63075,32.616,132.993,48.903,-3.865,27.978,-26.268,-37.936,11.579,-32.284,-1.715,3.19,14.471
5.74136,33.519,138.843,35.183,-6.686,21.154,-35.077,-34.412,24.268,-10.325,-2.333,6.85,11.122
5.95578,33.368,165.742,26.255,0.286,25.857,-34.351,-42.494,23.526,-11.714,1.611,2.031,8.248
6.06041,34.159,159.264,18.953,-5.601,25.986,-45.538,-23.022,18.466,-10.73,-2.77,10.401,20.971
6.17642,38.359,131.667,76.471,-74.556,72.173,-15.418,-17.025,-35.3,-11.57,18.877,-10.745,12.583
6.57125,43.839,87.514,12.56,16.32,39.578,-60.572,-47.79,-8.62,-12.125,8.348,-8.9,-15.305
6.87909,45.283,28.949,-35.64,6.033,8.413,-56.717,-9.319,15.382,-9.77,22.778,26.75,-4.911
7.06458,46.477,96.698,29.324,11.741,46.321,27.094,1.913,2.394,-4.336,-12.013,-38.278,-0.733
7.30848,40.445,141.775,93.884,21.606,112.396,-12.294,-38.979,-34.659,-58.799,-17.402,-6.0,-6.781
7.42444,47.014,105.52,33.847,93.726,47.704,-37.225,-3.865,10.744,-23.765,-17.532,-34.6,11.599
7.65696,39.139,148.222,87.578,32.35,102.387,-16.454,-49.772,-35.541,-58.381,-16.757,-19.883,-13.953
7.77302,38.908,123.295,106.455,2.856,93.024,-29.371,-44.962,15.741,-39.326,-24.228,3.596,-6.623
7.95882,42.298,113.106,9.59,29.515,20.897,-59.882,-49.497,11.902,-22.403,8.212,5.158,-3.655
8.2371,40.182,122.674,60.428,11.33,62.04,3.078,-38.018,-17.114,-21.534,-11.529,-0.25,7.485
8.59052,44.06,29.339,-39.443,21.423,-5.753,-45.948,-0.882,24.762,-13.623,26.209,34.805,7.25
8.75592,42.353,94.334,-1.677,-25.05,1.578,-15.24,-2.498,-1.245,-2.114,-28.579,-13.953,-8.124
9.03247,38.403,162.925,105.285,49.442,86.306,-18.072,-29.981,-40.685,-69.113,-12.603,-12.366,-5.79
9.13705,42.593,118.655,3.216,19.911,31.434,-53.578,-14.544,-1.595,-31.643,-7.241,-10.18,-0.066
9.35138,41.902,139.584,37.977,-13.317,48.849,-33.403,-9.218,1.665,-34.751,-22.099,0.514,-13.979
9.46213,42.747,103.846,-7.772,-0.785,11.253,-75.745,-23.012,2.933,-19.12,13.177,-7.007,-3.027
9.67696,41.381,116.522,7.168,24.154,7.449,-79.075,-31.043,10.709,-16.293,9.601,-0.99,7.697
9.96122,40.122,138.178,24.95,14.018,47.861,7.545,-23.666,-7.265,-7.401,9.944,-1.907,4.049
10.30989,43.753,32.962,-49.545,24.926,-10.427,-58.088,-3.619,19.748,-2.873,23.025,25.897,5.198
10.47075,44.02,104.355,31.722,-52.046,22.104,22.274,32.952,2.923,7.899,-17.192,-37.641,5.121
10.70358,38.488,133.235,81.139,-22.48,77.428,-9.963,-6.509,-5.6,-40.75,-57.064,-12.88,-7.393
10.85524,46.247,112.872,27.051,106.076,34.218,-38.317,10.366,20.2,-21.469,-18.667,-50.33,11.854
11.07578,38.071,149.124,60.084,35.303,87.268,0.506,-9.724,-20.211,-34.07,-8.589,-21.856,-24.251
11.20354,37.033,116.457,98.968,-15.214,85.639,-14.186,-37.162,10.621,-32.388,-38.716,-2.736,-13.722
11.38367,40.783,127.427,-7.964,20.2,5.66,-56.25,-46.112,6.423,-13.738,15.497,23.601,-2.464
11.66281,38.643,138.067,30.821,8.654,31.215,8.896,-26.445,1.046,-28.575,-20.436,-1.57,15.957
12.02236,43.986,35.712,-34.417,28.954,-25.398,-44.2,0.571,24.45,-25.435,27.184,27.191,15.542
12.19519,42.134,121.982,-16.214,-17.266,-21.697,0.453,6.325,1.043,-26.295,-21.354,-9.883,8.951
12.42286,37.12,170.636,75.535,-11.395,46.106,2.492,5.051,-13.839,-62.188,-54.586,-31.657,4.209
12.56785,40.993,132.818,-19.844,33.251,6.425,-63.182,-23.276,0.283,-31.999,-18.925,-19.033,2.043
12.75918,39.191,152.867,30.329,-38.376,41.496,8.549,-3.268,13.352,-34.74,-22.636,17.607,-3.989
12.89283,40.99,118.77,-30.509,0.651,-8.018,-82.702,-25.637,4.982,-32.177,1.935,-14.213,4.188
13.09615,41.121,137.325,3.807,27.267,-7.923,-40.248,-19.268,7.317,-22.454,3.051,38.88,-5.222
13.38612,40.374,153.815,28.805,0.173,4.353,25.074,0.54,-0.469,-44.075,7.957,-29.761,21.148
13.56,39.164,129.416,139.643,77.526,60.079,-56.283,37.866,3.461,-0.794,-1.326,15.067,13.498
13.73438,43.663,33.6,-38.322,29.678,-8.679,-46.797,5.848,24.441,-10.23,35.079,43.884,7.746
