start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,10.181,89.339,121.872,-29.009,137.64,11.157,39.166,14.568,10.878,37.931,4.691,-15.588
0.11061,16.163,79.706,165.908,24.89,130.528,-33.448,19.505,9.452,16.091,18.873,-3.133,-3.101
0.26735,18.472,91.013,150.874,-17.462,121.358,-40.146,33.336,-0.928,16.545,17.428,-0.363,3.03
0.51075,23.084,118.165,114.594,17.632,108.866,-36.17,5.552,15.266,31.326,18.283,-5.846,-16.445
0.61546,24.138,125.164,112.341,3.612,99.986,-37.365,6.684,9.778,32.599,21.237,-11.623,-3.508
0.71365,26.513,155.513,116.187,-13.429,110.539,-31.406,-1.465,17.207,30.452,23.366,-1.826,-5.444
0.91138,29.818,221.385,82.473,-9.173,116.837,-37.284,-12.654,-15.693,22.965,8.61,-4.988,-7.092
1.01596,32.3,241.017,76.239,-22.833,110.185,-43.258,-21.01,7.429,12.646,12.691,-7.498,-9.694
1.16104,35.585,272.669,84.923,-32.459,114.43,-29.818,-32.496,-0.963,13.423,7.345,-3.587,-16.278
1.32363,45.709,171.396,55.478,-30.773,80.172,23.157,0.246,-7.413,-49.854,40.178,-27.376,16.532
1.72404,51.229,140.895,-20.079,70.38,12.918,-75.006,-23.414,32.161,-23.862,-33.468,-12.317,23.903
1.98535,46.18,81.871,-53.244,9.785,4.115,-102.241,-11.764,36.229,-18.805,-9.864,-10.098,23.035
2.24113,47.256,26.336,-87.988,34.79,12.731,-121.322,-23.587,31.373,-15.777,3.67,-16.161,17.793
2.41025,50.197,127.618,-41.484,89.352,12.524,-54.768,-27.48,33.135,-19.696,-13.647,-13.755,21.312
2.75751,47.042,17.951,-86.718,52.978,5.241,-121.966,-28.114,17.358,-18.951,7.581,-12.099,15.147
2.93234,40.247,129.28,-16.594,2.878,58.336,-83.936,-18.763,-17.005,-35.023,-0.851,-1.824,12.271
3.09964,50.835,138.411,-26.691,88.1,18.294,-67.465,-30.924,42.72,-16.613,-21.711,-7.144,18.06
3.36113,46.597,72.979,-51.162,16.299,8.699,-93.792,-14.8,45.449,-22.61,4.956,-7.687,20.901
3.61664,47.544,35.312,-79.963,52.281,11.956,-96.834,-18.401,30.552,-23.326,23.256,-14.699,21.659
3.7907,50.382,128.045,-49.591,89.098,3.574,-60.893,-30.763,30.509,-24.832,-17.98,-25.775,25.397
4.13315,48.463,15.002,-48.185,38.433,1.066,-91.446,-2.676,7.656,-48.392,14.095,6.328,10.264
4.3132,42.27,113.643,27.291,35.572,41.974,-67.955,18.073,12.197,-82.336,-15.345,-22.135,27.69
4.48127,50.856,138.548,-23.71,83.148,14.602,-69.605,-27.475,36.598,-23.911,-23.157,-12.517,22.772
4.74259,47.047,62.842,-52.211,13.324,7.545,-96.297,-22.306,37.378,-24.741,2.998,-12.798,14.68
4.9981,47.677,26.477,-70.032,40.279,8.058,-103.167,-18.483,31.952,-30.953,10.007,-18.378,7.836
5.1732,50.79,120.607,-45.807,74.426,12.615,-66.543,-28.736,19.009,-18.278,-22.236,-28.811,20.452
5.51433,47.48,45.838,-51.504,69.176,20.238,-109.654,-26.223,40.401,-20.305,12.406,0.162,6.18
5.84544,49.572,127.918,-23.664,63.598,39.049,29.952,-3.96,35.86,-19.291,15.38,47.955,8.042
6.11846,47.991,61.115,-34.849,23.464,15.126,-84.532,-12.76,32.265,-17.511,15.85,-8.13,7.436
6.37955,49.11,19.439,-50.467,35.247,9.9,-95.417,-11.722,19.372,-14.787,19.855,-29.819,4.655
6.54812,51.714,107.234,-30.715,62.788,16.344,-59.301,-13.121,2.517,-17.288,-10.07,-15.87,12.973
6.89605,49.447,30.779,-16.825,52.858,10.638,-93.255,-5.562,37.21,-38.565,4.15,-7.923,10.251
7.23882,51.498,127.041,-22.46,77.567,16.912,-65.248,-23.928,31.337,-24.021,-15.45,-10.483,16.786
7.50005,48.52,55.014,-33.201,19.128,12.071,-78.366,-13.117,32.373,-18.761,11.643,-18.118,9.146
7.75524,50.009,27.743,-44.016,45.256,8.537,-74.35,-3.47,12.255,-33.752,22.21,-23.807,15.184
7.92866,51.298,119.167,-22.44,69.536,16.499,-65.28,-14.516,8.655,-20.104,-20.261,-20.985,19.177
8.27215,50.746,16.884,-36.318,54.357,-2.143,-68.931,-15.597,-0.443,-21.626,21.057,-22.316,8.206
8.42789,44.403,78.894,-6.177,12.134,46.935,-35.52,13.282,4.596,-34.067,-29.064,5.282,9.577
8.58558,48.037,125.223,9.026,5.082,35.215,72.916,5.458,38.015,-21.261,-9.893,-12.362,12.375
8.88163,50.15,54.632,-14.444,17.108,9.911,-65.615,-9.756,20.667,-18.405,12.493,-17.764,8.311
9.13664,50.875,39.449,-37.335,38.391,-3.273,-65.838,-18.457,5.914,-28.539,13.071,-29.585,8.071
9.31129,51.553,112.595,-13.352,61.838,21.367,-63.279,-13.996,3.928,-15.959,-25.385,-24.974,19.599
