start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
0.24367,26.727,153.082,-76.853,3.54,113.902,-51.314,-4.494,-14.315,-49.446,-24.688,-41.92,-5.714
0.42939,19.025,57.17,-22.834,26.504,71.964,-24.324,-11.92,-13.822,-9.067,15.436,-30.859,3.803
1.28286,27.931,91.249,159.925,-67.781,67.969,164.9,10.882,25.024,-13.715,-20.514,-3.574,-38.388
1.66009,36.155,171.431,190.949,90.817,36.638,42.243,-20.012,11.472,-30.213,-17.214,8.639,-37.673
2.03147,35.091,261.556,269.622,133.524,46.536,0.313,-13.458,-1.718,-46.092,-18.579,-27.632,-19.66
2.37438,32.215,304.537,270.463,125.147,23.498,35.756,16.566,6.613,-53.13,-15.972,-14.027,-14.421
2.74567,31.136,337.874,275.565,142.297,-0.609,4.585,30.611,5.967,-61.705,-13.947,-31.599,-6.677
3.08789,28.331,354.242,267.29,127.28,-16.736,35.227,57.603,9.58,-58.971,-9.172,-21.435,-11.159
3.44807,40.242,62.461,10.347,17.619,-67.266,47.935,-28.693,-9.987,-61.189,25.225,12.429,-7.845
3.80286,40.538,22.907,6.492,6.548,-51.157,23.883,-38.612,-17.116,-34.384,-17.77,-7.19,-20.571
4.16231,40.543,11.576,18.201,12.611,-38.273,7.767,-38.586,-9.579,-23.489,-24.759,-3.111,-22.05
4.48118,38.186,-26.641,31.737,-41.008,-18.686,11.041,-39.52,-5.585,-21.089,-19.315,-21.665,-6.357
4.87719,42.436,5.322,9.619,22.446,-11.078,12.711,-74.328,-31.96,-21.1,-18.121,1.596,-21.092
5.22481,40.972,-39.123,5.888,-1.187,-1.433,23.844,-74.278,-11.824,-9.112,-24.53,2.765,-23.039
5.58943,39.121,20.906,19.051,-21.933,-40.786,12.206,-53.722,-22.68,-28.06,-26.494,7.555,-21.738
5.75356,37.453,-44.106,-7.681,-10.187,-18.507,-2.685,-67.206,-37.074,-8.038,-22.798,-8.664,-23.364
5.95501,40.098,72.202,18.608,-9.18,-59.741,0.524,-65.631,-30.182,-31.542,-19.256,-6.478,-28.412
6.11959,38.24,17.861,-3.726,4.901,-36.669,-1.166,-70.269,-39.3,-13.838,-9.355,-10.387,-32.656
6.31184,35.671,-39.823,-2.129,3.954,-27.024,-8.669,-43.429,-26.069,-9.003,-14.006,-21.27,-25.478
6.66281,33.082,-36.047,-5.44,-5.637,-31.732,-0.165,-48.29,-38.851,-15.916,-29.284,-6.576,-25.991
7.03088,33.308,-40.443,-13.258,-12.948,-38.232,-18.567,-56.457,-38.79,-19.689,-15.458,-19.047,-23.557
7.37048,34.671,27.571,6.696,-41.39,-42.72,39.501,-56.349,-35.795,-14.991,-37.215,16.614,-40.33
7.55855,34.98,-26.907,-11.567,12.744,-14.497,-19.479,-89.753,-46.059,-10.611,6.08,-22.72,-25.672
7.74404,39.248,84.403,6.52,13.01,-51.263,-8.522,-95.058,-37.025,-33.161,-0.447,-29.795,-38.836
8.09202,41.134,110.764,10.481,32.666,-45.954,38.028,-92.719,-38.201,-37.86,-10.964,-4.964,-42.654
8.51615,33.908,-7.365,-14.408,-4.21,-31.248,-10.446,-82.881,-9.489,-9.186,-1.838,-6.144,-33.232
8.7541,31.627,-23.261,-37.266,-44.458,25.345,-25.963,-67.794,28.422,-19.608,-17.668,-37.256,-29.993
9.13066,27.634,-68.943,-35.619,-46.451,35.75,-7.796,-51.739,-14.59,-29.524,5.255,-31.676,-21.884
9.51524,26.483,-76.238,-30.325,-33.933,-22.273,5.187,-50.861,18.396,-11.47,-10.22,0.104,-29.12
9.70649,22.959,-98.532,-27.042,-43.906,11.408,-25.487,-46.404,-39.867,-27.416,26.832,-21.276,-19.772
9.89134,24.308,-71.912,-28.725,-3.255,-18.44,-16.917,-64.001,-12.542,-14.976,-7.548,-20.893,-22.953
