start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
0.1854,3.158,97.338,-44.96,-74.346,53.303,-32.287,-16.993,-23.839,-42.245,18.322,-7.019,5.201
0.3888,6.877,17.742,-88.252,-74.619,66.839,-49.346,-38.555,-5.422,-13.698,4.693,-4.836,-13.334
0.56844,8.018,15.914,-52.028,-67.095,77.295,-42.394,-0.551,-4.341,-7.417,8.929,-1.057,20.776
0.66816,11.302,5.517,-23.572,-81.655,64.734,-37.452,-8.813,-7.574,2.124,9.364,2.463,10.035
0.90612,16.465,-11.07,49.895,-63.603,51.395,-31.916,22.356,-5.886,1.384,13.593,0.986,21.336
1.04531,21.246,15.099,70.846,-46.481,30.811,-34.675,-10.174,6.655,18.179,6.344,17.112,18.787
1.28231,25.286,18.256,113.081,-55.107,14.188,-21.561,-2.876,12.325,-13.701,-2.217,17.262,-8.395
1.53714,31.8,-14.946,-9.335,-42.549,-21.559,-34.147,10.424,33.496,-4.678,-5.459,-16.433,-13.402
1.8229,34.344,-33.461,-26.379,-53.455,9.804,-5.045,2.341,-12.993,2.228,8.672,-8.7,-18.603
2.06508,35.768,-22.155,26.233,-21.126,-40.868,-23.477,5.164,3.67,-14.546,-10.534,-4.549,-33.038
2.29642,35.039,1.043,40.034,29.909,12.348,-32.201,15.304,7.323,19.791,-5.75,-19.045,-3.913
2.73429,30.497,-67.068,87.653,-8.586,46.339,-20.435,-1.708,22.503,2.613,4.478,1.92,-4.305
3.05909,37.644,-12.685,-103.607,63.596,-1.665,-80.625,7.565,-82.151,-21.776,54.538,-24.443,21.046
3.33202,32.562,-150.35,-24.96,-22.677,-13.169,-5.523,46.136,13.12,10.757,9.491,5.711,1.276
3.4873,33.143,-91.677,-17.72,-15.868,-25.742,-23.212,39.024,4.436,11.989,1.24,-3.391,3.016
3.65592,35.008,-51.104,25.094,-4.546,-14.262,-41.279,35.953,28.408,20.095,-6.259,-19.45,1.303
3.89147,32.021,-63.241,-1.466,-28.679,7.9,-27.054,40.87,-29.738,11.39,13.86,-26.023,12.021
4.12617,34.361,-39.67,47.798,-55.106,-8.144,-21.545,9.756,12.965,9.553,-16.333,-3.272,-20.281
4.26499,35.523,-51.931,-9.313,-8.338,-41.715,-22.079,20.252,8.797,0.786,-30.455,-17.271,-5.444
4.82476,30.836,-90.734,70.478,19.662,42.671,-24.544,52.654,10.887,-1.994,13.923,-22.451,4.46
5.16739,28.499,-113.467,19.323,33.602,69.604,-52.989,1.754,13.457,-8.384,-23.297,-5.327,0.418
5.38222,35.046,-27.618,-62.209,-23.485,21.126,104.518,24.859,-15.849,29.558,-54.327,-48.296,3.894
5.64993,32.881,-95.926,-44.309,-73.803,-19.924,-5.611,17.439,-1.873,39.354,-13.86,1.188,-1.719
5.87506,33.754,-64.76,-3.316,-27.216,-46.947,-16.693,9.01,-8.094,-10.143,-4.402,-27.414,-23.874
6.02517,32.042,-79.721,11.556,13.924,-36.673,-9.027,49.887,-14.007,-8.078,-7.158,-23.627,-8.62
6.33302,27.407,-131.958,19.736,19.822,-12.014,-65.756,52.609,17.221,-18.231,-3.502,-10.981,1.405
6.47478,26.169,-171.683,9.408,-1.317,24.093,-47.77,54.297,26.397,-14.841,2.511,-3.947,-6.369
6.59175,26.501,-154.815,-19.241,-10.258,-9.633,-13.91,31.759,13.77,-25.799,10.986,-27.511,-10.7
6.93705,24.998,-185.908,-2.093,1.662,58.016,-69.464,21.841,16.381,-12.442,-12.256,-3.787,-16.907
7.22662,25.193,-137.411,37.93,-9.499,42.97,-20.245,44.782,11.833,-9.258,-2.425,-7.334,-9.667
7.47655,26.3,-136.533,51.227,-10.727,73.92,-19.215,37.49,-4.446,-14.503,-24.256,-8.559,-9.649
7.64472,31.138,-21.661,93.582,-30.477,20.3,-4.691,-10.282,26.843,2.327,-33.542,18.249,-27.566
7.81918,40.526,17.411,-85.29,79.49,-28.427,1.668,10.16,-70.593,-22.831,31.317,17.903,-6.211
8.42218,32.009,-81.344,-31.226,37.246,23.747,-26.75,54.025,-23.148,5.162,19.326,-32.631,17.241
8.97474,26.556,-161.399,-29.136,-46.618,7.054,-25.026,41.466,17.66,-15.894,-24.819,-27.161,-10.042
