start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,37.801,7.236,-83.469,96.566,24.735,-114.542,-24.312,7.414,-3.021,-21.865,20.571,-9.77
0.32494,37.812,86.907,19.199,221.981,101.597,72.158,-6.857,-34.615,2.242,-18.91,66.222,-18.526
0.68476,34.465,135.962,31.378,159.216,96.969,-59.388,-20.075,-123.846,-30.427,18.421,-13.288,-0.282
0.94608,33.657,21.039,157.674,-106.791,72.771,17.496,-5.657,64.489,-7.667,-19.447,-29.553,7.385
1.21959,36.682,54.31,127.653,-8.742,26.685,-21.059,-31.409,6.167,-3.123,-3.61,5.795,-23.97
1.38154,34.713,169.619,39.577,132.066,94.829,-104.394,-34.652,-82.278,-28.048,19.065,-24.346,2.178
1.5322,26.953,56.819,112.685,14.32,76.342,-16.358,-6.57,-6.831,-15.667,-32.942,-12.167,-6.686
1.71814,39.962,95.046,21.634,237.906,88.97,-79.359,-41.207,-45.432,-11.03,-9.762,-10.488,-1.457
2.06667,34.456,134.033,31.935,157.724,95.802,-75.05,-20.646,-126.283,-31.856,18.582,-21.698,0.302
2.32821,33.737,20.713,155.338,-104.683,73.303,20.439,-4.204,64.793,-6.584,-21.1,-34.864,8.328
2.60018,36.731,54.317,127.94,-8.929,25.938,-21.088,-30.477,2.612,-3.296,-4.917,5.447,-24.237
2.75787,38.338,4.155,-79.853,107.482,27.769,-117.087,-23.415,13.858,-3.011,-22.708,17.772,-7.495
3.09968,39.932,93.268,28.53,239.159,90.132,-94.479,-44.948,-47.454,-11.48,-14.729,-19.77,3.046
3.44195,34.443,131.986,30.885,161.014,95.563,-52.239,-16.339,-125.569,-27.478,16.806,-3.834,-1.092
3.71528,34.574,29.642,157.671,-112.478,78.287,29.006,-4.96,72.371,-6.789,-22.307,-42.731,10.092
3.95243,36.171,47.079,129.295,-13.721,29.172,-22.401,-28.046,6.22,-4.084,-2.177,7.627,-22.442
4.13918,34.874,170.94,42.278,136.036,94.385,-99.577,-32.128,-84.495,-28.129,17.484,-22.109,2.91
4.29587,27.13,62.504,110.331,13.964,79.776,-14.262,-5.808,-6.626,-16.673,-36.423,-12.668,-7.12
4.46381,38.021,87.45,17.346,223.531,100.936,62.788,-6.435,-33.8,-0.465,-17.091,70.213,-18.94
4.82363,34.619,136.09,30.159,160.727,97.018,-67.079,-19.631,-125.303,-28.308,17.926,-18.074,-1.264
5.08508,33.683,21.394,156.693,-104.141,72.809,18.463,-5.858,63.31,-7.068,-20.135,-31.324,8.514
5.35755,36.693,53.028,127.435,-8.408,25.841,-20.754,-30.788,3.525,-3.129,-4.416,4.915,-24.721
5.51478,38.497,5.482,-76.533,110.744,23.932,-111.583,-23.131,11.619,-5.14,-21.032,21.766,-8.629
5.85719,40.037,92.926,23.411,238.34,86.736,-86.667,-39.498,-47.983,-12.172,-14.387,-15.373,-0.155
6.20544,34.541,131.707,34.693,155.954,94.03,-77.998,-24.819,-125.548,-28.068,21.807,-27.059,2.398
6.46707,33.581,17.368,154.135,-94.916,70.778,22.553,-3.608,59.622,-5.38,-23.443,-37.496,5.832
6.76844,37.067,64.566,129.342,1.862,24.173,-19.641,-33.326,-1.343,-3.76,-5.374,2.594,-24.702
