start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.106,168.831,6.507,-31.522,55.206,-50.561,16.173,2.734,-27.31,1.293,-10.937,-6.535
0.40082,22.305,-134.219,-103.707,2.694,22.754,17.709,9.247,14.723,4.744,19.224,-18.05,-8.733
0.82263,30.352,-54.689,-59.378,-30.318,1.414,48.725,-2.814,-31.424,11.695,0.914,-31.918,0.208
1.74073,31.021,-20.274,-42.954,-41.702,-7.378,18.547,-25.459,-15.615,1.033,2.75,-21.904,-5.86
2.21252,28.255,-125.957,-65.212,15.823,-12.32,-29.284,-27.394,11.051,-1.939,23.288,-10.572,-1.649
2.62213,31.268,-23.848,-33.431,-61.825,-1.769,-0.172,-7.308,-12.57,-1.861,10.942,-12.289,11.308
2.92608,30.027,-108.015,-55.817,6.826,-0.209,-47.772,-39.933,-6.966,19.907,-0.322,-22.548,7.397
3.30698,27.358,-100.821,-70.105,-65.337,8.147,-18.903,-8.317,-26.294,8.97,16.313,-10.205,1.241
3.54408,31.816,-61.614,-31.757,-4.573,-6.366,-6.505,15.003,-23.881,-20.11,17.531,-17.173,14.76
4.02186,41.079,116.717,-54.617,80.401,-46.084,15.432,-47.696,-21.644,13.873,-0.466,32.048,-5.919
4.44277,37.293,74.824,-22.683,-14.093,-21.227,74.628,-20.479,2.397,18.619,-12.612,-43.478,14.47
4.90921,31.467,-45.829,-63.445,15.255,-20.837,-48.916,-28.396,-6.962,24.577,7.756,-11.379,9.206
5.33333,32.114,-33.224,-21.084,7.762,3.81,19.853,-11.007,-15.43,-5.716,22.667,-12.105,14.11
5.79878,28.261,-117.739,-71.739,23.63,-7.916,-65.056,-11.106,1.406,-13.42,20.646,-16.688,-0.554
6.21941,30.776,-28.293,-15.774,-2.955,14.32,9.533,-2.434,-16.036,-11.821,18.769,-6.001,19.711
6.45968,29.024,-110.791,-54.574,47.171,-7.294,-47.656,-18.997,-1.26,-13.585,18.117,-4.504,15.474
6.88431,28.662,-122.019,-83.557,14.222,11.306,10.77,15.583,-25.728,-10.006,33.631,-22.81,3.026
7.05751,31.295,-51.562,-29.828,-100.606,-2.292,11.903,14.008,-17.344,10.98,-29.972,-18.015,6.548
7.3268,31.073,-100.827,-44.81,0.922,-28.543,-55.446,-10.639,10.643,-10.677,6.98,1.593,8.014
7.53995,28.421,-91.267,-85.087,36.912,-31.092,-24.355,-17.971,-18.141,-17.256,10.585,-12.684,-7.091
7.98177,37.021,-40.208,-31.201,36.614,25.577,86.878,-27.863,2.921,13.529,3.184,-7.065,-10.729
8.45134,37.092,-112.685,-18.514,37.474,52.184,31.6,23.021,13.666,10.758,10.802,-49.539,7.935
8.86785,33.43,-56.212,-17.675,4.101,33.873,42.057,-4.557,-10.777,4.87,-1.791,-24.003,3.58
9.33923,41.088,-48.74,-4.299,-75.603,32.87,13.933,-40.408,11.062,23.579,31.673,38.856,-18.73
9.49125,40.894,-23.353,-39.426,57.01,18.264,-34.766,-46.769,-2.977,1.659,-29.201,-29.604,-20.574
9.59379,38.075,-44.9,-24.869,4.853,25.248,11.272,-29.208,-6.141,-10.941,-6.808,-36.144,-7.294
9.79351,36.371,-20.605,10.938,-34.049,45.006,33.675,-0.827,-11.726,-14.6,23.713,-28.214,5.941
10.18871,33.383,24.155,-47.456,-63.169,50.245,-42.585,-23.996,15.947,-12.78,-9.828,2.074,-23.379
10.28531,38.326,-41.329,-62.992,-55.628,40.107,24.984,-31.649,-27.33,6.433,21.461,-58.151,12.731
10.69256,38.839,-29.559,-21.721,-48.752,40.899,69.691,27.049,-35.28,-19.919,2.452,-39.22,10.309
10.95583,37.095,-100.831,-61.157,-56.931,24.993,2.115,-41.324,11.272,26.849,-23.816,-2.665,4.753
11.16821,36.66,-80.508,-82.903,38.589,8.166,5.698,-18.131,16.957,-3.167,-9.094,-27.39,10.868
11.54435,29.426,-43.945,-44.007,-125.094,-0.023,-13.629,-1.937,0.031,5.348,-15.606,-12.987,-7.395
11.8049,38.715,-58.682,11.787,-114.82,19.784,37.403,27.297,-24.612,-11.008,7.158,-8.004,-2.611
12.27188,39.084,58.358,-80.53,45.98,11.957,-21.733,-38.061,-54.065,15.83,3.946,-27.173,12.231
12.67302,37.662,-36.443,-53.301,-6.262,39.307,27.48,15.352,-51.374,-22.842,44.886,4.583,19.812
12.89256,35.764,-111.267,-67.068,16.16,9.239,-20.116,8.238,-7.651,-13.818,7.98,-35.38,14.22
13.119,35.644,-56.234,-97.768,35.057,5.966,-90.078,-35.025,-33.361,-5.6,26.153,-29.2,8.656
13.26195,32.291,-48.773,-84.99,-113.864,11.105,-15.979,-26.004,4.179,23.852,-13.297,-10.965,-11.203
13.538,39.842,-88.858,-54.433,19.153,12.375,26.852,-8.606,-3.564,-2.904,27.195,-60.057,12.498
13.72127,37.747,-129.271,-34.554,-20.167,31.398,3.347,21.828,-24.312,-10.096,-1.309,-46.162,13.742
13.95918,34.885,-72.963,-59.179,-40.104,-8.169,-40.797,-6.893,-26.906,11.238,21.953,9.036,-2.382
14.03048,38.746,62.405,-109.986,-76.125,63.21,-21.775,0.178,34.568,31.843,-41.746,2.238,12.244
14.18086,39.599,-25.528,-72.129,6.562,70.466,-45.537,-38.419,45.424,-19.173,39.853,-12.032,20.585
14.3673,39.348,32.536,-92.18,-58.816,25.49,-48.221,-5.488,-31.288,-39.017,21.631,-0.186,-16.825
14.43683,40.308,-47.77,-70.149,-35.836,34.668,-27.971,-40.734,-33.681,23.335,10.162,-17.799,13.448
14.59179,39.781,-70.983,-58.447,-9.902,14.293,-36.628,-27.697,-7.937,0.854,2.38,-15.687,1.269
14.79628,33.683,-56.212,-82.234,-35.951,9.798,-16.734,-35.682,-14.175,9.743,-12.225,-26.091,-12.596
14.97039,37.531,-38.041,-42.473,-84.667,45.272,61.502,-13.074,-35.059,22.992,-19.516,-39.145,2.637
15.41737,40.217,-29.312,-21.977,-21.262,15.902,23.26,18.432,-23.315,-22.288,28.764,-18.895,-6.326
15.8239,39.339,37.114,-77.054,-5.957,20.23,7.155,-39.381,-21.077,8.619,-10.986,-40.592,5.421
16.03896,41.811,14.113,-57.254,-39.345,19.388,44.037,-34.118,-1.049,21.345,4.285,-3.243,-10.05
16.2527,40.674,-34.86,-57.11,-14.116,14.268,-7.321,-33.171,-3.971,13.573,13.167,3.634,1.343
16.48658,46.508,-24.236,18.301,-53.099,57.22,-7.697,-29.637,-9.552,11.563,14.486,-14.006,-10.535
16.65968,44.288,-53.634,-7.293,79.803,47.737,-25.313,-31.856,43.998,-15.628,-8.391,-35.245,-11.405
16.87977,43.274,11.979,-61.584,-21.843,21.668,50.014,-47.168,-18.218,21.962,-24.593,-23.088,-3.768
17.08195,42.109,-46.699,-38.786,-13.596,36.891,58.78,-25.789,15.32,8.814,-16.827,-28.758,-15.938
17.29229,42.111,16.005,-30.864,-76.954,38.183,-19.461,-32.735,71.298,8.853,6.591,20.524,5.166
17.53098,43.247,-33.06,-3.466,10.143,63.61,-24.025,4.57,9.797,1.226,27.0,-33.874,12.559
17.93755,36.783,-52.985,-66.987,20.685,-7.166,-86.477,-23.232,-27.699,-8.979,9.118,-12.737,11.584
18.08794,41.082,-44.155,36.192,-180.013,44.884,23.497,16.783,-3.719,5.769,-8.611,-16.704,9.381
18.51646,45.589,-59.336,-7.811,-43.282,49.459,12.642,-19.653,11.951,7.218,-8.497,-27.508,14.306
18.93134,44.354,31.39,-13.736,-41.436,63.883,-1.476,-12.588,-43.888,-3.919,9.173,-2.84,-9.948
19.13764,44.321,-38.686,-2.984,39.439,48.819,11.548,0.989,-26.39,12.686,10.623,-63.304,-6.044
19.3083,41.045,-86.294,-11.37,-86.434,27.108,-17.018,10.106,15.312,27.541,5.643,-8.86,18.071
19.79388,36.919,-9.201,-84.163,33.19,27.637,-27.6,8.987,-59.025,20.132,-0.687,-4.647,-3.607
19.96313,38.037,-25.323,-25.231,-106.713,43.662,36.421,22.61,-38.255,12.832,-20.675,-40.563,11.461
20.20263,42.521,-93.91,-4.416,6.393,34.871,1.212,13.075,0.176,10.889,-11.101,0.496,20.632
20.41039,43.279,-53.673,-31.001,-13.554,82.935,20.196,10.231,49.927,9.19,-5.263,-8.864,7.554
20.62281,42.158,-17.144,-36.514,-13.11,28.878,-34.508,-17.855,-44.898,-8.543,48.311,-6.081,-5.801
20.80603,39.251,-46.279,-76.984,-14.923,59.365,-31.701,-11.163,12.061,4.327,-11.156,-19.251,9.506
20.96834,38.061,-31.217,-55.108,-132.179,58.704,-40.81,10.424,-28.921,4.073,-33.1,15.369,0.782
21.15229,41.852,-70.519,-21.526,17.97,50.733,-24.744,12.746,10.697,21.76,1.742,-31.417,16.906
21.35751,36.815,-13.366,-39.095,-42.113,-4.06,-16.175,0.041,28.727,16.753,-19.117,-10.361,-3.545
21.6341,37.89,-22.551,-40.485,5.786,20.836,15.128,-25.085,-7.269,0.532,10.671,-26.42,-14.243
21.85737,51.341,16.859,85.857,-37.926,77.837,91.422,24.067,21.602,11.983,17.518,54.875,-58.109
22.09451,53.168,3.084,77.372,48.208,67.063,-37.277,36.202,0.084,18.017,10.817,-48.755,-0.669
22.28526,50.806,-25.422,73.23,28.864,74.987,22.997,34.003,6.487,14.87,-11.952,-12.719,-3.624
22.45909,44.477,-29.243,-11.159,54.073,55.497,-11.347,8.769,-2.629,-3.168,-16.169,-20.775,30.006
22.69143,48.126,17.116,78.598,-49.051,43.183,24.179,27.458,11.639,-15.573,19.251,0.608,-9.76
22.91755,48.276,-47.306,19.733,66.962,30.103,-32.283,19.199,-7.43,1.223,10.356,-35.042,5.779
23.30413,46.064,-56.65,25.041,-31.66,58.963,17.925,44.696,-29.165,-12.626,8.102,-17.311,0.194
23.66739,46.477,-109.66,43.986,-6.354,67.468,-36.896,50.242,6.103,0.359,13.302,-13.241,5.662
23.96308,45.102,-90.404,6.301,47.337,68.2,-23.147,-5.702,-15.728,-2.137,-1.026,-21.833,3.643
24.13683,42.81,-86.763,0.184,9.677,60.345,29.831,26.6,20.425,1.071,-25.564,-29.799,3.708
24.37011,44.888,11.133,-5.196,-61.872,5.703,27.161,-14.101,5.293,-20.519,2.134,10.565,-27.655
24.59574,47.311,-20.387,-3.679,-10.603,24.154,-38.032,-25.274,-12.853,14.239,3.797,-17.544,-19.653
24.74599,47.717,-75.162,42.698,1.727,74.746,-28.369,-5.619,10.585,6.496,1.366,-13.446,-28.21
24.95533,46.553,-56.661,6.062,8.556,61.775,-13.905,-6.398,5.498,-7.969,-11.64,-31.647,-12.746
25.43088,42.816,-53.991,-27.886,16.216,9.483,-10.319,-8.746,6.814,3.82,8.763,-33.443,-11.362
25.82059,42.139,-13.901,-76.035,11.552,26.311,25.41,-36.672,-4.073,-21.756,12.601,-20.793,-12.56
26.26766,42.918,-72.803,-12.626,-7.784,50.451,-18.689,-15.152,30.378,-0.076,30.366,-2.654,-13.088
26.66363,44.148,-47.538,-18.397,-24.043,57.308,16.001,10.857,-28.995,-5.092,19.772,-11.413,-10.93
26.88921,44.591,-53.79,16.741,49.16,36.505,9.973,26.165,48.668,3.474,0.841,-40.077,-11.669
27.09655,41.902,-20.416,-54.418,5.776,34.846,-2.593,16.296,-43.864,3.75,-12.529,-28.159,-6.075
27.30544,41.472,-58.487,-40.165,49.174,29.183,-15.002,-19.643,-7.478,-3.278,9.114,-15.064,-8.221
27.50526,39.152,-10.835,-56.503,-18.129,18.907,-36.9,-21.153,-14.529,-20.162,1.817,18.366,-15.813
27.69084,40.458,-8.204,-41.737,-39.34,8.468,-8.238,-40.113,-15.995,-18.673,4.416,-9.754,-14.577
27.88649,43.183,-37.065,2.885,-73.038,21.92,-5.065,-22.23,11.821,5.739,7.641,-24.102,-4.993
28.33429,50.04,18.48,30.698,56.033,72.434,17.601,-41.706,-16.153,43.256,-6.767,-10.431,-4.721
28.53188,49.978,-18.665,34.07,62.177,47.281,0.889,5.791,5.272,5.447,-10.808,-44.237,-7.082
28.72254,49.045,32.687,26.772,-71.53,46.696,37.882,-12.984,-1.308,21.991,8.447,14.83,-18.52
28.94998,50.689,0.699,12.914,44.844,62.389,-30.872,-17.992,23.664,13.127,0.368,-43.768,-13.925
29.09995,44.844,37.626,-53.618,-20.041,59.086,31.298,-31.574,-22.447,13.674,-25.055,-42.054,-2.273
29.36689,51.081,3.935,7.438,38.088,49.104,56.284,8.472,-23.562,20.056,-4.819,10.675,-3.694
29.97143,45.904,-18.587,25.728,-63.389,72.697,-0.77,-1.02,-28.821,15.895,-15.012,1.316,2.645
30.22063,48.043,-16.726,2.167,-31.588,85.204,-48.088,-13.901,20.058,36.897,-13.538,7.307,30.724
30.42921,47.893,-69.739,12.239,30.953,57.561,-18.557,-2.033,8.058,22.98,5.78,-18.034,-14.883
30.80698,42.546,-76.522,-20.833,25.483,39.512,-39.507,40.004,-12.603,-5.153,-21.785,-14.289,-3.024
30.9219,42.894,21.385,-23.968,-90.259,79.423,-22.993,19.846,76.843,42.771,-46.029,-0.239,-18.763
31.20213,46.084,-28.562,44.955,-63.507,45.853,-31.023,5.842,-23.141,-10.907,10.817,-0.168,-22.224
31.44014,50.819,-11.104,15.504,17.099,53.153,-27.719,0.374,-28.618,4.852,9.303,-14.058,-5.242
31.67166,46.811,32.033,-38.487,14.385,39.721,-23.435,-36.416,33.201,25.88,-33.46,-20.895,-4.729
31.97415,49.298,61.329,9.744,-47.191,56.187,49.926,-21.931,11.049,16.275,19.156,2.844,-23.792
32.199,44.596,5.15,-59.393,-1.75,27.803,-33.075,-58.31,-29.874,10.44,27.914,-22.705,3.02
32.32803,43.51,-43.728,2.385,-76.089,35.226,-31.342,-16.811,-30.137,-13.972,21.979,-14.835,9.681
32.50263,46.694,-73.849,47.426,96.679,79.042,-38.555,28.003,31.513,-5.176,5.591,-27.344,16.496
32.93274,45.233,-101.669,-8.532,32.458,82.478,-18.919,-6.229,-7.184,-5.403,24.69,-21.784,15.032
33.33655,42.135,-50.93,-23.932,-43.383,79.894,8.303,-21.745,-43.678,-7.133,11.57,-25.139,12.611
33.75723,42.868,-6.38,-26.656,-3.356,-14.063,-69.495,-39.649,-41.81,-37.237,29.576,-9.584,-23.818
33.98943,42.388,-40.082,-28.281,25.513,15.292,-62.122,-11.082,-12.716,-7.877,21.681,-21.363,24.98
34.15188,41.303,-80.84,8.928,-6.333,79.504,-1.625,50.263,-45.575,-0.452,9.287,-13.788,-5.855
34.38884,46.378,-7.424,13.376,-34.72,33.49,2.466,10.671,5.275,24.347,-25.918,30.108,-39.808
34.6049,47.224,-61.346,9.698,-13.598,54.773,-44.289,15.591,-1.224,-1.223,22.292,2.9,-29.884
34.84145,45.458,-26.589,-34.054,63.123,54.849,-41.232,-29.126,-3.206,3.63,-2.473,-33.474,0.013
35.21932,41.974,-38.571,-58.751,23.497,33.661,0.884,-33.994,2.101,9.34,-5.798,-24.475,-9.977
35.41066,38.279,-24.749,-63.763,-10.016,49.331,28.111,6.59,-36.949,-0.032,8.607,-14.966,13.404
35.6142,41.443,-55.37,-63.512,13.129,37.638,14.256,-14.303,-10.862,16.731,-11.166,-11.907,-5.712
35.79977,39.27,-32.961,-6.482,-63.326,27.34,-1.7,0.574,-3.21,3.413,-0.357,-24.75,-0.865
36.04717,44.98,-45.525,-54.563,11.935,6.641,-49.776,-38.651,-34.977,-6.449,-1.934,-11.93,-1.154
36.20526,40.734,-115.372,8.311,-9.235,53.397,-13.904,4.901,6.567,21.039,-8.267,-28.253,16.091
36.6117,38.898,-55.333,9.311,-105.411,69.735,-2.925,1.732,-9.198,4.159,-20.709,-26.27,5.855
36.87179,37.615,-67.395,-58.295,1.064,40.273,-74.74,-16.344,36.894,2.614,11.083,15.541,10.33
37.08367,41.342,-19.327,-56.862,-28.77,28.676,-2.704,-3.935,-5.527,-12.822,26.347,23.042,-4.809
37.29628,42.074,-54.503,-21.646,-33.704,66.498,-9.446,2.45,-0.017,-7.04,24.202,-40.153,5.817
37.49483,42.984,-56.63,-39.115,22.49,31.545,-13.537,7.243,3.024,8.28,3.858,-6.034,-3.724
37.68077,44.83,-21.121,-48.716,21.391,18.361,-49.534,-52.97,-19.948,-9.598,4.869,-16.757,-15.36
37.89864,40.364,-64.764,-55.702,25.928,31.809,-22.717,-3.088,-33.706,-17.6,28.084,-38.614,-6.476
38.08313,38.517,-63.617,-35.12,-27.821,11.979,-10.301,7.159,-8.495,24.413,-19.783,-13.874,-8.939
38.28943,42.578,10.902,-12.519,-69.664,57.543,16.252,-15.657,-34.922,10.496,14.83,-5.859,-8.305
38.48036,41.917,-45.466,-17.136,14.28,36.133,-12.508,-24.383,17.397,-3.707,7.98,-41.123,1.08
