start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,13.569,101.928,80.95,-316.799,38.152,-6.082,66.684,-101.911,-41.846,57.729,7.248,3.047
0.64349,39.463,-10.632,-63.219,93.349,11.319,-36.211,13.932,-9.638,-24.769,19.103,14.781,10.777
0.87959,32.536,-51.357,-96.213,-21.165,23.598,-71.557,-5.085,-45.396,-30.713,24.329,-18.171,-1.456
0.99011,32.085,-99.815,-30.026,-13.178,-30.578,-68.873,-16.598,5.731,-22.51,18.274,8.58,0.85
1.11583,36.981,-42.219,-147.792,34.722,-2.931,-97.725,-13.795,-50.778,-6.747,-0.417,-24.268,-5.8
1.33388,31.421,-56.756,-78.442,-41.964,8.391,-85.579,18.576,-18.334,-26.842,15.17,31.973,-6.044
1.4546,37.853,-56.105,-64.624,70.766,-4.976,-105.067,-6.145,-9.129,-19.62,26.765,-29.911,20.533
1.68635,34.722,-128.085,-32.127,1.41,-18.306,-65.845,-22.795,-19.039,-12.193,19.86,-13.078,-18.516
1.77755,36.474,-13.575,-146.418,23.137,1.797,-19.611,-2.94,-18.548,15.742,-35.774,-2.799,-8.671
2.01029,28.563,-15.712,-92.617,-20.442,-5.693,-62.367,2.488,-22.748,-18.523,-1.655,4.383,-9.986
2.11882,32.967,-92.421,-103.398,-6.74,-30.278,-89.617,1.796,-11.857,-19.478,23.241,13.652,-11.031
2.24735,37.914,-34.128,-59.903,93.943,6.203,-91.493,16.774,-42.648,-22.608,4.361,-41.676,26.349
2.47891,31.79,-81.441,-93.461,-21.081,13.545,-72.659,-15.008,-44.266,-30.082,20.213,-14.607,-3.267
2.57628,31.833,-120.715,-43.545,-19.897,-7.84,-44.578,-2.847,4.348,-9.648,-6.84,8.006,5.859
2.69846,36.873,-45.64,-150.827,30.39,-0.995,-86.625,-13.088,-64.022,-2.003,-11.844,-22.468,-3.32
2.92649,31.46,-91.525,-60.459,-43.187,-7.38,-62.591,12.783,-8.024,-16.807,18.003,10.156,1.32
3.03841,38.304,-46.751,-63.224,65.416,-2.572,-102.106,-0.273,-9.276,-20.004,25.87,-31.079,28.622
3.25701,36.89,-87.271,-15.044,-34.111,-15.229,-38.64,-14.404,-7.978,-8.4,19.734,-11.036,-11.16
3.37147,37.792,-29.662,-132.042,20.735,-13.648,-74.147,-5.607,-39.768,-9.124,-14.291,-42.411,-1.047
3.5859,30.407,-40.988,-91.185,-22.864,-18.396,-68.413,6.943,-19.901,-32.983,6.153,-7.531,-15.416
3.699,33.949,-73.93,-94.855,-15.155,-29.144,-40.259,6.83,-7.994,-19.608,51.414,25.369,-10.047
3.82286,38.568,-21.361,-64.283,90.721,5.282,-88.185,25.305,-39.461,-17.553,2.863,-39.575,22.092
4.06063,31.18,-107.722,-79.538,-31.25,4.807,-75.471,-10.57,-32.713,-39.914,27.028,-8.678,-9.606
4.16984,33.444,-108.477,-23.618,-24.95,-15.147,-58.281,-7.178,6.684,-8.284,3.445,-3.23,12.113
4.26417,36.656,-46.605,-161.003,47.134,4.025,-63.784,-12.72,-49.361,1.836,7.284,-7.117,-7.101
4.49868,31.285,-86.783,-77.047,-30.224,-3.169,-71.486,4.795,-17.209,-13.449,27.696,4.85,1.419
4.60717,38.814,-43.238,-65.654,80.896,1.49,-93.973,3.243,-9.097,-27.825,29.247,-34.389,32.581
4.83034,35.381,-107.562,-22.299,-43.383,-12.133,-31.857,-11.883,-16.223,-6.193,16.85,-10.458,-11.698
4.94707,37.367,-17.305,-130.296,24.18,-7.124,-59.148,-3.779,-37.768,-9.015,-19.881,-15.903,-12.139
5.17347,30.867,-27.343,-67.334,-23.577,-18.149,-74.932,1.908,-18.188,-35.032,14.048,-9.36,-18.52
5.28,33.668,-81.233,-76.987,-23.438,-33.518,-48.958,3.193,-1.118,-24.677,52.574,24.988,-15.374
5.40245,37.499,-32.016,-66.461,90.047,-2.051,-102.072,25.652,-33.066,-26.642,-0.217,-35.562,32.085
5.63247,30.734,-82.581,-90.687,-16.389,5.817,-59.931,-3.815,-39.113,-40.959,29.792,-15.976,-8.034
5.74118,31.344,-116.481,-42.817,-3.64,-18.997,-76.496,-5.705,-15.656,-18.403,17.576,-1.347,9.691
5.82472,35.304,-42.901,-118.953,-11.293,12.939,37.781,17.602,-17.399,16.539,-52.343,1.903,-13.554
6.05755,31.626,-81.845,-78.398,-27.204,2.044,-38.849,20.056,-36.27,-4.3,-22.297,20.774,-8.67
6.18145,39.852,-38.585,-74.831,87.568,12.737,-33.107,-1.455,-0.442,-13.781,24.489,1.464,22.453
6.40408,32.93,-118.379,-59.832,7.771,-30.82,-87.041,0.692,-21.649,-27.586,22.949,-0.423,8.295
6.49184,41.928,-14.22,-32.408,-92.763,16.234,80.895,25.647,46.497,11.327,-6.282,-41.086,0.764
6.75846,44.728,-51.369,-14.286,87.063,8.901,-15.837,-8.033,-9.108,0.034,12.256,-68.449,7.975
6.98884,46.654,-22.328,22.568,66.832,24.394,-42.647,2.117,-12.288,-1.864,9.188,-41.206,4.44
7.21288,43.559,-41.729,-2.011,92.25,16.199,-28.383,-22.344,5.58,5.288,5.354,-70.847,4.658
7.43293,46.485,-28.808,-18.679,34.437,2.314,-28.672,5.079,-3.918,1.639,8.646,-4.509,-14.967
7.65111,42.917,-82.574,31.295,-1.459,49.869,-52.955,7.697,0.763,21.743,22.232,-5.82,-14.879
7.77274,43.983,-50.429,-12.241,49.675,6.254,-64.468,-22.297,-18.937,-14.167,18.651,-16.678,-7.406
8.00082,39.384,-86.625,-1.876,-27.424,-7.289,-29.497,-9.228,9.175,-6.36,-2.74,4.039,1.951
8.11125,37.247,-31.124,-137.54,37.771,-12.652,-62.194,-1.459,-41.104,-0.907,-18.504,-19.902,-4.258
8.34535,28.407,-43.812,-121.748,-30.133,-10.176,-83.766,-3.081,-29.644,-28.248,21.691,-17.976,-12.636
8.42961,32.772,-89.82,-110.046,-27.482,-5.915,14.734,10.631,-10.334,1.435,5.337,-3.255,-9.259
8.55624,39.234,-8.662,-66.769,87.384,7.694,-74.71,30.444,-45.098,-18.591,-1.907,-39.594,30.608
8.78789,31.51,-72.363,-101.022,-1.616,13.164,-61.289,-5.951,-42.155,-26.23,5.873,-11.722,-1.464
8.89782,32.281,-104.445,-37.195,-15.181,-14.854,-35.815,3.283,3.787,-0.803,-4.637,22.268,13.372
9.01732,36.531,-16.448,-157.914,40.577,-1.409,-82.564,-18.955,-36.139,5.215,-19.812,-28.241,1.361
9.21651,29.49,-72.426,-103.529,-39.628,12.529,-11.848,20.649,-19.574,4.883,-48.433,-8.731,-2.121
9.33642,37.437,-32.996,-75.567,59.95,23.356,52.735,34.469,4.279,8.818,-5.099,47.897,8.786
9.56594,33.523,-112.76,-46.909,1.283,-16.001,-80.004,-10.178,-19.919,-10.829,26.424,-12.782,1.234
9.68054,38.16,13.145,-145.217,26.916,2.077,-48.575,-13.104,-0.81,10.82,-14.683,-25.448,1.069
10.02522,32.788,-85.246,-121.007,7.429,-29.046,-71.468,-14.739,-9.079,-11.597,42.413,22.25,-13.577
10.14481,37.502,-8.92,-78.319,104.028,3.174,-90.169,21.747,-35.193,-22.368,4.1,-46.982,30.897
10.37914,30.756,-62.046,-90.13,-32.248,4.692,-58.425,-7.141,-33.733,-34.678,23.015,-5.163,-7.864
10.48939,31.516,-104.361,-35.466,-16.091,-13.498,-73.436,-5.129,-5.454,-12.764,20.151,-0.554,15.141
10.58771,35.874,-22.361,-166.288,55.088,-6.968,-65.705,-18.382,-39.874,13.83,-13.154,-12.844,0.025
10.8156,28.436,-64.081,-124.82,-19.312,27.47,-55.579,19.482,-46.675,-13.462,8.334,-0.485,6.761
10.92181,38.363,-36.927,-82.089,91.203,8.204,-10.983,18.73,-8.35,-11.744,29.037,29.049,14.911
11.15111,33.942,-116.989,-24.917,-32.212,-14.087,-38.719,-15.316,-10.153,-7.057,15.434,-11.553,-12.767
11.26181,36.489,-19.653,-139.057,37.636,-11.181,-62.562,-4.349,-50.121,-3.559,-14.991,-22.15,-0.633
11.48984,29.46,-29.788,-111.478,-18.656,-10.377,-57.355,6.233,-32.231,-26.587,8.145,-1.438,-9.721
11.60522,33.958,-59.459,-133.586,-3.15,-11.913,-95.864,-7.559,0.805,-12.824,3.645,0.47,-15.492
11.70971,38.229,2.24,-72.995,103.044,5.371,-75.131,33.4,-33.077,-16.449,-0.194,-40.962,42.095
11.93673,31.161,-69.162,-102.093,-22.031,17.639,-26.195,1.204,-32.65,-11.878,-28.447,21.107,-13.54
12.03506,31.342,-115.806,-36.368,-27.245,-10.947,-46.595,-6.942,16.02,-4.117,2.116,6.128,5.253
12.16993,36.024,-39.538,-146.805,33.027,0.367,-88.102,-9.878,-47.35,-8.162,3.236,-22.65,1.028
12.39542,29.367,-55.683,-127.861,-31.063,13.579,-65.553,2.386,-52.993,-21.44,20.406,-7.211,6.076
12.50027,39.678,-38.638,-64.125,63.099,12.093,-37.354,16.27,-22.932,-14.924,29.09,15.586,20.525
12.7141,33.795,-116.7,-57.392,7.751,-23.597,-81.838,6.05,-29.164,-14.915,21.123,-1.695,7.371
12.8044,40.696,-48.508,-58.301,-52.755,13.454,66.779,49.818,-12.871,12.326,-18.516,-17.123,4.013
13.06132,43.474,-29.274,-26.022,13.101,22.858,68.498,32.063,-15.002,5.368,25.071,-32.483,10.636
13.29138,48.545,5.508,34.258,47.701,33.971,0.001,34.641,-17.116,0.995,27.072,-22.318,19.337
13.53116,44.761,-66.704,45.189,66.09,29.243,-21.848,32.449,2.893,-7.418,9.175,-43.923,23.249
13.74698,46.188,-42.497,-12.938,26.272,5.977,-38.487,23.06,4.729,2.041,15.235,-9.13,3.484
13.97855,42.394,-53.454,64.08,27.34,-23.565,-66.065,58.616,19.335,-37.187,0.483,6.317,38.891
14.08934,42.37,-57.558,9.775,44.161,3.5,-87.745,53.457,-12.441,-23.223,32.919,-27.722,33.425
14.30667,40.227,-96.102,10.475,-10.206,28.803,-41.081,51.441,9.667,32.396,20.578,-2.34,6.143
14.41923,38.952,-35.439,-108.26,18.284,-15.319,-89.548,7.387,-32.916,-9.927,-11.865,-22.683,-4.79
14.62703,33.201,-40.658,-67.061,-22.029,-27.96,-51.637,22.73,-22.474,-30.941,3.558,2.323,-16.76
14.74222,34.082,-71.531,-77.407,-18.44,-14.492,-65.136,10.459,-19.381,-25.858,-1.412,-21.577,-18.118
14.84127,40.038,9.691,-49.303,74.98,11.936,-77.309,40.256,-51.37,-18.535,-1.35,-19.435,17.16
15.06948,39.764,-12.46,-49.241,73.938,4.215,-64.405,24.395,-24.25,-23.706,10.764,-2.324,25.158
15.20236,34.888,-88.107,-24.304,0.247,-9.284,-66.418,-4.91,-10.651,-15.752,15.599,-11.738,14.484
15.30898,37.946,-15.433,-139.004,10.414,5.147,-55.375,-4.819,-54.398,-0.125,-0.696,-5.144,-4.339
15.51474,32.018,-55.806,-108.627,-19.352,15.397,-58.287,7.11,-37.399,-17.701,4.777,3.419,3.545
15.62798,35.74,-82.653,-105.692,-22.643,-1.994,-75.192,-11.634,-10.038,2.574,21.883,-18.845,-9.211
15.86825,39.05,-64.95,-22.211,10.713,-10.019,-93.295,-10.645,-20.974,-16.872,29.425,-25.552,4.12
15.97392,36.497,-55.807,-115.472,17.389,-18.535,-80.582,-6.599,-25.591,-8.229,-3.611,-32.14,-0.625
16.19066,37.492,-5.791,-138.248,13.036,8.894,-30.112,-4.394,7.77,2.293,6.927,24.425,-15.219
16.41823,38.695,-11.142,-70.411,100.941,16.543,-44.814,30.484,-21.966,-23.328,19.169,-0.477,28.139
16.64939,31.622,-58.028,-108.454,-5.051,12.715,-62.171,-16.908,-39.515,-29.163,20.98,-20.206,-3.844
16.76032,32.98,-93.891,-39.0,-6.024,-13.772,-70.993,-5.781,-7.139,-18.109,17.215,2.16,11.659
16.87025,36.98,-31.611,-147.204,34.716,1.27,-57.347,-2.598,-43.783,-2.01,5.99,-4.375,4.515
17.09769,31.311,-66.651,-115.472,-36.02,9.114,-78.806,1.647,-25.816,-44.429,24.66,-11.973,-1.825
17.19215,39.566,-13.162,-53.739,81.194,4.197,-89.764,3.721,-10.204,-19.225,33.701,-26.16,30.199
17.42027,36.091,-79.269,-10.868,4.691,-11.365,-80.217,-7.52,-21.266,-17.716,28.967,-13.332,-0.275
17.53537,37.404,-4.449,-147.19,22.505,-2.688,-80.87,-5.263,-28.289,-17.105,-13.193,-21.571,-10.307
17.85778,32.577,-75.866,-95.831,-36.494,-9.35,-39.663,12.957,-23.071,-30.569,51.414,-26.922,-8.167
17.97057,38.537,-16.264,-76.839,90.645,2.271,-70.01,31.474,-34.38,-25.094,10.504,-21.75,32.563
18.18875,31.852,-45.95,-116.288,-27.538,20.978,-9.223,5.106,-30.156,5.619,-39.533,16.169,-10.381
18.3215,31.73,-104.615,-41.277,-0.282,-8.539,-56.714,3.458,-10.462,-11.201,5.534,9.01,11.473
18.41655,38.011,9.443,-148.804,22.461,16.038,-45.545,-2.523,-22.091,3.525,-8.966,11.72,-1.876
18.75075,38.889,-26.397,-64.897,60.118,9.016,-76.837,-10.562,24.152,-14.998,42.02,-24.235,21.39
18.97347,32.757,-49.975,-41.901,65.661,-13.309,-94.116,13.109,-21.507,-27.98,10.05,-17.611,29.11
19.07433,38.249,-83.689,-82.679,8.474,-4.765,-57.156,-13.069,-0.707,1.297,36.053,-17.564,-11.755
19.33147,42.173,-43.448,10.008,30.59,-0.993,-18.568,-5.291,-0.883,-7.01,20.042,-11.913,-16.62
19.5507,40.988,-55.29,13.084,34.178,9.704,-33.214,-29.765,-7.012,-5.793,10.979,-21.868,-25.0
19.78866,43.617,-32.308,38.425,61.492,19.063,-36.376,-19.052,-3.168,-5.99,4.493,-26.606,6.941
20.02712,40.171,-30.918,27.263,34.094,22.36,-35.667,-31.937,9.978,-0.192,8.903,-2.092,1.478
20.27156,38.224,-64.58,25.779,94.044,60.207,-41.277,-28.706,-24.675,12.005,13.507,-29.494,-14.828
20.69401,34.832,-61.031,-137.873,94.051,-12.123,-70.624,-27.735,2.163,-16.633,11.237,-51.632,-15.201
22.08259,39.006,26.055,-68.679,9.397,-0.968,-54.186,-26.04,-6.171,9.599,-20.751,2.851,-5.956
22.18272,40.914,36.418,-103.524,-59.55,10.498,-71.698,-25.296,6.791,-4.172,-8.923,-3.53,10.441
22.24286,40.843,15.562,-46.868,26.151,24.433,-43.781,-11.074,22.449,-15.511,-0.375,-19.108,-3.613
22.61333,38.817,11.762,-85.364,-28.034,7.69,25.178,10.239,11.635,-2.336,13.934,-6.53,-12.66
22.99732,40.095,-16.648,-72.557,-11.716,8.6,17.251,-1.826,5.317,-13.443,-7.898,-6.819,-13.614
23.56295,39.683,-58.261,-61.634,-17.033,-7.903,-45.574,23.117,20.868,-18.585,13.956,-2.314,-4.439
23.88408,40.333,-25.202,-73.291,4.445,14.01,7.316,10.78,0.2,3.105,-20.498,1.741,0.62
24.13587,37.809,-52.421,-9.904,-30.708,-1.24,-54.403,17.485,-3.09,-13.399,21.432,-4.163,0.58
24.23333,38.169,-43.548,-77.588,-17.321,-2.803,-86.65,1.426,12.697,-2.93,2.593,-22.425,-7.331
24.5576,34.926,-86.254,-82.415,-29.76,-3.01,-42.478,20.729,1.488,1.569,10.087,-1.15,-2.643
24.66966,39.544,-15.684,-88.473,20.515,-5.841,-31.572,-8.893,-24.54,6.945,-16.19,1.728,-4.147
24.88948,36.075,-56.542,-49.815,-36.243,9.93,-25.365,30.956,-23.914,-7.474,-11.575,3.223,-9.846
25.12893,37.923,-54.119,-93.909,-23.765,-20.864,-75.589,3.091,-2.373,-19.282,14.522,-3.364,-9.059
25.35533,36.164,-50.688,-62.627,-33.322,11.755,-54.347,14.945,-22.228,-26.034,16.217,-5.846,2.277
25.46816,40.335,-15.392,-65.767,31.074,-1.425,-42.443,-7.285,-24.215,-16.93,-19.803,-7.919,-2.883
25.69107,36.728,-81.843,13.325,-12.928,-25.406,-35.886,21.407,2.301,-23.589,14.161,10.036,-11.029
25.77619,37.266,-39.225,-77.256,2.437,-6.409,-36.393,23.49,11.259,-12.509,-14.443,14.187,-13.76
26.14259,35.19,-89.292,-60.432,-45.148,0.873,-55.295,13.653,1.783,-16.884,8.328,2.897,0.629
26.23918,40.156,-24.255,-68.327,14.502,-6.321,-36.609,8.402,-39.67,-7.214,-13.032,-0.194,-1.875
26.47737,37.282,-69.239,-22.306,-27.785,-2.202,-58.715,17.784,-4.353,-30.623,4.432,1.368,-17.77
26.6883,37.116,-10.476,-104.864,-14.242,-4.191,-48.425,7.167,1.957,-8.118,0.381,4.073,-2.527
26.80834,35.742,-41.714,-45.398,-37.418,-16.295,-45.18,23.95,4.205,-28.39,1.648,0.271,-6.96
26.9166,36.157,-65.134,-15.45,-41.725,16.391,-33.299,30.241,-1.635,-43.471,8.928,-10.076,9.118
27.02299,38.395,-89.209,-60.898,-18.104,-26.255,-51.077,17.149,-9.198,-12.682,0.542,4.54,-0.577
27.1376,37.235,-32.352,-62.567,-18.388,6.879,-62.189,22.106,-26.693,-27.089,8.692,-11.678,-7.763
27.24576,40.974,-25.771,-65.172,27.397,-3.722,-23.927,6.376,-7.403,-5.303,-21.009,-12.453,-6.008
27.56821,36.698,-35.639,-101.859,-22.021,1.899,-51.11,13.204,-10.155,-11.671,14.327,13.553,-5.495
27.79619,40.807,-8.113,-78.984,16.087,-7.287,-49.307,3.897,-22.152,-14.97,-11.247,-8.797,-1.484
28.0039,40.867,24.216,-83.149,-32.93,16.978,-31.21,18.075,-7.424,-5.155,1.787,7.059,-6.115
28.23615,39.53,-5.41,-75.135,-13.924,-5.621,-53.118,7.867,1.845,-20.745,12.123,9.704,-6.693
28.44531,40.476,3.073,-62.524,-14.928,15.15,-17.844,7.089,-29.991,-18.252,-5.121,6.03,10.467
28.56549,42.291,-12.397,-66.561,45.08,-13.905,-41.28,0.757,-28.736,-8.655,-20.746,-19.48,-0.561
28.88549,46.315,13.647,-54.902,-45.615,30.337,-29.686,32.837,4.361,-8.815,2.571,-26.795,11.864
29.11914,46.956,-31.375,9.753,2.164,31.356,15.189,59.986,-2.937,-8.405,17.924,-23.624,22.315
29.35542,48.64,-18.919,6.346,34.121,26.631,8.921,31.572,-7.845,-1.464,7.453,-25.444,18.6
29.6058,48.476,-11.423,38.561,56.335,19.06,-44.967,23.713,-4.509,13.646,9.137,-19.418,16.864
29.81424,47.295,-44.545,6.975,30.424,14.428,-0.763,49.817,5.409,-0.988,10.742,-10.518,12.81
30.04671,43.997,-10.748,77.449,28.699,-18.008,-52.254,69.393,14.017,-31.26,-7.814,8.392,42.173
30.13937,46.47,-22.619,4.177,45.793,15.799,-51.583,21.199,-5.512,9.569,-7.753,-25.313,14.517
30.37896,41.361,-43.117,10.014,26.733,17.492,-71.22,23.706,-11.002,30.821,13.881,-8.495,-4.19
30.48073,38.77,-51.834,-76.081,10.105,-13.949,-75.908,25.203,-3.919,2.625,-11.66,-1.657,0.16
30.67819,39.127,-5.305,-112.958,-22.256,13.002,-1.474,23.077,13.314,13.518,-16.934,37.12,-6.183
30.92862,44.075,-26.948,-49.898,58.217,-0.07,-65.736,-7.888,-25.544,-10.638,-10.878,-30.91,7.453
31.14571,37.686,-66.351,-46.079,-14.895,-4.93,-53.613,14.416,-28.118,-27.66,6.958,-16.106,3.154
31.37002,38.245,-24.869,-116.857,21.15,-9.267,-85.942,2.939,-37.049,-11.067,-1.638,-21.356,4.059
31.59125,35.019,-95.559,-49.812,-35.749,1.284,-68.112,16.99,-19.852,-40.773,30.153,8.03,5.919
31.6839,42.637,-26.594,-54.226,61.758,18.33,-66.821,-20.795,-14.771,9.213,-2.222,-35.874,0.399
31.919,35.493,-80.598,-34.549,-17.854,-14.136,-43.498,19.011,-37.182,-20.967,23.568,3.817,2.797
32.00322,37.547,-30.292,-136.585,28.561,1.645,-28.077,2.563,-19.169,9.85,-32.755,5.854,-6.355
32.23755,31.278,-53.36,-118.32,-5.846,-1.646,-54.962,3.008,-42.69,-6.568,7.454,1.148,6.197
32.3449,33.426,-114.38,-119.638,3.797,-18.358,-69.542,4.644,-33.662,-3.091,22.862,-0.056,4.036
32.44571,41.643,-38.879,-87.902,66.811,8.431,3.734,8.716,-17.151,-4.109,-23.082,13.155,8.369
32.69052,35.508,-56.962,-60.344,-6.818,-2.021,-56.403,3.088,-13.51,-29.709,24.726,-20.228,0.334
32.90662,38.266,-17.389,-135.144,3.679,-3.421,-93.447,-7.643,-45.216,-0.011,-3.935,-22.925,-1.705
33.12748,33.55,-70.727,-47.124,-42.777,-8.074,-85.903,29.446,-9.835,-34.72,29.924,0.836,8.237
33.2161,42.465,-14.825,-56.95,61.216,13.669,-56.523,-34.454,-1.257,-7.479,-17.08,-29.267,0.916
33.43592,35.562,-63.718,-21.775,-1.886,6.262,-25.644,23.796,-14.49,-12.496,-23.85,5.944,1.066
33.54798,40.473,-2.465,-101.465,-27.216,3.223,-83.044,-26.68,14.507,2.116,9.754,-12.848,-10.015
33.81891,42.491,-17.202,14.115,0.975,14.168,-12.144,-36.558,1.013,-3.423,11.731,-2.337,-23.511
34.01642,41.506,-19.247,10.707,-34.475,31.821,4.167,-41.77,-22.76,-11.001,15.945,-30.062,-25.283
34.27791,44.538,-11.888,42.847,23.375,21.898,-16.543,-41.903,-12.024,3.592,2.014,-2.421,-17.063
34.47002,44.437,62.316,-11.721,-51.69,54.776,-43.466,-20.224,-37.518,-18.496,18.168,-22.119,-13.183
34.68512,46.993,6.68,29.171,45.167,48.392,-42.01,-36.312,-10.26,9.645,15.045,-22.975,-19.989
35.17392,43.811,-6.875,-46.587,-17.866,-27.252,-41.917,-13.619,15.681,-7.886,0.315,-22.017,-8.549
35.63628,43.829,-11.472,-29.532,1.985,-14.227,11.809,8.037,-6.403,-34.96,-12.027,2.411,-14.876
35.88249,40.138,4.956,-23.887,-2.312,9.154,-45.577,7.292,-13.938,-36.496,-10.481,-4.147,-13.664
36.09642,42.073,-36.794,-34.84,-12.712,-25.74,-14.252,26.788,23.246,-13.314,6.136,12.235,-12.99
36.44358,43.903,-27.307,-26.438,37.044,27.757,-71.178,8.223,5.597,4.337,0.058,-21.986,7.304
36.6795,38.695,-56.789,-13.419,-0.972,-16.891,-57.049,11.51,-5.654,-14.151,5.53,-5.026,-1.421
36.77764,39.531,-45.393,-60.193,-14.29,-4.746,-57.19,23.672,9.835,-14.097,11.196,-1.893,-10.428
37.001,36.94,-29.99,-59.493,-25.298,12.161,-60.298,22.318,-23.201,-23.393,27.476,-11.817,3.922
37.222,42.824,-38.83,-18.743,30.095,17.368,-86.129,22.169,-12.449,-3.831,11.492,-13.714,2.52
37.44109,40.185,-31.157,-39.118,-7.435,7.533,-49.054,23.737,-23.383,-22.567,7.66,-10.923,-12.192
37.66821,37.264,-22.038,-104.006,-33.944,-10.129,-76.241,-2.699,4.803,-10.075,16.433,-8.385,-2.271
37.77429,36.553,-43.965,-68.807,-50.902,-23.436,-40.027,20.057,-10.56,-23.862,8.301,-2.286,-3.267
37.88875,38.232,-34.4,-62.715,-38.06,3.431,-50.421,22.489,7.281,-24.92,17.096,-3.198,5.818
38.21882,39.995,-13.893,-24.186,0.809,-3.47,-28.909,21.847,-18.044,-11.029,-4.588,7.025,-7.898
38.32916,39.973,-45.115,-58.085,-18.496,4.494,-59.051,25.623,0.898,-21.135,4.978,-16.444,6.566
38.66313,37.261,-79.43,-58.233,-54.312,4.212,-36.905,21.618,0.878,-5.366,1.226,-6.125,0.706
38.77424,41.052,-29.662,-48.246,-11.09,8.048,-2.691,11.809,4.588,6.528,-27.967,23.868,-7.286
39.02336,38.73,-61.374,-44.556,-10.689,8.464,-40.116,3.498,16.316,-15.435,10.246,-9.444,-22.323
39.2171,37.515,-37.937,-92.903,-38.123,10.38,-16.984,20.588,8.255,-0.05,-15.798,18.138,0.165
39.46844,35.666,18.787,-76.176,-31.679,28.073,-72.699,-9.253,-4.076,-7.466,12.707,-16.113,4.527
39.57138,37.75,59.24,-67.824,6.752,44.861,-44.253,-24.569,8.809,-10.387,15.38,-10.135,5.672
39.93043,35.832,1.474,-78.523,-8.278,-2.677,-74.149,-10.314,11.307,-12.341,6.747,-19.295,-14.424
40.2449,36.249,15.402,-82.578,-46.066,43.617,-25.247,-17.15,5.601,-15.316,-5.262,15.293,-17.498
40.48172,34.795,-1.282,-63.831,-39.927,10.47,-42.465,-18.784,7.415,-7.049,-0.766,-7.745,-15.147
40.59433,36.406,16.694,-37.246,-35.907,45.501,-47.924,28.875,27.889,-18.747,1.421,9.039,36.152
40.91964,36.629,0.416,-67.409,-26.106,61.659,-60.38,-6.386,29.026,6.555,7.879,-9.321,4.456
41.16304,36.205,47.304,-66.38,-52.006,56.111,-22.609,-4.823,-9.588,11.724,40.583,-40.559,11.955
41.39451,35.957,66.92,-14.643,-11.842,20.647,-36.524,27.885,10.515,-48.94,-8.014,1.362,26.015
41.51125,36.911,60.126,-29.145,56.235,0.531,-9.532,25.483,18.756,-56.985,25.105,-37.135,7.978
