start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
0.81383,9.429,-31.199,-116.926,-77.148,61.701,-57.053,-18.17,3.338,-1.253,6.577,-0.661,0.944
1.27497,14.833,-125.456,-79.436,-74.799,120.247,-26.773,-13.535,-0.618,-18.992,31.604,5.381,6.425
1.58444,15.376,-136.051,-98.728,-62.997,106.559,-55.95,-22.686,10.473,-11.965,0.565,-1.186,8.51
1.88113,17.133,-145.163,-67.155,-47.166,97.486,-50.193,-19.12,9.847,-30.774,-7.908,-0.976,-2.714
2.15256,16.551,-144.176,-88.527,-52.635,92.623,-63.013,-15.47,13.253,-23.68,-11.413,0.932,3.458
2.44921,17.36,-166.055,-99.456,-70.312,100.47,-60.121,-11.521,8.181,-15.257,-4.596,3.933,5.703
2.98286,17.605,-168.532,-89.221,-64.883,108.231,-59.943,-12.622,7.468,-15.958,-5.423,5.37,2.532
3.28172,18.729,-169.883,-72.982,-53.103,89.592,-64.422,-13.083,5.796,-30.475,-12.843,4.944,-3.091
3.54177,23.923,-178.461,-29.482,11.273,49.418,-30.133,-19.816,20.903,-36.569,-10.572,-5.51,-0.416
4.12667,19.932,-188.277,-75.356,-47.471,90.257,-63.871,-9.304,12.508,-25.175,-13.064,-0.628,-7.949
4.40576,27.879,-158.038,-7.165,49.992,36.005,-29.648,-30.595,22.377,-25.269,-15.904,-25.147,22.523
5.19138,20.957,-165.334,-29.34,-78.531,56.873,-32.517,8.241,-4.91,-49.682,-7.554,-1.714,7.11
5.50789,22.202,-176.944,-28.128,-37.547,58.444,-43.238,-20.675,4.083,-49.93,-11.723,7.169,-5.558
5.66748,27.226,-153.58,1.689,-8.186,38.271,-34.355,-39.349,-22.422,-21.093,-3.044,-11.827,2.212
6.1302,28.343,-160.242,5.198,41.283,55.591,7.359,-33.083,10.644,-16.837,-13.451,0.634,-9.95
6.7615,22.828,-180.44,-22.401,-40.563,50.264,-51.363,-2.26,5.075,-44.937,-16.931,6.079,-1.228
6.99578,26.539,-175.211,-17.317,43.929,40.149,-33.133,-22.984,19.547,-24.175,-10.995,-11.617,-2.551
7.97569,22.481,-126.78,-4.48,-13.091,48.618,-21.735,-44.005,11.973,-15.375,-14.068,7.244,-14.42
8.38308,20.709,-177.931,-60.93,-33.917,69.168,-54.801,-4.905,19.343,-31.624,-7.822,0.47,-4.158
8.94032,22.632,-151.604,-36.322,-1.32,40.225,-8.675,-22.005,13.254,-25.863,-6.351,-7.621,-15.881
9.97338,20.585,-169.127,-56.277,-44.093,69.182,-3.067,-9.025,19.578,-37.355,-1.42,-23.939,-5.619
10.72993,19.095,-186.913,-71.428,-69.852,112.519,-50.963,-4.196,-0.122,-23.472,1.25,1.516,-3.316
11.01293,21.456,-165.627,-38.178,-29.61,51.153,-42.982,-22.147,8.488,-44.748,-18.517,-0.948,-12.361
11.38272,27.859,-126.733,15.241,2.492,5.217,-21.26,-36.969,-12.955,-20.559,-14.624,-7.618,-16.009
11.90603,26.565,-148.121,3.756,11.55,8.209,-22.791,-14.089,7.318,-38.357,-12.447,-1.907,1.912
12.48685,23.586,-178.352,-26.778,-35.216,38.8,-36.432,-6.998,9.167,-38.405,-6.953,2.908,-5.657
12.73556,24.447,-199.978,-25.338,-35.305,63.718,-23.393,-7.13,7.154,-27.798,0.85,5.728,-2.067
13.1195,34.544,-114.764,16.511,12.406,0.728,-9.929,-43.454,-13.239,-29.115,-9.498,-8.243,-13.606
13.5888,30.132,-120.142,4.334,10.332,26.333,-36.36,-32.201,-26.317,-14.418,-5.693,-11.993,2.393
14.11166,28.073,-190.432,13.049,-19.775,48.81,-42.384,-23.069,7.096,-9.341,-9.556,2.418,7.493
14.34889,29.164,-192.741,7.537,-33.877,35.056,-13.396,-5.501,7.149,-11.165,-1.647,-0.495,5.59
14.73941,34.947,-101.148,-7.834,44.252,-6.015,-18.336,-20.056,-19.416,-24.662,-6.632,-23.275,-13.476
15.33193,35.315,-97.334,1.326,49.621,63.6,10.424,2.6,-16.467,18.705,-2.131,-3.833,-14.594
15.73583,29.187,-171.652,14.615,-6.183,31.047,-29.593,-7.826,5.271,-18.268,-4.13,-1.399,7.154
16.02794,30.156,-187.134,3.375,-17.25,24.001,-32.767,-1.555,4.049,-7.093,-6.652,4.545,7.604
16.30689,33.589,-181.457,8.223,0.746,49.341,-37.757,-8.187,-13.357,7.617,13.818,-9.566,-17.582
16.59066,30.456,-181.388,-2.226,-9.897,11.348,-32.136,-22.66,16.845,-3.793,-18.163,-6.541,-18.238
16.91669,26.126,-163.445,-33.379,12.876,10.664,-50.136,-16.898,7.953,-11.626,-6.7,-24.118,-23.631
17.53805,22.241,-169.583,-49.336,-53.338,32.943,-34.483,-14.784,1.363,-31.051,-6.393,5.667,-23.897
17.659,26.835,-136.96,-15.706,38.548,24.731,-16.69,-20.414,8.812,-4.744,-8.388,5.806,-8.241
18.12449,23.643,-161.094,-4.626,-32.48,57.652,6.23,-18.793,11.312,-25.697,-3.81,-35.461,-16.41
18.73773,21.117,-157.152,-13.225,-14.624,79.327,-41.274,-41.464,17.189,-32.564,-10.363,-3.591,-14.759
19.63306,20.546,-156.017,-41.413,11.709,71.338,-17.52,-16.953,43.33,-46.826,1.231,-8.31,6.768
20.57433,18.255,-159.938,-75.422,-47.103,83.9,-53.624,-5.271,14.866,-32.597,-8.799,-1.912,1.405
20.82281,18.637,-153.666,-60.515,-55.794,68.628,-53.961,5.957,5.581,-42.018,-12.015,4.332,-0.461
20.98603,24.687,-158.384,-2.35,-18.761,44.259,-33.759,-34.256,-13.454,-26.558,-5.664,-5.315,-5.841
21.42735,27.442,-178.574,2.626,26.177,49.513,-32.514,-29.909,6.686,-14.745,-10.961,-10.999,-12.076
21.99392,23.528,-211.346,-48.779,-38.034,68.178,-39.443,-13.476,10.442,-36.429,-8.229,4.558,-13.085
22.26354,27.832,-189.508,-17.313,33.719,34.69,-39.665,-23.081,16.459,-23.476,-12.372,-16.059,1.911
23.14385,25.725,-133.222,-9.676,11.925,21.923,-34.462,-33.009,3.053,-18.933,-10.368,-7.833,2.074
23.73048,24.533,-180.727,-29.061,-30.222,32.53,-24.553,-8.173,3.253,-34.714,-0.841,4.896,-7.857
24.00349,27.567,-152.856,-12.858,20.265,15.358,-24.028,-32.673,-9.171,-19.69,-14.316,-19.63,-12.698
24.90413,25.945,-184.448,-11.9,-58.483,40.108,17.607,-0.924,12.89,-27.615,-15.106,-23.515,-2.605
25.55265,24.987,-188.842,-25.264,-32.188,32.445,-50.588,-8.928,10.239,-25.658,-8.571,-1.457,-16.847
25.78082,26.666,-175.553,-3.662,-35.615,19.024,-2.668,-1.682,0.246,-33.519,-14.778,1.383,-2.023
26.16372,30.823,-175.217,6.826,17.982,15.171,-27.991,-28.476,4.036,-28.363,-15.426,-5.444,7.362
26.70816,33.772,-106.345,19.851,40.323,8.544,-17.478,-39.461,-12.082,-26.745,-10.96,-17.453,-12.549
27.31837,28.146,-212.617,-15.137,-32.058,27.111,-45.56,-9.045,6.748,-22.523,-5.224,5.05,-7.071
27.58059,29.867,-159.784,0.114,-31.46,-0.618,-28.087,-36.175,-2.763,-19.502,-10.543,13.935,-18.975
27.84707,30.389,-186.009,2.48,-5.077,5.557,-35.839,-24.765,3.475,-27.585,-17.669,-1.036,3.796
28.10807,30.781,-153.679,3.484,26.84,8.345,-32.146,-24.584,8.075,-13.104,-6.3,-18.019,-15.841
28.84422,32.05,-164.252,22.247,13.75,17.732,-35.124,-23.896,1.032,-28.078,-8.778,-6.108,7.175
29.20005,36.164,-123.096,45.971,-2.742,31.729,-32.079,-35.841,4.259,-21.476,-10.32,5.627,25.656
29.45324,34.494,-146.003,11.367,-4.945,17.105,-34.749,-35.392,-15.096,-13.803,0.417,11.554,2.298
29.58798,36.931,-91.551,2.299,44.629,6.538,-40.757,-45.737,-15.51,-0.564,-3.575,-29.157,-11.989
30.09329,35.234,-109.56,50.43,69.763,52.734,-46.118,19.08,1.789,25.252,13.008,-34.02,-15.068
30.43701,28.821,-138.018,29.962,9.627,19.102,-16.231,-10.236,-4.331,-11.108,-12.332,-6.133,-12.925
30.97084,27.442,-170.077,20.822,-27.573,62.546,-4.623,-26.181,-2.69,3.73,-2.346,-4.082,-10.85
31.27224,29.812,-166.88,14.895,25.236,76.072,-41.05,-22.138,-6.181,8.178,-2.445,-10.246,-4.649
31.57946,27.918,-195.9,37.863,-2.552,70.462,-41.653,-14.678,13.178,-1.959,1.304,1.274,-23.841
31.93288,25.308,-127.941,5.279,44.237,45.109,-52.131,-41.727,8.753,-9.757,-7.708,-20.463,-4.833
32.39832,25.132,-164.743,17.042,-4.334,51.545,-20.456,-23.375,14.91,-39.21,-6.076,4.117,8.003
32.84023,25.066,-156.209,-5.575,7.139,50.194,-25.154,-30.434,-10.252,-18.671,-3.22,-4.501,-10.826
33.2971,27.192,-160.769,32.128,39.855,74.595,-24.54,-38.609,-3.216,-17.49,-6.79,-10.157,-9.89
33.89995,23.746,-180.366,-22.481,45.272,81.568,-48.022,-29.177,35.513,-17.745,-10.459,-16.427,-13.954
34.86467,19.881,-126.581,-19.616,-29.334,55.783,-6.247,-27.575,5.963,-36.978,-4.452,2.183,-23.727
35.77025,24.695,-125.744,-9.887,35.36,21.667,-19.437,-42.034,8.709,-28.188,-13.518,-21.522,-11.881
36.65243,22.26,-138.233,-44.348,17.703,30.479,-8.731,-26.074,21.329,-32.815,-7.283,3.208,-16.026
37.94599,24.912,-118.858,-9.33,60.718,40.307,-17.519,-12.824,19.973,-4.312,2.65,-5.235,-4.136
38.40998,18.456,-155.028,-50.395,-56.318,96.522,-56.852,-21.806,0.929,-17.51,-8.252,2.182,-8.691
38.98576,19.783,-155.013,-47.661,-44.068,64.229,-46.7,-34.907,7.604,-35.269,-13.606,2.098,-23.336
39.25342,20.086,-144.627,-21.706,-57.829,63.722,-30.794,-11.383,6.281,-25.439,-7.755,-2.996,-29.401
39.56689,22.329,-190.958,-29.403,-29.226,82.44,-43.445,-17.372,9.259,-33.297,-5.359,-0.366,-10.36
39.82177,23.459,-170.117,-8.438,9.939,87.734,5.932,-30.894,23.615,-21.553,-8.178,0.716,-11.742
40.44984,19.739,-171.034,-54.183,-46.646,84.817,-53.18,-26.562,5.61,-33.836,-12.282,-0.899,-7.687
40.74023,22.823,-153.594,-18.175,-16.4,40.612,-29.61,-45.226,8.811,-33.371,-13.775,-4.341,-20.801
41.30181,20.853,-171.906,-33.383,-52.566,72.027,-35.16,-0.499,1.043,-42.964,-4.678,-7.264,-9.873
41.63442,22.419,-146.871,-16.754,-5.001,50.45,-9.322,-32.265,15.832,-29.336,-13.389,1.029,-19.011
42.2722,21.459,-185.288,-24.524,-32.559,91.975,-44.986,-18.51,8.967,-43.971,-8.686,-0.175,-4.947
42.57905,21.15,-140.699,-32.098,-10.192,40.814,-40.345,-37.629,4.622,-38.419,-15.254,-12.217,-13.502
43.17333,19.988,-157.878,-39.42,-32.303,71.187,-48.989,-22.001,13.075,-34.182,-16.87,-8.435,-11.688
44.13374,17.97,-153.759,-75.735,-50.465,78.213,-57.917,8.954,13.918,-29.233,-9.818,1.687,3.611
44.51415,20.812,-166.354,-48.003,-28.558,56.493,-43.842,5.812,7.974,-45.002,-5.205,-0.306,0.196
45.20735,19.641,-188.73,-75.924,-47.826,100.727,-57.561,-9.797,12.889,-24.562,-6.146,3.082,-6.114
45.66744,23.674,-171.227,-26.417,31.304,61.394,-36.391,-26.968,31.242,-31.046,-14.858,-15.479,9.0
46.66104,17.616,-158.574,-87.304,-52.536,90.883,-55.53,-11.191,13.275,-24.051,-9.039,2.62,0.473
46.9854,19.0,-162.49,-76.91,-58.268,59.705,-61.878,6.995,6.963,-41.308,-15.081,5.142,8.807
47.13646,23.806,-175.486,-21.332,-26.735,53.391,-38.676,-30.824,-5.817,-25.016,-5.882,-8.527,-9.143
47.66426,25.857,-175.575,-0.806,30.912,63.831,-28.216,-29.361,12.604,-18.882,-10.079,-4.722,-13.014
48.28503,21.372,-185.985,-55.684,-34.612,71.258,-52.951,-18.779,9.511,-35.214,-15.016,1.947,-9.546
48.55451,26.661,-175.845,-4.599,28.1,41.541,-20.449,-27.322,14.858,-29.778,-13.776,-7.177,-1.307
49.16227,21.387,-196.586,-63.757,-42.613,80.844,-48.856,2.711,18.492,-23.822,0.704,-4.232,-12.685
49.63274,22.163,-137.59,-15.858,-16.552,43.287,-40.789,-36.495,12.637,-17.956,-22.369,-7.889,-13.601
50.06735,19.588,-176.461,-64.563,-45.66,88.814,-58.183,-17.885,11.029,-29.375,-10.209,-2.814,-11.364
50.35887,18.831,-179.777,-94.78,-55.523,87.558,-64.397,-9.74,16.935,-23.612,-11.211,1.792,-1.351
50.61909,22.154,-146.341,-42.846,11.531,35.993,-34.196,-30.973,18.548,-22.259,-14.347,-22.278,-17.511
51.75551,21.596,-166.239,-41.119,4.642,62.514,-33.754,-18.777,24.968,-38.217,-11.682,-3.711,-2.419
52.45039,18.777,-182.719,-97.027,-68.969,91.596,-55.412,5.703,8.329,-19.082,0.609,0.351,-1.056
52.7059,22.944,-167.744,-31.42,-32.685,35.932,-17.242,-8.049,9.991,-43.209,-10.418,12.512,-7.507
52.97501,23.049,-212.03,-51.473,-49.46,75.724,-50.497,-16.192,2.641,-32.538,-9.747,2.1,-5.442
53.1044,29.013,-139.936,1.504,-0.342,3.746,-2.502,-33.268,-6.191,-17.924,-14.599,5.417,-16.521
53.62145,28.564,-143.62,10.173,21.026,-3.073,-29.568,-9.987,7.658,-34.42,-14.048,-4.678,8.973
54.23574,23.561,-185.878,-37.085,-18.625,47.201,-49.1,-8.062,14.538,-31.233,-13.701,-4.361,2.374
54.49891,25.299,-194.131,-22.741,-21.763,50.686,-35.132,-16.61,7.514,-19.639,-3.071,2.938,1.897
54.87914,33.36,-106.022,6.458,1.771,5.989,44.082,-6.0,-8.337,-16.093,-16.447,27.207,-24.994
55.37846,31.72,-108.576,2.059,16.966,34.442,-31.577,-47.729,-30.989,-10.729,-9.521,-11.68,2.323
55.90576,28.627,-179.034,16.678,-21.04,43.492,-30.576,-20.876,2.012,-7.872,-1.728,7.226,6.929
56.18122,30.223,-183.991,11.806,-22.242,20.434,-31.58,-0.662,9.208,-9.473,-7.024,3.334,9.957
56.44816,30.228,-190.601,1.488,-25.17,27.584,-48.423,-23.105,2.775,-2.407,-6.648,3.435,9.441
56.57515,34.724,-121.712,0.571,56.38,27.619,-21.674,-53.946,-10.958,-24.326,-9.582,-12.328,-8.992
57.1668,34.883,-98.268,4.504,42.608,65.275,26.554,4.748,-14.668,18.791,-4.78,-0.075,-15.889
57.58,29.212,-172.132,13.995,-6.019,31.046,-30.343,-8.79,5.409,-18.235,-4.745,-0.829,7.95
57.86862,30.206,-186.22,2.753,-16.429,24.293,-32.953,-2.129,2.406,-6.745,-8.508,5.292,7.544
58.14884,33.682,-182.651,9.403,0.828,47.969,-40.32,-8.689,-13.317,7.054,13.512,-8.837,-18.035
58.42766,30.497,-181.982,-1.045,-11.049,11.517,-32.094,-22.196,18.672,-2.816,-17.964,-7.367,-17.864
58.75878,26.152,-163.924,-31.84,12.301,11.893,-49.208,-16.39,6.992,-11.105,-6.328,-26.684,-24.225
59.39197,22.507,-169.418,-45.188,-47.414,29.931,-47.094,-18.682,2.733,-30.627,-10.709,-0.523,-23.439
59.49968,26.938,-137.371,-15.175,39.46,23.223,-22.824,-21.115,8.723,-4.176,-9.648,3.696,-7.48
59.96522,23.771,-160.603,-4.395,-28.518,57.688,8.787,-19.227,12.194,-25.271,-2.782,-36.014,-16.357
60.58018,21.264,-158.132,-11.543,-14.157,78.655,-42.927,-40.698,17.436,-32.134,-12.025,-2.962,-15.128
61.45093,22.208,-158.43,-39.814,33.679,58.444,-20.763,-21.503,46.888,-37.091,-6.16,-9.6,10.451
62.47891,17.33,-165.486,-105.72,-67.946,95.359,-56.38,-12.048,8.976,-19.245,-3.849,1.614,9.993
62.90821,24.346,-146.75,-9.037,-28.074,40.442,-18.486,-35.116,-6.833,-18.69,0.884,-3.858,-1.732
63.35596,28.89,-154.638,21.441,51.337,58.931,-34.987,-44.474,-1.396,-15.981,-8.687,-13.301,-7.772
63.94145,22.928,-178.402,-21.811,-31.109,59.584,-28.029,-21.086,9.732,-38.892,-16.881,-1.685,-8.315
64.23098,28.57,-180.713,-2.619,31.437,28.215,-27.085,-24.095,11.942,-27.329,-13.333,-7.57,5.14
64.83519,22.844,-204.19,-58.163,-43.997,59.898,-50.442,-4.074,14.005,-33.489,-10.653,1.074,-10.05
65.23542,21.916,-141.603,-16.185,-17.893,45.544,-41.756,-37.254,14.073,-25.335,-14.726,-3.092,-20.491
65.61878,19.558,-176.764,-67.407,-49.219,86.575,-49.711,-0.154,15.939,-29.672,-6.233,-4.601,-4.582
66.14898,21.102,-148.407,-32.225,-23.525,51.16,-20.527,-19.375,9.902,-28.981,-1.613,-5.163,-22.24
66.81569,18.022,-168.771,-93.113,-58.968,92.447,-62.847,-6.195,13.696,-18.026,-7.501,-2.42,-2.283
