start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.193,167.107,3.248,-33.797,52.422,-50.776,18.56,1.392,-26.993,2.42,-12.104,-6.483
0.42027,31.732,108.385,121.533,-202.782,0.354,239.479,50.545,-14.0,-49.867,32.623,-28.58,4.663
0.66748,44.085,93.41,86.536,67.18,-37.489,-9.201,-20.336,-8.519,-51.79,-9.756,-25.428,14.908
0.88812,46.508,99.204,79.927,38.318,-41.024,-18.378,-29.92,-9.158,-52.786,-3.038,2.016,6.007
1.21905,46.624,105.638,51.723,88.777,-44.667,12.146,-25.475,-14.315,-44.162,-8.156,-43.466,14.508
1.53878,41.027,92.948,45.119,18.563,-33.527,33.943,-10.042,-1.094,-37.099,6.174,44.48,2.539
1.7532,46.001,43.134,43.273,67.374,-33.161,-28.892,-25.39,-23.476,-52.875,0.542,-9.648,26.507
2.20045,45.189,99.457,80.34,45.602,-28.333,-12.097,-33.632,-18.39,-46.468,-3.257,-12.572,3.58
2.40902,47.11,87.239,78.451,36.503,-51.197,-29.269,-31.691,-0.872,-54.418,-14.108,-12.619,9.158
2.61256,49.761,100.901,73.694,-1.189,-46.029,-29.902,-29.446,-3.971,-46.957,-1.211,17.563,13.178
2.75175,52.122,50.007,80.779,43.153,-7.696,-40.766,-25.333,-16.699,-32.824,5.591,-23.186,-18.91
2.92617,50.654,73.644,24.994,32.589,-30.974,-11.798,-50.624,-9.591,-40.541,3.369,-31.868,4.725
3.27864,45.271,-3.124,14.558,-3.34,-36.919,-23.721,-45.987,-11.199,-36.319,-3.949,-3.055,-7.607
3.4839,46.255,52.811,16.7,61.056,-52.987,-24.51,-29.771,4.189,-38.062,-5.758,-17.518,14.953
3.93088,47.416,97.229,38.226,24.527,-58.019,14.605,2.595,-10.584,-31.3,6.037,11.965,-3.943
4.15057,46.931,77.759,60.653,32.996,-66.248,-34.856,-24.885,-0.628,-53.877,-9.739,-13.85,0.931
4.36562,47.966,81.199,42.249,29.916,-56.611,-30.49,-23.245,-3.365,-41.148,-2.533,-14.007,11.682
4.67596,49.975,110.367,54.785,30.957,-71.994,-25.72,-14.602,-19.204,-45.159,-8.821,-22.097,2.6
4.91673,51.404,154.908,3.067,7.471,-31.822,-23.288,-32.106,-67.663,-21.855,8.392,-31.205,-6.145
5.2244,51.346,46.381,39.987,13.109,-20.743,-2.92,-11.96,-4.467,-31.11,8.435,1.358,-8.528
5.67723,49.216,65.553,7.461,35.016,-75.878,-24.948,-8.003,-6.986,-32.786,13.324,-30.28,-6.403
5.88993,49.184,59.714,16.005,24.565,-82.427,-28.749,-14.815,8.985,-45.876,-13.094,-13.483,-10.278
6.10109,51.086,55.578,12.366,15.28,-77.44,-35.463,-16.118,2.205,-47.572,5.944,-3.309,-2.715
6.33438,47.548,45.883,-65.966,-17.346,-37.71,-60.908,-19.226,21.213,-15.07,-17.232,18.398,-0.097
6.42263,52.338,108.076,33.795,6.21,-85.751,-31.061,-22.174,-8.521,-35.329,-8.644,-4.127,-14.678
6.56576,48.15,29.365,-30.901,64.089,-61.83,-19.021,-7.77,-9.257,-34.679,-6.455,-46.045,4.696
6.759,48.98,42.254,-28.319,9.716,-65.897,43.347,1.928,2.495,-38.835,2.14,30.715,-19.723
6.98349,49.038,24.554,-44.47,11.903,-54.919,-9.87,0.861,-13.3,-31.141,-11.197,8.455,-8.077
7.19102,49.814,32.868,-28.818,-1.937,-53.884,-4.698,8.208,-7.19,-24.887,-6.744,14.396,-2.895
7.39433,52.318,61.502,-12.207,1.338,-54.96,-14.542,0.889,-3.511,-31.659,2.255,-6.21,7.584
7.59923,49.675,31.02,-28.285,-19.186,-44.414,-7.313,6.24,1.35,-14.235,-24.92,-31.783,14.214
7.8093,53.688,27.229,1.023,-4.693,-24.205,-20.236,27.328,-25.045,-23.528,27.159,-19.706,5.953
8.12689,53.412,7.278,10.214,-18.771,7.201,-35.464,14.317,0.701,-1.119,-1.986,-24.277,-17.541
8.48776,54.743,58.573,-6.669,-15.935,15.478,-3.478,9.163,22.592,13.674,-16.017,1.689,-31.794
9.1668,54.265,39.374,-11.776,15.568,10.992,-32.599,2.184,-13.288,-4.235,2.115,2.028,-22.196
9.38036,51.728,19.496,23.367,-9.202,-19.232,-20.144,12.504,-9.147,11.877,13.791,-14.507,-28.201
9.57787,53.255,16.069,3.455,5.097,4.986,-21.861,8.492,-18.716,6.833,-0.926,-1.71,-31.749
10.0195,50.431,43.712,-56.672,29.065,6.275,-26.105,-5.766,0.817,-3.811,-8.488,-13.272,-10.813
10.23252,51.203,18.124,21.027,-28.599,-46.212,-1.969,14.457,-5.384,-22.71,-8.015,4.913,-15.23
10.45469,52.186,37.693,-20.179,-19.121,0.249,-13.259,11.638,-11.104,-29.975,-18.211,-1.722,-10.441
10.66971,50.559,12.026,10.658,-9.168,-49.884,-25.09,6.984,2.513,-29.872,3.667,-2.533,-11.148
10.89188,52.275,47.277,-10.669,8.665,-27.491,4.182,-0.141,-3.154,-30.294,-19.338,1.01,-11.497
11.12308,50.079,23.927,2.081,-29.297,-52.245,-28.924,9.517,6.155,-17.174,0.094,1.648,-7.297
11.3093,52.688,16.989,25.745,-19.432,-17.436,13.656,34.128,16.476,-13.198,-19.259,-18.725,3.745
11.51805,51.969,9.483,38.849,-11.614,-40.497,-30.702,32.203,1.889,-10.77,3.578,-2.412,-0.087
11.77252,50.769,50.01,-50.371,4.581,-6.151,-62.552,-21.96,-5.914,-17.823,-2.805,-14.638,-8.641
11.96971,52.651,-5.617,14.14,-8.928,-22.661,-39.94,5.311,4.912,7.993,10.319,-2.728,-36.363
12.19687,52.113,14.544,-29.23,-3.601,7.624,-30.687,8.371,-18.931,0.036,-3.487,7.73,-28.666
12.61855,52.775,29.855,7.707,5.034,-19.798,8.933,17.993,-5.011,-5.963,-23.615,-0.794,-29.565
12.858,51.184,-6.623,18.772,-9.67,-38.959,-52.453,31.867,21.521,3.2,8.223,4.848,-17.095
12.93946,51.441,14.52,20.829,8.867,-19.629,-38.097,40.909,1.412,-7.369,18.258,-13.696,-17.35
13.04376,52.737,14.327,9.047,9.883,6.008,-3.032,43.273,-0.205,0.305,-14.781,-9.447,4.872
13.29333,49.743,-29.011,-26.609,1.16,3.292,-79.152,36.407,2.817,-4.047,0.945,-0.888,-3.392
13.38576,50.415,30.339,14.441,-44.792,-26.469,-18.257,23.807,19.502,4.547,-19.796,-1.105,-19.767
13.51365,51.036,28.862,-39.87,18.921,0.528,-68.274,1.761,-20.534,-12.123,-4.236,-16.816,-0.568
13.70531,51.676,-6.426,22.87,-28.721,-14.175,2.925,51.393,14.983,5.316,-7.957,-5.611,-3.752
13.94399,53.176,21.973,-6.965,15.153,16.381,-51.236,25.63,-5.251,-2.558,-0.226,2.364,0.269
14.17655,51.596,-4.71,21.474,-1.227,-26.248,-38.334,23.613,-2.334,10.677,-2.323,-15.667,-17.653
14.27868,52.04,11.161,54.385,-15.057,-17.507,-30.643,21.873,-1.363,5.985,-15.277,0.647,-9.067
14.37302,53.531,28.053,8.12,17.926,-3.942,-21.224,11.452,-10.089,-9.363,3.387,-8.109,-13.456
14.58703,51.306,18.176,-6.887,-13.134,-44.966,-35.641,9.589,4.499,-7.2,-4.029,-16.731,-11.286
14.79152,55.037,41.93,4.096,1.199,0.393,19.459,12.723,-13.631,6.602,-11.868,-3.792,-12.16
15.12753,53.149,15.67,5.915,20.238,5.712,-31.357,14.586,-6.979,10.979,4.35,-25.864,-14.675
15.42966,54.519,89.802,9.322,-27.689,-10.807,-14.352,-9.63,11.161,4.98,-7.709,-10.168,-15.827
16.10358,54.262,45.983,9.69,-1.907,0.804,-15.558,-9.272,3.92,-4.49,-6.957,-9.384,-16.957
16.31206,53.16,49.515,6.814,-2.379,-36.75,-28.386,8.162,-5.395,3.904,8.892,-9.705,2.711
16.54984,54.732,59.68,5.302,2.118,-14.912,-5.915,-4.706,-5.613,-21.101,6.829,-13.325,-11.345
16.85782,52.215,66.017,27.606,-17.287,-26.044,-20.31,4.035,11.641,-1.673,-2.425,-7.593,-1.884
16.99098,52.125,48.693,-33.392,10.538,5.647,-34.563,-10.111,-2.645,-15.483,10.602,-12.937,8.346
17.16154,52.009,49.941,4.977,-1.657,-51.405,2.255,2.928,-27.274,-8.571,-14.333,-22.358,-14.239
17.42608,52.525,35.099,-15.984,-13.218,5.221,-28.422,-1.658,-5.226,-16.412,5.408,0.127,-0.003
17.64118,50.848,10.42,-1.013,-13.177,-56.123,-40.628,1.744,5.764,-15.792,4.729,-11.147,-6.497
17.73474,52.888,62.706,20.149,-19.246,-19.351,-24.996,-13.933,-26.963,10.89,3.352,-7.688,-3.08
17.85587,53.602,50.681,-5.214,9.856,-14.394,-36.974,-23.414,-7.061,-9.153,2.229,-12.718,0.787
18.0415,52.09,25.228,13.486,-21.614,-22.143,-28.614,3.251,-1.507,-7.136,0.635,-2.728,1.157
18.27941,54.046,57.171,-3.122,3.02,-27.16,-9.314,-9.879,-5.917,-5.24,-2.092,-4.14,6.235
18.61039,50.878,35.781,23.569,5.395,-45.894,-31.962,-7.242,-8.513,-16.631,4.612,-7.91,-10.765
18.70281,50.954,43.443,-38.546,-3.709,6.357,-6.626,-5.385,-1.219,-6.903,-28.881,-26.187,-7.195
18.91828,51.122,23.232,5.784,-6.898,-34.173,7.328,16.664,-17.844,-14.588,2.604,-5.629,-18.391
19.16803,52.965,35.048,-35.466,17.965,27.19,-36.99,-8.045,-23.019,-9.544,5.631,-4.942,-3.025
19.37098,52.068,34.576,35.11,-18.764,-20.597,-15.535,-2.838,-17.473,5.764,-10.874,-14.395,-33.708
19.56771,53.773,30.389,19.465,-12.841,-21.259,0.499,-3.505,-9.61,-5.792,-11.914,-9.891,-26.597
19.80789,54.62,48.905,7.099,-16.044,-41.229,-18.839,-21.872,-14.392,2.921,4.305,5.75,-21.312
20.02712,52.222,31.673,-35.674,27.182,-39.245,-31.777,-22.918,-6.849,-19.429,20.219,-34.964,-7.979
20.62921,50.781,51.919,-25.553,-106.213,-5.247,36.24,12.281,5.309,-3.932,-18.268,-11.335,-19.072
21.48726,53.969,-20.873,14.644,-7.01,3.786,-35.909,9.996,-35.71,-16.892,34.873,3.499,-0.349
21.59605,53.498,-9.089,18.135,12.555,10.489,-28.044,28.839,-18.357,-2.183,13.833,-14.53,-2.79
21.73955,52.466,12.99,27.403,-24.248,-29.987,-6.329,-5.314,25.181,-15.1,-6.308,-28.793,-18.064
21.97088,54.147,100.813,-13.36,-3.842,11.721,-21.394,29.321,-41.297,8.53,-35.513,6.498,1.941
22.14676,50.452,8.605,-25.411,17.102,12.431,-14.826,-0.151,-21.023,-3.504,-19.698,-52.218,-15.298
22.40014,49.581,-45.453,28.188,-0.123,12.547,-14.763,30.95,-0.099,-8.203,22.22,13.014,-6.963
22.50626,51.381,30.092,11.342,-2.868,11.858,-4.54,17.562,61.239,-3.991,-26.109,-33.833,-13.214
22.84635,53.826,36.594,24.321,48.989,6.74,-53.904,28.269,-35.976,-7.98,18.521,-22.831,16.556
23.05175,50.346,99.019,-24.418,8.29,-33.803,-24.294,-30.679,52.271,-7.704,-34.016,-44.705,-1.196
23.2693,53.841,95.55,-27.347,1.972,17.704,22.981,10.803,2.637,-1.971,1.653,23.337,24.438
23.42181,53.323,99.552,6.226,11.366,3.7,-47.9,37.799,-6.918,-14.694,-21.924,-22.121,-8.955
23.62794,54.405,64.948,20.948,29.403,17.778,-51.345,29.232,-46.409,-46.316,28.653,-16.996,13.914
23.78989,50.935,63.974,12.66,14.471,-17.396,-23.115,-2.437,24.62,-3.972,-37.97,-45.492,-19.53
23.97501,52.196,43.134,3.25,58.568,-4.727,-35.999,-9.618,-21.237,-64.757,37.742,-35.012,1.653
24.07977,50.834,55.977,8.577,-33.485,22.83,4.982,48.553,-43.179,-37.084,-7.438,-33.27,-2.956
24.33438,50.009,-27.561,25.73,6.675,9.701,-32.042,-6.248,9.226,-8.196,-3.487,-8.292,-31.099
24.4576,51.935,25.276,42.252,-14.07,3.943,-1.295,6.005,36.452,-3.31,-29.289,-1.852,-32.439
24.58444,53.451,157.15,-12.707,3.258,24.8,-42.269,-15.153,66.908,62.495,-18.035,0.38,11.302
24.70599,51.117,115.193,2.936,33.81,-10.488,-29.935,-12.82,-59.764,-13.485,21.577,-52.324,-9.352
25.00068,45.462,-12.821,42.012,57.107,-16.394,7.009,57.867,-17.304,-5.341,28.88,18.955,-13.689
25.22195,48.675,49.706,50.653,38.642,-31.705,-23.444,-11.409,20.089,-15.967,6.191,-20.13,-23.371
25.45465,42.186,-39.218,72.169,70.988,-1.833,-99.089,54.424,10.755,19.653,25.296,-1.276,-8.366
25.53043,44.521,65.68,17.945,114.245,-49.558,0.94,-17.848,-13.511,-29.391,-12.9,-75.02,-6.864
25.87116,43.217,22.302,56.183,58.753,-14.547,14.135,53.848,-0.953,-23.767,25.399,-23.019,23.461
26.04363,44.064,-17.829,105.44,8.253,1.31,-15.214,53.251,40.323,-5.066,-25.643,-39.407,8.215
26.31991,43.7,-45.953,86.023,50.92,3.967,-42.537,45.405,25.036,-14.347,-5.471,1.015,33.389
26.44762,44.056,18.135,78.237,49.781,-11.291,-55.49,10.093,-5.47,6.311,23.524,41.714,-25.501
26.52313,46.146,116.41,63.479,51.201,-59.2,-24.033,-19.52,1.15,-40.418,-15.349,-26.928,-14.686
26.74943,45.756,21.409,89.623,63.52,5.819,-22.624,35.487,0.531,-34.018,15.641,-8.189,20.734
26.90023,49.824,-35.87,68.953,-38.759,-5.847,-16.484,31.61,56.698,-18.944,-8.094,-17.051,12.54
27.20934,52.68,40.17,-8.414,66.932,-18.996,-23.321,17.272,-18.776,-9.535,-1.886,-39.389,19.349
27.59034,47.437,-0.523,8.519,-10.104,-27.639,16.019,53.225,-23.701,-5.725,-14.382,-19.46,-3.444
27.84122,49.582,36.909,-29.336,38.371,-0.393,-26.744,18.839,-7.744,-23.136,-12.627,-25.007,-32.4
28.06327,45.408,-28.325,-24.28,14.371,32.172,-83.389,67.888,41.296,9.418,-34.401,-0.371,2.152
28.17737,47.205,45.218,96.573,42.976,-29.7,-53.76,22.355,-33.254,-29.289,36.636,-23.288,-27.355
28.25306,52.152,-13.901,44.753,14.588,60.41,-4.454,-16.646,19.957,30.801,4.034,-12.162,4.586
28.50463,55.143,87.11,22.733,2.235,17.111,12.088,-34.291,27.324,-16.722,-37.714,-4.637,-3.269
28.72399,55.225,46.794,-10.822,8.894,-3.796,-20.166,14.203,7.266,-11.482,19.916,-18.627,11.922
29.02317,52.054,78.703,-45.592,-41.357,-23.467,-17.056,-47.533,-20.195,26.39,-16.972,-6.895,-16.048
29.31098,51.503,13.148,20.137,-75.773,8.012,19.486,33.805,59.22,21.481,-8.706,-18.46,4.293
29.57093,54.601,39.664,-7.827,-9.325,0.439,-43.939,43.949,-11.041,-28.843,46.201,9.078,11.968
29.68109,53.392,84.72,44.735,37.491,26.744,-18.568,-3.189,9.793,-25.564,-23.552,-18.426,23.258
29.79379,51.923,92.9,-34.305,-21.207,-27.81,21.666,10.299,-41.042,4.672,-23.471,-39.304,5.459
30.0117,54.164,64.223,1.486,14.846,-1.841,-64.868,-1.273,67.703,-6.696,6.284,-18.067,2.263
30.22054,51.753,39.322,37.348,17.773,32.144,8.828,14.006,-3.117,-43.775,51.801,-18.198,35.73
30.42295,54.394,65.302,-0.089,-9.82,11.935,33.144,-7.383,34.401,-22.797,-3.001,-19.241,-7.128
30.74921,50.635,6.29,-15.58,18.073,-25.693,40.055,8.525,-1.074,-23.174,12.881,-83.602,-2.27
31.07229,51.843,-35.993,0.048,-33.648,33.256,-7.118,52.786,4.851,14.111,-4.232,-6.634,-33.884
31.31814,53.096,2.626,6.952,5.33,-1.363,-51.666,31.496,0.26,16.187,-20.062,6.405,-12.092
31.52712,52.454,-3.457,38.774,-20.9,18.508,-19.14,14.88,24.542,-14.386,6.482,-17.378,-19.046
31.78249,50.128,56.632,-28.211,5.807,-51.861,-53.311,-27.671,29.348,-30.835,17.001,-31.428,6.856
31.97392,48.818,60.28,47.763,-50.423,0.073,-10.234,-1.661,-69.373,-75.392,44.98,-14.691,-2.201
32.16526,54.138,41.941,13.44,-8.725,16.477,-1.711,-10.97,30.604,-23.504,-22.435,-26.509,10.343
32.50803,51.673,17.863,8.401,30.139,-5.082,8.281,28.519,-2.261,-35.614,47.457,-48.132,3.61
32.83882,54.316,49.774,24.489,-58.873,-31.049,22.488,5.114,29.328,-27.065,4.668,13.239,-24.844
33.06535,54.472,68.454,-10.429,39.942,25.494,-40.8,-12.941,48.745,0.914,4.763,4.276,-1.883
33.30912,53.165,-18.968,17.991,36.902,2.197,-37.94,20.949,2.178,-15.572,38.649,-23.069,20.863
33.4707,53.305,72.906,37.667,-47.274,-13.332,15.483,12.283,19.052,-5.263,9.727,9.693,-6.897
33.71537,53.572,93.603,40.617,35.48,37.034,-7.724,-42.468,-34.052,-19.961,-15.544,-53.396,5.098
33.91678,55.497,33.753,31.604,-9.22,-0.248,16.84,10.288,17.654,-16.101,-8.221,8.405,-12.399
34.24404,52.256,0.283,-12.177,27.382,-28.441,8.846,9.357,3.093,-21.862,4.235,-42.648,-8.226
34.53637,49.157,-47.738,2.146,-101.914,8.318,29.655,39.741,28.982,13.171,-24.252,-5.798,-36.271
34.80689,52.527,-0.668,-1.472,2.481,2.308,-37.175,19.521,-13.22,9.609,-24.377,-8.222,-4.69
35.02576,53.492,-4.245,37.183,-21.839,28.859,15.225,-18.18,-0.353,-10.949,1.859,-31.548,-5.393
35.24748,51.865,18.171,6.272,13.484,-0.362,2.769,-3.383,-17.845,-24.491,26.253,-6.568,-14.521
35.47488,49.194,-18.653,25.804,-22.784,-2.031,-18.756,-29.25,-9.913,-45.343,18.547,8.216,-11.255
35.54975,50.584,5.856,42.906,-33.286,10.502,-19.084,-35.847,33.263,-17.82,-19.93,-9.961,4.07
35.66005,54.761,59.808,22.293,10.215,18.775,18.645,18.076,-16.312,-27.367,10.951,-21.004,16.31
35.99256,51.977,14.611,26.172,-22.163,-18.984,30.626,8.902,9.874,-23.539,8.375,-18.88,-8.784
36.33986,53.896,40.144,-8.312,-8.301,-10.722,-18.142,-25.039,68.004,-26.709,9.31,-27.727,-15.455
36.54254,51.515,29.957,-16.822,19.69,-2.035,-18.644,3.01,-9.22,-24.035,57.682,-14.958,9.64
36.76086,52.042,-17.611,28.014,3.725,2.717,14.042,49.147,13.019,-7.947,23.806,-12.894,-3.282
36.97456,50.642,66.527,-31.103,-9.45,-28.845,-5.938,-1.516,31.021,-28.727,24.801,2.948,-13.896
37.20431,53.118,69.959,22.446,-24.207,22.496,-22.325,-18.339,-7.97,-12.574,26.183,18.025,0.648
37.35506,54.344,52.029,29.857,-15.583,31.927,-17.632,-25.679,1.633,-7.51,2.327,-23.379,14.416
37.74354,52.306,-26.777,-1.387,43.559,8.63,12.286,16.739,-3.652,-8.078,20.999,-30.632,9.569
38.04508,51.708,-22.893,2.843,-11.881,22.427,-14.813,38.837,-5.193,9.396,1.964,-18.095,-35.522
38.29361,51.735,-35.661,-6.951,38.324,3.902,-66.604,38.283,-24.349,1.613,14.6,3.742,-12.823
38.42249,51.176,-12.856,43.566,17.282,-3.832,-58.574,4.277,2.151,0.398,20.101,3.131,-21.527
38.50494,52.293,-13.559,74.044,-8.759,18.98,-31.963,-0.699,-13.891,-25.921,15.405,0.63,-20.826
38.61524,54.117,68.319,40.722,65.974,-8.721,-26.424,-27.535,-10.079,20.309,-22.747,-6.023,-19.291
38.72476,52.178,29.762,-9.58,31.575,-14.036,-39.242,-6.164,28.959,-20.033,37.778,-11.007,-9.712
38.96912,50.263,-13.738,16.058,-20.334,-14.702,-26.784,-25.241,-22.899,-37.207,44.338,-7.114,-5.328
39.12653,51.885,21.988,19.467,-55.989,13.702,6.535,26.831,-26.607,10.125,-11.214,-33.775,8.956
39.44667,53.541,-3.786,44.391,-5.721,-2.367,-27.139,36.624,13.078,9.168,5.154,-2.049,7.897
39.59823,53.168,0.397,25.809,-17.937,6.0,-20.046,13.516,-22.58,-14.784,0.762,-15.924,-4.722
39.7878,53.141,-6.77,41.944,5.589,15.022,-25.474,60.876,30.375,7.383,-1.305,-12.544,12.867
40.01837,53.69,50.461,12.258,13.658,-1.507,26.053,7.504,5.687,-18.279,5.264,-32.009,8.925
