start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,27.407,-108.554,-80.607,-63.911,-10.716,-24.868,-10.287,-5.443,9.367,15.469,3.503,6.357
0.14689,28.235,-100.28,-50.872,-48.491,22.288,-41.451,-18.016,-12.55,15.167,1.721,-11.694,7.696
0.34277,29.582,-96.195,-2.183,-67.173,34.576,-30.581,-27.865,-6.579,17.631,-6.338,5.049,7.655
0.60512,33.251,-87.869,13.408,-39.966,19.736,-25.981,-28.923,-1.098,-3.219,-18.326,2.41,-3.136
0.80739,34.706,-43.069,27.33,-32.192,23.15,-21.842,-26.224,6.242,-8.098,-25.018,11.479,-5.829
0.98136,36.192,-53.858,16.384,-25.916,27.09,-22.807,-43.237,-4.004,-11.096,6.495,7.93,10.653
1.37587,35.026,-25.196,37.569,-34.899,35.048,-14.063,-36.822,9.582,4.712,-22.776,-1.178,12.966
1.52685,34.488,-35.781,-14.514,32.262,26.314,-12.503,-26.514,-28.812,1.233,-12.057,-31.737,16.207
2.39361,27.173,-74.342,-73.104,-42.431,-35.899,-29.846,-22.605,-17.475,10.704,1.332,-11.478,-10.302
2.59025,27.549,-126.195,-85.564,-73.675,-17.95,-55.057,-29.511,5.332,15.908,10.332,1.858,5.03
2.84122,26.865,-83.313,-99.927,-23.371,-16.116,-40.88,-30.217,-18.872,25.449,2.712,-8.371,21.313
3.1332,28.835,-203.281,-99.636,-73.262,30.921,-41.047,-29.154,0.077,25.201,7.774,-0.797,23.079
3.2785,31.213,-100.794,-88.878,-86.193,28.094,-31.672,-30.195,10.396,15.363,-29.197,17.641,5.766
3.65732,33.789,-107.59,-47.224,-53.182,18.579,-40.124,-35.156,-12.002,-12.154,-13.971,9.144,1.425
3.88966,33.86,-58.997,-15.722,-53.235,5.582,-40.84,3.749,5.865,4.803,-21.62,16.608,7.441
4.18522,34.41,-44.115,-10.656,-17.162,-18.561,-36.513,6.148,24.831,1.114,6.276,13.189,-0.774
4.65578,34.508,-44.7,-2.304,-24.995,-12.467,-22.136,-9.929,-4.708,-6.082,14.769,6.481,4.414
4.83537,33.851,-43.408,1.733,-31.212,-23.126,-17.966,-12.04,1.286,1.312,-16.825,-3.089,2.587
4.98395,33.353,-33.358,10.704,-47.655,-20.582,-24.932,-22.819,8.051,5.363,-11.181,-0.912,1.078
5.15905,35.806,-65.631,8.563,-39.505,8.843,-3.733,-45.25,-16.406,-6.757,12.661,-2.714,2.296
5.38181,36.149,-49.042,23.971,-16.369,6.457,-39.768,-59.428,-12.078,-14.888,-6.885,13.917,-0.679
5.56118,36.252,-9.505,46.514,-36.41,-0.219,-26.384,-45.081,-6.229,-11.863,-15.371,3.95,1.396
5.7483,38.611,-12.322,12.281,-13.958,-15.487,-35.283,-49.26,5.883,-5.947,-9.398,3.999,-2.131
6.37224,37.036,-21.534,-13.285,-10.585,-42.421,-55.004,-5.471,26.261,9.748,-7.291,-9.36,-1.627
