start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
0.16939,24.862,-6.402,44.251,-338.699,46.895,130.624,88.021,-22.228,-34.519,120.612,-22.835,-5.439
0.41619,42.732,11.404,-19.032,-19.179,7.295,-57.825,18.876,-15.244,-10.99,6.931,-19.393,-26.645
0.5449,43.447,-57.433,1.749,-28.506,16.274,-29.915,37.183,7.318,23.912,-3.696,-22.072,-25.845
0.73592,42.89,-49.444,-18.418,-18.912,26.178,-29.948,24.774,14.494,28.108,-30.576,-17.278,-31.743
0.94091,42.741,5.059,-71.981,-3.299,17.493,-36.283,9.664,8.735,-0.34,-20.667,-5.863,-12.932
1.12195,40.382,-1.978,-89.521,28.2,-2.829,-18.969,19.276,-62.731,-6.952,-20.245,-13.652,3.986
1.83678,46.419,88.096,-80.7,-9.776,-19.048,-18.528,0.568,28.537,-42.286,-13.507,9.792,-18.814
2.20544,45.177,63.753,-48.64,27.656,-8.932,-59.027,-7.789,-5.879,-36.425,-0.66,-18.491,3.397
2.55397,41.677,-10.001,-123.659,85.579,-42.429,-118.264,-26.631,-6.123,-15.291,19.508,-36.934,11.674
2.74122,41.609,27.127,-26.372,-97.399,-50.343,16.8,0.525,-9.024,-9.847,7.786,-11.196,-16.828
2.90599,45.145,54.321,-24.519,28.472,-32.335,-23.278,-13.074,-22.862,-26.247,-0.622,-14.308,-2.131
3.21002,41.016,23.16,1.394,31.406,-53.935,-4.172,-30.191,-2.558,-32.949,-10.311,-47.452,-6.577
3.45868,40.352,25.305,-40.695,-90.915,-42.311,-9.063,-13.112,-32.577,-12.365,28.795,-21.769,-7.434
3.62825,45.572,39.536,-48.238,32.61,-38.987,-38.406,-1.575,-19.38,-12.207,10.053,-9.323,7.109
3.81474,37.858,-27.93,-75.651,47.999,-23.107,-45.965,-11.027,-32.746,-14.449,10.872,-31.051,2.848
3.96222,43.923,13.365,-77.171,83.043,-50.682,-4.662,7.065,-30.489,-15.434,10.004,1.901,1.974
4.16658,40.941,26.646,-26.541,-94.855,-58.051,12.016,5.928,-11.496,-13.344,7.634,-12.33,-8.12
4.34458,46.496,57.663,-31.093,33.654,-12.99,-33.785,-0.875,-7.774,-23.264,8.007,-13.843,0.172
4.48776,42.292,42.922,29.909,51.589,-32.552,-4.529,-40.727,-2.918,-28.753,-16.213,-31.92,-5.212
4.70168,42.046,28.509,-17.345,-22.811,-44.101,27.019,-11.013,1.243,-31.687,15.28,1.968,-20.755
5.05664,44.257,29.166,-56.338,43.588,-27.592,-38.134,-11.353,-38.631,-22.457,4.886,-25.353,-3.182
5.41252,42.304,-21.144,-94.986,80.209,-57.154,-106.329,-11.564,-38.097,-23.807,18.076,-33.532,14.483
5.59683,35.685,-47.549,-93.386,-14.627,-55.893,-27.564,-9.162,-38.111,4.253,-3.803,-29.979,2.225
5.70204,34.363,-73.699,-21.371,-109.744,-32.081,3.507,-17.173,54.329,3.684,-24.614,-42.411,-2.639
6.13084,33.733,-78.541,-155.689,43.942,45.939,-63.082,6.404,-9.432,5.55,8.09,-19.983,-7.34
6.30481,31.295,-87.403,-140.993,45.52,-1.876,-47.068,-39.023,-71.633,17.91,42.176,-17.519,-5.173
6.4819,43.531,3.863,-72.392,79.13,7.752,-31.481,-12.106,-25.035,6.146,13.313,-40.686,-14.296
6.84163,45.312,12.934,-43.034,49.054,-87.003,-84.903,-10.89,-14.68,-34.579,14.164,-27.681,2.722
7.13361,39.462,-11.408,-1.768,-39.452,-58.549,-2.955,-0.267,20.364,-29.943,-24.337,-32.846,-7.573
7.55628,42.264,34.834,-20.54,-1.751,-44.13,36.789,-4.925,-8.988,-28.354,26.991,18.415,-6.865
7.88794,43.232,35.718,-35.232,12.92,-34.072,19.155,12.039,-30.421,-12.266,-26.113,-18.876,-0.991
8.26893,41.107,-18.365,-124.761,96.958,-47.149,-113.322,-27.329,-23.346,-7.603,20.082,-34.757,9.248
8.45224,40.031,10.974,-12.457,-126.369,-66.007,27.423,-0.789,3.869,-3.133,4.164,-9.736,-17.506
8.63351,45.63,59.424,-10.383,32.635,-24.368,-36.881,-20.895,-19.884,-28.362,3.095,-24.688,-9.303
8.92866,41.151,17.968,-1.64,33.725,-57.156,-3.584,-33.388,-13.611,-35.616,-7.826,-41.247,-6.057
9.17596,39.845,29.86,-34.621,-87.843,-44.878,4.09,-2.965,-29.624,-12.196,25.084,-18.748,-8.707
9.34576,44.518,16.899,-67.058,63.817,-23.214,-52.423,-17.514,-31.3,-16.602,11.403,-41.822,0.359
9.68054,43.982,3.656,-80.333,88.07,-59.61,-27.774,1.231,-29.912,-18.628,7.117,-12.104,5.017
9.87837,41.86,33.17,-32.159,-89.743,-52.548,4.694,4.316,-14.451,-11.154,11.816,-2.559,-12.824
10.05927,45.866,66.372,-18.793,39.0,-16.407,-55.031,-5.814,-2.353,-24.886,2.406,-14.23,2.084
10.198,42.166,39.881,33.171,47.344,-42.409,-20.205,-37.881,-2.725,-33.814,-17.078,-27.3,5.066
10.41401,42.328,15.401,-37.608,-34.065,-54.124,6.819,-6.868,3.817,-27.048,7.18,-6.665,-16.366
10.75243,43.216,26.614,-55.176,16.695,-36.382,24.705,-1.171,-26.862,-20.522,-30.45,-6.321,-15.279
11.11084,42.125,-5.336,-101.433,100.529,-44.527,-18.571,9.36,-39.768,-9.094,13.05,24.506,5.124
11.30617,35.1,-61.164,-90.512,7.693,-57.933,-34.276,-2.061,-46.574,-1.215,-2.237,-20.789,3.118
11.46653,40.042,10.94,-77.582,35.662,4.049,87.523,-10.997,5.09,9.493,-45.328,14.653,-16.255
11.83773,40.774,0.621,-81.667,117.773,-15.918,-78.049,-23.048,-10.909,-1.573,30.589,-45.016,5.799
12.02145,32.36,-54.987,-152.046,-10.464,-21.279,-41.891,-33.783,-54.1,26.672,26.563,-24.135,0.275
12.19932,44.659,28.457,-40.753,28.999,5.105,-61.713,-13.781,-21.507,5.982,-0.343,-17.111,-19.324
