start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
0.33673,21.381,-129.955,-125.297,-23.034,49.143,29.439,-0.465,-15.539,-13.925,53.829,7.088,6.617
0.72145,27.986,-57.329,-96.219,-64.52,12.108,74.412,1.593,19.323,30.814,-22.418,-23.063,11.214
1.19828,30.792,6.08,-95.206,36.55,60.539,74.355,54.256,-46.624,12.172,-31.248,8.663,40.817
1.8181,29.331,-52.306,-40.638,42.376,48.607,-41.752,-5.769,-35.022,-11.918,4.943,-12.199,23.728
2.02689,23.45,-157.082,-12.032,-30.141,47.183,-30.718,14.397,9.775,-18.642,-8.712,-18.564,9.392
2.26435,28.402,-5.678,-82.135,28.493,41.204,-46.353,-37.794,-23.467,33.163,7.472,-28.958,21.915
2.7059,25.239,-138.427,-123.668,20.807,11.968,-64.251,-11.305,-14.649,-27.705,22.067,-31.755,15.661
3.1117,26.63,-143.554,-120.546,-22.678,7.012,-32.338,-29.393,-30.678,5.821,34.969,-21.779,2.229
3.4029,28.906,-10.655,-87.821,2.383,-16.339,-61.526,-37.214,-24.112,22.138,13.31,-20.655,18.767
3.54027,30.162,5.172,-74.832,2.155,28.209,-45.284,-31.034,-41.335,12.176,5.468,-25.024,4.217
3.84327,30.281,-60.505,-7.259,51.355,49.024,-60.895,7.743,-37.439,-19.352,2.133,-19.126,27.76
4.1219,27.781,-71.035,-80.763,25.834,27.719,-20.762,3.783,-24.442,-14.397,14.68,-38.774,41.838
4.43605,33.34,25.455,-30.652,70.55,40.493,-3.987,-22.894,-52.209,0.82,7.776,-24.966,29.424
4.73211,29.75,42.681,-64.932,34.955,57.416,-42.913,-13.493,-34.088,-2.562,-2.129,-22.187,5.333
5.05605,26.648,-156.559,-119.454,3.079,55.935,-44.393,-30.672,-47.305,-3.614,27.56,-20.285,21.208
5.43447,29.144,-94.534,-89.048,-50.903,21.869,4.313,-20.813,-8.783,14.739,-6.658,-35.685,18.581
5.93188,35.127,50.56,-86.393,25.225,66.421,-52.383,3.53,-43.114,-12.604,-8.328,-23.832,54.351
6.25605,26.775,-139.428,-99.095,-33.355,42.729,-65.553,-16.367,-17.975,-2.167,-2.211,-8.48,23.677
6.51846,30.947,-100.553,-62.317,48.579,49.375,-35.859,13.644,-35.82,-6.027,10.193,-16.118,24.067
