start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
0.35932,19.189,-65.149,29.25,-192.811,43.416,92.602,48.275,-52.601,-41.761,83.19,-38.552,10.471
0.66853,29.712,71.653,-114.137,-50.658,60.482,-44.919,-8.929,-2.021,7.451,-3.079,0.371,-9.632
0.83601,33.77,5.604,-18.553,2.811,124.451,-67.78,-2.077,45.614,7.811,9.174,-9.538,-40.372
0.95206,43.9,-7.967,61.938,81.323,57.817,-21.348,17.057,24.338,33.376,36.849,-38.872,-38.817
1.16091,33.707,45.552,-27.589,7.664,25.349,-30.777,-6.116,41.052,-2.965,-5.145,-41.745,-48.549
1.38168,28.647,86.046,-84.057,-37.939,10.307,-47.153,1.497,11.543,-0.436,5.813,-26.225,-30.416
1.7283,28.608,120.248,-100.1,-56.353,1.485,-34.295,-9.47,-7.979,-29.57,19.431,-8.045,-15.347
1.98522,40.758,24.806,53.683,69.824,46.567,12.959,66.053,-4.149,-24.595,22.187,-9.346,-37.521
2.25814,36.447,4.178,-34.591,11.723,100.659,-59.688,14.48,36.642,1.659,12.385,-20.644,-36.784
2.51823,33.727,54.653,-76.485,-34.95,75.927,-35.52,-5.587,20.016,-19.02,34.988,-9.753,-26.155
2.65705,33.723,5.395,1.639,-43.141,66.021,-39.493,-19.331,1.273,-34.08,0.901,-1.574,-20.303
2.78095,33.482,60.83,-79.606,-15.295,37.587,-50.75,-8.067,30.547,-21.676,-7.089,-16.322,-10.06
3.03447,28.766,100.885,-103.387,-41.465,-3.73,-40.392,-22.319,11.043,-29.892,18.296,-12.836,-17.278
3.29628,27.94,140.014,-93.076,-47.874,7.07,-35.805,-14.311,17.445,-29.079,3.322,8.017,-21.691
3.58268,29.281,94.348,-128.776,-42.681,8.968,-46.254,-24.898,12.051,-18.783,11.579,-10.435,-10.032
3.82059,36.17,29.316,-49.902,13.041,55.785,74.516,-16.788,34.386,-42.234,55.154,1.286,-15.923
4.31596,32.728,31.862,-39.658,-103.214,83.351,-21.885,-12.577,22.2,-1.079,1.904,-31.804,-11.204
4.63782,32.916,41.439,-96.049,8.365,78.458,-43.629,-23.331,32.419,5.9,23.185,-24.281,-10.273
4.88776,30.178,121.604,-120.303,-70.444,14.242,-18.92,-6.805,-7.402,-6.485,-2.91,-1.158,-9.971
5.00358,34.916,23.298,-45.888,-103.659,66.712,-31.677,-3.353,-10.115,-11.413,19.795,-22.823,-23.779
5.17215,35.017,40.564,-92.345,3.694,62.196,-48.373,-35.107,23.6,-27.727,2.39,-12.097,-6.787
5.40531,35.655,-0.014,-37.94,-8.804,74.853,-36.964,-15.994,30.256,-10.057,11.568,-21.391,-26.005
5.58984,36.512,-7.699,-38.899,-17.119,118.509,-46.513,18.352,10.846,8.217,-1.568,-23.924,-36.896
5.86186,34.395,-8.09,12.125,4.406,87.402,-68.21,55.814,28.029,-21.012,-1.891,-7.738,-34.528
5.9439,40.954,59.327,48.487,43.296,28.604,-19.12,67.582,33.714,-29.504,-11.364,-18.456,-40.174
6.11828,37.791,19.652,15.242,25.212,116.978,-74.697,62.614,15.358,16.758,-0.352,-28.243,-43.794
