start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,10.925,78.57,124.497,-272.226,57.339,-52.298,74.31,-167.832,-37.688,37.596,76.329,-15.716
0.54045,40.201,-76.926,44.859,12.007,44.782,-12.724,-62.067,-13.883,-9.706,1.294,11.362,17.162
0.85442,38.947,-154.914,51.108,19.614,77.615,-22.52,-58.887,-16.747,-17.796,8.178,3.499,8.649
1.17782,39.705,-146.309,68.737,29.359,77.258,13.867,-46.647,-19.009,-17.02,-11.935,18.716,-0.657
1.51551,39.685,-153.8,2.957,17.966,33.954,-3.345,-25.531,-0.745,-4.599,-8.659,3.284,5.704
2.06005,33.726,-177.596,5.518,56.279,25.785,-37.587,-17.904,15.049,-21.412,-20.531,-13.93,8.633
2.63483,30.742,-175.937,-42.983,33.179,21.527,-18.194,-47.298,2.246,-18.37,-3.741,-12.107,-4.282
3.38571,22.83,-175.277,-76.36,-15.742,41.677,-47.917,-24.181,49.975,-19.942,-13.089,-1.628,-6.177
4.00603,18.948,-77.571,-61.553,-66.527,25.714,-27.691,-23.004,-24.66,-20.968,-7.281,-0.587,4.413
4.16349,27.235,-159.113,2.042,-87.186,33.558,22.177,0.515,-0.176,-26.305,-1.188,-7.81,-2.934
4.80054,39.467,-11.59,51.396,-69.225,39.022,44.832,9.221,10.013,7.072,-14.904,35.893,13.269
4.87683,39.747,-14.55,8.403,84.204,32.376,-10.354,-19.263,39.793,-21.392,-15.276,-67.995,25.588
5.18794,34.253,-14.155,-12.225,-36.363,12.859,40.021,-15.565,-44.61,-17.798,39.283,-70.068,24.11
5.49293,35.043,-144.301,-6.131,-105.559,50.359,7.69,-13.553,49.531,14.822,-19.399,-10.655,11.426
5.8517,35.47,-126.242,-26.828,-27.593,76.678,-10.271,-39.062,26.94,28.281,-5.798,-38.441,20.207
6.14136,26.065,-14.875,-56.779,-14.785,87.847,-63.089,-32.205,-17.086,18.779,-21.078,15.946,17.788
6.22712,30.707,-185.905,-41.257,-60.985,86.118,-42.355,-26.315,-6.785,-18.743,18.011,10.413,0.344
6.31669,37.647,-135.684,1.336,-69.42,108.861,-16.383,-19.555,10.233,30.083,-10.914,27.082,5.366
6.45011,35.453,-96.301,2.754,96.089,75.327,-36.476,-48.224,4.691,0.236,-32.47,-24.631,18.761
