start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.001,171.107,9.432,-28.513,57.458,-50.073,14.857,5.335,-27.225,0.98,-10.65,-7.222
0.16771,28.227,159.029,113.932,-201.907,47.42,227.045,38.131,31.641,-17.226,6.187,1.845,29.421
0.29002,41.223,183.452,61.69,20.181,-3.035,20.655,-30.81,-18.624,-11.845,-9.002,-27.704,38.32
0.58009,44.981,191.109,102.158,5.512,-7.408,2.643,-26.613,-13.425,-39.339,5.183,-17.766,42.966
0.82921,50.449,172.756,35.009,-19.05,-25.875,5.766,-31.266,-5.011,0.149,-14.65,11.506,18.408
1.66617,47.061,167.925,57.485,8.674,-11.316,-5.906,-55.834,-19.642,-11.394,-24.901,2.489,24.39
1.77052,43.879,126.941,33.457,69.782,0.834,21.606,-56.545,-43.342,-19.698,-18.876,-42.445,25.776
1.94104,39.974,75.902,19.307,-4.574,8.478,110.319,-47.432,48.568,7.799,-65.762,-93.686,27.941
2.47868,41.145,129.585,55.483,-102.451,6.757,191.713,-2.211,7.947,-1.158,-23.301,26.689,9.106
2.91397,45.008,144.371,6.302,107.181,5.02,55.384,-41.233,-63.212,-12.349,-11.203,-94.428,34.166
3.37737,38.845,130.467,119.074,-239.286,14.405,141.118,4.491,54.666,12.027,-39.14,-1.965,9.525
3.63986,49.834,162.599,37.654,19.782,-14.369,-9.734,-43.155,-12.237,-16.351,2.258,-11.492,31.923
3.95887,43.391,102.374,27.779,72.913,-11.692,-20.246,-47.373,-36.561,-23.151,-4.825,-27.31,25.501
4.21977,31.183,16.132,-75.699,156.059,-23.855,-24.543,-63.158,-20.824,-1.277,-22.335,-19.668,1.178
4.74789,40.205,84.064,50.888,-102.597,7.298,117.232,-15.301,24.406,-0.962,-17.491,25.708,4.07
5.13066,46.447,122.931,46.597,8.086,-7.671,39.408,-26.385,-11.671,-18.26,-15.697,-15.592,25.354
5.35179,49.128,141.966,47.439,-56.982,-11.459,10.984,-41.938,32.187,6.756,-13.548,50.77,4.539
5.89814,49.463,149.491,44.069,21.749,-10.508,-5.087,-49.916,6.342,-19.402,-7.931,-19.952,24.324
6.47846,44.561,112.501,35.868,-84.958,-6.934,52.936,-30.045,21.373,25.835,-15.984,28.727,-15.946
6.54812,46.404,153.691,28.373,66.042,-8.907,15.309,-60.056,-3.258,-9.807,-20.546,-69.751,20.724
7.04744,44.548,74.839,49.781,-102.182,3.652,77.915,-32.08,26.379,-8.994,4.986,50.291,4.467
7.18077,50.056,179.911,62.651,8.697,-15.086,-3.027,-35.836,-6.518,-17.284,-20.856,-13.326,33.24
7.47102,42.712,115.428,12.652,70.575,-23.308,13.612,-42.328,-49.44,-24.246,-11.645,-65.797,35.335
8.03492,29.321,-65.688,-4.891,6.022,-21.72,-20.268,-16.055,-11.807,-29.098,-19.64,-11.224,22.011
8.15628,31.385,-47.202,-8.407,-36.776,-13.767,39.104,-19.315,28.886,-5.008,-34.843,-29.592,19.679
8.72585,28.017,-21.973,-51.774,74.449,7.381,40.513,-41.046,8.048,17.283,-39.089,-43.978,-1.143
9.31737,40.486,81.948,33.996,-113.71,6.21,166.436,-0.195,35.767,16.434,-54.01,26.802,-3.326
9.70585,47.601,148.546,43.464,35.307,-21.12,13.17,-18.951,-49.901,-20.052,4.241,-26.377,26.702
9.90313,49.738,123.203,31.602,-71.938,-4.464,38.375,-52.792,26.763,23.853,-49.691,49.497,-6.821
10.44898,49.773,157.519,36.304,37.588,-0.844,-4.85,-56.908,-7.223,-16.683,0.112,-27.801,32.386
11.02358,41.723,81.34,50.425,-19.342,20.035,93.281,-32.38,76.216,20.575,-54.871,-49.956,8.073
11.53438,36.406,69.413,117.992,-251.409,13.551,96.89,-10.321,38.086,-21.095,24.544,-3.072,20.533
11.95841,50.761,213.806,69.455,-26.318,-11.083,14.329,-33.204,20.703,0.585,2.929,8.449,16.823
12.12068,45.804,145.574,-29.008,148.908,-2.838,6.402,-56.454,-88.725,3.863,9.252,-104.04,31.273
12.46304,47.967,180.95,54.007,35.905,2.878,42.739,-48.231,-46.8,-20.031,5.003,-49.487,29.023
13.25778,29.603,-34.041,-100.531,138.124,-7.958,7.583,-62.318,24.955,-7.839,-37.598,-47.884,6.185
13.80585,44.72,109.335,20.955,-60.492,20.538,204.379,-16.209,-17.139,20.949,-64.661,22.374,0.406
14.15215,49.513,195.766,58.389,58.794,-3.108,31.952,-29.781,-42.734,-21.856,-2.725,-42.47,35.341
14.39061,50.689,184.901,14.017,78.681,-23.84,17.178,-38.918,-33.43,-23.447,-3.475,-49.497,28.629
14.71075,49.936,195.749,60.66,58.178,-11.852,18.432,-19.449,-27.085,-21.891,-8.983,-38.419,19.947
14.94227,50.374,167.064,9.614,66.289,-0.518,54.734,-42.463,-30.662,-5.789,-22.731,-32.673,36.838
15.24957,48.836,202.394,57.974,16.462,13.769,101.643,-31.468,-27.819,-3.763,-33.543,-1.005,29.725
15.48771,49.131,164.728,13.293,52.1,-4.422,65.669,-36.732,-38.144,-10.404,-8.529,-39.956,37.077
15.82485,50.568,172.389,27.176,38.564,-12.701,23.587,-43.44,-19.198,-17.945,-8.119,-23.918,33.456
16.05107,49.151,186.244,25.336,84.109,-12.492,18.977,-36.649,-6.601,-11.651,0.293,-38.487,43.592
16.58376,41.929,88.878,55.169,-114.256,0.819,146.905,-8.783,31.968,-6.788,-37.147,35.536,5.916
17.01469,46.918,126.655,38.314,-8.849,0.18,2.946,-64.228,-5.715,-10.603,9.309,-25.359,18.102
17.99542,37.587,96.867,49.981,32.974,-9.237,-35.93,-34.99,-19.942,-23.189,4.117,-16.38,32.215
18.09982,35.331,83.396,28.862,5.834,-19.988,-14.938,-12.476,-7.655,-16.717,-1.011,-11.647,33.743
18.33224,35.227,92.482,-47.278,109.624,0.902,-10.563,-59.093,-49.732,1.919,-2.377,-56.679,21.134
18.74259,22.887,-18.905,-34.613,-0.717,9.773,-67.667,-50.771,-24.786,10.056,4.637,3.695,-8.079
18.83819,30.904,-68.851,-42.458,-61.093,19.77,-5.925,-60.207,-50.584,-0.425,73.761,-23.321,12.685
19.03429,29.859,-22.322,-98.76,86.745,-0.587,-59.676,-77.123,-75.01,3.928,4.486,-23.236,9.67
19.25424,26.787,-4.013,-37.306,32.903,3.849,-10.271,-46.093,-36.57,-2.87,-6.758,6.902,4.128
19.36077,42.563,187.492,87.54,-205.823,18.991,76.177,-22.186,12.757,25.527,11.467,-2.32,3.559
19.69619,51.411,244.648,89.6,25.36,21.486,-22.713,-41.673,-5.337,38.25,0.956,-15.207,-17.456
19.8181,50.585,217.447,91.094,12.306,41.749,-31.645,-34.754,-12.328,31.642,33.334,-12.388,-16.666
19.95161,50.454,186.57,61.429,-7.579,48.847,-26.389,-50.477,1.251,37.692,33.898,-14.303,-12.204
20.33492,48.242,171.497,72.257,5.915,78.814,-28.973,-53.02,-1.566,47.949,51.885,-23.372,-10.716
20.48585,43.988,99.576,-26.568,92.019,60.267,6.145,-57.457,-31.667,61.139,7.618,-95.939,16.308
20.92113,42.239,117.97,120.109,-178.105,75.282,161.226,45.722,64.188,84.717,-53.463,21.873,-5.822
21.07764,51.13,188.185,82.407,-8.014,22.521,-36.474,-23.194,1.618,31.861,28.632,-12.145,24.4
21.68159,48.916,179.046,29.475,40.84,-1.328,-12.84,-57.302,-12.833,16.55,-1.735,-33.762,23.65
22.05905,40.067,20.712,8.858,1.948,11.129,-22.588,-56.632,9.519,4.194,-14.067,-0.855,16.319
22.20376,46.233,122.324,1.217,57.572,43.354,50.184,-26.428,-16.442,50.252,9.426,-36.094,34.419
22.5063,46.486,174.509,67.988,57.977,65.393,27.048,-12.998,-24.039,60.08,11.807,-41.73,23.905
22.73828,40.789,99.797,26.546,-60.492,22.397,10.215,-51.434,8.465,25.18,25.232,-46.657,22.821
23.09778,44.756,180.387,142.219,-109.838,50.265,33.11,17.968,48.546,59.807,7.214,14.826,4.355
23.26077,51.275,201.602,58.438,32.604,16.155,-0.904,-11.724,-66.873,16.446,28.397,-33.881,38.302
23.87107,44.916,99.16,-32.156,-57.953,-17.015,18.629,-66.99,-15.642,26.575,4.054,8.921,2.765
24.01515,45.705,138.395,-22.625,3.387,-13.46,2.355,-75.107,-6.252,20.705,-2.891,-12.476,12.785
24.35746,46.236,121.892,-37.092,55.358,3.035,49.555,-51.63,-36.815,28.57,4.631,-14.102,24.828
24.68812,44.99,120.988,-36.642,85.467,5.347,110.277,-35.224,-52.728,31.57,-43.222,-7.733,17.947
24.88485,43.255,117.062,4.613,-109.811,-5.971,28.579,-58.7,-16.816,31.483,-14.555,29.531,-1.577
25.20449,35.116,83.22,-58.223,-22.408,-4.947,24.945,-75.829,-0.559,31.113,-24.206,-77.54,24.304
25.41596,40.107,86.339,28.149,-94.173,32.35,185.592,-0.213,-13.313,41.248,-34.695,-41.066,10.982
25.82667,48.025,160.663,-7.923,119.153,27.587,10.804,-46.165,-44.013,48.816,7.242,-77.669,32.795
26.03474,40.644,84.955,-98.014,61.936,-12.427,41.477,-71.726,-87.218,31.352,5.423,-66.318,12.903
26.26998,29.6,-61.879,-37.613,-3.524,-7.201,-60.988,-42.872,-41.968,2.386,6.653,1.068,5.226
26.3424,46.106,109.95,11.416,67.939,55.563,130.711,13.624,-7.526,57.72,-24.534,24.589,17.013
27.13293,34.142,43.339,-94.751,158.867,12.415,53.024,-42.392,-108.695,8.722,-19.293,-10.094,4.74
27.47501,38.601,1.524,35.683,-135.994,54.973,138.537,19.306,42.337,34.347,-17.745,-6.862,14.534
27.79923,34.109,110.098,-78.987,36.845,5.042,-49.398,-57.157,-84.73,13.919,1.484,-26.275,22.237
27.89927,44.661,78.782,55.816,-97.105,-16.7,80.926,1.127,43.763,-23.943,-48.684,-6.853,9.826
28.23542,45.729,120.102,-15.698,6.974,-19.059,38.668,-79.872,-11.818,0.776,-16.545,-43.775,-19.878
28.46698,39.924,126.314,-50.506,42.168,14.63,34.404,-70.09,31.348,4.741,-7.64,-25.167,10.726
28.71156,45.215,108.909,78.173,-110.175,25.477,153.287,16.714,8.133,-2.136,-0.521,35.33,-6.622
29.07692,46.701,138.943,14.675,46.493,-27.092,45.341,-65.1,-5.041,-12.356,-62.74,-59.16,2.445
29.3493,42.454,47.737,37.811,-60.25,17.924,101.851,-5.775,32.573,8.856,4.998,-18.82,16.326
29.70984,35.522,-13.068,38.689,-254.687,-19.05,13.156,-45.874,72.214,15.7,-0.719,21.164,-8.579
30.23805,50.037,195.509,-38.508,33.468,-33.59,38.707,-107.724,-46.959,14.514,-15.005,-67.232,-13.471
30.58689,45.653,54.904,16.819,-11.668,-13.151,117.626,-12.719,4.815,-6.844,-51.582,-24.657,9.377
30.80698,39.742,39.315,-40.347,-93.55,-22.601,-6.406,-66.427,28.091,27.648,5.49,-23.791,7.044
31.16753,40.501,56.661,-37.776,45.629,-26.815,-1.476,-52.435,-66.148,-23.063,9.547,-42.75,-4.925
31.67166,31.392,-43.516,-58.255,10.965,-39.299,-31.022,-36.477,-10.779,-6.703,-27.803,-22.763,-7.785
31.85519,25.933,-37.631,-46.747,-9.328,-23.764,-16.564,-46.541,-2.941,13.464,-20.939,-11.77,-10.252
32.039,26.681,-11.839,-19.792,-74.322,-6.271,44.795,-50.32,12.602,5.362,14.044,-40.89,-6.89
32.33955,29.688,253.245,0.117,-84.15,-14.55,6.466,-72.799,9.092,22.827,-2.311,8.141,-16.795
32.53637,41.626,187.282,-16.927,-117.108,-38.762,58.77,-84.756,-29.247,18.977,10.821,0.809,-25.252
32.82304,47.676,113.975,46.435,-77.53,0.874,52.026,-28.266,21.073,13.19,7.931,-41.664,18.199
33.11705,46.935,108.127,-5.241,38.012,-30.001,63.999,-52.957,-26.601,-14.942,-28.197,-36.876,2.338
33.32503,47.572,143.201,11.376,0.962,-28.416,75.46,-53.105,7.257,-9.341,-36.262,2.877,-15.715
33.69261,47.644,72.111,53.347,-48.711,-22.202,12.723,-8.859,45.657,-16.325,0.313,-12.574,32.7
34.09306,38.708,48.511,-21.087,-69.905,-42.342,-17.406,-48.987,-8.978,-19.102,-8.374,-1.476,2.002
34.15664,43.177,35.763,14.344,-88.661,-0.169,-19.504,-51.891,-20.151,-2.46,18.218,1.085,-0.226
34.33628,46.294,58.104,14.469,-19.261,10.848,-14.541,-53.628,-4.073,7.784,-6.211,-17.713,14.769
34.5971,41.207,51.181,-16.061,10.503,1.82,-2.164,-58.695,15.634,-3.134,5.565,-40.968,24.557
35.0288,37.915,100.259,-73.059,102.698,-47.708,65.479,-86.127,-47.788,3.936,-22.912,-62.492,-28.974
35.2478,38.311,24.944,-43.733,4.597,-21.429,47.546,-40.005,-32.935,-10.849,-0.316,8.99,-3.274
35.46848,40.867,97.246,2.316,-71.469,-21.647,-6.919,-66.284,-103.432,-25.053,39.356,-32.154,-9.762
35.86866,38.099,-21.236,-61.415,23.817,-24.188,-12.761,-77.329,-4.244,12.143,-22.294,-47.348,-13.133
36.16971,30.001,18.022,15.4,-79.478,13.408,-8.29,-58.176,-26.405,23.356,2.561,-5.619,-12.649
36.39696,31.527,-64.741,-63.531,12.513,-16.156,-7.014,-63.874,-3.473,-5.222,5.366,-38.135,-12.271
36.60104,31.691,170.109,3.428,-128.733,-28.297,16.454,-80.308,36.228,31.147,-21.425,39.016,-20.808
36.76295,48.715,200.811,-33.15,-70.163,-40.507,36.629,-95.588,-35.883,21.945,9.241,-3.935,-11.878
37.03011,49.385,103.787,16.282,-2.737,12.403,47.196,-44.572,21.409,25.063,-4.372,-60.422,24.471
37.33129,37.759,17.685,-5.242,-56.451,-15.871,69.225,-31.998,-1.037,-7.73,-25.493,-24.695,5.325
37.50653,40.722,10.676,52.879,-105.993,-1.504,57.745,-12.339,48.904,-6.358,-21.177,-47.9,9.412
37.90689,33.918,-38.447,-27.753,-0.842,-14.692,6.466,-39.229,-37.478,-14.542,-10.342,8.86,-15.166
38.03864,32.611,-39.738,-68.132,64.559,-5.957,1.491,-73.776,25.518,18.871,-37.879,-34.767,-2.199
38.34717,35.538,110.711,70.174,-179.381,-20.402,-5.682,-24.749,-46.9,-5.096,16.192,55.186,-3.168
38.52803,51.619,105.036,107.318,-38.58,16.525,-7.654,1.557,11.128,7.678,5.021,1.776,-0.429
38.80612,50.67,119.662,27.198,120.256,23.074,15.544,-30.443,-15.158,19.445,-9.052,-108.248,26.075
39.09673,38.643,102.49,-8.473,-72.612,-17.006,131.512,-46.771,76.479,19.736,-29.778,-13.275,-5.883
39.43365,38.021,-11.488,-4.724,1.725,-9.766,73.978,-20.055,14.803,-6.032,-27.974,-48.398,-0.764
39.93773,31.81,-58.011,-34.516,-59.295,-5.796,12.453,-32.427,0.547,16.131,-5.75,-15.373,5.982
40.15887,28.856,-11.994,-50.938,14.825,-17.562,26.11,-55.577,5.886,-18.594,-41.936,-58.618,-1.591
40.5019,31.724,-28.337,-30.779,-97.536,7.365,155.232,-9.939,28.665,9.36,-41.703,-72.178,-8.179
40.7049,36.989,-60.429,22.142,-304.261,-10.417,52.057,-15.289,96.887,9.118,-1.038,53.539,-26.858
40.96603,49.95,139.006,-4.495,-19.779,-52.835,-11.227,-66.004,-33.832,-2.226,-13.383,7.284,-18.855
41.26181,50.47,121.144,44.847,43.72,-31.91,10.19,-12.35,-10.731,-12.522,-14.01,-40.759,6.099
41.77356,47.042,83.634,63.113,-38.936,-23.567,-7.932,24.613,0.61,-18.954,1.711,0.954,53.185
41.86018,49.73,74.544,73.496,1.446,-8.724,-8.998,23.646,4.214,-19.896,-15.176,-20.014,44.59
42.55016,41.42,51.736,-28.917,111.762,-20.324,22.265,-47.166,-12.972,-16.844,-10.789,-83.927,1.526
42.92363,43.384,22.006,19.26,-151.104,15.23,168.826,-45.171,69.373,36.186,-57.737,6.312,-35.364
43.24721,45.07,96.214,24.404,-35.707,-16.629,106.36,-49.519,-21.694,-9.979,14.109,-33.302,-27.617
43.61306,39.411,-7.945,-15.246,23.072,-16.689,-0.408,-38.832,10.471,-10.724,-16.385,-17.508,8.191
43.86435,41.388,69.762,34.5,-82.109,-39.566,15.45,-32.629,10.837,0.248,-20.319,-8.986,-25.921
44.08426,42.309,52.451,-22.114,24.928,-31.821,22.879,-41.426,-30.315,14.86,-52.665,-54.236,-15.622
44.41959,36.264,30.913,17.068,-36.367,-37.081,-50.36,-14.866,54.959,13.17,-28.32,22.652,-0.252
44.52413,44.063,74.155,72.181,-117.217,0.484,1.401,5.796,-10.818,1.058,37.99,13.368,19.033
44.68132,50.371,121.942,53.855,84.072,14.353,-9.729,-51.636,-0.048,-1.778,2.986,-34.089,22.026
45.06444,42.969,50.578,100.77,-96.727,12.348,43.546,6.799,40.051,-10.752,-0.942,-12.68,29.185
45.65066,31.923,-70.757,-60.272,-2.683,-11.956,-2.152,-61.593,26.242,21.832,-51.754,-37.324,1.08
45.95175,29.196,-72.042,32.38,-51.235,26.208,45.92,16.762,25.466,10.017,-32.236,-9.688,19.825
46.1859,26.587,-161.294,-90.752,11.25,-1.762,-50.278,-30.928,16.877,-8.081,7.199,-16.156,7.57
46.501,36.291,-28.39,82.772,-237.903,16.979,65.166,27.69,74.472,4.939,-25.04,36.123,5.036
46.68857,50.553,58.272,46.669,-11.998,12.132,-29.543,-17.165,-4.538,25.141,10.421,-10.717,-4.274
46.7883,50.77,85.798,104.509,31.908,38.749,-9.328,-19.802,21.044,-1.238,2.131,-22.208,13.643
47.06063,46.707,213.049,45.013,-14.392,-9.665,13.141,-76.126,4.193,-7.496,-34.488,-5.623,-11.027
47.15392,50.183,144.468,77.814,-47.162,20.892,14.764,-45.022,-32.556,-10.438,22.493,-16.902,-5.612
47.86227,45.141,54.362,13.291,25.697,-28.058,-20.745,-66.314,-14.995,-21.182,-10.643,-36.194,-20.389
48.01873,43.738,58.548,61.77,-85.042,20.017,4.85,-23.114,-19.743,1.73,-13.981,-19.22,5.752
48.3444,40.958,59.425,-32.552,101.245,-9.06,-42.575,-65.052,-29.223,8.518,-3.014,-42.199,2.883
48.61633,39.407,75.299,87.639,-84.821,-17.773,42.806,7.659,50.101,-11.21,-29.274,4.211,17.499
48.93683,38.481,122.87,7.564,-25.336,-45.377,4.967,-77.708,-11.019,-1.119,-30.242,1.334,-24.866
49.22063,44.471,109.152,129.321,-61.207,-4.161,16.338,28.266,41.726,-18.538,-13.016,30.862,32.549
49.38286,48.9,168.293,90.456,75.237,-17.379,15.896,-6.45,25.455,-25.146,-5.799,-47.446,32.635
50.27791,33.773,-9.449,123.68,-55.05,-7.751,9.271,38.593,40.722,-41.569,-9.103,30.576,23.508
50.46281,37.55,2.717,16.954,26.45,-36.616,-24.758,-8.006,-1.599,-27.899,-9.655,-10.966,20.16
50.64345,33.066,20.979,77.384,9.558,-31.444,-15.796,-1.044,14.136,-39.94,-23.404,0.539,-11.036
50.7937,33.317,18.9,38.329,7.677,-42.678,-20.433,-20.022,-11.3,-43.927,-20.278,0.525,-7.458
50.90417,42.192,69.58,120.519,-137.308,-13.91,15.314,0.31,23.199,-30.798,4.887,12.836,5.651
51.38585,47.287,122.909,56.08,-3.549,-4.097,3.693,-70.448,-48.37,-16.561,3.768,-15.066,-26.969
