start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.002,171.098,9.486,-28.523,57.5,-50.091,14.866,5.301,-27.208,0.971,-10.612,-7.261
0.16857,41.44,-71.399,23.601,6.888,52.039,138.954,73.508,-18.612,-15.427,39.27,78.552,-4.93
0.43401,40.197,-75.874,-53.264,30.993,18.973,-36.325,39.349,-32.666,4.049,-17.273,4.295,-1.764
0.59696,39.129,-53.189,-37.548,44.58,-2.882,-95.466,41.08,-56.569,-16.976,40.202,-31.46,30.197
0.87066,36.877,-83.331,-65.207,-12.76,47.386,-78.958,23.084,-16.609,8.516,18.541,-16.637,26.575
1.00512,35.148,-52.985,-89.388,43.15,17.888,-96.916,9.679,-50.96,6.671,51.06,-33.481,37.129
1.19206,32.404,-118.984,-45.65,-116.005,11.877,-29.151,43.07,19.217,2.705,-17.972,-9.055,10.085
1.3907,37.543,-64.365,-84.437,41.487,-6.237,-89.001,7.65,-37.567,-5.19,36.477,-28.77,21.045
1.65941,32.967,-82.344,-83.977,-33.674,-25.966,-26.631,23.702,-10.035,10.472,-10.43,-11.019,29.416
1.78721,35.511,-76.713,-50.95,-44.09,-15.803,-14.761,19.522,-33.976,12.656,7.037,4.376,1.43
1.9995,34.633,-93.643,-53.799,-31.869,-11.461,-29.025,2.927,21.197,24.262,-22.775,-28.26,-1.686
2.20168,32.554,-50.465,-77.767,-29.4,-10.441,-76.073,6.903,-27.265,2.52,36.319,-23.959,18.506
2.38277,36.627,-118.189,-39.248,-75.891,-0.768,8.365,8.718,15.219,19.511,15.534,-3.734,0.679
2.59673,35.491,-72.62,-95.651,25.123,-13.713,-59.277,-4.321,-25.104,20.964,6.854,-13.035,10.065
2.86295,36.222,-44.9,-69.894,-58.825,14.685,-37.943,11.247,-63.419,2.192,47.393,-33.006,6.904
2.99188,35.04,-84.551,-88.827,23.388,8.216,-25.316,-6.117,-16.906,22.507,-12.594,-25.088,-0.183
3.25161,31.681,-19.376,-134.08,-37.095,0.017,-57.934,-9.284,-56.227,6.798,18.668,-26.637,15.227
3.3966,36.404,-47.757,-89.047,-10.501,-18.083,-18.338,8.374,-52.369,0.485,31.696,-1.878,1.456
3.66481,35.162,-34.008,-104.998,-24.971,-9.569,-61.626,-0.762,-22.768,25.524,-3.566,0.954,10.636
3.80227,34.725,-65.548,-95.163,-43.756,2.874,-82.67,2.072,-32.432,-2.48,29.342,-11.755,28.926
3.98925,37.022,-119.882,-48.884,-59.273,2.963,-28.07,-17.769,13.219,7.055,-7.39,-14.336,2.79
4.19066,34.752,-50.183,-104.889,21.965,-3.224,-34.285,-10.507,-27.352,13.885,-37.601,6.682,2.142
4.45193,36.222,-39.484,-90.211,-48.228,18.375,27.402,-1.879,-58.935,26.193,-16.524,9.602,-4.096
4.62041,36.51,-57.042,-94.62,27.74,-2.132,-65.192,-19.834,-27.614,8.919,29.463,-41.816,0.186
4.88712,33.068,-28.732,-136.203,-36.414,14.478,-66.589,-3.851,-48.432,-2.889,17.901,-27.893,9.622
5.00866,36.185,-54.647,-78.841,-32.246,10.778,5.673,-0.551,-79.543,21.092,22.534,8.387,6.828
5.2693,33.834,-44.006,-126.051,1.325,24.228,-89.216,-30.266,-23.271,-1.444,3.683,-25.965,8.512
5.39932,34.571,2.052,-106.372,2.319,-24.352,-71.784,-25.664,-48.555,18.619,24.816,-9.706,20.404
5.54209,34.867,-96.775,-71.753,-26.708,-17.16,-48.93,-2.205,-20.822,-3.083,22.102,-39.328,0.284
5.94726,35.641,-119.055,-83.899,-59.7,34.704,0.461,21.124,-45.243,-6.005,31.839,-6.925,-15.306
6.19197,38.943,-112.24,-50.034,-48.344,34.928,-53.429,5.57,-34.149,-16.922,20.337,-12.605,-23.696
6.34621,40.746,-107.312,-41.414,3.803,42.337,-24.685,-8.008,-12.492,-17.102,24.192,-33.461,-16.514
6.61705,38.153,-116.137,-64.933,-14.232,29.833,-41.123,6.437,-44.932,-9.882,30.231,-9.755,-2.948
6.87764,35.427,-68.328,-117.484,-6.486,21.574,-74.736,5.275,-36.468,-3.046,11.027,-27.892,17.919
7.01342,36.078,-32.39,-110.548,-5.962,2.749,-39.974,9.088,-57.306,18.515,6.672,15.128,22.844
7.29701,34.348,-60.216,-108.423,-34.697,11.63,-66.844,-6.967,-39.948,-9.477,20.388,-25.034,2.065
7.42286,34.03,-49.894,-123.306,10.151,-3.341,-78.733,-29.919,-58.939,16.083,47.037,-26.056,17.863
7.6624,34.579,-56.075,-106.222,-47.55,26.217,-16.819,12.48,-54.847,8.359,-6.439,15.183,-0.548
7.81556,37.939,-49.268,-85.523,38.249,-12.334,-67.591,0.25,-35.687,0.827,32.032,-25.853,18.618
7.95914,32.929,-93.371,-86.783,-31.945,-0.714,-55.681,8.526,26.408,9.466,1.617,-6.02,6.641
8.08785,32.886,-0.156,-125.061,-35.815,9.133,-70.917,-6.67,-34.111,15.41,25.377,-22.606,12.612
8.20408,36.594,-30.698,-63.397,-1.583,3.715,30.049,21.645,-52.333,-2.078,8.047,7.994,3.02
8.49465,33.642,-14.793,-108.067,-8.909,13.743,-72.597,-24.012,-28.047,6.297,0.839,-26.298,10.258
8.61029,32.452,-1.567,-119.912,4.102,-4.653,-16.182,0.156,-48.644,29.09,-9.694,11.814,19.154
8.75483,32.956,-117.641,-72.877,-79.359,-21.949,-19.477,-8.12,8.271,9.448,19.589,1.876,-1.11
8.86603,35.801,-59.103,-91.023,-38.78,-0.18,-8.906,-10.809,-28.434,42.734,-18.195,-5.815,3.831
9.04689,35.088,-46.758,-93.984,47.418,-25.001,-89.653,-8.755,-23.544,-2.782,19.298,-32.884,24.803
9.29605,35.56,-46.919,-66.527,-78.252,5.747,20.795,10.868,-57.992,29.94,-7.752,0.747,-7.571
9.44181,36.012,-60.792,-85.667,39.415,-9.933,-73.442,-38.502,-47.71,4.898,39.184,-37.061,4.802
9.68485,32.524,-13.308,-134.245,-22.106,17.575,-61.486,-16.29,-54.933,4.739,22.597,-23.05,12.396
9.83882,39.862,-22.997,-71.061,23.402,-12.144,-92.761,6.397,-55.461,1.566,38.327,-18.265,30.316
9.98476,35.436,-103.832,-56.526,15.159,-17.314,-69.239,10.312,-11.485,8.381,12.684,-39.54,4.75
10.20331,36.703,-4.674,-102.604,6.145,10.008,58.037,39.082,-28.608,35.686,-34.249,13.607,14.191
10.3658,34.778,-65.547,-52.718,-13.223,-8.449,-54.658,18.677,-0.475,-2.749,1.834,2.235,2.612
10.62649,33.961,11.135,-78.336,-6.008,3.178,-54.989,7.24,-20.717,14.662,7.126,-8.148,2.722
10.91533,34.063,-58.002,-47.729,-51.0,1.105,-23.973,30.66,-27.879,4.838,36.289,-6.787,-10.46
11.03152,37.211,-18.254,-87.849,61.694,-16.61,-54.615,10.495,-53.6,21.662,27.455,-13.198,2.36
11.31746,31.593,0.115,-118.385,-34.105,-20.895,-60.288,-9.348,-35.318,3.864,16.868,-23.643,10.491
11.42063,34.405,-32.965,-60.122,-62.359,-14.99,33.079,18.769,-55.159,21.612,-30.925,-16.769,-10.98
11.72163,32.598,-18.732,-110.351,-9.64,0.149,-82.733,-2.259,-41.037,6.661,7.298,-31.41,5.595
11.8419,35.962,18.412,-88.659,46.867,-24.236,-45.279,-1.632,-28.859,9.353,21.652,10.344,17.062
