start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,42.283,-38.279,-12.899,-34.127,-21.907,-21.821,7.253,-1.197,8.895,-10.009,20.132,-5.177
1.93061,42.298,-52.593,-2.067,-14.931,-16.83,-42.449,4.529,-14.147,-1.336,4.406,-10.283,1.996
7.5005,40.206,-81.619,9.705,-28.391,2.81,-47.8,17.986,8.14,15.026,8.518,0.184,-9.162
8.32658,41.338,-77.493,2.067,-34.724,8.763,-43.399,20.816,4.016,10.123,3.227,-1.892,-10.849
11.09891,53.28,41.152,38.458,65.732,4.624,-38.172,4.579,-3.737,-17.162,-9.365,-38.649,7.813
11.27293,49.956,-10.935,45.171,45.224,-5.278,-40.729,4.676,7.366,-5.799,-3.9,-33.009,-8.808
11.42095,51.161,33.53,39.441,-0.64,8.442,57.687,26.417,9.287,13.597,-10.13,-13.682,-23.615
11.60263,53.48,59.389,50.653,28.393,10.952,15.177,20.297,-0.482,8.605,-2.464,7.326,-16.207
11.78739,53.352,64.386,39.065,51.366,11.626,-26.648,20.056,0.774,1.559,0.782,-31.399,5.655
11.94417,53.227,88.164,38.029,18.774,6.955,17.76,23.604,8.231,10.808,0.143,6.15,8.128
12.13057,52.304,61.916,34.288,53.2,16.729,-15.903,10.421,0.571,-4.837,-1.02,-18.655,2.896
12.29669,51.266,40.262,50.354,14.597,19.476,11.261,20.166,1.258,4.832,5.36,5.304,-8.039
12.48667,51.966,30.333,42.411,68.43,1.741,-39.881,8.653,3.257,-10.669,-4.651,-33.505,-0.748
12.66113,50.704,7.053,47.419,34.141,23.386,-40.706,6.75,-6.074,-6.489,-0.103,-43.702,5.696
12.82458,51.706,33.731,33.215,48.745,17.076,-1.121,4.798,2.373,6.271,5.151,-13.723,-16.595
13.00245,53.705,42.769,47.359,18.664,3.494,-32.787,4.847,-14.313,-13.924,1.285,-19.882,-1.095
13.17995,53.35,74.454,40.159,51.61,7.13,-25.163,25.898,-8.166,9.103,8.592,-33.357,5.879
13.35193,55.073,75.976,52.217,39.705,13.834,-33.713,9.695,1.573,10.246,-6.206,-26.072,11.075
13.52667,52.939,57.169,36.543,39.186,0.424,-25.45,-4.691,-15.443,-3.089,-10.758,-32.21,-10.231
13.69156,50.849,34.034,32.715,31.032,11.155,-41.834,12.244,-16.367,19.734,8.608,-17.235,-4.879
