start,0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.833,156.526,-0.55,-35.559,52.135,-46.228,24.28,5.026,-23.986,9.15,-12.955,-7.56
0.31896,24.257,6.328,-18.971,-109.079,61.412,258.763,39.139,-12.768,-23.149,50.306,-118.986,22.941
1.07007,21.68,-79.587,-94.81,-36.051,-10.831,-46.358,-11.239,8.35,-16.105,17.996,1.567,11.955
1.23406,21.708,-100.448,-108.077,-22.329,-13.994,-55.946,-19.836,6.487,-14.799,14.516,-13.361,3.848
1.40426,22.242,-87.118,-87.619,-50.725,-17.254,-44.044,-10.722,-0.96,-17.138,17.876,-9.029,6.256
1.73002,23.287,-106.798,-102.003,-63.008,-7.257,-36.195,-11.584,-7.706,-8.067,29.518,-4.191,6.153
1.90317,23.992,-83.476,-91.166,-42.29,-13.339,-46.295,-17.064,8.042,-16.278,23.031,-15.094,10.817
2.15887,22.644,-106.841,-90.234,-18.559,-7.004,-48.16,-11.481,-3.784,-24.44,20.588,-11.567,15.484
2.25415,25.839,-122.653,-85.211,-43.238,-14.191,-41.627,-6.259,-0.086,-20.073,17.667,-3.138,6.197
2.43927,27.931,-119.062,-73.815,-38.847,-18.031,-42.976,-7.608,-1.424,-20.259,18.43,-15.196,3.907
2.62426,27.259,-136.672,-87.218,-37.626,-23.174,-61.402,-10.763,-2.668,-21.642,25.878,12.92,-4.658
2.71211,28.192,-112.843,-86.15,10.149,-27.581,-62.086,-10.221,4.992,-17.665,4.237,-11.425,20.671
2.80626,28.868,-136.552,-102.91,3.654,-18.277,-53.262,-15.888,-11.112,-15.467,33.792,-10.695,10.652
2.90227,30.464,-127.564,-72.403,-11.151,-27.141,-57.355,-8.07,-12.493,-22.857,29.663,0.015,6.208
2.99147,30.834,-117.432,-85.348,17.451,-27.315,-66.399,-15.028,-16.431,-20.927,27.227,-14.595,14.211
3.08653,33.843,-95.436,-71.377,12.585,-27.072,-59.921,-7.363,-4.447,-18.815,19.616,-4.145,12.162
3.28045,31.377,-119.646,-88.542,8.899,-32.017,-64.306,-22.075,-20.195,-23.641,21.913,-11.505,5.033
3.38086,32.268,-129.825,-87.135,24.658,-23.382,-69.205,-11.428,-29.879,-24.407,16.203,-17.158,16.529
3.47007,33.106,-82.308,-80.392,17.396,-20.165,-60.456,-15.763,-12.958,-12.477,20.345,1.281,18.79
3.57732,34.744,-85.931,-82.911,52.207,-28.657,-83.892,-21.254,-17.125,-16.526,40.313,-7.669,19.784
3.67769,33.788,-76.998,-74.466,25.022,-29.453,-85.296,-28.619,-8.097,-27.82,19.699,-7.561,17.814
3.77438,34.913,-98.028,-95.403,44.774,-27.291,-76.56,-27.626,-30.12,-14.582,40.998,-13.054,20.706
3.87769,34.554,-100.203,-76.255,9.429,-36.803,-81.852,-17.601,-16.221,-23.814,33.52,4.066,17.42
3.97297,36.512,-87.414,-84.384,31.662,-27.877,-68.663,-26.533,-22.225,-14.983,31.029,-17.176,18.398
4.08141,36.267,-85.618,-73.021,21.703,-25.408,-74.239,-18.166,-26.481,-28.424,21.246,-9.396,25.745
4.16971,37.965,-85.031,-88.99,29.223,-21.549,-40.2,-18.263,-25.73,-8.392,25.22,13.185,17.533
4.2829,37.909,-99.928,-78.916,17.965,-27.994,-70.839,-23.49,-18.192,-21.856,36.804,-7.932,21.911
4.3844,39.243,-71.425,-92.581,40.896,-22.732,-71.719,-22.037,-27.534,-17.011,19.41,-5.919,23.248
4.49125,40.184,-65.876,-93.137,40.344,-19.276,-67.468,-24.945,-30.923,-12.071,30.859,-14.212,25.495
4.60766,40.945,-42.98,-80.61,42.621,-12.431,-72.445,-21.709,-25.03,-23.822,20.689,-11.096,19.99
4.71678,41.306,-70.221,-98.244,29.978,-8.296,-58.961,-18.726,-40.089,-8.069,26.059,-13.475,23.34
4.84512,41.624,-50.864,-89.69,25.422,-18.792,-75.23,-25.104,-16.038,-12.48,28.775,-3.855,25.076
4.97696,41.587,-67.589,-91.361,30.871,-20.149,-84.307,-31.268,-24.489,-10.511,22.131,-14.835,22.101
5.11891,41.439,-75.786,-90.584,46.838,-17.976,-80.655,-24.046,-30.11,-12.542,17.237,-32.167,27.274
5.26213,42.473,-56.761,-110.491,81.487,-12.245,-62.992,-27.384,-39.558,-7.229,28.988,-19.881,23.203
5.45048,42.614,-60.671,-94.437,97.881,-14.721,-86.802,-30.514,-23.226,-19.707,20.747,-41.982,26.026
5.63796,37.664,-56.139,-158.556,163.258,-0.999,46.849,-24.178,-11.044,6.139,-5.364,16.155,3.698
6.27583,29.145,-127.653,-101.684,155.254,4.8,-34.755,-24.273,71.553,-12.305,-5.892,-30.053,-1.425
6.80444,37.761,-172.504,-36.748,31.584,0.344,32.035,24.256,21.621,-25.697,28.409,-0.932,17.691
6.94735,41.559,-55.58,-104.264,133.74,-12.783,-98.72,-30.677,-10.084,-20.243,15.123,-41.145,36.488
7.22132,35.06,-78.835,-103.855,2.019,4.804,52.635,6.797,-19.57,-7.913,-10.092,4.943,14.518
7.36082,31.884,-103.748,-114.137,84.415,-17.499,-67.502,-35.611,-1.66,-10.811,14.611,-26.476,17.968
7.60599,27.765,-119.74,-100.312,27.404,-23.144,-53.523,-25.168,5.806,-21.975,17.859,-15.707,7.736
7.73533,28.193,-104.247,-108.804,78.113,-23.479,-62.236,-28.554,2.988,-20.064,11.218,-25.225,14.235
7.98435,26.23,-129.567,-117.298,-6.966,1.823,-1.936,-1.689,-21.281,-16.502,29.531,11.101,6.029
8.10989,27.441,-122.609,-122.944,73.866,-11.936,-63.025,-28.464,-1.457,-21.268,10.19,-26.613,10.664
8.34408,40.047,-81.692,-48.283,14.113,-18.351,24.171,14.242,-10.018,-11.153,-24.325,8.297,12.191
8.45837,41.235,-98.492,-109.231,77.363,0.368,-33.147,-9.14,-30.151,19.338,-23.762,-14.451,19.795
8.71995,29.789,-127.503,-111.836,8.142,-17.228,-61.417,-25.012,-7.444,3.732,0.266,-7.489,12.955
8.85642,25.006,-124.998,-119.816,26.066,-5.114,-54.627,-24.668,9.155,-4.369,11.727,-19.952,10.401
9.10168,24.598,-129.441,-112.35,1.732,-20.278,-38.895,-19.297,-3.625,-20.983,29.607,-18.935,0.094
9.21578,24.361,-108.947,-124.368,61.092,1.149,10.618,-14.319,18.47,-13.969,-7.843,-2.665,-0.453
9.46322,24.136,-106.652,-101.455,19.169,-18.834,-45.831,-13.54,5.084,-32.773,28.296,-17.189,8.742
9.58322,21.278,-114.125,-120.831,38.021,3.207,-67.569,-23.158,27.253,-18.127,8.872,-24.359,16.655
9.8063,40.24,-55.245,-91.785,61.858,2.405,-1.998,-12.333,-20.692,-24.359,60.919,39.326,12.986
9.9258,40.274,-57.067,-123.405,112.454,-14.284,-92.426,-30.788,-27.901,-9.596,25.968,-25.804,21.056
10.29311,27.336,-104.179,-115.432,42.834,-22.324,-67.308,-31.748,10.711,-14.882,21.943,-22.029,5.751
